"Export time:  1/29/2024, 5:32:07 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C1YJY1S6","Colarr Engineering Computation Pad 8.5' x 11' Engineering Wirebound Spiral Notebook Grid Pad 5 Squares Per Inch Graph Paper 100 Sheets Per Pad for Drafting Drawing Blueprint Sketching (Blue,5 Pads)","Colarr","$33.99","193","6","$6,560","04/09/2023","$21.56","4.4","10","$12.43","38,516","7","FBA","1","Office Products","Standard","11.73 x 3.15 x 12.4 in","6.38 lb","https://www.amazon.com/dp/B0C1YJY1S6"
"engineering paper notebook","","B0CF4FM1G4","Engineering Notebook","J. B. Strakes (Author)","$7.75","","","","08/09/2023","","","","","1,470,203","","AMZ","1","Books","","","","https://www.amazon.com/dp/B0CF4FM1G4"
"Average Monthly Sales: 907","","B0CCZSYBTC","Engineering Calculation Notebook","J. B. Strakes (Author)","$7.75","","","","08/18/2023","","","","","4,035,366","","AMZ","1","Books","","","","https://www.amazon.com/dp/B0CCZSYBTC"
"Average Revenue: $14,777","","B0BYRKD54C","Seajan 5 Pack Engineering Computation Pad Engineer Pad 8.25x11 Inches Engineering Notebook Graph Paper Notebook, 5 Squares Per Inch Evidence Engineering Pad, 100 Sheets/Pack (3 Hole Punched)","Seajan","$32.99","540","18","$17,815","03/16/2023","$24.50","4.8","16","$8.49","13,784","6","FBA","1","Office Products","Standard","8.7 x 2.2 x 11.2 in","3.53 oz","https://www.amazon.com/dp/B0BYRKD54C"
"Average Price: $17.25","","B001J87JTM","TOPS Engineering Computation Pad, 8-1/2' x 11', Glue Top, 5 x 5 Graph Rule on Back, Green Tint Paper, 3-Hole Punched, 100 Sheets (35500)","Tops","$8.75","4,511","118","$39,471","10/23/2008","$4.22","4.7","5,202","$4.53","1,758","7","FBA","15","Office Products","Standard","8.4 x 0.2 x 10.8 in","11.2 oz","https://www.amazon.com/dp/B001J87JTM"
"Average No. of Ratings: 854","","B09YNDGL8Y","Engineering Notebook: 4x4 Quad Ruled Graph Paper Notebook For Engineer, 120 Pages, 8.5' x 11'","","$6.50","","","","","","4.8","36","","27,737","","AMZ","","Books","","","","https://www.amazon.com/dp/B09YNDGL8Y"
"Average Sales Rank: 212,099","","B07Q4RSNZT","Mintra Office Memo Pads (1pk, Memo Cube - Bright)","Mintra Office","$9.99","875","20","$8,741","03/31/2019","$3.97","4.6","2,337","$6.02","12,124","5","FBA","1","Office Products","Standard","3.66 x 2.24 x 3.7 in","12.3 oz","https://www.amazon.com/dp/B07Q4RSNZT"
"Average Rating Number: 4.5","","B0B4D3JRXJ","TWONE Spiral Graph Paper Notebook with Transparent Plastic Cover, 60 Sheets, 7' x 10' for Home, School, Math,Cornell Notes, College Students","TWONE","$7.88","584","23","$4,602","06/16/2022","$3.63","4.6","193","$4.25","10,583","7","FBA","1","Office Products","Standard","7.4 x 0.5 x 10 in","11.3 oz","https://www.amazon.com/dp/B0B4D3JRXJ"
"","","B0BXB8VS69","BEECHMORE BOOKS Blank Sheet Music Notebook - A4 Teal 156 Thick Pages 8.2 x 11.6 inch| 10-Staff Hardcover Vegan Leather 120gsm Composition Manuscript Paper - Boxed for Gifts Writers, Musicians","BEECHMORE BOOKS","$24.95","367","16","$9,157","03/01/2023","$15.42","4.8","392","$9.53","15,099","7","FBA","1","Office Products","Standard","9.96 x 1.42 x 13.03 in","2.48 lb","https://www.amazon.com/dp/B0BXB8VS69"
"","","B07YWSV7N9","RETTACY College Ruled Leather Notebook 2 Pack - Large Business Notebook with 408 Pages, Work Notebook with 100 GSM Thick Paper, 7.6'  10' (Black & Green)","RETTACY","$18.99","772","35","$14,660","10/24/2019","$10.35","4.8","2,316","$8.64","7,067","6","FBA","1","Office Products","Standard","7.6 x 0.59 x 10 in","2.77 lb","https://www.amazon.com/dp/B07YWSV7N9"
