"Export time:  1/29/2024, 5:22:42 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CBJFFWM8","Therwen 30 Pcs Name Plates Laser Engraved Brushed Solid Brass Plate Personalized Plaque Blank Custom Name Tag Frame Name Label with Adhesive Backing for DIY (Multi Shape,1''x 3'')","Therwen","$20.99","564","15","$11,838","07/09/2023","$14.77","4.2","57","$6.22","16,345","6","FBA","1","Office Products","Standard","3.46 x 0.71 x 4.84 in","7.8 oz","https://www.amazon.com/dp/B0CBJFFWM8"
"engraving blanks","","B0CD25LB3D","OMTech Engraving Material Box, 72pc Engraving Blank Kit for All Laser Engravers, 8 Types of Materials for DIY Crafts, Plywood Acrylic Sheets Leather Keychains Metal Business Cards Jewelry and More","OMTech","$59.99","30","1","$1,800","07/27/2023","","4","1","","95,411","6","FBA","1","Arts, Crafts & Sewing","","","","https://www.amazon.com/dp/B0CD25LB3D"
"Average Monthly Sales: 236","","B0BWTSWGC4","GHYTMTHOT 45 Pack 4 x 4 Inch Slate Coasters, Slate Coasters Bulk for Engraving Black Slate Coasters Slate Coaster Blank Slate Coasters Bulk Slate Coasters, Set of 45","GHYTMTHOT","$44.99","75","1","$3,374","12/02/2022","","4.6","45","","142,470","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BWTSWGC4"
"Average Revenue: $7,280","","B0CLB7WR14","Ickimee 16-Pack 40mm Brass Challenge Coin Blanks with Acrylic Display Box, Threaded Edged Metal Circles, Ideal for DIY Crafts, Laser Engraving, Metal Stamping, Commemorative Collection Supplies","Ickimee","$37.99","","","$0.00","10/18/2023","","","","","229,001","7","FBA","1","Arts, Crafts & Sewing","","","","https://www.amazon.com/dp/B0CLB7WR14"
"Average Price: $30.04","","B0BXSDMCN3","200 Pcs Metal Business Card Blanks, Colorful Aluminum Laser Engraving Blanks Multipurpose Metal Cards Laser Engraving DIY Cards for Circut, CNC, Glowforge","Blavvennt","$25.99","418","9","$10,864","03/07/2023","","4.4","65","","16,518","7","FBA","1","Arts, Crafts & Sewing","","","","https://www.amazon.com/dp/B0BXSDMCN3"
"Average No. of Ratings: 213","","B0BBMPXHSX","300 Pieces Metal Engraving Blanks Multipurpose Aluminum Sheet Aluminum Business Card Blanks for Cnc Engraver Laser Engraving DIY Cards, Thickness 0.21 Mm/ 0.01 Inch (black)","Marspark","$30.99","630","20","$19,524","08/22/2022","$21.05","4.4","467","$9.94","7,010","7","FBA","2","Arts, Crafts & Sewing","Standard","2.12 x 0.1 x 3.38 in","1.61 lb","https://www.amazon.com/dp/B0BBMPXHSX"
"Average Sales Rank: 77,170","","B0C8TLN75R","Wavyknot 100 Pcs PU Leather Key Fobs Kit Blanks DIY Laser Engraving Keychain for Leather Keychain Making Supplies","Wavyknot","$19.99","371","12","$7,416","06/20/2023","$11.45","4.1","22","$8.54","75,547","7","FBA","1","Clothing, Shoes & Jewelry","Standard","7.49 x 1.19 x 13.39 in","1.54 lb","https://www.amazon.com/dp/B0C8TLN75R"
"Average Rating Number: 4.4","","B07RRFN876","Name Plate Engraving Blanks - 2' x 8' (5-Pack), Dark Brown","All Quality","$8.99","90","3","$809.10","05/10/2019","","4.3","121","","51,142","4","FBA","1","Arts, Crafts & Sewing","","","","https://www.amazon.com/dp/B07RRFN876"
"","","B0BZ4C6XDW","40 Slate Drink Coaster Engraving Blanks - Square Shapes for Versatile Use,Natural and Rustic Look","Cakocaco","$45.99","237","8","$10,900","03/20/2023","","4.7","491","","32,608","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BZ4C6XDW"
"","","B0CMCR3TBZ","Zubebe 24pcs Cutting Board Bulk 11 x 5 Inch Wood Chopping Board Blank Small Laser Engraving Serving Board Mini Charcuterie Boards for Mother's Day Wedding Housewarming Gift (Acacia)","Zubebe","$80.99","162","5","$13,120","11/01/2023","","4.6","18","","48,734","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CMCR3TBZ"
