"Export time:  2/5/2024, 1:22:15 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0711RQMNF","Amazon Basics Collapsible Fabric Storage Cubes Organizer with Handles, 10.5'x10.5'x11', Beige - Pack of 6","Amazon Basics","$19.68","","","","11/13/2017","$9.70","4.7","100,106","$9.98","134","6","AMZ","9","Our Brands","Standard","10.94 x 11.61 x 4.61 in","5.56 lb","https://www.amazon.com/dp/B0711RQMNF"
"foldable storage basket","","B0CM6H6879","Lemiran Storage Cubes Baskets For Shelves,15.7x10.6x6.7in Linen Storage Bins With Window,Large Foldable Storage Baskets for Organizing,Toys,Books,Clothes,Linen Closet Organizers | Storage Box-Grey","Lemiran","$23.99","","","$0.00","10/30/2023","$12.46","4","2","$11.53","1,192,774","7","FBA","1","Home & Kitchen","Standard","10.6 x 6.7 x 15.7 in","1.6 lb","https://www.amazon.com/dp/B0CM6H6879"
"Average Monthly Sales: 1,626","","B07NM1PHCP","StorageWorks Closet Organizers with Handles, Rectangular Storage Baskets for Shelves, Foldable Closet Storage Bins for Linen Closet, 3-Pack, Gray","StorageWorks","$26.99","5,577","162","$150,523","03/19/2019","$16.21","4.7","13,967","$10.78","4,146","6","FBA","1","Home & Kitchen","Standard","12.28 x 15.04 x 2.28 in","4.449 lb","https://www.amazon.com/dp/B07NM1PHCP"
"Average Revenue: $43,633","","B0CM6H8SGT","Lemiran Large Storage Basket 3 Pack, Storage Bin For Shelves,Woven Foldable Storage Baskets For Living Room | 16.112.27.9in Storage Box For Nursery,Toys,Closet,Office | Sturdy Basket Organizer-Beige","Lemiran","$30.99","","","$929.70","10/30/2023","$17.51","5","1","$13.48","705,162","7","FBA","1","Home & Kitchen","Standard","12.2 x 7.9 x 16.1 in","2.31 lb","https://www.amazon.com/dp/B0CM6H8SGT"
"Average Price: $27.67","","B098B4V9XJ","Fab totes Storage Bins [3-Pack], Foldable Storage Baskets for Organizing Toys, Books, Shelves, Closet, Large Storage Box with Rope Handles, Sturdy Organizer Bins, White & Grey","Fab totes","$21.99","4,419","92","$97,174","06/29/2021","$12.26","4.6","2,082","$9.73","8,734","6","FBA","1","Home & Kitchen","Standard","10.24 x 15.43 x 2.48 in","3.569 lb","https://www.amazon.com/dp/B098B4V9XJ"
"Average No. of Ratings: 6,808","","B0BZMFVLGK","Pack of 3 Large Capacity Storage Bins Closet Organizer System, Sturdy Foldable Storage Boxes for Organizing Clothing, Sheets, Toys, Books - Shelf Organizer Shelves Basket Storage Bin","Fordonral","$21.98","2,386","49","$52,444","04/29/2023","$5.56","4.4","166","$16.42","18,377","7","FBA","4","Home & Kitchen","Oversize","11 x 7.9 x 18.9 in","1 lb","https://www.amazon.com/dp/B0BZMFVLGK"
"Average Sales Rank: 104,944","","B094CBB9JF","Kingrol 4 Pack Foldable Storage Baskets with Handles, Waterproof Storage Bins for Home, Office, Nursery, Laundry Organizers, 15 x 10.25 x 9.75 Inch","Kingrol","$19.43","316","8","$6,140","02/03/2021","$7.58","4.4","233","$11.85","112,243","6","FBA","1","Home & Kitchen","Oversize","9.84 x 14.96 x 10.24 in","9.6 oz","https://www.amazon.com/dp/B094CBB9JF"
"Average Rating Number: 4.6","","B0BGXDFC1L","Eccliy 6 Pack Poly Wicker Bread Basket Imitation Rattan Woven Bread Baskets Woven Tabletop Food Fruit Vegetables Serving Basket for Restaurant Serving Display Home Outdoor Restaurant(15.7 Inch)","Eccliy","$56.99","152","5","$8,662","09/29/2022","$30.38","4.2","17","$26.61","52,596","7","FBA","4","Kitchen & Dining","Oversize","12.32 x 7.56 x 16.85 in","2.31 kg","https://www.amazon.com/dp/B0BGXDFC1L"
"","","B0C3HJGDJF","BALEINE 2 Pack Clothes Storage Bags, 24 Gallon Storage Containers with Reinforced Handle Sturdy Zipper, Closet Storage for Blanket Comforter Pillow Bedding (Grey, 2 Pack)","BALEINE","$12.99","1,200","40","$15,588","04/24/2023","","4.3","722","","22,853","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C3HJGDJF"
"","","B0BZQ6JVMF","Laughbird Baskets for Organizing Large Rectangular Woven Basket Cotton Rope Shelf Storage White With Handles for Shelves Nursery Cube Bin,Decorative Storage Organizer for Living Room White/Grey 3bags","Laughbird","$31.99","1,534","61","$49,073","03/26/2023","$14.83","4.6","507","$17.16","2,206","6","FBA","2","Baby","Oversize","10 x 8.6 x 15 in","4.77 lb","https://www.amazon.com/dp/B0BZQ6JVMF"
