"Export time:  1/29/2024, 5:28:46 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09R3P63SZ","Storex Large Book Bin, Interlocking Plastic Organizer for Home, Office and Classroom, Teal, 6-Pack (71107A06C)","Storex","$15.00","916","33","$13,740","01/23/2022","$6.32","4.6","1,256","$8.68","7,528","6","AMZ","2","Office Products","Standard","5.25 x 7 x 14.25 in","3.11 lb","https://www.amazon.com/dp/B09R3P63SZ"
"folder bins for classroom","","B0BDSTZQCH","Folders, Folders with Pockets, 2 Pocket Folders, Folders with Pockets Bulk, Holds 100 Sheets (50 per Pocket), Assorted Colors, Office Or School (50)","VEEBOOST","$29.99","570","19","$17,094","","","4.6","87","","13,161","","FBA","","Office Products","","","","https://www.amazon.com/dp/B0BDSTZQCH"
"Average Monthly Sales: 463","","B07KL34529","Storex Large Book Bin, Interlocking Plastic Organizer for Home, Office and Classroom, Purple, 6-Pack (71117U06C)","Storex","$24.92","727","29","$18,117","11/12/2018","$17.41","4.2","37","$7.51","8,647","6","AMZ","2","Office Products","Standard","5.25 x 7 x 14.25 in","8 oz","https://www.amazon.com/dp/B07KL34529"
"Average Revenue: $11,246","","B09JB9LTWT","Outus Book Bins for Classroom Plastic Cubby Bins Toy Bins for Kids Storage and Organizer Containers with 120 Pcs Self Adhesive Label for Classroom Library School Office Home(24 Pack)","Outus","$79.99","130","3","$10,399","10/12/2021","$55.25","4.5","60","$24.74","59,011","7","FBA","3","Office Products","Oversize","7.8 x 8 x 23.6 in","9.3 lb","https://www.amazon.com/dp/B09JB9LTWT"
"Average Price: $34.35","","B09R3ZSRP6","Storex Large Book Bin, Interlocking Plastic Organizer for Home, Office and Classroom, Black, 6-Pack (70109C06C)","Storex","$21.99","891","33","$19,593","01/23/2022","$12.88","4.6","1,256","$9.11","7,528","6","AMZ","6","Office Products","Standard","5.25 x 7 x 14.25 in","3.09 lb","https://www.amazon.com/dp/B09R3ZSRP6"
"Average No. of Ratings: 914","","B0C244BLRR","Teling 12 Pieces Magazine Book Folder Bins for Classroom Durable File Binder Holders with 30 Sheets Name Labels Colorful Plastic Book Storage Bins for Home Classroom School Office Supplies","Teling","$51.99","","","$0.00","04/10/2023","$31.07","5","1","$20.92","207,747","7","FBA","1","Office Products","Oversize","12.5 x 6.75 x 18.25 in","5.44 lb","https://www.amazon.com/dp/B0C244BLRR"
"Average Sales Rank: 74,046","","B0BJ1CKSZW","Dunwell White Magazine File Holder (6 Pack) - Sturdy Cardboard Magazine Holder, Vertical File Folder Holder, Magazine Holder for Desk, Shelves, Office or Classroom Book Organizer, Paper Book Bins","Dunwell","$12.95","1,026","34","$13,287","03/19/2023","$5.22","4.4","1,845","$7.73","7,251","6","FBA","1","Office Products","Standard","3.75 x 10 x 10 in","1.28 lb","https://www.amazon.com/dp/B0BJ1CKSZW"
"Average Rating Number: 4.5","","B07K2KJFTW","Really Good Stuff-163319 Durable Magazine, Book, Folder, File and Binder Holders  Ideal for Narrow or Vertical Storage Needs Instantly Color Code Home Classroom Assorted Primary Colors(Set of 6)","Really Good Stuff","$35.99","283","10","$10,185","02/28/2017","$23.26","4.6","469","$12.73","23,113","7","AMZ","6","Office Products","Standard","12.5 x 5.37 x 13.5 in","2.08 lb","https://www.amazon.com/dp/B07K2KJFTW"
"","","B0BVZDGPFH","Outus Book Bins for Classroom Plastic Cubby Bins Toy Bins for Kids Storage and Organizer Containers with 120 Pcs Self Adhesive Label for Classroom Library School Office Home(60 Pack)","Outus","$160.99","130","3","$20,929","04/04/2023","","4.5","60","","59,011","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BVZDGPFH"
"","","B09TFVV1QB","ClearSpace X-Large Plastic Storage Bins With Lids - Perfect for Kitchen, Pantry, Fridge Organization and Storage","ClearSpace","$54.99","2,204","66","$121,198","02/24/2022","$37.01","4.6","1,641","$17.98","3,777","6","FBA","2","Kitchen & Dining","Standard","14 x 18 x 8 in","9.149 lb","https://www.amazon.com/dp/B09TFVV1QB"
