"Export time:  1/30/2024, 12:45:31 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B086NBPS73","Amazon Basics 3 Ring Paper Binder Dividers With 5 Insertable Multicolor Plastic Tabs, Pack of 6 Sets (30 Count), Wood","Amazon Basics","$8.99","4,383","155","$39,403","10/06/2020","$4.05","4.7","2,752","$4.94","1,236","7","AMZ","1","Office Products","Standard","9.449 x 11.181 x 0.551 in","0.882 lb","https://www.amazon.com/dp/B086NBPS73"
"folder dividers with tabs","","B0C1YFZHBW","HABGP 16Pcs/2 Set 8 Tab Dividers for 3 Ring Binder, 16 Pcs Clear Color 3 Ring Binder Dividers with Tabs, Page Folder Dividers, Plastic Tabbed File Dividers with Tabs, Three Ring Binder Index Dividers","habgp","$6.99","1,425","41","$9,961","04/09/2023","$2.87","4.5","103","$4.12","5,963","7","FBA","1","Office Products","Standard","8.5 x 0.1 x 11.5 in","10.5 oz","https://www.amazon.com/dp/B0C1YFZHBW"
"Average Monthly Sales: 1,801","","B07J5CGR9R","Blue Summit Supplies 3 Ring Binder Dividers with Reinforced Edge, 1/5 Cut Tabs, Letter Size, 3 Hole Punch Section Index Dividers for Binders, White, 100 Page Divider Pack","Blue Summit Supplies","$23.99","1,340","53","$32,147","10/07/2018","$14.60","4.7","849","$9.39","4,544","6","FBA","9","Office Products","Standard","9.29 x 1.46 x 11.26 in","2.68 lb","https://www.amazon.com/dp/B07J5CGR9R"
"Average Revenue: $18,556","","B07RJQH2DS","500 Pieces Tabs 2 Inch Sticky Index Tabs, Writable and Repositionable File Tabs Flags Colored Page Markers Labels for Reading Notes, Books and Classify Files, 21 Sets 10 Colors (Index Tabs)","ELII","$7.99","4,494","237","$35,907","05/05/2019","$3.87","4.7","8,193","$4.12","681","6","FBA","1","Office Products","Standard","4.49 x 0.35 x 6.85 in","2.39 oz","https://www.amazon.com/dp/B07RJQH2DS"
"Average Price: $15.13","","B0CMZ8TY3N","HABGP 16Pcs/2 Set 8 Tab Dividers for 3 Ring Binder, 16 Pcs Multicolor 3 Ring Binder Dividers with Tabs, Page Folder Dividers, Plastic Tabbed File Dividers with Tabs, Three Ring Binder Index Dividers","habgp","$7.49","1,140","38","$8,539","01/11/2024","$3.30","","","$4.19","6,403","7","FBA","1","Office Products","Standard","9.65 x 0.31 x 11.34 in","10.2 oz","https://www.amazon.com/dp/B0CMZ8TY3N"
"Average No. of Ratings: 2,234","","B08W98JDNC","Oxford Plastic Binder Dividers, 8 Tab, Insertable Multicolor Tabs, Letter Size, 6 Sets (89601)","Oxford","$9.65","4,091","125","$39,478","02/08/2021","$4.61","4.6","635","$5.04","1,638","6","AMZ","3","Office Products","Standard","0.6 x 11 x 9 in","13.4 oz","https://www.amazon.com/dp/B08W98JDNC"
"Average Sales Rank: 12,932","","B07J5C8FJD","Blue Summit Supplies 3 Ring Binder Dividers with Reinforced Edge, 1/8 Cut Tabs, Letter Size, 3 Hole Punch Section Index Dividers for Binders, White, 96 Pack","Blue Summit Supplies","$23.99","1,638","66","$39,296","10/07/2018","$16.85","4.7","922","$7.14","3,557","6","FBA","10","Office Products","Standard","10.31 x 1.22 x 11.26 in","0.32 oz","https://www.amazon.com/dp/B07J5C8FJD"
"Average Rating Number: 4.6","","B07GN87KSW","WOT I 8-Tab Plastic Dividers w/Front Pockets - 3 Sets, Multicolor Dividers with Pockets for Binders, 24PCS Tab Dividers Assorted Colors","WOT I","$14.99","991","32","$14,855","08/18/2018","$7.60","4.7","1,912","$7.39","7,771","6","FBA","1","Office Products","Standard","9.6 x 1 x 11.2 in","1.4 lb","https://www.amazon.com/dp/B07GN87KSW"
"","","B07X8QWJD2","3 Ring Page Dividers Bulk, 1/8 Cut Tab Dividers, 96 Per Box - Divider Pages with Tabs, Decorative Printable Rewritable Divider Tabs, Exhibit Tab Dividers for 3 Ring Binders Bulk - Ensight","ensight","$22.49","1,410","47","$31,711","09/02/2019","$13.18","4.8","470","$9.31","5,199","6","FBA","2","Office Products","Standard","9.409 x 11.339 x 1.339 in","2.602 lb","https://www.amazon.com/dp/B07X8QWJD2"
"","","B08WBYPVGJ","Oxford Blank Write On Binder Dividers, 1/5 Cut Tabs, 3 Hole Punch Dividers in 5 Tab Sets, 100 Dividers, 20 Sets, White (89981)","Oxford","$12.64","5,058","125","$63,933","02/08/2021","$5.60","4.6","1,347","$7.04","1,639","7","AMZ","3","Office Products","Standard","1 x 12 x 10 in","1.99 lb","https://www.amazon.com/dp/B08WBYPVGJ"
