"Export time:  1/30/2024, 12:00:28 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0822JNHFY","Airtight Food Storage Container Set - 24 Piece, Kitchen & Pantry Organization, BPA-Free, Plastic Canisters with Durable Lids Ideal for Cereal, Flour & Sugar - Labels, Marker & Spoon Set","Chef's Path","$59.98","4,970","122","$298,101","02/10/2020","$38.24","4.7","74,464","$21.74","1,727","6","FBA","10","Kitchen & Dining","Oversize","8.02 x 8.09 x 9.2 in","10.43 lb","https://www.amazon.com/dp/B0822JNHFY"
"food. storage containers","","B07S1WGYX2","32 Piece Food Storage Containers Set with Easy Snap Lids (16 Lids + 16 Containers) - Airtight Plastic Containers for Pantry & Kitchen Organization - BPA-Free with Free Labels & Marker","Chef's Path","$34.99","2,666","122","$93,283","05/20/2019","$27.09","4.5","22,924","$7.90","1,730","7","FBA","4","Kitchen & Dining","Standard","11.06 x 7.16 x 12.02 in","12 oz","https://www.amazon.com/dp/B07S1WGYX2"
"Average Monthly Sales: 5,490","","B07VGT5MS4","Chef's Path Airtight Food Storage Boxes with Labels - Kitchen Storage - Flour, Cereal, Pasta - Plastic Storage Boxes with Lids (4pcs-3.2L)","Chef's Path","$35.99","1,600","53","$57,584","07/17/2019","$22.36","4.7","18,574","$13.63","4,883","7","FBA","4","Kitchen & Dining","Standard","6.1 x 12.6 x 16.5 in","4.18 lb","https://www.amazon.com/dp/B07VGT5MS4"
"Average Revenue: $169,323","","B081J7942W","Chef's Path Extra Large Food Storage Containers with Lids Airtight (6.5L|220 Oz|2 Pack) for Flour, Sugar, Rice & Baking Supply - Airtight Kitchen & Pantry Bulk Food Storage for Kitchen Organization","Chef's Path","$30.99","2,891","117","$89,592","11/13/2019","$20.55","4.7","35,652","$10.44","1,827","6","FBA","6","Kitchen & Dining","Standard","3 x 3 x 5 in","2.76 lb","https://www.amazon.com/dp/B081J7942W"
"Average Price: $33.88","","B079M8FPTW","Rubbermaid Brilliance BPA Free Food Storage Containers with Lids, Airtight, for Lunch, Meal Prep, and Leftovers, Set of 5 (3.2 Cup)","Rubbermaid","$28.99","55,824","2,100","$1.62M","02/04/2018","$21.10","4.7","81,250","$7.89","8","7","AMZ","11","Kitchen & Dining","Standard","8.19 x 5.67 x 10.2 in","0.01 oz","https://www.amazon.com/dp/B079M8FPTW"
"Average No. of Ratings: 10,483","","B07WZPV3FQ","Rubbermaid 16-Piece Food Storage Containers with Lids and Steam Vents, Microwave and Dishwasher Safe, Red","Rubbermaid","$21.99","34,034","1,397","$748,408","09/18/2019","$9.75","4.7","104,596","$12.24","21","6","AMZ","7","Kitchen & Dining","Oversize","8.13 x 8.5 x 12.37 in","0.01 oz","https://www.amazon.com/dp/B07WZPV3FQ"
"Average Sales Rank: 23,518","","B0CB732PQW","OXO Good Grips Limited Edition 3-Piece POP Container Everyday Set - Storm Blue","OXO","$32.99","3,970","76","$130,970","07/04/2023","","4.7","4,598","","3,209","6","AMZ","7","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CB732PQW"
"Average Rating Number: 4.6","","B0C5QM81FN","Crystal Clear Airtight Food Storage Containers with Lids, Plastic Canister Set for Kitchen Organization and Storage, for Flour, Sugar, Cereal, Rice, BPA Free Plastic 8-Pack with Different Sizes White","FreshKeeper","$22.99","727","17","$16,714","05/18/2023","$-65.83","4.6","698","$88.82","16,781","6","FBA","2","Kitchen & Dining","Oversize","59 x 148 x 74 in","6.35 lb","https://www.amazon.com/dp/B0C5QM81FN"
"","","B076X2LT2C","Kitchen Spaces Compact Food Storage Containers with Lids for Freezer, Pantry, and Fridge, Clear, 2 Count","Kitchen Spaces","$12.94","331","14","$4,283","10/26/2017","$5.86","4","1,278","$7.08","19,277","6","AMZ","6","Kitchen & Dining","Standard","6.8 x 3.5 x 8.7 in","1.13 lb","https://www.amazon.com/dp/B076X2LT2C"
"","","B0BZ3YVPL8","40 PCS Food Storage Containers with Lids Airtight (20 Containers & 20 Lids), Plastic Storage Meal Prep Container-Stackable 100% Leakproof & BPA-Free Organization and Storage Sets, Lunch Containers","Pony crossing the river","$29.99","3,648","141","$109,404","06/17/2023","$18.76","4.5","897","$11.23","1,420","7","FBA","3","Kitchen & Dining","Standard","6.2 x 6.2 x 14.5 in","3.5 lb","https://www.amazon.com/dp/B0BZ3YVPL8"
