"Export time:  1/29/2024, 11:59:15 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CDYJZBNL","AVUX Food Storage Bins with Colander  A (4 Pcs) Airtight and Leak Proof Plastic Storage Saver Container Set for Fridge Organizer to Store Salad, Vegetables, Meat, Fruits and Frozen Food","","$25.97","360","12","$9,349","","","4.7","22","","22,989","","FBA","","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CDYJZBNL"
"fruit organizer for refrigerator","","B0CBTVNMF9","Taiuloo Airtight Fruit Storage Containers for Fridge with Lids & Handle, BPA-Free Food Storage Container with 4 Removable Colanders, Berry Vegetable Fresh Produce Saver, Refrigerator Organizer Bins","Taiuloo","$29.99","670","34","$20,093","07/13/2023","$18.76","4.1","32","$11.23","7,982","7","FBA","3","Kitchen & Dining","Standard","8.9 x 5.9 x 13.1 in","3 lb","https://www.amazon.com/dp/B0CBTVNMF9"
"Average Monthly Sales: 1,078","","B0C9JWFH1M","Clear Refrigerator Organizer Bins - Plastic Fridge Organizers - Storage Containers for Organizing Pantry, Cupboard, Cabinet, Freezer, Food, Fruit, Kitchen, Bathroom - Refrigerator Storage Bin set of 8","VivaSpace","$59.99","155","5","$9,298","06/26/2023","","4.7","23","","47,350","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C9JWFH1M"
"Average Revenue: $27,732","","B0CMLSBHD5","Quincry Fridge Organizer with LidsStackable Refrigerator Organizer Bins, Removable Containers for Food and StorageFor Fruit,Refrigerator Tissue,Vegetables,Food And Beverages (4 Compartments-White)","Quincry","$29.96","104","5","$3,116","11/03/2023","$18.74","3","2","$11.22","48,366","6","FBA","1","Kitchen & Dining","Standard","9.5 x 5.7 x 12.2 in","2.75 lb","https://www.amazon.com/dp/B0CMLSBHD5"
"Average Price: $28.23","","B09XB68ZB8","Pomeat 10 Pack Fridge Organizer, Stackable Refrigerator Organizer Bins with Lids, BPA-Free Produce Fruit Storage Containers for Storage Clear for Food, Drinks, Vegetable Storage","Pomeat","$22.99","4,588","232","$105,478","04/05/2022","$13.11","4.4","2,146","$9.88","679","7","FBA","7","Kitchen & Dining","Standard","8.27 x 4.13 x 12.2 in","3.52 lb","https://www.amazon.com/dp/B09XB68ZB8"
"Average No. of Ratings: 671","","B0B4F5F8GR","Taiuloo Set of 4 Fridge Organizer, Stackable Refrigerator Organizer Bins with Lids, Kitchen Pantry Organization, BPA-Free Clear Food Storage Containers for Fruit, Vegetable, Cereals, Drinks","Taiuloo","$36.99","136","5","$5,031","06/16/2022","$24.41","4.7","112","$12.58","50,425","7","FBA","2","Kitchen & Dining","Standard","8.66 x 5.28 x 15.91 in","5.48 lb","https://www.amazon.com/dp/B0B4F5F8GR"
"Average Sales Rank: 34,479","","B0CLL91C3Q","Vtopmart Fridge Organizer Bins on Wheels, Clear Roll Out Drawer Refrigerator Organizing Caddy with Dividers, Thick Plastic Storage Bins for Pantry, Kitchen, Cabinet etc","Vtopmart","$22.99","720","24","$16,553","12/20/2023","","4.7","23","","11,438","","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CLL91C3Q"
"Average Rating Number: 4.5","","B0CHYK7HFK","Livabber Countertop Fruit Basket Bowl with Banana Hanger, Modern Standing Fruit Vegetable Bowl Storage, with Banana Tree Holder for Kitchen Dinning Table (Square Wood, Black)","Livabber","$23.99","1,085","40","$26,029","09/12/2023","","4.6","151","","6,731","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CHYK7HFK"
"","","B07KJ9VF2H","mDesign Plastic Kitchen or Pantry Storage Bins with Handles - Organization in Cabinet, Fridge or Freezer - Fruit Container for Refrigerator or Food Organizer for Pasta, Ligne Collection, 2 Pack, Clear","mDesign","$19.99","466","6","$9,315","11/18/2018","$11.20","4.7","1,377","$8.79","45,971","7","FBA","1","Kitchen & Dining","Standard","8 x 3.5 x 14 in","1.01 lb","https://www.amazon.com/dp/B07KJ9VF2H"
"","","B09V9MMC6Q","ELTOW 6 Pack Snack Organizer for Pantry, 3 Compartment Plastic Pantry Organizer Bins with Removable Dividers, Chip Organizer for Pantry, Food Packets, Spices, Condiments, Fridge, Cabinet, Kitchen","ELTOW","$37.99","235","9","$8,928","03/09/2022","","4.8","251","","30,224","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B09V9MMC6Q"
"","","B0CBWT6B2G","SpaceHacks 10 Pack Refrigerator Organizer Bins Stackable with Lids, Clear Fridge Organizers and Storage, Kitchen Organizer Storage Containers for Fruit, Produce, Food, Vegetables","SpaceHacks","$21.99","2,399","135","$52,754","10/20/2023","","4.4","70","","1,510","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CBWT6B2G"
"","","B0C7TMSDP2","4-Pack Fruit Storage Containers for Fridge with Removable Colanders, 4 in 1 Produce Storage Containers with Lid for Salad Berry Lettuce Vegetables Meat Keeper","Winproper","$17.99","1,893","56","$34,055","06/12/2023","$8.71","4.4","273","$9.28","4,616","7","FBA","1","Kitchen & Dining","Standard","5.5 x 7.7 x 9.5 in","3.03 lb","https://www.amazon.com/dp/B0C7TMSDP2"
