"Export time:  2/5/2024, 2:44:21 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09KGQ1PKJ","Egg Slicer for Hard Boiled Eggs Egg Cutter Strawberry Slicer Heavy Duty Aluminium Slicer Stainless Steel Wire Multipurpose Egg Slicer Dicer for Soft Fruit Mushroom,Egg Slicer","Codoule","$9.99","4,506","167","$45,015","11/18/2021","$4.95","4.6","3,534","$5.04","1,113","6","FBA","1","Kitchen & Dining","Standard","1.37 x 5.11 x 3.14 in","0.3 lb","https://www.amazon.com/dp/B09KGQ1PKJ"
"fruit slicer","","B09YH5CPQP","Vegetable Chopper, Pro Onion Chopper, Multifunctional 13 in 1 Food Chopper, Kitchen Vegetable Slicer Dicer Cutter,Veggie Chopper With 8 Blades,Carrot and Garlic Chopper With Container","MAIPOR","$20.97","30,164","624","$632,539","04/20/2022","$12.03","4.2","15,829","$8.94","118","7","FBA","3","Kitchen & Dining","Standard","4.764 x 13.858 x 4.724 in","1.812 lb","https://www.amazon.com/dp/B09YH5CPQP"
"Average Monthly Sales: 2,812","","B0B41NL1JC","Vegetable Chopper, Pro Onion Chopper, 14 in 1Multifunctional Food Chopper, Kitchen Vegetable Slicer Dicer Cutter,Veggie Chopper With 8 Blades,Carrot Chopper With Container (Grey)","SNIFITAR","$21.98","15,233","469","$334,821","07/31/2022","$12.89","4.3","6,131","$9.09","204","7","FBA","1","Kitchen & Dining","Standard","4.76 x 13.78 x 4.69 in","1.83 lb","https://www.amazon.com/dp/B0B41NL1JC"
"Average Revenue: $60,366","","B0CSPG82BY","2PCS Watermelon Fruit Slicer Cutter Tool, Dual Head Stainless Steel Fruit Forks Slicer Knife for Family Parties Camping","Generic","$8.99","30","1","$269.70","01/17/2024","","","","","183,657","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CSPG82BY"
"Average Price: $24.43","","B0C4SWJWQF","2 Pack Cup Slicers | Egg Slicers | banana slicers | Strawberry Cutter | Quickly Making Fruit Vegetable Salad | Creative Kitchen Gadget","COKSDUPID","$9.99","9,378","294","$93,686","05/09/2023","","4.3","154","","463","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C4SWJWQF"
"Average No. of Ratings: 3,272","","B0C4KDHZ5S","3PCS Strawberry Slicer - Cup Slicer - Cup Fruit Slicer - CEHNCEH Cup Slicer Handheld - 2023 New Mini Fruit Slicer Cup - Stainless Steel Strawberry Slicer","CEHNCEH","$9.90","3,754","136","$37,165","05/07/2023","","4.2","93","","1,498","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C4KDHZ5S"
"Average Sales Rank: 71,699","","B0CNP7LS9G","3 Pack Cup Slicers, Fruit Slicer Vegetable Speed Slicer with Push Plate, Cup Egg Slicers, Banana Slicers Strawberry Cutter Quickly Making Fruit Vegetable Salad, Soft Fruits Slicer","Edgnb","$10.99","494","48","$5,429","11/19/2023","","4","5","","5,485","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CNP7LS9G"
"Average Rating Number: 4.2","","B08X27LXYC","Meat Slicer, 200W Electric Food Slicer with 2 Removable 7.5' Stainless Steel Blades and Stainless Steel Tray, Child Lock Protection, Adjustable Thickness, Food Slicer Machine for Meat Cheese Bread","Borlebbi","$118.99","1,929","87","$229,532","02/19/2021","$86.88","4.3","1,839","$32.11","2,706","7","FBA","30","Kitchen & Dining","Oversize","11.2 x 16.3 x 10.9 in","10.95 lb","https://www.amazon.com/dp/B08X27LXYC"
"","","B09BKQ5S6R","SUPMAKIN Safe Mandoline Food Slicer, Kitchen Multi Vegetables Chopper, Potato Slicer | French Fry Cutter & Veggie Dicer, Chopping Artifact for Fast Meal Prep, Salad Chopper (5 in 1 Brown)","SupMaKin","$37.99","3,301","111","$125,405","09/23/2021","$25.86","4.5","3,332","$12.13","1,981","7","FBA","2","Kitchen & Dining","Standard","6.26 x 13.74 x 6.02 in","2.07 lb","https://www.amazon.com/dp/B09BKQ5S6R"
"","","B0BJ2GCLK9","Yamteck Grapes Cherry Tomatoes Cutter Slicer Half or Quarter Cutting 16Pcs at a Time, Food Grade Material, Dishwasher Safe, Fruit Container Holder Cutter for Salad Kids Baby Toddlers' Snacks 2023 New","Yamteck","$15.99","209","7","$3,342","10/12/2022","","4.4","128","","39,498","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BJ2GCLK9"
"","","B08BCP4N99","MOSFiATA 8' Carving Knife and 7' Fork Set Brisket Slicing Knife Premium Meat Cutting Knife German High Carbon Stainless Steel EN.4116 BBQ knives for Slicing Meats, Fruits and Vegetables","MOSFiATA","$42.99","76","2","$3,267","06/16/2020","$31.40","4.7","296","$11.59","94,615","7","FBA","2","Kitchen & Dining","Standard","5.1 x 1.41 x 14.5 in","1.4 lb","https://www.amazon.com/dp/B08BCP4N99"
