"Export time:  1/29/2024, 5:16:46 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CNWG828P","vizuzi Funny Office Pen Holder, Home Office Desk Decor, Office Humor Cute Decor Gifts for HR Administrative Assistant Colleagues Employees Coworker Copywriter Humor Pencil & Pen Holders ZPE6","vizuzi","$12.99","","","","","","","","","467,290","","FBA","","Office Products","","","","https://www.amazon.com/dp/B0CNWG828P"
"funny pen holder for desk","","B0CNWFBZNV","vizuzi Funny Office Pen Holder, Home Office Desk Decor, Office Humor Cute Decor Gifts for HR Administrative Assistant Colleagues Employees Coworker Copywriter Humor Pencil & Pen Holders ZPE4","vizuzi","$12.99","","","","","","","","","467,291","","FBA","","Office Products","","","","https://www.amazon.com/dp/B0CNWFBZNV"
"Average Monthly Sales: 275","","B0CNWGHWF7","vizuzi Funny Office Pen Holder, Home Office Desk Decor, Office Humor Decor Gifts for HR Professional Administrative Assistant Human Resources Copywriter Humor Pencil & Pen Holders ZPE2","vizuzi","$12.99","","","$0.00","11/22/2023","","","","","537,363","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CNWGHWF7"
"Average Revenue: $3,908","","B0CNWHWRHJ","vizuzi Funny Office Pen Holder, Home Office Desk Decor, Office Humor Cute Decor Gifts for HR Administrative Assistant Colleagues Employees Coworker Copywriter Humor Pencil & Pen Holders ZPE7","vizuzi","$12.99","","","","","","","","","","","FBA","","","","","","https://www.amazon.com/dp/B0CNWHWRHJ"
"Average Price: $15.56","","B0CJQL7YH4","See Lion Desk Dumpster Pencil Holder - 2 compartments for office supplies - Funny Desk Office Accessories - Great Gift for Coworkers - White Elephant Gift, Everything is Fine","See Lion","$12.99","153","3","$1,987","09/23/2023","","3.6","16","","68,102","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CJQL7YH4"
"Average No. of Ratings: 408","","B0C79584KD","Squat Rack Pen Holder, 2023 New Mini Squat Rack Decorations with Weights and Barbells,Gift for Weightlifting and Fitness Enthusiasts Fans,Friends,Students","TNHINA","$14.99","180","6","$2,698","06/05/2023","","4.2","26","","40,273","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C79584KD"
"Average Sales Rank: 109,133","","B08N5XDWB1","Novelstuffs Darth Vader Pen Holder 3D Printed Office Accessories Ideal Gift for Star Wars Fans","Novelstuffs","$15.99","368","9","$5,884","11/10/2020","","4.2","526","","24,975","6","FBA","12","Office Products","","","","https://www.amazon.com/dp/B08N5XDWB1"
"Average Rating Number: 4.5","","B08PZC5DD9","JIMEI Natural Marble Pencil Pen Holder Stand for Desk, Makeup Brush Cup for Girls, Bathroom Tumbler Cup, Durable Office & Home Organizer Pencil Holder (White)","JIMEI","$21.99","259","9","$5,695","12/07/2020","$13.55","4.7","97","$8.44","27,136","6","FBA","1","Office Products","Standard","3.15 x 3.94 x 3.15 in","1.43 lb","https://www.amazon.com/dp/B08PZC5DD9"
"","","B0C8HGGF97","Zbtezna Pen Holder, Clear Acrylic Makeup Brush Holder, Pencil Holder for Desk with Sticky Notes Holder and 3 Compartments, Pencil Organizer for Pen, Art Supply, Makeup Brush(Clear)","Zbtezna","$7.99","1,422","49","$11,362","06/18/2023","","4.8","122","","4,906","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C8HGGF97"
"","","B00LGIW54Y","Comix Mesh Pen Pencil Holder with Post It Note Holders Desk Organizer, 3 Compartment Wire Desktop Pen Pencil Cup Caddy Office Supplies Accessories for Home Office School, Black","Comix","$12.99","712","25","$9,249","07/01/2014","$7.27","4.7","795","$5.72","9,795","7","FBA","1","Office Products","Standard","5.1 x 8.3 x 4.7 in","0.549 lb","https://www.amazon.com/dp/B00LGIW54Y"
