"Export time:  2/1/2024, 1:46:39 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C8SFBYYZ","Extra Large Trash Bag Dispenser Roll Holder, Acrylic Garbage Bag Dispenser with Bamboo Lid, Wall Mount Trash Bag Organizer for Kitchen Cabinet, Under Sink","ERTIUANIO","$29.89","538","12","$16,081","06/20/2023","$17.78","4.3","66","$12.11","23,267","7","FBA","2","Kitchen & Dining","Standard","7.48 x 6.3 x 10.43 in","1.35 kg","https://www.amazon.com/dp/B0C8SFBYYZ"
"garbage bag dispenser","","B0CJ2LF73D","Extra Large Trash Bag Holder, Qilinba Acrylic Garbage Bag Dispenser with Lid for Kitchen and Under Sink","Qilinba","$29.99","300","10","$8,997","09/13/2023","$18.76","4.7","12","$11.23","28,359","6","FBA","1","Kitchen & Dining","Standard","7 x 7 x 12 in","2.46 lb","https://www.amazon.com/dp/B0CJ2LF73D"
"Average Monthly Sales: 365","","B0CC5D75CR","Extra Large Trash Bag Holder with Lid, Hudgan Acrylic Garbage Bag Dispenser with Handles for Kitchen Organization, Under Sink","Hudgan","$29.99","2,462","59","$73,835","08/10/2023","$19.66","4.6","98","$10.33","2,052","6","FBA","1","Industrial & Scientific","Standard","7 x 7 x 12 in","2 lb","https://www.amazon.com/dp/B0CC5D75CR"
"Average Revenue: $10,278","","B0BKZ94N7M","Large Trash Bag Dispenser, Garbage Bag Roll Holder for Kitchen,Cabinet and So on, Bamboo Trash Bag Holder Organizer Under Sink for Big and Small Trash Bag Rolls, Wall Mounted or on Countertop","ZZYZSFUS","$32.99","135","6","$4,454","10/30/2022","","4.7","189","","41,379","7","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BKZ94N7M"
"Average Price: $27.31","","B0CCRG2FSV","Antallcky Bamboo Trash Bag Dispenser Roll Holder 13 Gallon 2 Rooms,Garbage Bag Storage Dispenser Organizer Wall Mount or Under Sink for 2 Rolls of Plastic Bags(Up to About 160 Bags)","Antallcky","$35.99","69","2","$2,483","07/24/2023","","4.7","16","","92,644","7","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CCRG2FSV"
"Average No. of Ratings: 107","","B0CJBTVL69","HAIDAIYA Trash Grocery Bag Dispenser Roll Holder, Clear Acrylic Plastic Bag Holder Wall Mount Organizer, for Plastic Trash Grocery Garbage Bags Dispenser Container, Kitchen Organizers and Storage","HAIDAIYA","$17.99","477","5","$8,581","11/05/2023","","4.4","25","","49,424","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CJBTVL69"
"Average Sales Rank: 95,491","","B0CKSJNT5P","GaShell Trash Bag Holder Dispenser for Kitchen Wall Mount, Bamboo Trash Bag Dispenser Roll Holder Under Sink, Large Garbage Bag Holder for Cabinet (Natural)","Gashell","$25.99","150","2","$3,898","01/05/2024","","4.8","11","","103,850","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CKSJNT5P"
"Average Rating Number: 4.4","","B0CJV58QWS","LEWONO Grocery Bag Holder Wall Mount Plastic Bag Dispenser Space Saving Brushed Silver Garbage Bag Holder for Cabinet, Cupboard, Pantry, Anti-Fingerprints Design","Lewono","$16.99","625","23","$10,619","12/12/2023","","4.7","19","","12,346","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CJV58QWS"
"","","B0771X1X81","Tasker 64-65 Gallon Trash Bags for Toter, (Huge 50/Bags w/Ties) 60 Gallon Trash Bags, xl Large Garbage Bags 64-65 Gallon Extra Large Leaf Bags, Commercial Trash Bags","Tasker","$39.97","1,586","50","$63,392","12/07/2017","$26.64","4.4","1,912","$13.33","16,634","6","FBA","3","Health & Household","Standard","8.8 x 4.3 x 14 in","7 lb","https://www.amazon.com/dp/B0771X1X81"
"","","B07S258NS2","Plasticplace Custom Fit Trash Bags  simplehuman (x) Code D Compatible (200 Count)  White Drawstring Garbage Liners 5.3 Gallon / 20 Liter  15.75' x 28'","Plasticplace","$34.59","1,162","39","$40,194","05/21/2019","$22.37","4.7","391","$12.22","20,320","6","AMZ","2","Health & Household","Standard","7.91 x 7.28 x 7.91 in","5.91 lb","https://www.amazon.com/dp/B07S258NS2"
