"Export time:  2/1/2024, 1:36:55 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B076QMF3JG","Harlow & Grey Erika Large Party Plates Set, 8 Ct Pack, 10.5 Elegant, Abstract Disposable Paper Plates Supplies for Birthday, Wedding, Shower, Anniversary, Engagement, Holiday, Navy Blue & Rose Gold","Harlow & Grey","$10.99","","","$0.00","10/23/2017","$6.42","4.5","202","$4.57","321,029","7","FBA","1","Kitchen & Dining","Standard","10 x 10 x 0.5 in","0.351 lb","https://www.amazon.com/dp/B076QMF3JG"
"gender reveal plates","","B0B75MHRQD","121Pc Jungle Safari Theme Baby Shower Decorations, Birthday Party Supplies For Boy & Girl -Tablecloth, Paper Plates Napkins Straws & Cups of Wild Animal Elephant Lion Giraffe Tableware Set Serves 24","REGAL DECORATIONS","$22.99","30","1","$689.70","10/27/2022","","4.9","33","","156,435","7","FBA","1","Toys & Games","","","","https://www.amazon.com/dp/B0B75MHRQD"
"Average Monthly Sales: 1,004","","B0CNQ5DLMR","Jubi Gender Reveal Paper Dinnerware Set for 30 - Plates, Napkins, Cups, Tableware - Party Decoration Pack for Gender Reveal Celebrations","Jubi","$29.99","60","2","$1,799","12/14/2023","","5","3","","110,051","7","FBA","1","Toys & Games","","","","https://www.amazon.com/dp/B0CNQ5DLMR"
"Average Revenue: $20,805","","B0CN2MC3QW","Breroa 72 Pieces Baby Gender Reveal Plates Disposable He or She Paper Plates Light Pink Light Blue Boy or Girl Gender Reveal Decor for 1st Birthday and Baby Shower Gender Reveal Party Decor 72 Guests","Breroa","$14.99","216","8","$3,238","11/09/2023","","4.6","9","","66,998","7","FBA","1","Health & Household","","","","https://www.amazon.com/dp/B0CN2MC3QW"
"Average Price: $20.05","","B0CPPLYLK3","LOOWVY Gender Reveal Decorations Gender Reveal Plates and Napkins 175PCS Gender Reveal Party Supplies Serve 25,Party Paper Plates for Baby Shower Birthday Party","LOOWVY","$26.29","","","","12/06/2023","","","","","","7","FBA","1","","","","","https://www.amazon.com/dp/B0CPPLYLK3"
"Average No. of Ratings: 378","","B0B3TCMMNX","DECORLIFE Gender Reveal Plates and Napkins Serves 24, Oh Baby Plates for Baby Reveal Party Decorations, Forks Included, Total 96 PCS","DECORLIFE","$19.99","1,020","34","$20,390","06/10/2022","","4.7","31","","8,435","6","FBA","2","Toys & Games","","","","https://www.amazon.com/dp/B0B3TCMMNX"
"Average Sales Rank: 193,269","","B0CFDHRV1B","120Pcs Team Boy Team Girl Tableware Gender Reveal Party Supplies Boy or Girl Baby Gender Reveal Plates Napkins Cups Tablecloth Paper He or She Plates Birthday Baby Shower Decorations","Pymurod","$18.99","3,900","130","$74,061","08/31/2023","","4.5","136","","5,618","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CFDHRV1B"
"Average Rating Number: 4.6","","B0BCWLK2WV","Gender Reveal Decoration- Bear Gender Reveal Tableware Set Supplies Serve for 20 Guests Include Boy or Girl Banner,Plates,Napkins Cups Forks and Knives for Baby Shower Decoration","HAKOTI","$23.99","","","","","","4.7","80","","","7","FBA","1","","","","","https://www.amazon.com/dp/B0BCWLK2WV"
"","","B09CYPJF39","Gender Reveal Decorations,Gender Reveal Party Supplies,Boy or Girl Balloons,He or She Reveal Backdrop Sign Tableware Set for Baby Shower Party Supplies","ssailue decor","$30.99","120","4","$3,719","09/28/2021","$19.01","4.5","630","$11.98","196,346","6","FBA","2","Home & Kitchen","Standard","12.756 x 13.465 x 5 in","2.057 lb","https://www.amazon.com/dp/B09CYPJF39"
"","","B0BJQCKTK6","96Pcs Twinkle Twinkle Little Star Gender Reveal Party Supplies Tableware Set little Star Baby Shower Plates Napkins Forks Dinnerware for Baby Shower Decorations Girls or Boys Theme Party , 24 Guests","Oigco","$18.99","780","26","$14,812","10/18/2022","","4.7","393","","11,236","7","FBA","1","Toys & Games","","","","https://www.amazon.com/dp/B0BJQCKTK6"
"","","B0C3V14VYZ","170 PCs Baby Boxes Gender Reveal Decorations, Hombae Boy or Girl Gender Reveal Decorations What Will Baby Be Backdrop Balloon Garland Banner Tablecloth Cake Cupcake Topper Cutout Poster Sash Pink Blue","Hombae","$34.99","","","","07/26/2021","","4.6","301","","","7","FBA","1","","","","","https://www.amazon.com/dp/B0C3V14VYZ"
"","","B0BWJNLGNF","DECORLIFE Gender Reveal Plate for 30 Guests, 9 Inch Baby Gender Reveal Party Supplies for Pink and Blue Gender Reveal Decorations","DECORLIFE","$9.99","467","15","$4,665","02/21/2023","","4.8","75","","19,846","6","FBA","1","Toys & Games","","","","https://www.amazon.com/dp/B0BWJNLGNF"
