"Export time:  2/11/2024, 3:10:42 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B084H7K9LY","Glass Food Storage Containers with Bamboo Lids (4 Pack, 36 Ounce) Eco Friendly Meal Prep Containers Airtight  Plastic Free, BPA Free","Verel","$38.97","1,773","49","$69,094","05/03/2020","$25.49","4.4","1,975","$13.48","5,364","6","FBA","3","Kitchen & Dining","Standard","9.2 x 11.7 x 7.1 in","7.851 lb","https://www.amazon.com/dp/B084H7K9LY"
"glass food containers with bamboo lids","","B089Y57S9L","Urban Green Glass Jars with Wood Lids, 6 Sets, Food Storage Containers, 3.7in Canister Diameter, Oven Safe, Reusable, BPA Free","Urban Green","$36.99","324","15","$11,985","04/29/2020","$23.81","4.3","1,118","$13.18","18,540","7","FBA","1","Kitchen & Dining","Standard","12.9 x 5.9 x 13 in","5.31 lb","https://www.amazon.com/dp/B089Y57S9L"
"Average Monthly Sales: 1,324","","B0C85561NJ","Utile Thick Glass Food Jar with Pine Wood Lid, 6 PCS of Vol.290ml/9.8oz, Sturdy Glass Airtight Canisters set for Cookie, Pasta, Coffee Beans, 4045.0101.6","Utile","$24.99","","","$0.00","06/14/2023","$15.56","4.1","13","$9.43","331,737","6","FBA","1","Kitchen & Dining","Standard","4.7 x 2.1 x 8.2 in","3.16 lb","https://www.amazon.com/dp/B0C85561NJ"
"Average Revenue: $43,768","","B09KR7WXJF","ComSaf Glass Storage Containers with Lids 37fl.oz, Glass Jars with Bamboo Lids, Clear Food Storage Jar, Glass Canister For Pantry Noodles Flour Cereal Rice Sugar Tea Coffee Beans, Square Set of 4","ComSaf","$34.99","3,561","138","$124,599","10/31/2021","$22.71","4.5","3,563","$12.28","1,461","6","FBA","7","Kitchen & Dining","Standard","9.76 x 14.8 x 5.39 in","3.92 lb","https://www.amazon.com/dp/B09KR7WXJF"
"Average Price: $32.81","","B0C4SML7SY","Vtopmart Glass Food Storage Containers with Bamboo Lids, 4 Pack Meal Prep Glass Containers Bento Lunch Box, Safe for Microwave, Oven, Freezer and Dishwasher, BPA Free","Vtopmart","$24.99","669","28","$16,718","05/09/2023","$13.91","4.2","51","$11.08","9,964","7","FBA","2","Kitchen & Dining","Standard","5.8 x 2.6 x 7.8 in","6.27 lb","https://www.amazon.com/dp/B0C4SML7SY"
"Average No. of Ratings: 1,257","","B0C45JPGL2","Urban Green Glass Container with Bamboo Lid, 2 Pack of 50oz, Large Glass food storage Container with Lids, Glass Meal Prep Containers Set, Glass Containers set of 2, Glass Food Containers","Urban Green","$27.99","240","7","$6,718","04/25/2022","$16.76","3.8","428","$11.23","37,181","7","FBA","2","Kitchen & Dining","Standard","7 x 6 x 9 in","5.3 lb","https://www.amazon.com/dp/B0C45JPGL2"
"Average Sales Rank: 55,679","","B0CGNTQNQK","FS TRENDS 16PCs Glass Baby Food Storage Containers 4 Oz Baby Food Storage Jars with Airtight Lids 6 Assorted Colors, Leak Proof, Reusable Small Containers, Freezer Storage & Microwave Safe","FS TRENDS","$21.99","30","1","$659.70","08/25/2023","","4.7","12","","41,671","7","FBA","1","Baby","Oversize","14.25 x 3.82 x 14.25 in","6.98 lb","https://www.amazon.com/dp/B0CGNTQNQK"
"Average Rating Number: 4.5","","B0CNGMKKM2","ComSaf 61oz Glass Storage Containers with Lids, Glass Jars with Bamboo Lids, Clear Food Storage Jar, Square Glass Canister Set of 3, Pantry Organizers and Storage for Flour Rice Pasta Tea Coffee Bean","ComSaf","$29.99","579","24","$17,364","12/29/2023","$18.46","4.4","13","$11.53","11,646","7","FBA","1","Kitchen & Dining","Standard","10.91 x 5.08 x 14.25 in","4.03 lb","https://www.amazon.com/dp/B0CNGMKKM2"
"","","B0CKVRKN4B","VERONES 5 Pack Glass Meal Prep Containers 3 Compartment Set, 36OZ Airtight Glass Lunch Containers, Glass Food Storage Containers with Lids, for Microwave, Oven, Freezer & Dishwasher Friendly,Grey","VERONES","$29.99","540","18","$16,195","12/10/2023","","4.7","84","","15,417","","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CKVRKN4B"
"","","B07HRRV96C","M MCIRCO 10-Pack, 22 Oz Glass Food Storage Containers with Lids, BPA Free, Microwave, Oven, Freezer and Dishwasher Safe, Gray","M MCIRCO","$39.99","4,767","126","$190,632","09/27/2018","$28.85","4.7","5,910","$11.14","1,670","6","FBA","4","Kitchen & Dining","Standard","4.5 x 2.2 x 6.2 in","1.38 lb","https://www.amazon.com/dp/B07HRRV96C"
