"Export time:  2/11/2024, 3:11:07 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B073ZP5Z2X","Amazon Basics Glass Locking Lids Food Storage Containers, 14-Piece Set, 7 Count of Bases and 7 Plastic Lids, Clear, Blue","Amazon Basics","$29.02","3,152","135","$91,471","11/09/2018","","4.5","36,563","","1,518","7","AMZ","8","Kitchen & Dining","","","","https://www.amazon.com/dp/B073ZP5Z2X"
"glass food containers","","B0C3GZKGRF","VERONES 10 Pack Glass Meal Prep Containers, Airtight Glass Lunch Containers, Stackable Glass Food Storage Containers Set with Lids,BPA-Free, for Microwave, Oven, Freezer & Dishwasher Friendly,Grey","VERONES","$29.99","2,406","38","$72,156","04/24/2023","$18.46","4.7","344","$11.53","7,076","7","FBA","2","Kitchen & Dining","Standard","6.5 x 3 x 8 in","5.42 lb","https://www.amazon.com/dp/B0C3GZKGRF"
"Average Monthly Sales: 5,221","","B07N2BPQC3","M MCIRCO [5-Pack, 36 oz] Glass Meal Prep Containers 3 Compartment with Lids, Glass Lunch Containers,Food Prep Lunch Box,Bento Box,Microwave, Oven, Freezer, Dishwasher (4.5 Cups)","M MCIRCO","$29.99","3,756","182","$112,642","01/21/2019","$16.96","4.7","7,983","$13.03","986","6","FBA","1","Kitchen & Dining","Standard","9.2 x 16.4 x 8 in","10.549 lb","https://www.amazon.com/dp/B07N2BPQC3"
"Average Revenue: $174,473","","B07HRRV96C","M MCIRCO 10-Pack, 22 Oz Glass Food Storage Containers with Lids, BPA Free, Microwave, Oven, Freezer and Dishwasher Safe, Gray","M MCIRCO","$39.99","4,767","126","$190,632","09/27/2018","$28.85","4.7","5,910","$11.14","1,670","6","FBA","4","Kitchen & Dining","Standard","4.5 x 2.2 x 6.2 in","1.38 lb","https://www.amazon.com/dp/B07HRRV96C"
"Average Price: $32.86","","B09N4ZKCH6","JoyJolt JoyFul 24pc(12 Airtight, Freezer Safe Food Storage Containers and 12 Lids), Pantry Kitchen Storage Containers, Glass Meal Prep Container for Lunch, Glass Storage Containers with Lids","JoyJolt","$38.95","39,799","937","$1.55M","12/05/2021","$28.59","4.6","9,742","$10.36","51","7","FBA","1","Kitchen & Dining","Standard","11.89 x 7.64 x 16.26 in","13.5 oz","https://www.amazon.com/dp/B09N4ZKCH6"
"Average No. of Ratings: 8,359","","B09QQGY1BW","KOMUEE 24 Pieces Glass Food Storage Containers Set,Glass Meal Prep Containers-Stackable Airtight Glass Storage Containers with lids,BPA Free,Freezer to Oven Safe,Gray","KOMUEE","$29.97","4,769","216","$142,927","01/18/2022","$16.94","4.6","2,454","$13.03","758","7","FBA","1","Kitchen & Dining","Standard","9.33 x 7.83 x 14.5 in","10.98 lb","https://www.amazon.com/dp/B09QQGY1BW"
"Average Sales Rank: 7,313","","B0B9S5HZ26","Vtopmart 8 Pack Glass Food Storage Containers , Meal Prep , Airtight Bento Boxes with Leak Proof Locking Lids, for Microwave, Oven, Freezer and Dishwasher, BPA Free","Vtopmart","$22.94","13,651","796","$313,154","08/15/2022","$14.98","4.6","2,544","$7.96","72","6","FBA","1","Kitchen & Dining","Standard","6.06 x 2.75 x 8.14 in","12.5 oz","https://www.amazon.com/dp/B0B9S5HZ26"
"Average Rating Number: 4.6","","B0BL98DLWQ","Vtopmart 15 Pack Glass Food Storage Containers, Meal Prep Containers, Airtight Glass Bento Boxes with Leak Proof Locking Lids, for Microwave, Oven, Freezer and Dishwasher","Vtopmart","$38.98","2,754","65","$107,351","11/02/2022","$23.70","4.7","1,138","$15.28","3,886","7","FBA","5","Kitchen & Dining","Standard","13.27 x 6.34 x 14.84 in","13.69 lb","https://www.amazon.com/dp/B0BL98DLWQ"
"","","B0C4LHZ4SV","Vtopmart 5 Pack 22oz Glass Food Storage Containers with Lids, Meal Prep Containers, Airtight Lunch Containers Bento Boxes with Snap Locking Lids for Microwave, Oven, Freezer and Dishwasher","Vtopmart","$24.98","1,106","49","$27,628","05/07/2023","$14.20","4.8","113","$10.78","5,413","7","FBA","1","Kitchen & Dining","Standard","5.59 x 2.44 x 7.4 in","5.54 lb","https://www.amazon.com/dp/B0C4LHZ4SV"
"","","B0C4LMZLJC","Vtopmart 18Pack Glass Food Storage Containers with Lids, Meal Prep Containers, Airtight Lunch Containers Bento Boxes with Leak Proof Locking Lids for Microwave, Oven, Freezer, Dishwasher","Vtopmart","$42.99","1,618","41","$69,558","05/07/2023","$26.51","4.6","227","$16.48","6,493","7","FBA","4","Kitchen & Dining","Standard","6.06 x 2.75 x 8.14 in","15.64 lb","https://www.amazon.com/dp/B0C4LMZLJC"
