"Export time:  2/5/2024, 5:19:38 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CD8YG1TB","Skywin Laundry Pod Container Jar with Lid - Tall Laundry Pod Storage Container for Laundry Room Organization Laundry & Dishwasher Pod Laundry Container (Clear)","Skywin","$10.99","257","7","$2,824","10/31/2023","$4.82","4.8","29","$6.17","119,037","7","FBA","1","Home & Kitchen","Standard","4.92 x 7.87 x 4.92 in","15.2 oz","https://www.amazon.com/dp/B0CD8YG1TB"
"glass laundry detergent dispenser","","B0C57T4CHD","S&L Home Liquid Laundry Detergent Dispenser - 64 Oz Plastic Laundry Detergent Container, Fabric Softener Dispenser & Bleach Dispenser for Laundry Room","S&L Home","$23.99","228","6","$5,470","05/17/2023","$13.66","4.4","38","$10.33","83,344","7","FBA","1","Health & Household","Standard","4.5 x 10.3 x 13 in","1.31 lb","https://www.amazon.com/dp/B0C57T4CHD"
"Average Monthly Sales: 484","","B0C869CMKD","KIVY Glass Laundry Detergent Dispenser + Labels [Set of 2] Glass jars for Laundry Room Organization and Storage Decor - Laundry soap dispenser for liquid detergent dispenser - Scent booster container","KIVY","$29.90","562","24","$16,804","07/24/2023","","3.9","92","","29,600","6","FBA","2","Health & Household","","","","https://www.amazon.com/dp/B0C869CMKD"
"Average Revenue: $12,458","","B0CBBH9V1W","Arjust Glass Liquid Laundry Detergent Dispenser - Laundry Detergent Dispenser for Soap Bleach Softener - 2 Half Gallon Laundry Detergent Bottles - Includes Labels Funnel Cup Chalkboard and eBook","Arjust","$46.75","277","10","$12,950","07/06/2023","$36.20","4.4","149","$10.55","58,971","7","FBA","1","Health & Household","Standard","14.96 x 13.78 x 7.87 in","0.33 oz","https://www.amazon.com/dp/B0CBBH9V1W"
"Average Price: $31.67","","B0BLYDF78X","2 Pack Large Glass Laundry Detergent Dispenser 64 oz, Half Gallon Glass Jugs with Airtight Lids for Brewing, Fermenting, Gallon Glass Pump Dispenser Bottle for Softener","Sovietiep","$34.90","232","11","$8,097","11/09/2022","","4.5","37","","54,651","7","FBA","1","Health & Household","","","","https://www.amazon.com/dp/B0BLYDF78X"
"Average No. of Ratings: 610","","B0CJF9F9Q8","GADFISH Liquid Laundry Detergent Dispenser, Three 2.2L Laundry Detergent Dispenser Glass Jar for Liquid Detergent, Bleach, Fabric Softener- Laundry Soap Dispenser for Laundry Room Organization","GADFISH","$49.99","203","12","$10,148","09/19/2023","$34.26","4.4","35","$15.73","51,284","7","FBA","1","Health & Household","Standard","13.54 x 6.14 x 15.98 in","6.72 lb","https://www.amazon.com/dp/B0CJF9F9Q8"
"Average Sales Rank: 84,276","","B0BNBLCJYS","GMISUN Laundry Detergent Dispenser, Glass Liquid Laundry Soap Detergent Dispenser for Laundry Room Organization, Detergent Bleach Softener Dispenser for Laundry Room Decor, 3 Pack 64oz","GM GMISUN","$34.99","394","15","$13,786","07/19/2023","$23.31","4.6","98","$11.68","43,465","7","FBA","1","Health & Household","Standard","3.15 x 3.15 x 1.97 in","4 lb","https://www.amazon.com/dp/B0BNBLCJYS"
"Average Rating Number: 4.3","","B0BW3R6134","2 Pcs Glass Laundry Detergent Dispenser, Half Gallon Liquid Laundry Soap Dispenser for Laundry Room (64 oz. Each), Laundry Detergent Bottles with Pump Dispenser -Includes Labels, Funnel, Measuring Cup","TTDMK","$39.98","555","15","$22,189","02/16/2023","$26.05","4.6","63","$13.93","42,547","7","FBA","1","Health & Household","Standard","12.48 x 6.89 x 13.46 in","6.19 lb","https://www.amazon.com/dp/B0BW3R6134"
"","","B0B2WTTCXB","Laundry Detergent Dispenser - Fabric Softener Liquid Dispenser for Laundry Room - 64oz Plastic Soap Dispenser, Waterproof Labels, Collapsible Funnel, Extra Labels, Measuring Cup&Bamboo Tray - Set of 2","HappyHome","$28.95","1,054","25","$30,513","08/31/2022","$17.88","4.7","508","$11.07","29,113","7","FBA","1","Health & Household","Standard","9.65 x 5.87 x 12.05 in","1.83 lb","https://www.amazon.com/dp/B0B2WTTCXB"
"","","B0CL3WKTYM","Laundry Detergent Dispenser Set with Bamboo Lids, Shelf Stand, Spouts,8 Waterproof Labels,2 Glass Cups for Liquid Detergent - 2 Pack 120 oz Glass Containers for Laundry Room Organization and Decor","KitHero","$49.99","486","13","$24,295","10/30/2023","$34.86","1","1","$15.13","69,909","7","FBA","1","Home & Kitchen","Standard","2.75 x 8.26 x 12.99 in","7.09 lb","https://www.amazon.com/dp/B0CL3WKTYM"
