"Export time:  2/1/2024, 1:33:05 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C9Y2HYDP","Dolymoly Gutter Cleaning Brush, 8.5Ft Gutter Cleaning Tools from Ground Gutter Cleaning Pole, Roofing Tool Rain Gutter Guard Cleaner Tool, Easy Remove Leaves and Debris from The Ground","Dolymoly","$25.99","153","5","$3,976","07/01/2023","$-14.67","3.6","71","$40.66","72,907","6","FBA","1","Tools & Home Improvement","Oversize","5.89 x 7 x 105 in","1.8 lb","https://www.amazon.com/dp/B0C9Y2HYDP"
"gutter cleaning tools","","B0CJJSYHJQ","Upgrade Pressure Washer Extension Wand,Balabulala Power Washer Lance with 7 Spray Nozzle Tips, Gutter Cleaner Attachment Curved Rod,1/4' Quick Connect,Anti-Leaked Ring Replacement","Balabulala","$30.99","38","3","$1,178","09/20/2023","$19.61","4.8","14","$11.38","69,460","7","FBA","1","Patio, Lawn & Garden","Standard","4.41 x 3.43 x 16.77 in","3.74 lb","https://www.amazon.com/dp/B0CJJSYHJQ"
"Average Monthly Sales: 314","","B0CHRFJGHB","Layhit Gutter Cleaning Brush Extendable Guard Cleaner Tool with 6 Pcs Aluminum Extension Pole Long Splicing Gutter Cleaning Tools from the Ground for Easy Removing Leaves and Debris Cleaner (Green)","Layhit","$19.99","194","7","$3,878","09/10/2023","$11.85","3.7","33","$8.14","53,747","7","FBA","1","Tools & Home Improvement","Standard","4.41 x 3.94 x 13.86 in","1.19 lb","https://www.amazon.com/dp/B0CHRFJGHB"
"Average Revenue: $8,562","","B0CCLBC1HH","ZXJHGXS Gutter Sense Gutter Cleaning ToolGutter CleaningTools From The GroundGutter Cleaning Rake, Gutter Cleaning Spoon,Roof Gutter Cleaning, Shovel Leaves Cleaning Tool","ZXJHGXS","$15.99","90","3","$1,439","07/21/2023","","3.8","11","","105,503","7","FBA","1","Tools & Home Improvement","","","","https://www.amazon.com/dp/B0CCLBC1HH"
"Average Price: $30.48","","B00CLOG5MK","Orbit 58543 Telescoping Gutter Cleaning Wand, Silver","Orbit","$38.43","1,465","42","$56,300","04/15/2013","$22.97","4","7,880","$15.46","4,226","4","AMZ","8","Patio, Lawn & Garden","Oversize","5 x 40.25 x 1.63 in","1.3 lb","https://www.amazon.com/dp/B00CLOG5MK"
"Average No. of Ratings: 526","","B0B37W4PDB","MCCAULEY Gutter Cleaner PRO, Gutter Cleaning from The Ground, Plus Clean from roof and Ladder, and Clean Off Gutter Guards from The Ground.","MCCAULEY","$19.99","606","24","$12,114","06/23/2022","$13.22","3.7","562","$6.77","14,768","7","FBA","1","Tools & Home Improvement","Standard","4.92 x 12.01 x 2.76 in","0.421 lb","https://www.amazon.com/dp/B0B37W4PDB"
"Average Sales Rank: 124,201","","B0CPXV4VCK","LrqzHsyl Gutter Cleaning Tools,10.1 feet Long Gutter Cleaning Tools from The Ground Gutter Cleaner Ability to Easily Clear roof Leaves and Debris8 Stainless Steel Tubes and 2 Black Brush Heads","LrqzHsyl","$16.99","150","5","$2,548","01/11/2024","","3","1","","70,503","7","FBA","1","Tools & Home Improvement","Standard","5.7 x 16.7 x 5.7 in","2 lb","https://www.amazon.com/dp/B0CPXV4VCK"
"Average Rating Number: 4.0","","B0CN4L52J8","Gutter Cleaning Tools Roofing Tool Guard Cleaner Tool with Telescopic Extendable Telescopic Pole 8.2ft, Easy Remove Leaves and Debris from The Ground (Blue)","Phaniteces","$15.99","30","1","$479.70","12/27/2023","","2.4","15","","252,562","","FBA","1","Tools & Home Improvement","","","","https://www.amazon.com/dp/B0CN4L52J8"
"","","B0CN4M8DGY","Gutter Cleaning Brush Roofing Tool with Telescopic Extendable Telescopic Pole 8.2ft Guard Cleaner Tool Easy Remove Leaves and Debris from The Groun - Gray","SCHAI","$19.99","180","6","$3,598","12/27/2023","","5","1","","60,046","","FBA","1","Tools & Home Improvement","","","","https://www.amazon.com/dp/B0CN4M8DGY"
"","","B0CHRPCXCR","Gutter Cleaning Brush Roofing Tool Guard Cleaner Tool with Telescopic Extendable Telescopic Pole, Easy Remove Leaves and Debris from The Ground","Phaniteces","$27.99","150","4","$4,199","06/09/2023","$18.65","3.7","16","$9.34","86,021","6","FBA","4","Tools & Home Improvement","Standard","0.1 x 0.1 x 0.1 in","1.5 lb","https://www.amazon.com/dp/B0CHRPCXCR"
"","","B0B4PBKWXG","Artificial Grass Sweeper/Yard Electric Power Brush Brush & Collect","Forever Green Lawns LimitedArtificial Grass Maintenance","$199.95","130","4","$25,994","06/20/2022","","3","70","","50,917","5","FBA","2","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0B4PBKWXG"
"","","B0CPSQB5Z7","Gutter Cleaning Tools Gutter Brush Kit with Mini Inspection Mirror Roof Inspection and Debris Removal Gutter Cleaning Tools from The Ground","TIANAO","$26.99","","","$0.00","12/07/2023","$16.21","","","$10.78","457,717","6","FBA","1","Tools & Home Improvement","Standard","6 x 6 x 16 in","1.8 lb","https://www.amazon.com/dp/B0CPSQB5Z7"
"","","B0CNR8KRBC","Animgrth 2024 Upgraded Jet Nozzle Power Washer for Garden Hose, Includes 2 High-Pressure Nozzles and Quick Connectors | Hydro Jet High Pressure Washer Tools","Animgrth","$27.98","990","33","$27,700","01/01/2024","","5","21","","5,686","","FBA","1","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0CNR8KRBC"
"","","B0CP9N9JCV","Buyplus Gutter Cleaning Tools from The Ground, Rain Gutter Cleaner Hose Attachment with Extension Poles Up to 8FT, Bendable Gutter Wand | 5 Spray Patterns, Perfect for Garden Hose","Buyplus","$39.99","360","12","$14,396","11/30/2023","$28.20","5","13","$11.79","17,258","6","FBA","1","Patio, Lawn & Garden","Standard","4 x 4 x 17 in","2.7 lb","https://www.amazon.com/dp/B0CP9N9JCV"
"","","B08JLYDDLX","Home Gutter Tool Gutter Cleaning Spoon and Scoop, Threaded Design Roof Gutters Cleaning Tool for Garden, Ditch, Villas, Townhouses","KKOBHO","$17.99","383","13","$6,890","09/20/2020","$11.67","4.4","688","$6.32","28,176","6","FBA","1","Tools & Home Improvement","Standard","7.36 x 3.74 x 17.09 in","9.9 oz","https://www.amazon.com/dp/B08JLYDDLX"
"","","B0CQ8GFNGK","Sealegend 10FT Gutter Cleaning Tools Pressure Washer Extension Wand with 6 Spray Nozzle Tips, 3 Gutter Cleaner Attachment Curved Rod, 1/4' Quick Connect, 4000 PSI, Power Washer Accessories","Sealegend","$29.99","450","15","$13,496","12/16/2023","","4","4","","13,105","6","FBA","1","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0CQ8GFNGK"
"","","B00L3WPBJ4","Amerimax Home Products 8300 Getter Gutter Scoop, Red","Amerimax Home Products","$3.38","3,581","131","$12,104","06/18/2014","$-0.67","4.3","4,092","$4.05","1,983","5","AMZ","3","Tools & Home Improvement","Standard","3.13 x 4 x 16.5 in","2.88 oz","https://www.amazon.com/dp/B00L3WPBJ4"
"","","B0CP37DZKM","Gutter Cleaning Tools, Gutter Cleaner with Extendable Telescopic Pole, Gutter Cleaning Tools from The Ground, Threaded Design Rain Gutter Cleaning Tool","InnoLuxe","$22.95","60","2","$1,377","11/27/2023","$13.62","","","$9.33","129,264","7","FBA","1","Tools & Home Improvement","Standard","2 x 1 x 1 in","1.46 lb","https://www.amazon.com/dp/B0CP37DZKM"
"","","B0CFWTXHRW","Window Squeegee for Window Cleaning, 58'' Squeegee Window Cleaner Tool 2 in 1 Car Window Cleaning Tool with Extension Pole Telescopic Window Washing Equipment, Shower Squeegee for Shower Glass Door","Bunliuys","$9.99","60","2","$599.40","09/22/2023","","4.1","14","","175,664","7","FBA","1","Health & Household","","","","https://www.amazon.com/dp/B0CFWTXHRW"
"","","B0CPSHTJG9","9 Pcs Plastic Blade Scraper Multi Purpose Scraper Non Scratch Tint Tool Easy to Clean Crevices and Tight Spaces, Suitable for Window Glass Floor Sticker Removal Label Decal Paint Cleaning (Orange)","","$9.99","120","4","$1,199","","","4.5","220","","35,811","","FBA","","Industrial & Scientific","","","","https://www.amazon.com/dp/B0CPSHTJG9"
"","","B0C4W1NK23","EZ Smart Mini Rake, Great for Removing Leaves and Branches from Roofs, gutters and Other Out-of-Reach Areas Where Debris accumulates.","EZ SMART","$24.98","467","16","$11,666","06/08/2023","","3.6","52","","11,998","6","FBA","1","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0C4W1NK23"
"","","B0CQC88HDX","Gutter Cleaning Tools, Roof Gutter Cleaner with Extendable Telescopic Pole, Detachable Roofing Cleaning Scraper Tool for Cleaning Leaves and Debris from The Ground, Garden, Ditch, Villas, Townhouses","ChangTa","$26.89","90","3","$2,420","01/10/2024","$17.87","","","$9.02","113,859","7","FBA","1","Tools & Home Improvement","Standard","0.99 x 1 x 1 in","1.46 lb","https://www.amazon.com/dp/B0CQC88HDX"
"","","B0CPHNSKXH","Karveden Gutter Cleaning Tools from The Ground, Gutter Cleaner with 5 Extension Wand Max 8FT, 3/4' Garden Hose Shut Off Valve, Bendable Flexible Gutter Wand, Gutter Cleaner Tool for Garden Hose","Karveden","$35.99","120","5","$4,319","05/18/2023","","4.9","30","","39,035","7","FBA","2","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0CPHNSKXH"
