"Export time:  1/29/2024, 6:00:39 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B00V5DG6IQ","AmazonBasics Hanging Organizer File Folders - Letter Size, Green, 25-Pack","Amazon Basics","$30.40","414","14","$12,586","07/17/2015","$19.22","4.7","40,294","$11.18","965","6","AMZ","30","Office Products","Standard","24.892 x 33.198 x 8.788 cm","1.27 kg","https://www.amazon.ca/dp/B00V5DG6IQ"
"hanging file folder organizer","","B07M71BGQ4","SimpleHouseware Hanging File Folder Organizer, Black","SIMPLE HOUSEWARE","$25.87","536","16","$13,866","06/19/2019","$15.12","4.5","6,862","$10.75","813","4","FBA","3","Office Products","Standard","33.1 x 39.2 x 4.6 cm","1.225 kg","https://www.amazon.ca/dp/B07M71BGQ4"
"Average Monthly Sales: 254","","B0CG7ZB88S","JUNDUN Accordion File Organizer -Fireproof Document Organizer with Zipper & Labels - 13 Pocket Expanding File Folder with Multi-Pockets Folder Organizer for Letter A4 Files | Receipt and More","JUNDUN","$28.99","780","26","$22,612","08/21/2023","","4.5","79","","379","7","FBA","1","Office Products","","","","https://www.amazon.ca/dp/B0CG7ZB88S"
"Average Revenue: $7,111","","B07D5MKDQP","SimpleHouseware Desk Organizer 3 Tray w/Sliding Drawer and Hanging File Holder, Black","SIMPLE HOUSEWARE","$36.87","214","6","$7,890","08/28/2018","$18.64","4.5","7,257","$18.23","2,507","5","FBA","3","Office Products","Oversize","26.19 x 29.23 x 33.03 cm","453.59 g","https://www.amazon.ca/dp/B07D5MKDQP"
"Average Price: $28.44","","B079LZKMF6","Officemate Plastic Hanging File Folder Frame, 18 Inch, Letter and Legal Size. 1 Set (91961), Assorted Colors","Officemate","$18.76","460","17","$8,630","02/21/2018","$8.59","4.4","4,713","$10.17","770","6","AMZ","5","Office Products","Standard","26.67 x 44.45 x 5.08 cm","0.683 kg","https://www.amazon.ca/dp/B079LZKMF6"
"Average No. of Ratings: 3,468","","B00V5DGA14","Amazon Basics Hanging Organizer File Folders - Letter Size, Assorted Colors, 25-Pack","Amazon Basics","$31.25","1,217","45","$38,031","07/17/2015","$20.00","4.7","36,834","$11.25","134","6","AMZ","30","Office Products","Standard","24.689 x 33.706 x 8.89 cm","1.261 kg","https://www.amazon.ca/dp/B00V5DGA14"
"Average Sales Rank: 7,056","","B0856WR8TX","Mind Reader Vertical File Storage, Desktop Organizer, Hanging Files, Office, Metal Mesh, 31.4L x 14W x 25H cm, Silver","Mind Reader","$13.99","300","10","$4,197","03/06/2020","$1.34","4.5","197","$12.65","1,467","7","AMZ","3","Office Products","Standard","25.8 x 33 x 15 cm","0.756 kg","https://www.amazon.ca/dp/B0856WR8TX"
"Average Rating Number: 4.5","","B09H2LM6GS","File Box Fireproof Box with Lock,TOPGOOSE File Storage Organizer Anti-Static Box,Collapsible Fireproof Document Box Filing Box with Handle,Portable Home Office Safe Box for Hanging Letter/Legal Folder","TOPGOOSE","$59.98","60","2","$3,599","09/23/2021","","4.5","271","","6,935","7","FBA","4","Office Products","","","","https://www.amazon.ca/dp/B09H2LM6GS"
"","","B0B5STNV6J","DocSafe File Box with Lock, Multi-Layer Fireproof Document Box with Wheels,Collapsible Rolling File Storage Organizer Box with Pockets,Large Portable Home Office Filing Cabinet for Hanging Folders","DocSafe","$71.09","100","2","$7,109","10/09/2022","$45.79","4.3","649","$25.30","7,702","8","FBA","3","Office Products","Oversize","35.05 x 30.99 x 40.64 cm","907.18 g","https://www.amazon.ca/dp/B0B5STNV6J"
"","","B08D6JLTXJ","File Box with Lock,ENGPOW Fireproof Box File Storage Organizer Anti-Static Box,Collapsible Fireproof Document Box Filing Box with Handle,Portable Home Office Safe Box for Hanging Letter/Legal Folder","ENGPOW","$39.21","270","9","$10,587","07/16/2020","$25.40","4.5","3,217","$13.81","1,770","7","FBA","8","Office Products","Standard","34.011 x 42.596 x 5.309 cm","1.261 kg","https://www.amazon.ca/dp/B08D6JLTXJ"
"","","B0B3JSCMTS","File Box with Wheels,ENGPOW Fireproof Document Box with Lock,Collapsible Rolling File Storage Organizer Box Filing Cabinet with Zipper Lid,Portable Home Office Safe for Hanging Letter/Legal Folder","","$51.99","180","6","$9,358","","","4.4","178","","2,944","","FBA","","Office Products","","","","https://www.amazon.ca/dp/B0B3JSCMTS"
"","","B086QH9MV7","Amazon Basics Hanging File Folders, Letter Size, Standard Green,1/5-Cut Tabs, 50 per box","Amazon Basics","$30.13","1,470","49","$44,291","04/01/2020","$18.06","4.6","3,539","$12.07","112","6","AMZ","1","Office Products","Standard","25.7 x 33.9 x 14.8 cm","2.728 kg","https://www.amazon.ca/dp/B086QH9MV7"
"","","B0BP1CSKZP","Y YOMA 12 Pack Colored Hanging File Folders Letter Size Decorative Hanging Folder Cute Pretty File Folder for Filing Cabinet Office Home with 1/5-Cut Adjustable Tabs, 4 Selected Morandi Color","Y YOMA","$20.99","540","18","$11,335","12/28/2022","","4.7","225","","706","6","FBA","1","Office Products","","","","https://www.amazon.ca/dp/B0BP1CSKZP"
"","","B0C2H2THFH","Y YOMA 25 Pack Colored Hanging File Folders Legal Size Decorative Hanging Folder Cute Pretty File Folder for Filing Cabinet Office Home with 1/5-Cut Adjustable Tabs, Morandi Assorted Color","Y YOMA","$31.99","325","14","$10,397","05/24/2023","","4.4","62","","1,015","6","FBA","2","Office Products","","","","https://www.amazon.ca/dp/B0C2H2THFH"
"","","B01M98NK5Y","Organization Pocket Chart, Wall Hanging File Organizer Folder with 10 Large Pockets for Office, Home, School, Studio, etc. 14 X 47 inch, Black, 3 Hangers and 4 Hooks","Vantasii","$19.99","240","8","$4,798","11/03/2016","$10.62","4.5","3,066","$9.37","1,888","7","FBA","13","Office Products","Standard","30.607 x 35.712 x 1.803 cm","0.422 kg","https://www.amazon.ca/dp/B01M98NK5Y"
"","","B0C69BL5TJ","DYWMM Portable File Organizer Box with Lid,Collapsible Linen Hanging Filing Storage Boxes,Decorative Home/Office Filing System Box for File and Folders Storage (Beige)","DYWMM","$39.99","30","1","$1,200","05/24/2023","","5","2","","15,191","6","FBA","1","Office Products","","","","https://www.amazon.ca/dp/B0C69BL5TJ"
"","","B076J5WTKC","Eamay Hanging File Folder Organizer Wall Mounted - 10 Pockets Wall File Folders, Office Supplies File Document Organizer Holder Pocket Chart for Offices, Classroom or Home Use","EAMAY","$22.99","15","","$344.85","10/25/2017","$13.87","4.5","811","$9.12","28,720","7","FBA","4","Office Products","Standard","12 x 0.5 x 14 in","0.75 lb","https://www.amazon.ca/dp/B076J5WTKC"
"","","B08KR365HP","Reliatronic Hanging File Folder Organizer, Mesh Metal File Organizer Box Office Filing Crate Folder Holder Storage Box, Letter Size, Black","Reliatronic","$29.48","60","3","$1,769","12/17/2020","$11.61","4.4","376","$17.87","4,764","7","FBA","1","Office Products","Oversize","25.4 x 29.97 x 34.8 cm","1.2 kg","https://www.amazon.ca/dp/B08KR365HP"
"","","B002CVEL7S","Fellowes Desktopper Letter Size, Black (00534)","Fellowes","$23.15","30","1","$694.50","06/11/2009","$11.75","4.6","197","$11.40","10,411","3","AMZ","9","Office Products","Standard","27.4 x 32.2 x 13.8 cm","0.7 kg","https://www.amazon.ca/dp/B002CVEL7S"
"","","B0BX582ZP2","Y YOMA 6 Pack Extra Capacity Hanging File Folders Letter Size Accordion Decorative Reinforced File Folder Cute Colored Expandable Folder for Office Home with 1/5-Cut Adjustable Tabs, Mocha Color","Y YOMA","$23.99","330","11","$7,917","06/04/2023","","4.2","373","","1,367","","FBA","1","Office Products","","","","https://www.amazon.ca/dp/B0BX582ZP2"
"","","B01DMDYW5U","U Brands Hanging File Desk Organizer, Wire Metal, Copper/Rose Gold - 854U02-06","U Brands","$29.25","101","5","$2,954","04/10/2016","$15.70","4.5","14,782","$13.55","3,383","5","FBA","6","Office Products","Standard","27.711 x 36.093 x 17.399 cm","0.599 kg","https://www.amazon.ca/dp/B01DMDYW5U"
"","","B0BNKLMMST","MerryNine Hanging File Folders, 15PCS Letter Size Suspension Files, Polypropylene Filing Cabinet Suspension Files with Tabs and Card Inserts for School Home Work Office Organization (Murky Black)","MerryNine","$27.99","290","9","$8,117","04/13/2023","","4.2","210","","1,797","6","FBA","3","Office Products","","","","https://www.amazon.ca/dp/B0BNKLMMST"
"","","B086QGWD2Y","Amazon Basics Hanging File Folders, Letter Size, Standard Green, 1/5-Cut Tabs, 75 per box","Amazon Basics","$34.21","1,290","43","$44,131","09/27/2021","","4.6","3,539","","150","6","AMZ","1","Office Products","","","","https://www.amazon.ca/dp/B086QGWD2Y"
"","","B09DT8TNVY","File Organizer Stealtho - Desk Organizers and Accessories for Folder - Desktop Storage and Paper Sorter - Office Supplies Document Organization - 5 Box Section - Black","STEALTHO","$39.77","23","1","$914.71","01/11/2022","$21.64","4.7","203","$18.13","18,481","6","FBA","30","Office Products","Oversize","24.49 x 27.94 x 34.49 cm","2 kg","https://www.amazon.ca/dp/B09DT8TNVY"
"","","B0BP1D8LX3","Y YOMA 4 Pack Hanging File Organizer Box Cardboard Storage Box for Letter Size Hanging File Folder Collapsible Filing Boxes Portable Desktop Folder Organizer for Home Office School Documents, White","","$27.99","120","4","$3,359","","","4.3","32","","3,974","","FBA","","Office Products","","","","https://www.amazon.ca/dp/B0BP1D8LX3"
"","","B00AHA3CV2","Pendaflex Hanging File Folders, Recycled, Letter Size, Assorted, 25/Box","Pendaflex","$22.84","333","4","$7,606","12/02/2012","","4.5","11","","4,244","4","AMZ","2","Office Products","","","","https://www.amazon.ca/dp/B00AHA3CV2"
"","","B016EWOL3E","U Brands 457U00-06 Mesh Steel Desktop Hanging File Holder, Letter Size, 12.4' x 9.75' x 5.5', Black","U Brands","$22.11","23","","$508.53","12/09/2015","$10.55","4.7","1,098","$11.56","25,608","6","AMZ","5","Office Products","Standard","25.654 x 32.004 x 15.748 cm","0.658 kg","https://www.amazon.ca/dp/B016EWOL3E"
"","","B01M1EDUIL","U Brands Hanging File Desk Organizer, Wire Metal, Gold - 894U02-06, 9.37H x 12.2W x 6.85D inches","U Brands","$26.91","90","3","$2,422","10/02/2016","$14.33","4.8","1,921","$12.58","6,086","6","AMZ","9","Office Products","Standard","24.13 x 31.75 x 17.78 cm","0.635 kg","https://www.amazon.ca/dp/B01M1EDUIL"
"","","B07P8QT4J7","Bankers Box Heavy Duty Plastic File Storage Box with Hanging Rails, Letter/Legal, 1 Pack (0086205)","Bankers Box","$25.98","916","47","$23,798","02/16/2019","$5.23","4.6","2,107","$20.75","123","6","AMZ","5","Office Products","Oversize","36 x 43 x 27.5 cm","1.24 kg","https://www.amazon.ca/dp/B07P8QT4J7"
"","","B0C1C3KH5T","Oterri File Organizer, Small Storage Box, Cardboard File Folder Organizer, Collapsible File Box, Hanging File Organizer for Letter Size, Portable File Box with Handle, Only BoxPink2 Packs","Oterri","$22.29","155","6","$3,455","05/19/2023","$11.22","4.5","277","$11.07","2,707","7","FBA","1","Office Products","Standard","13.46 x 24.89 x 30.99 cm","449 g","https://www.amazon.ca/dp/B0C1C3KH5T"
"","","B09JM5ZQ8M","Hanging Folders, 10Pcs Hanging File Organizer, Blank Tabs and Clear Plastic Inserts, 5Colors","CeAnGye","$16.99","130","3","$2,209","10/15/2021","$8.33","4.2","44","$8.66","5,076","6","FBA","1","Office Products","Standard","26.1 x 34.79 x 2.6 cm","0.66 kg","https://www.amazon.ca/dp/B09JM5ZQ8M"
"","","B07DVTQKZS","EasyPAG 5 Pockets Mesh Wall File Holder Office Hanging File Folder Magazine Rack Mail Sorter Bin | Nametag Label Included, Black","EasyPAG","$34.99","30","1","$1,050","07/31/2018","$18.11","4.8","1,187","$16.88","21,238","6","FBA","4","Office Products","Oversize","34.798 x 45.212 x 11.43 cm","1.615 kg","https://www.amazon.ca/dp/B07DVTQKZS"
"","","B071KBDNZM","Over The Door File Organizer, Wall Hanging File Folders with 5 Large Pocket for Mails, Magazines, Back to School Supplies,Office Chart Storage, Paper Organization (Grey)","homyfort","$20.99","85","3","$1,784","06/19/2017","$11.96","4.6","1,322","$9.03","6,249","7","FBA","3","Office Products","Standard","8.43 x 1.54 x 13.31 in","1.23 lb","https://www.amazon.ca/dp/B071KBDNZM"
"","","B07HQ7FQ8M","Cascading Wall Organizer, Hanging Wall File Folder Organizer, Storage Pocket Chart with 5 Large Pockets for Office, School, Home Studio, etc. 2 Hangers and 3 Hooks Bill Filing. Wall or Over Door Moun","UNAOIWN","$13.98","30","1","$419.40","09/28/2018","$7.60","4.4","209","$6.38","14,937","6","FBA","2","Office Products","Standard","22.86 x 35.814 x 1.524 cm","0.113 kg","https://www.amazon.ca/dp/B07HQ7FQ8M"
"","","B0BMFNMW66","Over the Door Wall File Organizer, Hanging File Folders Organizer with 5 Large Pockets for Office and Back to School Supplies, Papers, Charts, Mails, Magazine Storage and Organization","homyfort","$19.99","50","1","$999","12/14/2022","","4.6","272","","11,415","6","FBA","2","Office Products","","","","https://www.amazon.ca/dp/B0BMFNMW66"
"","","B0BCJPYHZQ","Y YOMA 25 Pack Colored Hanging File Folder Letter Size Decorative File Folder Cute Pretty Reinforced Hanging Folder Organizer for Filing Cabinet Office Home with 1/5-Cut Adjustable Tabs, Yellow","Y YOMA","$20.99","336","7","$7,053","09/29/2022","","4.4","183","","2,419","6","FBA","1","Office Products","","","","https://www.amazon.ca/dp/B0BCJPYHZQ"
"","","B0B7QWFQYJ","Over Door File Organizer, Hanging File Folders, Wall Organizers and Storage for Mail, Magazine, Notebooks, Office, Classroom, 5 Large Pockets, 50.39 Tall (Light Grey Herringbone Pattern)","homyfort","$20.99","23","","$482.77","08/10/2022","","4.7","3,473","","26,945","7","FBA","3","Office Products","","","","https://www.amazon.ca/dp/B0B7QWFQYJ"
