"Export time:  2/1/2024, 11:10:07 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BBL19KTV","GLAMOUR BOUTIQUE Black Open Heart Love Box with 16 Preserved Roses - Enchanted Flower for Valentines Day, Gifts for Her, Mom, & Daughter, 9.45' x 9.45' x 8.6' - Pink Roses with Matching Scarf","GLAMOUR BOUTIQUE","$129.95","","","$0.00","09/21/2022","","5","2","","1,230,036","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BBL19KTV"
"heart boxes for flowers","","B08SVMY5ZT","LISSO Heart Shaped Flower Box with Clear Lid Double Layers Rotating Drawer Paper Mache Boxes for Arrangements Luxury Florist Delivery Gift (Pink)","LISSO","$22.99","40","","$919.60","01/12/2021","$15.95","4.6","154","$7.04","161,369","7","FBA","2","Arts, Crafts & Sewing","Standard","0.39 x 0.39 x 0.39 in","12.7 oz","https://www.amazon.com/dp/B08SVMY5ZT"
"Average Monthly Sales: 458","","B0B1KZPXSM","Valentine's Day Heart Shaped Gift Boxes 3 Pack Red and Off White Valentine Hearts Treat Box with Lids & Ribbon Bow Valentines Nesting Cookie Box for Gift Giving Holiday Decorative Present Wrapping","Gift Boutique","$12.95","485","33","$6,281","05/16/2022","","4.3","43","","23,585","7","FBA","1","Health & Household","","","","https://www.amazon.com/dp/B0B1KZPXSM"
"Average Revenue: $12,082","","B0BXLRLW34","DWIPER Pink Heart Shaped Gift Boxes for Flowers Packaging with Clear Lid for Christmas, Hanukkah, Graduations, Weddings, Birthdays, Groom Gifts, Engagement Wrap Flowers, Candy and Gifts Set of 2(M/L)","DWIPER","$28.99","107","5","$3,102","02/13/2023","$17.61","4.6","7","$11.38","88,694","7","FBA","2","Health & Household","Standard","11.06 x 5.94 x 11.3 in","1.06 lb","https://www.amazon.com/dp/B0BXLRLW34"
"Average Price: $31.32","","B0BN5Q5WHJ","Thenshop 20 Pcs Valentines Flower Bouquet Bags Heart Single Flowers Sleeve Love Heart Floral Bouquet Bags Paper Flower Bag Pink Gift Florist Box with Ribbons for Single Rose Flower Birthday Gifts","Thenshop","$31.99","135","7","$4,319","11/22/2022","$17.79","5","7","$14.20","76,818","7","FBA","1","Health & Household","Oversize","7.4 x 2.5 x 18.78 in","1.1 lb","https://www.amazon.com/dp/B0BN5Q5WHJ"
"Average No. of Ratings: 78","","B0CNWXSDWZ","WENPACK Empty I Love You Box Valentines Day Mother's Flower Arrangement Gift Box With Foam Insert Holder Watering Tray(Black)","WENPACK","$27.99","480","16","$13,435","11/23/2023","","4","1","","40,645","7","FBA","1","Health & Household","","","","https://www.amazon.com/dp/B0CNWXSDWZ"
"Average Sales Rank: 100,299","","B09RZLGD4P","WENPACK Empty Flower Gift Box I Love U Cardboard Letter Shaped Fillable Chocolate Strawberry Candy Packaging (Pink)","WENPACK","$29.99","223","12","$6,688","02/07/2022","$15.41","4.2","92","$14.58","79,120","6","FBA","1","Home & Kitchen","Oversize","10 x 21 x 2.5 in","1.691 lb","https://www.amazon.com/dp/B09RZLGD4P"
"Average Rating Number: 4.4","","B0CJLNJLB5","Forever Heart Shape Rose 4.7in Real Eternal Rose Box Fully Handmade, Forever Flower, Valentines Day Gifts for Her, Wife, Girlfriend, Woman, Romantic Gift for Her, Birthday, Anniversary - Red","IMMORROSA","$35.99","210","7","$7,558","11/09/2023","","4.9","31","","132,767","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CJLNJLB5"
"","","B0B2ZB9XSR","Oairse White Gift Boxes with Lids for Present Heart Shaped Flower Boxes for Arrangements Set of 4 Floral Gift Boxes for Bridesmaid, Proposal, Wedding, Birthday, Baby Showers","Oairse","$18.99","1,575","50","$29,909","06/01/2022","","4.1","232","","16,613","7","FBA","1","Health & Household","","","","https://www.amazon.com/dp/B0B2ZB9XSR"
"","","B0BHL6L5BM","UNIKPACKAGING I Love You Flower Gift Letter Shaped Fillable Box, with Plastic Liners, Size 18 x 7.7 x 2.7 inch, for Luxury Style Flower Arrangements (Black)","UNIKPACKAGING","$27.99","540","18","$15,115","10/06/2022","$17.06","4.8","8","$10.93","51,040","4","FBA","1","Home & Kitchen","Standard","8 x 3 x 18 in","1.3 lb","https://www.amazon.com/dp/B0BHL6L5BM"
