"Export time:  2/5/2024, 2:05:38 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09896461X","Heated Desk Pad Black - Heated Desk Mat - Warm Desk Pad - 3 Levels Heating & 4 Hours Auto Shut-Off, PU Leather Mouse Pad - 31.5 x 13 inch(Black)","tulpock","$27.99","594","10","$16,626","06/29/2021","$18.65","4.3","375","$9.34","23,544","7","FBA","2","Office Products","Standard","3.35 x 0.1 x 3.35 in","1.3 lb","https://www.amazon.com/dp/B09896461X"
"heated desk pad","","B0B87H383N","TEMGCO Warm Desk Pad, Heated Mouse Pad, Office Desk Mat with 3 Speeds Touch Control Temperature, Heating Pads with Auto Shut Off Large 31' x 13', Foot Warmer Pad, Pet Heating Pad (Grey)","TEMGCO","$18.99","96","2","$1,823","08/01/2022","$5.68","4.2","39","$13.31","78,320","6","FBA","1","Office Products","Oversize","0.12 x 11 x 31 in","1 lb","https://www.amazon.com/dp/B0B87H383N"
"Average Monthly Sales: 462","","B0CFKZVP8R","MOMOTS Warm Deak Pad with Wireless Charging,Heated Mouse pad,Heated Desk mat 110V Rapid Heating 113F-140F Anti-Slip Table mat 31.5 * 13 inch Gray","momots","$17.99","90","3","$1,619","08/13/2023","$11.77","3.4","28","$6.22","37,192","6","FBA","1","Electronics","Standard","5.79 x 2.48 x 13.46 in","1.23 lb","https://www.amazon.com/dp/B0CFKZVP8R"
"Average Revenue: $12,596","","B0CDRVWN4R","Heated Mouse Pad, 2023 Upgraded Warm Desk Pad with 2 Heating Modes, Large Gaming Mouse Mat, Electric Heating Mouse Pad/Heated Keyboard Pad, Office&Home Desk Accessorie, 31.5'' x 13''","Tolobeve","$21.98","81","2","$1,780","08/04/2023","$13.54","4.2","16","$8.44","88,979","7","FBA","1","Office Products","Standard","3.5 x 3.39 x 13.54 in","1.34 lb","https://www.amazon.com/dp/B0CDRVWN4R"
"Average Price: $28.35","","B0BC1L4HBB","iCasso Heated Mouse Pad, XL Electric Warm Desk Pad with 3 Heating Levels & 3 Auto Shut-Off Levels for Computer Keyboard, 31.5' x 13' Large Safe Desk Mat Hand Warmer for Home Office Work (Weeds)","iCasso","$24.99","1,459","24","$36,460","08/25/2022","$16.10","4.6","1,173","$8.89","10,152","6","FBA","1","Office Products","Standard","3.35 x 2.83 x 13.62 in","1.1 lb","https://www.amazon.com/dp/B0BC1L4HBB"
"Average No. of Ratings: 459","","B0CFKZM3HX","iLeadon Heated Mouse Pad, Heated Desk Mat, Electric Warm Desk Pad with 3 Heating Levels & 3 Auto Shut-Off Levels, 35.4' x 15.7' Large Safe Desk Mat Hand Warmer for Home Office Work, Honeycomb Black","iLeadon","$29.99","1,003","37","$30,080","08/13/2023","$20.35","4.8","1,948","$9.64","6,566","6","FBA","2","Office Products","Standard","3.54 x 3.15 x 16.14 in","1.54 lb","https://www.amazon.com/dp/B0CFKZM3HX"
"Average Sales Rank: 133,720","","B0B87JMQSH","TEMGCO Warm Desk Pad, Heated Mouse Pad, Office Desk Mat with 3 Speeds Touch Control Temperature, Heating Pads with Auto Shut Off Large 31' x 13', Foot Warmer Pad, Pet Heating Pad (Black)","TEMGCO","$16.99","96","2","$1,631","08/01/2022","$3.98","4.2","39","$13.01","78,320","6","FBA","1","Office Products","Oversize","0.12 x 11 x 31 in","1 lb","https://www.amazon.com/dp/B0B87JMQSH"
"Average Rating Number: 4.1","","B08LV4YHHD","Heated Desk Pad, Warm Mouse Mat with 3 Heating Levels & 4 Hours Auto Shut-Off, Large Electric Keyboard Heater Hand Warmer for Office Desktop Computer Desks, Gifts for Women & Men - 31.5' x 13'","GGFUNY","$21.99","90","3","$1,979","10/25/2020","$12.95","4.2","39","$9.04","70,195","7","FBA","1","Office Products","Standard","3.46 x 3.35 x 13.35 in","1.32 lb","https://www.amazon.com/dp/B08LV4YHHD"
"","","B0CDRZYLJY","Heated Mouse Pad, Electric Warm Desk Pad with 3 Levels Heating, Large Gaming Mouse Pad, Heated Keyboard Pad/Heating Desk Pad/Warm Office Desk Mat/Foot Warmer Pad for Game Office & Home","BIMZUC","$19.98","98","2","$1,958","08/04/2023","$11.84","4.2","60","$8.14","76,485","7","FBA","1","Office Products","Standard","3.46 x 3.43 x 13.27 in","1.32 lb","https://www.amazon.com/dp/B0CDRZYLJY"
"","","B086W56HDK","KINGFOM Multifunctional Office Desk Pad, Large Waterproof Pu Leather Mouse Pad, 2-in-1 Use Desk Writing Mat with Wireless Charging for Home/Office 35.4' x 16.7' (Black)","KINGFOM","$59.99","23","","$1,380","04/07/2020","$39.01","4.2","62","$20.98","174,645","7","FBA","2","Office Products","Oversize","16.73 x 0.01 x 35.43 in","2.85 lb","https://www.amazon.com/dp/B086W56HDK"
