"Export time:  1/27/2024, 2:34:39 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07FVH1BFX","Tower Surge Protector Power Strip 10 ft, TESSAN Long Flat Extension Cord with Multiple Outlets, 8 AC Outlets with 4 USB Ports (1 USB C), Charging Station with Surge Protection, for Home Office Dorm","TESSAN","$23.79","8,431","353","$200,573","07/23/2018","$15.08","4.7","14,071","$8.71","115","7","FBA","7","Electronics","Standard","5.9 x 7.6 x 4.7 in","1.55 lb","https://www.amazon.com/dp/B07FVH1BFX"
"home office must haves","","B09WYNFMPL","Multifunction Computer Monitor Memo Board - Transparent Computer Side Panel Memo Creative Monitor Side Panel with Phone Holder Suitable for Office Home Desktop (Left and Right) 1 Set","edooi","$7.98","2,240","53","$17,875","03/30/2022","$3.01","4.3","1,072","$4.97","4,525","6","FBA","1","Office Products","Standard","3.1 x 0.8 x 11.8 in","6.2 oz","https://www.amazon.com/dp/B09WYNFMPL"
"Average Monthly Sales: 6,493","","B0BRYWXXPR","Adjustable Foldable Desk Lamp for Home Office - Double Swing Arm Bright LED Desk Light, Eye-Caring Architect Task Lamp, Touch Control Desktop Lamp Dimmable Table Desk Light for Work/Study/Craft","Mefine","$32.98","6,078","214","$200,452","02/26/2023","$21.00","4.3","4,599","$11.98","958","7","FBA","2","Tools & Home Improvement","Standard","7.87 x 5.91 x 15.75 in","1.43 lb","https://www.amazon.com/dp/B0BRYWXXPR"
"Average Revenue: $113,165","","B0976YJTMZ","HOPONY Ergonomic Mouse Pad with Wrist Support Gel Rest, Comfortable for Computer, Laptop, Pain Relief with Non-Slip Rubber Base, 9 x 10 in,Modern Abstract","HOPONY","$8.99","1,383","41","$12,433","06/13/2021","$4.72","4.7","4,270","$4.27","6,001","7","FBA","3","Office Products","Standard","9.1 x 0.01 x 10 in","4.2 oz","https://www.amazon.com/dp/B0976YJTMZ"
"Average Price: $25.85","","B0CP8RTXGR","HOPOW Dual Layer Desk Clamp Power Strip, Desktop Edge Mount Charging Station with 13 Outlets 4 USB Ports (2 USB C), Under Desk Surge Protector(1700 Joules), 10 Ft Extension Cord for Office Home","HOPOW","$45.99","1,024","44","$47,094","01/06/2024","","3.4","5","","2,520","7","FBA","1","Electronics","","","","https://www.amazon.com/dp/B0CP8RTXGR"
"Average No. of Ratings: 7,924","","B0BJ6VP2YR","Desk Dual Monitor Stand Riser - Computer Stand for Desktop Monitor, Desk Shelf for Monitor, Wood Monitor Stand with Adjustable Length and Angle, Desktop Organizer, Large Monitor Stand for Laptop(Oak)","Aothia","$36.99","","","","10/13/2022","$22.03","4.5","522","$14.96","5,414","8","FBA","1","Climate Pledge Friendly","Oversize","9.5 x 3.7 x 43 in","9.55 lb","https://www.amazon.com/dp/B0BJ6VP2YR"
"Average Sales Rank: 27,405","","B09RY42PNH","Pinch Provisions Work from Anywhere Kit, Includes 17 Essentials to Help You Stay on Task, Must-Have Essentials, Compact Multi-Functional Vegan Leather Pouch.","Pinch Provisions","$36.99","79","1","$2,922","02/13/2022","$27.67","4.3","17","$9.32","236,681","7","FBA","2","Beauty & Personal Care","Standard","7.83 x 2.52 x 7.83 in","0.23 kg","https://www.amazon.com/dp/B09RY42PNH"
"Average Rating Number: 4.5","","B09P8B8JHW","Cushion Lab Foot Rest for Under Desk at Work  Adjustable Memory Foam Foot Rest for Office Chair & Gaming Chair  Ergonomic Design for Back & Hip Pain Relief - Wellness Green","C CUSHION LAB","$54.00","738","22","$39,852","12/26/2021","$38.27","4.5","255","$15.73","11,291","7","FBA","1","Office Products","Standard","11 x 5.5 x 17 in","1.6 lb","https://www.amazon.com/dp/B09P8B8JHW"
"","","B0C6F4KDNK","Compact Leather Desk Mat - Small Non-Slip PU Desk Pad for Office and Home - Desk Organization and Accessories - Ideal for Large Mouse Pad and Small Desk Mats on Top of Desks (Beige,23.6'x 11.8')","HOMIEAZICOZI","$9.99","2,135","61","$21,329","05/25/2023","$-0.45","4.6","152","$10.44","3,854","6","FBA","1","Office Products","Oversize","11.8 x 0.06 x 23.6 in","7.4 oz","https://www.amazon.com/dp/B0C6F4KDNK"
"","","B07R9ZJ2ZQ","SUPERJARE Dual Monitor Stand Riser, Adjustable Length and Angle Screen Stand, Desktop Stand Storage Organizer for Laptop Computer/TV/PC/Printer- Black","SUPERJARE","$28.49","","","","04/28/2019","$14.42","4.7","12,550","$14.07","3,788","7","FBA","11","Climate Pledge Friendly","Oversize","9.2 x 3.9 x 36 in","8.58 lb","https://www.amazon.com/dp/B07R9ZJ2ZQ"
"","","B09XMMZSWW","Surge Protector, Multi Plug Outlet Extender with Night Light for Home, Office, School, Addtam 5-Outlet Splitter and 4 USB Ports(1 USB C), Wall Charger Power Strip, ETL Listed","Addtam","$17.99","5,084","119","$91,461","04/10/2022","$11.52","4.6","7,238","$6.47","684","7","FBA","2","Electronics","Standard","3.82 x 5.79 x 2.83 in","0.6 lb","https://www.amazon.com/dp/B09XMMZSWW"
"","","B088DB4MVZ","Leather Desk Pad Protector,Mouse Pad,Office Desk Mat, Non-Slip PU Leather Desk Blotter,Laptop Desk Pad,Waterproof Desk Writing Pad for Office and Home (Light Blue,31.5' x 15.7')","Aothia","$13.99","24,134","763","$337,635","12/04/2019","$2.95","4.7","71,753","$11.04","94","7","FBA","1","Office Products","Oversize","15.7 x 0.1 x 31.5 in","11.5 oz","https://www.amazon.com/dp/B088DB4MVZ"
"","","B0CHVM4S7Q","12 Pcs Retro Boho Mental Health Posters (10'x14'), Therapy Office Decor, School Counselor Supplies, Counseling Office Must Haves, Inspirational Positive Poster Home - Office - Classroom Decoration","HAMIEW","$21.95","235","11","$5,158","09/11/2023","","4.9","31","","21,344","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CHVM4S7Q"
"","","B08N6XKM1L","Curious Charts Commission Hello, Today - To Do List Pad - Kitty - 6 x 9 inches","Curious Charts Commission","$12.95","368","12","$4,766","11/12/2020","$7.24","4.8","502","$5.71","20,605","5","FBA","1","Office Products","Standard","6 x 1 x 9 in","7.8 oz","https://www.amazon.com/dp/B08N6XKM1L"
"","","B0CKR49HGT","NIIMBOT B1 Label Maker Machine with Tape, Thermal Label Printer Easy to Use for Office, Home, Business, 2 Inch Label Maker with 2'' x1.18'' Labels-230pcs/Roll","","$45.99","4,050","135","$186,260","","","4.4","1,035","","1,486","","FBA","","Office Products","","","","https://www.amazon.com/dp/B0CKR49HGT"
"","","B0C49DYJ6R","2023-2024 Hardcover Planner Weekly and Monthly Agendas for 2024 Large 13 Month Daily Planners 2024 for Women with Stickers Tabs, Dec 2023Dec 2024, 8.3' x 9.3', Purple","CAGIE","$20.99","930","24","$19,521","05/03/2023","$12.05","4.8","87","$8.94","10,120","7","FBA","1","Office Products","Standard","9.76 x 1.61 x 9.88 in","2.35 lb","https://www.amazon.com/dp/B0C49DYJ6R"
"","","B097NJ6K9M","iJoy Flexible Power Strip- 3 AC Outlets and 2 USB Charging Ports with 5 Ft Extension Cord- Decorative Surge Protector Outlet Extender for Home Office, Dorm, Room and More (Light Blue)","iJoy","$17.99","251","9","$4,515","02/22/2021","$10.77","4.7","1,544","$7.22","14,148","7","FBA","1","Electronics","Standard","5.75 x 11.42 x 1.89 in","0.99 lb","https://www.amazon.com/dp/B097NJ6K9M"
"","","B08Y77GJ6B","Compact Cork Desk Mat - Small Dual-Sided Desk Pad for Office and Home - Desk Organization and Accessories - Ideal for Large Mouse Pad and Small Desk Mats on Top of Desks(Light Green,23.6'x 11.8')","HOMIEAZICOZI","$11.95","4,126","124","$49,306","03/05/2021","$1.22","4.6","3,138","$10.73","1,653","6","FBA","1","Office Products","Oversize","11.8 x 0.08 x 23.6 in","8.1 oz","https://www.amazon.com/dp/B08Y77GJ6B"
"","","B0CMX42Q4M","WINUSUAL Modern Spiral Heart Bedside Table Lamp,3 Colors Dimmable Touch Control LED Desk lamp,Unique Nightstand Lamps with USB Adapter, Cute Reading Lamp for Bedroom,Living Room&Home Office. Pink","WINUSUAL","$26.99","150","5","$4,048","","","4.8","23","","72,307","","FBA","","Tools & Home Improvement","","","","https://www.amazon.com/dp/B0CMX42Q4M"
"","","B0C4FSNPP4","Calm Down Corner | Classroom Must Haves | Therapy Calming Corner Items for Kids | Calming Corner Kit with Posters, Solutions Wall, Sensory Toys, Fidget Tools | Ideal for Classrooms or Homes","ODOXIA","$59.99","191","10","$11,458","09/03/2023","$43.06","4.6","26","$16.93","23,630","7","FBA","1","Office Products","Standard","11.34 x 6.1 x 15.59 in","8.14 lb","https://www.amazon.com/dp/B0C4FSNPP4"
"","","B0981YBGS2","Monitor Memo Boards for Computer, Set of 2 (Left & Right) Multifunction Acrylic Screen Message Reminder Pad Side Panels Phone Holder - Utility Organizer for Office Desktop, Gift of 1 Pack Sticky Notes","OSPNIEEK","$9.99","1,054","33","$10,529","06/26/2021","$4.72","4.2","298","$5.27","7,434","7","FBA","1","Office Products","Standard","3.78 x 1.5 x 12.4 in","7 oz","https://www.amazon.com/dp/B0981YBGS2"
"","","B08DHMMBFF","ComfiLife Ergonomic Under Desk Foot Rest for Office Use  Adjustable Height Memory Foam Foot Stool Under Desk for Office Chair & Gaming Chair  for Back & Hip Pain Relief (Black)","ComfiLife","$39.95","7,278","236","$290,756","07/21/2020","$25.73","4.6","12,141","$14.22","687","7","FBA","1","Office Products","Standard","12 x 6 x 17.5 in","1.7 lb","https://www.amazon.com/dp/B08DHMMBFF"
"","","B09X171Q58","Silicone Zip Ties, Reusable Zip Ties, 20pcs Rubber Cable Ties Straps for Wire Management, Elastic Cable Organizer for Home Office Table Desk. 4.5 Cord Ties in White, Black, Pink, Purple and Blue","GELIAL","$6.99","1,338","51","$9,353","03/31/2022","$3.02","4.7","1,388","$3.97","2,092","6","FBA","1","Electronics","Standard","3.35 x 0.59 x 4.45 in","1.44 oz","https://www.amazon.com/dp/B09X171Q58"
"","","B0BV336SLW","Desk Pencil Pen Holder, 5 Slots 360Degree Rotating Pen Organizers for Desk, Desktop Storage Stationery Supplies Organizer, Cute Pencil Cup Pot for Office, School, Home, Art Supply, Dark Green","EDENMS","$13.95","2,718","66","$37,916","02/06/2023","$8.09","4.6","587","$5.86","3,536","7","FBA","1","Office Products","Standard","5.5 x 5.3 x 5.5 in","7.9 oz","https://www.amazon.com/dp/B0BV336SLW"
"","","B0BGNJS7FQ","ACNCTOP LED Desk Lamp for Office Home - Eye-Caring Architect Task Lamp 25 Lighting Modes Adjustable Flexible Gooseneck Clamp Light for Workbench Drafting Reading Study (Black)","ACNCTOP","$23.99","6,889","226","$165,267","11/07/2022","$8.79","4.4","2,643","$15.20","884","7","FBA","2","Tools & Home Improvement","Oversize","17 x 31 x 2 in","1.56 lb","https://www.amazon.com/dp/B0BGNJS7FQ"
"","","B0B2JR7T7C","Lamicall Blue Phone Stand for Desk - Blue Cell Phone Holder Blue Desk Accessories Desktop Office Must Have Compatible with iPhone 13 Pro Max Mini, 12 11 XR X 8 7 6 Plus SE, 4-8'' Smartphone","Lamicall","$9.99","18,206","702","$181,878","05/26/2022","$5.42","4.8","18,923","$4.57","80","7","FBA","1","Cell Phones & Accessories","Standard","3 x 1 x 5 in","0.5 lb","https://www.amazon.com/dp/B0B2JR7T7C"
"","","B07W7SZJ25","HUANUO Portable Lap Laptop Desk with Pillow Cushion, Fits up to 15.6 inch Laptop, with Anti-Slip Strip & Storage Function for Home Office Students Use as Computer Laptop Stand, Book Tablet","HUANUO","$29.99","5,698","261","$170,883","08/06/2019","$18.16","4.5","13,330","$11.83","588","6","FBA","92","Office Products","Standard","13.504 x 17.598 x 3.661 in","3.206 lb","https://www.amazon.com/dp/B07W7SZJ25"
"","","B07JVZTP62","K KNODEL Large Desk Mat, Office Desk Pad, Computer Desk Mat, Laptop Mat for Desk, Desk Protecor Mat, Desktop Mat, Desk Writing Pad, Desk Blotter Pad, Desk Cover Mat (31.5'x15.7', Light Blue)","K KNODEL","$13.99","30,792","813","$430,780","05/18/2018","$0.29","4.7","56,132","$13.70","83","7","FBA","1","Office Products","Oversize","15.7 x 0.08 x 31.5 in","1.05 lb","https://www.amazon.com/dp/B07JVZTP62"
