"Export time:  1/30/2024, 12:39:21 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0B2QKS6Z7","Sonder Los Angeles, Modern Bamboo Fiber Bread Box for Kitchen Countertop with Reversible Wood Serving Lid, Homemade Bread Storage 14.25 x 9.25 x 7in, Storage Bin and Bread Container","Sonder Los Angeles","$59.95","1,000","39","$59,950","09/20/2022","$43.63","4.8","273","$16.32","6,955","7","FBA","1","Kitchen & Dining","Standard","9.25 x 7 x 14.25 in","5 lb","https://www.amazon.com/dp/B0B2QKS6Z7"
"homemade bread storage","","B094DYL1G8","2 X Bread Bags for Homemade Bread - Plastic Lined, Reusable Linen Cloth Saver Bag For Sourdough & Homemade Bread Storage - 17' x 13' XL","Balcove","$24.99","2,876","185","$71,871","03/23/2022","","4.6","1,647","","960","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B094DYL1G8"
"Average Monthly Sales: 1,034","","B0893JQQ43","LARS NYSM Bread Box I Metal bread box with linen bread bag for long lasting freshness I Bread box with bamboo lid usable as cutting board I 13.4x7.3x5.3In (Sage)","LARS NYSM","$43.99","1,229","23","$54,064","08/04/2020","$30.96","4.5","5,377","$13.03","11,871","6","FBA","1","Kitchen & Dining","Standard","7.28 x 5.31 x 13.39 in","3.42 lb","https://www.amazon.com/dp/B0893JQQ43"
"Average Revenue: $23,210","","B001BB2LMM","Prep Solutions by Progressive Expandable Bread Keeper with Adjustable Air Vent (Pack of 1)","Progressive International","$22.03","724","23","$15,950","10/01/2001","$11.10","4.4","13,969","$10.93","12,322","6","AMZ","7","Kitchen & Dining","Standard","8.58 x 15.85 x 7.64 in","2.599 lb","https://www.amazon.com/dp/B001BB2LMM"
"Average Price: $26.51","","B07ZDKS37Q","LEAFICO Cotton Storage Bags with Drawstrings X-Large 14x17 Multipurpose 6 Pcs - Canvas Fabric Bread Bags - Bulk Food Produce - Reusable Muslin - Natural Potato Onion Storage Bags - Cloth Shoe Bags","LEAFICO","$24.97","1,435","46","$35,832","11/09/2022","$17.45","4.6","2,796","$7.52","5,765","5","FBA","1","Kitchen & Dining","Standard","8.543 x 11.378 x 1.85 in","0.701 lb","https://www.amazon.com/dp/B07ZDKS37Q"
"Average No. of Ratings: 1,594","","B083LKGT36","Think4Earth  Bread Bag - Reusable freezer bread bag for homemade bread maker gift giving - Bread Container for Sourdough Loafs Storage, Large Bread Bags for Homemade Bread with Double Lining","Think4Earth","$14.95","1,619","57","$24,204","01/06/2020","$9.17","4.1","2,093","$5.78","4,513","7","FBA","1","Kitchen & Dining","Standard","6.7 x 9.1 x 0.9 in","0.201 lb","https://www.amazon.com/dp/B083LKGT36"
"Average Sales Rank: 37,389","","B0C998GFHY","RISICULIS Bread Box for Kitchen Countertop, Airtight Loaf Bread Storage Container, Time Recording Bread Keeper with Lid, Bread Holder Bin for Homemade Bread, Bun, Bagel, Loaf","RISICULIS","$29.99","1,253","43","$37,577","06/24/2023","$19.06","4.5","74","$10.93","6,217","7","FBA","3","Kitchen & Dining","Standard","6.2 x 6.1 x 12 in","2.25 lb","https://www.amazon.com/dp/B0C998GFHY"
"Average Rating Number: 4.4","","B0CJ8SVCBV","GKOKG 2 PCS Bread Box for Kitchen Countertop, Large Airtight Bread Storage Container, Bread Keeper Storage with Lid, Bread Holder Bin for Homemade Bread and Bakery Loaf","GKOKG","$39.99","199","5","$7,958","09/17/2023","$27.26","4.3","8","$12.73","49,058","7","FBA","1","Kitchen & Dining","Standard","6.1 x 6.9 x 12.8 in","4.27 lb","https://www.amazon.com/dp/B0CJ8SVCBV"
"","","B0C3VFKGKZ","Tiawudi 2 Pack Bread Box, Plastic Bread Container, Large Sandwich Holder, Bread Storage Container for Kitchen Counter, Bread Keeper with Airtight Lid, Bread Saver, 9 Qt / 8.5L Each","Tiawudi","$24.99","716","38","$17,893","04/27/2023","$14.51","4.3","64","$10.48","7,151","7","FBA","1","Kitchen & Dining","Standard","7.25 x 6.25 x 15 in","3.08 lb","https://www.amazon.com/dp/B0C3VFKGKZ"
"","","B0CN95MYH5","Gifhomfix Bread Box Airtight Bread Boxes for Kitchen Counter, Time Recording Bread Storage Container with Lid, Bread Holder for Homemade Bread, Toast, Bagel, Donut and Cookies","Gifhomfix","$25.99","522","9","$13,567","11/13/2023","$17.16","4.5","16","$8.83","31,181","7","FBA","3","Kitchen & Dining","Standard","6.2 x 6.1 x 12 in","2.2 lb","https://www.amazon.com/dp/B0CN95MYH5"
"","","B09N3M4BDJ","GRIN BY GRIN- 2 Packs Bread Bags to Keep Fresh, Reusable Zipper for Homemade Loaf, Freezer Storage Bag, Container, Fresh Keeping Extra Large Bags, Food Bag","GRIN BY GRIN","$23.99","3,496","95","$83,869","12/05/2021","$16.62","4.4","907","$7.37","2,409","7","FBA","1","Kitchen & Dining","Standard","12 x 0.5 x 17 in","6.1 oz","https://www.amazon.com/dp/B09N3M4BDJ"
"","","B0BYPSH3N5","Triiter Bread Box With Bamboo Wood Cutting Board Lid & Bread Slicer Holder, Oval Cream Color Bread Container For Kitchen Countertop, 13.8 x 7.9 x 5.7in, Bread Storage Container","Triiter","$36.99","195","8","$7,213","03/15/2023","$24.71","4.5","15","$12.28","34,633","7","FBA","1","Kitchen & Dining","Standard","7.9 x 5.7 x 13.8 in","3.91 lb","https://www.amazon.com/dp/B0BYPSH3N5"
"","","B0C7P7L5HG","Li'l Things Eco-friendly Reusable Beeswax Bread bags | Set of 2 Sizes 13'x13' & 15x 9 | 6 Different Themes | Perfect Bag for Home-Baked | Store-Bought Bread | No Plastic | Japanese Seigaiha Waves","Li'l Things","$39.99","278","11","$11,117","06/10/2023","$23.91","4.1","18","$16.08","24,379","7","FBA","1","Kitchen & Dining","Oversize","25 x 14 x 25 in","7.1 oz","https://www.amazon.com/dp/B0C7P7L5HG"
"","","B0BNHZ1JSZ","200 Pcs Kraft Paper Bread Loaf Bag with Clear Window Large Paper Bread Bags for Homemade Bread Food Packaging Storage Bakery Bag and 500 Pcs Stickers for Sourdough Popcorn Cookies, 14 x 8.3 x 3.2 In","Gueevin","$35.99","297","12","$10,689","11/27/2022","$23.26","4.5","42","$12.73","23,707","6","FBA","1","Kitchen & Dining","Standard","9.13 x 3.86 x 14.72 in","6.03 lb","https://www.amazon.com/dp/B0BNHZ1JSZ"
"","","B0CDKFMQXG","Bread Box for Kitchen Countertop - No Assembly Required 2+ Loaves Bread Storage Container - Bread Container Wood Metal - Bread Holder for Kitchen Counter - Bread Bin - Bread Boxes for Kitchen Counter","HB Design Co","$39.99","90","3","$3,599","08/02/2023","$26.36","","","$13.63","72,125","7","FBA","1","Kitchen & Dining","Standard","9.84 x 7.09 x 15.04 in","4.84 lb","https://www.amazon.com/dp/B0CDKFMQXG"
"","","B08H5NRBWV","RoyalHouse Modern Metal Bread Box with Bamboo Cutting Board Lid, Bread Storage Container for Kitchen Counter, Vintage Kitchen Decor Organizer","RoyalHouse","$22.99","1,345","38","$30,922","08/31/2020","$12.81","4.6","5,688","$10.18","7,076","6","FBA","3","Kitchen & Dining","Standard","9.4 x 5.3 x 12 in","1 lb","https://www.amazon.com/dp/B08H5NRBWV"
"","","B08CR1G8CS","100 Reusable Clear Bread Bags With Ties - Adjustable for Homemade Loaves and Bakery Bread","Mantah","$12.97","2,619","94","$33,968","07/09/2020","$5.88","4.7","4,438","$7.09","2,458","6","FBA","1","Kitchen & Dining","Standard","7.362 x 8.976 x 1.496 in","1.338 lb","https://www.amazon.com/dp/B08CR1G8CS"
