"Export time:  2/1/2024, 11:11:41 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CP3RFCVT","TOJNMAKE Reusable Grocery Bag On Wheels, Shopping Trolley, Rolling Tote with 8 Pockets and Zipper Cover, Foldable, Heavy Duty Handles, Carries Up to 46 LBS (Medium, Black)","","$100.99","180","6","$18,178","01/12/2024","","","","","42,791","","FBA","","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CP3RFCVT"
"hulken bag with wheels","","B07VCN671J","Handy Sandy Fold Flat Travel Wagon Reusable Grocery/Laundry/Cruise/Travel/School Locker Bag and More on Wheels, Lightweight (Orange)","Handy Sandy","$64.99","","","$0.00","07/17/2019","$47.01","3.9","46","$17.98","825,873","7","FBA","3","Office Products","Standard","11 x 7.5 x 15.5 in","6 lb","https://www.amazon.com/dp/B07VCN671J"
"Average Monthly Sales: 1,410","","B098JNLJ16","Greencity Duffel Bag Wheels Rolling Deployment Wheeled Military Suitcase Heavy-Duty Trolley Bag Tactical Large Capacity 32 InchBlack Camo","Greencity","$97.90","288","10","$28,195","07/04/2021","","4.5","96","","95,990","6","FBA","1","Clothing, Shoes & Jewelry","","","","https://www.amazon.com/dp/B098JNLJ16"
"Average Revenue: $46,325","","B09PRNSQK8","BAG-THAT! 10 Black Moving Bags Extra Large Heavy Duty Storage Bags Zippered Top Handles Wrap Bag Totes For Storage Packing Bags Moving Supplies Packing Supplies for Moving Moving Boxes Plastic Tote","BAG-THAT!","$39.99","1,512","42","$60,465","01/04/2022","$19.73","4.7","1,375","$20.26","22,031","6","FBA","1","Home & Kitchen","Oversize","11.89 x 18.15 x 9.53 in","6.55 lb","https://www.amazon.com/dp/B09PRNSQK8"
"Average Price: $51.02","","B0CP9281WY","TOJNMAKE Reusable Grocery Bag On Wheels Shopping Trolley with 8 Pockets and Zipper Cover Foldable Rolling Tote, Heavy Duty Handles, Carries Up to 66LBS (Large, Black)","","$110.99","180","6","$19,978","01/07/2024","","","","","42,791","","FBA","","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CP9281WY"
"Average No. of Ratings: 1,727","","B07VHZFNXP","Handy Sandy Fold Flat Travel Wagon Reusable Grocery/Laundry/Travel/Cruise/School Locker Bag and More on Wheels, Lightweight (Purple)","Handy Sandy","$64.99","","","$0.00","07/17/2019","$46.71","3.9","46","$18.28","362,617","7","FBA","2","Office Products","Standard","11.654 x 16.221 x 7.874 in","5.234 lb","https://www.amazon.com/dp/B07VHZFNXP"
"Average Sales Rank: 92,458","","B085NH217N","Cowinbest Rolling Duffle Bag with 360 Detachable Wheels Travel Bag Shopping Bag Foldable Duffle Bag Luggage Bag","Cowinbest","$39.99","90","3","$3,599","07/17/2022","$30.68","5","5","$9.31","43,635","7","FBA","1","Industrial & Scientific","Standard","11 x 14.1 x 3 in","1.451 lb","https://www.amazon.com/dp/B085NH217N"
"Average Rating Number: 4.3","","B09Z2SCYPR","Uholan Set of Two Dolly Hand Truck Splicing Cart Moving Handling Carfor Easy Storage 360 Swivel Wheels Pulling Goods Mute Portable Load Bearing 660lb","Uholan","$129.00","50","1","$6,450","04/27/2022","","4.6","41","","108,601","6","FBA","1","Industrial & Scientific","","","","https://www.amazon.com/dp/B09Z2SCYPR"
"","","B0BW5HGXJX","Folding Hand Truck Portable Dolly Cart Max 350 lbs Aluminum Foldable Dolly Cart Luggage Trolley Cart, 6 Wheels Push Cart Dolly for Moving, Small Platform Hand Cart with 2 Ropes Black","YOSHIKO","$42.99","457","13","$19,646","02/17/2023","","4","19","","11,025","6","FBA","1","Industrial & Scientific","","","","https://www.amazon.com/dp/B0BW5HGXJX"
"","","B09GPVZPJP","Hand Truck, COREFLEX Folding Hand Truck Foldable with 7 Wheels 500lbs Heavy Duty Hand Truck Dolly Adjustable Handle for Luggage, Travel, Moving, Shopping, Personal and Office","COREFLEX","$67.99","23","1","$1,564","12/27/2021","$46.71","4.5","144","$21.28","129,025","7","FBA","2","Industrial & Scientific","Oversize","13.03 x 20 x 6 in","7.91 lb","https://www.amazon.com/dp/B09GPVZPJP"
