"Export time:  1/30/2024, 12:41:25 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09J3XCPM8","SICHEER K Cup Organization Storage Drawer Maker K Cup Holder Coffee Pod Organizer Stand Tray Counter Rack Countertop Maker Stand Capsules Compatible with Keurig Accessories Holds 36 Pods","SICHEER","$31.99","314","10","$10,045","12/02/2021","$20.16","4.6","409","$11.83","27,956","6","FBA","3","Kitchen & Dining","Standard","13.43 x 3.7 x 14.84 in","4.82 lb","https://www.amazon.com/dp/B09J3XCPM8"
"keurig storage drawer","","B004UC0GIU","Nifty Coffee Pod Drawer  Compatible with K-Cups, 36 Pod Pack Holder, Non-Rolling, Compact Under Coffee Pot Storage Sliding Drawer, Home Kitchen Counter Organizer, Black","Nifty Solutions","$20.99","10,414","340","$218,590","03/28/2011","$11.41","4.7","27,488","$9.58","362","6","FBA","2","Kitchen & Dining","Standard","13.11 x 13.19 x 3.03 in","3.68 lb","https://www.amazon.com/dp/B004UC0GIU"
"Average Monthly Sales: 889","","B09TPCM2VV","DDYURI Storage Drawer Holder for Capsules Coffee Pod K-cup Organizer /2 Drawers for Counter Organization for Kitchen Utensil Storage Home Decor Office Supplies- Coffee Brewer Accessories Wood 1D2C-LT","DDYURI","$39.99","486","15","$19,435","02/28/2022","$26.96","4.8","111","$13.03","18,606","7","FBA","2","Kitchen & Dining","Standard","12 x 3.66 x 16 in","5.2 lb","https://www.amazon.com/dp/B09TPCM2VV"
"Average Revenue: $21,770","","B09TPFDY8D","DDYURI Drawer Organizer Coffee Pod Holder - Kitchen Cutlery Storage Accessories/ K-Cup Drawers with Detachable Wooden Partition - Coffee Capsules Organization Counter - Wood desktop Small Cabinets","DDYURI","$37.99","140","4","$5,319","02/28/2022","$25.56","4.6","60","$12.43","62,281","7","FBA","1","Kitchen & Dining","Standard","12 x 6.89 x 8.23 in","4.4 lb","https://www.amazon.com/dp/B09TPFDY8D"
"Average Price: $30.18","","B07BC8DKN1","Keurig Under Brewer Storage Drawer, Coffee Pod Storage, Holds Upto 35 Keurig K-Cup Pods, Black","Keurig","$29.99","2,305","51","$69,127","03/08/2018","$16.66","4.7","17,042","$13.33","5,156","6","AMZ","21","Kitchen & Dining","Standard","11.8 x 7.9 x 15.35 in","11.02 lb","https://www.amazon.com/dp/B07BC8DKN1"
"Average No. of Ratings: 3,044","","B0BJNYYRXB","Mind Reader Single Serve Pod Organizer, 2 Drawers, 24 Pod Capacity, Keurig Mini Compatible, 9.5'L x 12.25'W x 2.5'H, Black","Mind Reader","$20.99","1,650","55","$34,634","10/17/2022","","4.7","30,308","","4,694","7","AMZ","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BJNYYRXB"
"Average Sales Rank: 64,676","","B082WQXYCC","HTB K Cup Holder StorageDrawer for Keurig Coffee PodsHolds 30 Coffee Pods","HTB","$35.99","150","4","$5,399","12/18/2019","$22.96","4.7","424","$13.03","58,954","6","FBA","1","Kitchen & Dining","Standard","11.7 x 3.3 x 16.5 in","7.7 lb","https://www.amazon.com/dp/B082WQXYCC"
"Average Rating Number: 4.6","","B09R3JH9Y5","mDesign Stackable Storage Containers Box with Pull-Out Drawer - Stacking Plastic Drawers Bins for Kitchen Pantry and Cupboard, Cabinet, Counter, Island and Tables - Lumiere Collection - 2 Pack - Clear","mDesign","$30.99","523","22","$16,208","01/23/2022","$19.61","4.7","440","$11.38","12,928","7","FBA","2","Kitchen & Dining","Standard","9.5 x 5 x 12.75 in","2.55 lb","https://www.amazon.com/dp/B09R3JH9Y5"
"","","B09R2M8BL1","mDesign Stackable Storage Containers Box with 2 Pull-Out Drawers - Stacking Plastic Drawer Bins for Closet Organization, Linen, Coat, Bedroom or Entryway Closets - Lumiere Collection - 2 Pack - Clear","mDesign","$30.99","683","37","$21,166","04/21/2022","$19.61","4.5","174","$11.38","25,046","7","FBA","1","Home & Kitchen","Standard","9.488 x 12.835 x 4.685 in","2.469 lb","https://www.amazon.com/dp/B09R2M8BL1"
"","","B09R2NGG59","mDesign Stackable Storage Containers Box with 2 Pull-Out Drawers - Stacking Plastic Drawer Bins for Master or Guest Bathroom, Linen Closet, Vanity, or Makeup Table - Lumiere Collection -Clear","mDesign","$24.99","668","22","$16,693","01/23/2022","$15.45","4.7","112","$9.54","12,373","7","FBA","1","Kitchen & Dining","Standard","6 x 7.73 x 8.58 in","2.05 lb","https://www.amazon.com/dp/B09R2NGG59"
"","","B095M2M32W","Cq acrylic Clear Makeup Storage Organizer Drawers Skin Care X Large Cosmetic Display Cases Stackable Storage Box With 7 Drawers For Dresser,Set of 3","Cq acrylic","$29.99","268","10","$8,037","01/03/2022","$21.95","4.7","1,302","$8.04","46,965","6","FBA","1","Beauty & Personal Care","Standard","11 x 12.1 x 7.1 in","0.11 oz","https://www.amazon.com/dp/B095M2M32W"
"","","B00GS7V7FQ","Home-It K Cup Holder for Counter - Storage Drawer for Keurig K-Cup Coffee Pod Organizer - Metal Designed K-Cup Storage, 42 Pod Capacity Compact Under Coffee Pot","Home-it","$19.99","207","8","$4,138","11/18/2013","$10.26","4.3","6,185","$9.73","34,086","5","FBA","3","Kitchen & Dining","Standard","13.307 x 14.961 x 3.228 in","4.718 lb","https://www.amazon.com/dp/B00GS7V7FQ"
