"Export time:  2/1/2024, 11:06:24 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CJBQPQFG","Wellmet Linen Set of 2 Drum Lampshades, Easy Assembly Required 14' Top x 14' Bottom x 11' High Replacement Lamp Shades, Fabric Lampshades for Table Lamps Floor Lamps, Metal Spider Fitter","Wellmet","$64.98","165","5","$10,722","09/18/2023","$40.59","4.5","2","$24.39","69,033","6","FBA","1","Tools & Home Improvement","Oversize","14 x 11 x 14 in","2.7 lb","https://www.amazon.com/dp/B0CJBQPQFG"
"lamp shades for table lamps","","B0C282GDM1","TOCHIC Lamp Shades Large Farmhouse Empire Lampshade for Table Desk Lamp, Floor Lamp, Bedside Lamp, Assemble Required, DIY Natural Linen Hand Crafted Fabric Lamp Cover, Spider Fitter, 14'x10'x6.7'","TOCHIC","$19.99","94","2","$1,879","04/11/2023","","2.6","18","","170,796","7","FBA","2","Tools & Home Improvement","","","","https://www.amazon.com/dp/B0C282GDM1"
"Average Monthly Sales: 313","","B0CJPW4L21","Drum Fabric Lamp Shades for Table Lamps and Floor Light, Small Lamp shades Set of 2, Barrel Spider Lampshade Replacement with 8 inch Harp, Hand Crafted Cloth Lamp Cover (7.5 x 9.6 x 12 inch)","YXTH","$25.98","148","6","$3,845","09/23/2023","","4.3","224","","59,182","7","FBA","1","Tools & Home Improvement","","","","https://www.amazon.com/dp/B0CJPW4L21"
"Average Revenue: $10,870","","B0BR57MY6Q","Tootoo Star Barrel White Small Lamp Shade for Table Lamps Replacement, 5x9x7 Inch,Fabric Cloth, Spider Model (Brown)","TOOTOO STAR","$18.99","690","24","$13,103","06/14/2018","","4.3","1,299","","15,200","7","FBA","1","Tools & Home Improvement","","","","https://www.amazon.com/dp/B0BR57MY6Q"
"Average Price: $43.25","","B0C282Z23G","TOCHIC Lamp Shades Large Farmhouse Empire Lampshade for Table Desk Lamp, Floor Lamp, Bedside Lamp, Assemble Required, DIY Natural Linen Hand Crafted Fabric Lamp Cover, Spider Fitter, 18'x9'x12.7'","TOCHIC","$49.99","105","2","$5,249","04/11/2023","","2.6","18","","170,796","7","FBA","1","Tools & Home Improvement","","","","https://www.amazon.com/dp/B0C282Z23G"
"Average No. of Ratings: 450","","B09LYGSFX2","Double Brown Lamp Shade Set of 2, TOOTOO STAR Large Barrel Lampshade for Floor Light and Table Lamp 6x12x8.5 inch, DIY Fabric Natural Linen Hand Crafted, Spider (Brown, 6x12x8.5 inch)","TOOTOO STAR","$33.99","686","19","$23,317","01/21/2018","$22.46","4.5","1,221","$11.53","19,270","6","FBA","1","Tools & Home Improvement","Standard","12.68 x 17.04 x 2.52 in","1.7 lb","https://www.amazon.com/dp/B09LYGSFX2"
"Average Sales Rank: 106,442","","B0CCY5H9YG","Set of 2 Mid-Gray Medium Drum Lamp Shades 13' Top x 13' Bottom x 10' High (Spider) Traditional Lampshades for Table Lamp & Bedside Lamp - Handcrafted - By GO&SO","GO&SO","$39.99","559","17","$22,354","08/30/2023","","4.3","46","","20,926","6","FBA","1","Tools & Home Improvement","","","","https://www.amazon.com/dp/B0CCY5H9YG"
"Average Rating Number: 4.3","","B0BVV6LCKH","2 Pack HZHFCB 7 8 9 10 inch Lamp Shade Harp Holder,Adjustable Lamp Harp Kit,Fit 3/8 IP Standard,E14,E26,E27 Light Base UNO Fitter Adapter,Golden Horn Frame Lampshade Bracket (Golden)","HZHFCB","$22.99","233","4","$5,357","02/14/2023","$16.47","4.2","192","$6.52","87,109","6","FBA","1","Tools & Home Improvement","Standard","4.3 x 0.39 x 7.8 in","7.7 oz","https://www.amazon.com/dp/B0BVV6LCKH"
"","","B0BB1R2P5F","Royxen 2 Pack Metal Lamp Shades Vintage Lampshade for Table Lamp and Floor Light (Round Trees)","Royxen","$64.99","110","3","$7,149","08/17/2022","$40.98","4.7","126","$24.01","98,050","6","FBA","1","Tools & Home Improvement","Oversize","14 x 10 x 14 in","3.94 lb","https://www.amazon.com/dp/B0BB1R2P5F"
"","","B079THLH1M","Aspen Creative 32685 Transitional Empire Shape Spider Construction Lamp Shade, White, 7' Top x 13' Bottom x 9-1/2' Slant Height","Aspen Creative","$43.00","133","1","$5,719","02/13/2018","$21.15","4.2","115","$21.85","274,523","7","AMZ","8","Tools & Home Improvement","Oversize","15 x 11 x 15 in","0.64 lb","https://www.amazon.com/dp/B079THLH1M"
