"Export time:  1/30/2024, 12:48:09 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09GKC3D8V","100 Pieces Lanyards for Id Badges and 100 Pieces Id Holder Badges , Flat Neck Lanyards with Clip Waterproof Clear Plastic Resealable Vertical Name Tag Badge ID Card Holders (Black)","Marspark","$19.99","524","22","$10,475","09/16/2021","$11.20","4.6","420","$8.79","11,022","6","FBA","2","Office Products","Standard","8.03 x 2.87 x 11.06 in","2.14 lb","https://www.amazon.com/dp/B09GKC3D8V"
"lanyards for id badges and keys","","B0BF2RK2ZD","SEE-IT! 104 & 52 Qty Sets Badge Holder with Lanyard Name Tag Holder and Lanyards 4x3 Size Quick Load No Zipper Name Badge Holders Lanyards with id Holder Lanyards for id Badges Clear Plastic (104)","SEE-IT!","$27.99","402","17","$11,252","09/11/2022","$17.36","4.4","143","$10.63","14,151","7","FBA","3","Office Products","Standard","3 x 0.01 x 4 in","3.3 lb","https://www.amazon.com/dp/B0BF2RK2ZD"
"Average Monthly Sales: 1,165","","B0C4TNGLT8","Geyoga 200 Pcs Lanyards for ID Badges Neck Lanyard Work Lanyard Office ID Card Lanyards for Women Men Kids","Geyoga","$26.99","90","3","$2,429","05/09/2023","","4.1","4","","59,887","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C4TNGLT8"
"Average Revenue: $13,818","","B07XCZNB8Z","Badge Lanyards Neck Bulk Cruise Lanyards Black Lanyard with Clip for ID Card Name Tags Badge Holders (Black, 50 Pack)","Ollain","$15.99","441","20","$7,052","09/02/2019","$9.82","4.6","356","$6.17","12,564","6","FBA","1","Office Products","Standard","5.16 x 2.56 x 8.5 in","9.2 oz","https://www.amazon.com/dp/B07XCZNB8Z"
"Average Price: $14.22","","B09MFCSKZ1","DELSWIN Heavy Duty Retractable Lanyard - Breakaway Lanyards for ID Badges Keys, Retractable Keychain with Upgraded Carabiner, Key Ring, and 2-Card Thumb-Slot Badge Holder, 8 oz Retraction","DELSWIN","$12.99","647","25","$8,405","11/29/2021","$8.12","4.5","402","$4.87","10,086","7","FBA","1","Office Products","Standard","2.32 x 0.01 x 3.86 in","4.6 oz","https://www.amazon.com/dp/B09MFCSKZ1"
"Average No. of Ratings: 1,041","","B0C7G12YMQ","Retractable ID Badge Holder with Breakaway Lanyard,Heavy Duty Badge Reel,Detachable Keychain, Cruise Ship Cards Holder,for Nurse Officer Teacher Security Staff Women Men","happyhbt","$5.99","3,118","103","$18,677","06/07/2023","$2.17","4.5","146","$3.82","2,094","7","FBA","1","Office Products","Standard","3.94 x 0.1 x 4.72 in","3.52 oz","https://www.amazon.com/dp/B0C7G12YMQ"
"Average Sales Rank: 27,208","","B09H4DQWC8","Lanyards for Id Badges 3 Pack Badge Lanyard with 6 Pcs Id Badge Holder Retractable Stainless Steel Teacher Cruise Ship Lanyards Stocking Stuffers for Women Adults (Black, Silver, Rose Gold)","Prudiut","$9.99","2,031","70","$20,290","09/24/2021","$5.57","4.3","1,584","$4.42","3,306","6","FBA","1","Office Products","Standard","4.53 x 0.71 x 6.69 in","3.52 oz","https://www.amazon.com/dp/B09H4DQWC8"
"Average Rating Number: 4.5","","B07GBPJN6X","Beebel Blue Lanyard Bulk Lanyards for Id Badges Flat Lanyard with Badge Clip Swivel Hook 50 Pack","Beebel","$15.98","1,870","74","$29,883","08/08/2018","$9.81","4.6","2,222","$6.17","3,096","6","FBA","1","Office Products","Standard","6.22 x 1.85 x 8.15 in","11.4 oz","https://www.amazon.com/dp/B07GBPJN6X"
"","","B07KWG5LP7","SEE-IT! 330 pcs Make 110 Name Tag Holders with Lanyards and White Insert Cards, Horizontal Clear Plastic Badge Protector ID Holder Waterproof Heavy Duty Reusable Business School Church Conference","SEE-IT!","$23.99","369","19","$8,852","11/25/2018","$13.96","4.4","1,030","$10.03","13,156","7","FBA","1","Office Products","Standard","11.89 x 3.74 x 11.89 in","3.32 lb","https://www.amazon.com/dp/B07KWG5LP7"
"","","B07NPR11Q1","Lanyard 100 Pack Bulk Badge Lanyards for ID Badges Neck Cruise Lanyard Name Tag Lanyard ID Holder","Bird Fiy","$31.99","597","25","$19,098","07/16/2019","$22.05","4.7","501","$9.94","9,894","6","FBA","1","Office Products","Standard","5.669 x 8.425 x 2.559 in","1.411 lb","https://www.amazon.com/dp/B07NPR11Q1"
"","","B017BU8AX0","Name Tags,Bird Fiy 50 Pcs Waterproof Type Clear Plastic Horizontal Name Tag Badge Id Card and 50 Pcs Blue Lanyard","Bird Fiy","$23.96","602","24","$14,424","10/28/2015","$15.23","4.6","1,088","$8.73","10,379","6","FBA","1","Office Products","Standard","6.8 x 2.7 x 8.6 in","1.3 lb","https://www.amazon.com/dp/B017BU8AX0"
"","","B0BW45QMYJ","Personalized ID Badge Holder with Lanyard, Flower Retractable Badge Reel with Carabiner Clip, Breakaway Lanyard for Keys, Initial Black Work ID Name Card Holder for Teacher Women Gifts (Letter J)","Mcapirivo","$9.99","419","10","$4,186","02/16/2023","$5.57","4.7","282","$4.42","22,918","7","FBA","1","Office Products","Standard","2.5 x 0.12 x 4 in","2.2 oz","https://www.amazon.com/dp/B0BW45QMYJ"
"","","B0C2HFDT7H","Cute Lanyard with ID Holder Pink Case and Retractable Badge Reel Clip, Glitter Arrow Motivational Keychain Key Lanyard for Women Work Nametag Teacher","moxunmo","$8.99","570","19","$5,124","04/13/2023","$-1.30","4.4","109","$10.29","12,988","6","FBA","1","Office Products","Oversize","2.7 x 0.6 x 23 in","2.29 oz","https://www.amazon.com/dp/B0C2HFDT7H"
"","","B08CRL2DFX","Wisdompro 2 Pack of 23 inch Durable Round Cord Heavy Duty Lanyard with Safety Breakaway Buckle, Detachable Buckle and Metal Hook for ID Card Badge Holder and Keys - Black and Army Green","Wisdompro","$11.99","2,243","69","$26,894","07/09/2020","$7.27","4.6","2,967","$4.72","3,359","6","FBA","1","Office Products","Standard","4.33 x 0.51 x 6.5 in","2.46 oz","https://www.amazon.com/dp/B08CRL2DFX"
"","","B07ZFB3C1R","Ollain Badge Lanyards Flat Lanyard Swivel Hooks Durably Neck Bulk lanyards with Clip","Ollain","$16.97","627","22","$10,640","08/09/2019","$10.65","4.7","613","$6.32","11,145","5","FBA","1","Office Products","Standard","5.67 x 2.09 x 7.95 in","9.9 oz","https://www.amazon.com/dp/B07ZFB3C1R"
