"Export time:  2/1/2024, 1:38:56 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CHYDMJ6G","efluky Laundry Basket with Wheels, Rolling Laundry Basket with Lid and Removable Bag, Collapsible Dirty Clothes Basket with Wheels for Laundry Room, Bedroom & Bathroom, 100L (26.4 Gallon) Black","efluky","$34.99","1,375","45","$48,111","09/12/2023","","4.4","64","","20,114","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CHYDMJ6G"
"laundry basket with lid and wheels","","B0BXKN9L11","SOLEDI Laundry Basket with Wheels, Laundry Hamper with Lid 90L(23.8 gal), Clothes Hamper with Bag Removable - Rolling Laundry Basket, Move Smoothly- Suitable for Apartment, Bathroom, Bedroom, Dorm","SOLEDI","$29.58","1,028","37","$30,408","06/19/2023","","4.5","167","","24,626","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BXKN9L11"
"Average Monthly Sales: 1,031","","B0C1Z8DS7Z","WOWLIVE Rolling Laundry Hamper with Lid,Large Laundry Basket Organizer with Wheels,Iron-Made 100L Laundry Sorter with Removable Bag,Tall Dirty Clothes Hamper Dorm Room Storage for Bedroom (Beige)","WOWLIVE","$39.99","359","10","$14,356","04/09/2023","","4.4","171","","90,366","7","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0C1Z8DS7Z"
"Average Revenue: $48,947","","B0CL4M9PKK","Merkisa 60L Slim Laundry Basket with Wheels,Narrow Hampers for Laundry,Freestanding Laundry Hamper with Lid&Bamboo Handles,Collapsible & Waterproof Tall Cloth Hamper for Dorm Family(Beige)","Merkisa","$28.99","1,282","41","$37,165","10/15/2023","","4.4","118","","22,585","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CL4M9PKK"
"Average Price: $47.17","","B09Y5JGF65","Greenstell Laundry Hamper with Lid, 127L Large 2 sections Rolling Laundry Basket with wheels, Round Laundry Cart with Rattan Tray and Removable Bag, Metal Frame, White","GREENSTELL","$49.99","266","6","$13,297","07/12/2022","$28.99","4.6","218","$21.00","146,050","7","FBA","2","Home & Kitchen","Oversize","20.6 x 21.25 x 3.8 in","12.099 lb","https://www.amazon.com/dp/B09Y5JGF65"
"Average No. of Ratings: 736","","B08ZXZ1KZ6","GREENSTELL Laundry Hamper with Wheels&Lid, 125L Large 3 Sections Clothes Hamper with 2 Types Removable Liner Bags, 5 Mesh Laundry Bags, Handwoven Divided Laundry Basket Gray","GREENSTELL","$65.99","570","19","$37,614","03/23/2021","$23.75","4.5","1,648","$42.24","50,487","7","FBA","2","Home & Kitchen","Oversize","12.99 x 25.2 x 25.59 in","13.37 lb","https://www.amazon.com/dp/B08ZXZ1KZ6"
"Average Sales Rank: 147,392","","B0BZXZH31L","SUOERNUO Rolling Laundry Hamper with Removable Bags, Lockable Wheels and 2 Bag Sorter for Clothes Storage, Black","SUOERNUO","$31.99","938","30","$30,007","03/29/2023","","4.3","792","","30,725","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BZXZH31L"
"Average Rating Number: 4.3","","B0BLJJRJJN","JJSMKCH Commercial Laundry Cart with Wheels, 400L Capacity, Sturdy Steel Frame, Waterproof Oxford Cloth, 330 lbs Load, Blue","JJSMKCH","$135.99","175","4","$23,798","11/04/2022","","4.2","19","","200,193","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BLJJRJJN"
"","","B09DCJ19Z7","ALIMORDEN Laundry Cart with Clothes Rack, Rolling Laundry Butler with Wire Storage RackBlack","ALIMORDEN","$60.49","585","20","$35,387","08/22/2021","$36.85","4","749","$23.64","46,440","6","FBA","1","Home & Kitchen","Oversize","19.11 x 2.73 x 23.01 in","15.54 lb","https://www.amazon.com/dp/B09DCJ19Z7"
"","","B08HV6B7M8","Greenstell Laundry Hamper with Wheels, No Install Needed, 90L Divided Handwoven Hampers & 2 Removable Liner Bags, Synthetic Rattan Clothes Laundry Basket with Lid & Handles, Foldable Hampers Natural","GREENSTELL","$59.99","709","20","$42,533","09/10/2020","$36.35","4.5","1,902","$23.64","47,171","7","FBA","1","Home & Kitchen","Oversize","24.803 x 31.102 x 2.756 in","12.434 lb","https://www.amazon.com/dp/B08HV6B7M8"
"","","B001RCUN6G","Sterilite 12228003 Ultra Wheeled Hamper, White Lid & Base w/ Plastic Handle & Wheels, 3-Pack","Sterilite","$69.45","1,303","43","$90,493","08/24/2012","$28.05","4.7","5,077","$41.40","21,099","6","AMZ","7","Home & Kitchen","Oversize","13.75 x 28.38 x 21 in","5.2 lb","https://www.amazon.com/dp/B001RCUN6G"
"","","B08HV9726L","Greenstell Laundry Hamper with Wheels, No Install Needed, 110L Divided Handwoven Hampers & 2 Removable Liner Bags, Rattan Clothes Laundry Basket with Lid & Handles, Foldable Hampers Brown 22x13x26.4In","GREENSTELL","$64.99","705","20","$45,818","09/10/2020","$40.98","4.5","1,902","$24.01","47,171","7","FBA","1","Home & Kitchen","Oversize","24.803 x 2.362 x 34.252 in","14.066 lb","https://www.amazon.com/dp/B08HV9726L"
"","","B0CDB9YRCH","WOWLIVE Double Laundry Hamper with Lid,Rolling Laundry Basket Organizer with Wheels, Iron-Made Laundry Sorter with Top Shelf and 2 Removable Bags,Large Laundry Storage for Room,Black and Beige","WOWLIVE","$66.49","639","19","$42,487","07/31/2023","$4.63","4.4","272","$61.86","48,680","7","FBA","2","Home & Kitchen","Oversize","13 x 29.5 x 32.3 in","16.2 lb","https://www.amazon.com/dp/B0CDB9YRCH"
"","","B083DPWR59","GREENSTELL Laundry Hamper with lid, No Install Needed, 110L Wicker Laundry Baskets Foldable 2 Removable Liner Bags, 2 Section Clothes Hamper Handwoven Rattan Laundry Basket with Handles, Natural","GREENSTELL","$46.99","4,310","138","$202,527","01/01/2020","$24.92","4.6","9,123","$22.07","5,163","7","FBA","3","Home & Kitchen","Oversize","25.5 x 34.6 x 2.6 in","11.649 lb","https://www.amazon.com/dp/B083DPWR59"
"","","B0C2P7HP6F","SONGMICS Laundry Basket with Wheels, Rolling Laundry Hamper, 29 Gal., Round Laundry Cart with Steel Frame and Removable Bag, 4 Casters and 2 Brakes, Cream and Silver URLS002W01","SONGMICS","$59.99","2,643","86","$158,554","07/31/2023","$3.94","4.4","1,311","$56.05","9,547","6","FBA","2","Home & Kitchen","Oversize","19.7 x 28 x 19.7 in","9.24 lb","https://www.amazon.com/dp/B0C2P7HP6F"
"","","B08ZXR3PN5","Greenstell Laundry Hamper with Lid, 60L Clothes Hamper with 2 Removable Liner Bags & 2 Mesh Bags, Handwoven Synthetic Rattan Basket, Toys in Bathroom, Bedroom Natural","GREENSTELL","$39.99","2,100","70","$83,979","03/23/2021","$21.25","4.5","4,577","$18.74","12,205","7","FBA","1","Home & Kitchen","Oversize","15.197 x 24.685 x 3.78 in","7.011 lb","https://www.amazon.com/dp/B08ZXR3PN5"
"","","B0C8TLQR5H","WOWLIVE Laundry Hamper with Wheels, Handwoven Rolling Laundry Basket with Lid, Clothes Hamper with Divided Removable Liner Bag, 115L Large Capacity Laundry Sorter Laundry Room Organization, White","WOWLIVE","$62.99","408","13","$25,700","06/20/2023","$39.28","4.1","57","$23.71","70,703","7","FBA","2","Home & Kitchen","Oversize","24.1 x 3.4 x 25 in","9.78 lb","https://www.amazon.com/dp/B0C8TLQR5H"
"","","B0CGDLZDDS","Azlafu Rolling Laundry Basket with Wheels 2-Pack, 75L Tall Slim Laundry Hamper with Lid, Waterproof Dirty Clothes Hampers for Laundry, Bedroom, Bathroom, Black Hamper with Handles for Clothes and Toys","Azlafu","$46.99","240","7","$11,278","08/22/2023","","4.4","34","","122,887","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CGDLZDDS"
"","","B0CL4QF2PJ","Merkisa 60L Slim Laundry Basket with Wheels,Narrow Hampers for Laundry,Freestanding Laundry Hamper with Lid&Bamboo Handles,Collapsible & Waterproof Tall Cloth Hamper for Dorm Family(Grey)","Merkisa","$28.99","1,317","41","$38,180","10/15/2023","","4.4","118","","22,585","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CL4QF2PJ"
"","","B0C2CK2QZ8","STORAGE MANIAC Slim Laundry Hamper with Lid, 85 L Laundry Sorter with Wheels, Narrow Laundry Basket Sorter, 2 Loads Dirty Clothes Hamper, Laundry Organizer, Laundry Cart with Wheels and Lid, Grey","STORAGE MANIAC","$29.99","329","15","$9,867","04/12/2023","","4.5","43","","64,032","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C2CK2QZ8"
"","","B0C49PBDZ3","ASHARE Laundry Sorter 3 Section Laundry Hamper Basket with Rolling Wheels Laundry Organizer Cart for Bathroom Bedroom Nursery (White+Grey+Black)","ASHARE","$34.99","101","3","$3,534","05/03/2023","","4","17","","240,031","7","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0C49PBDZ3"
"","","B09QM7RMX2","VASAGLE Laundry Hamper, Laundry Basket, Laundry Sorter with 3 Pull-Out and Removable Bags, Shelf, Metal Frame, 3 x 10 Gallons (38L), 36.4 x 13 x 28.4 Inches, Rustic Brown and Black UBLH301B01","VASAGLE","$89.99","5,073","151","$456,519","01/17/2022","$60.33","4.6","3,513","$29.66","4,587","6","FBA","6","Home & Kitchen","Oversize","15.7 x 3.9 x 38.4 in","19.6 lb","https://www.amazon.com/dp/B09QM7RMX2"
"","","B0CBN4327Y","iEGrow 60L Slim Laundry Hamper, Narrow Laundry Basket with Lid,Foldable Clothes Hamper with Bamboo Handles,Tall Thin Dirty Laundry Hamper Basket with Removable Inner Bag for Clothes Towel-Beige","iEGrow","$27.59","2,745","59","$75,735","08/20/2023","","4.1","656","","14,987","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CBN4327Y"
