"Export time:  1/30/2024, 5:16:43 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CJQ3281M","Toy Blocks Sorter Sifter, Cute Portable Storage Brick Box for Lego Blocks, Three Different Size Sorter Perfect for Multiple Building Blocks, Gift for Kids, Teens and Adults (Yellow)","LVHERO","$28.99","456","13","$13,219","10/19/2023","","3.9","41","","23,491","6","FBA","1","Toys & Games","","","","https://www.amazon.com/dp/B0CJQ3281M"
"lego storage","","B09RWP66GH","holay 4 Packs PVC Zippered Blocks Set, Toy, Clay, Board Game Storage Organizer Case (Name Tag, Manual Pocket) (Black, 4 Small)","holay","$23.99","2,846","186","$68,276","01/15/2021","$16.62","4.6","118","$7.37","701","6","FBA","1","Baby","Standard","10.16 x 11.14 x 2.6 in","0.659 lb","https://www.amazon.com/dp/B09RWP66GH"
"Average Monthly Sales: 1,948","","B081TLWF48","Creative QT - SlideAway Toy Storage Organizer & Play Mat for Kids - Organizer Storage Bin for Toys - Kids Toy Box for Boys & Girls - Playroom Storage - Toy Holders for Kids Rooms - Grey Stripe","Creative QT","$64.99","898","15","$58,361","12/02/2019","$44.78","4.7","2,175","$20.21","7,446","7","FBA","1","Baby","Oversize","15.6 x 15.6 x 2.5 in","1.9 lb","https://www.amazon.com/dp/B081TLWF48"
"Average Revenue: $64,381","","B0C3WLBJGB","IAMRU Toy Storage Bag, On the Go Toy Storage Organizer, Car Toy Organization Bags, Lego Travel Bag, Activity Bags for kids, Traveling Carrying Case, Storage Organizer (Large 4 pc Grey Bags)","IAMRU","$28.99","","","","08/30/2023","","4.6","37","","","7","FBA","1","","","","","https://www.amazon.com/dp/B0C3WLBJGB"
"Average Price: $33.58","","B0C2YX8TGT","Plastic Storage Organizer for Lego Box Kids Child Toy Stackable Containers with Lids Bins 3 Layers Adjustable Compartments Building Blocks Chest Case (3 Tiers- Blue)","Harazaqa","$49.99","345","11","$17,247","04/18/2023","","4.3","127","","9,139","7","FBA","1","Baby","","","","https://www.amazon.com/dp/B0C2YX8TGT"
"Average No. of Ratings: 3,130","","B08T1M8S8S","holay 4 Packs PVC Zippered Blocks Set, Toy, Clay, Board Game Storage Organizer Case (Name Tag, Manual Pocket) (Black, 4 Large)","holay","$28.49","3,049","186","$86,866","01/13/2021","$18.43","4.6","267","$10.06","701","6","FBA","1","Baby","Standard","12 x 3 x 9 in","1.173 lb","https://www.amazon.com/dp/B08T1M8S8S"
"Average Sales Rank: 61,479","","B008KQ1WM6","Room Copenhagen LEGO Storage Brick 4, Bright Pink (4003)","Room Copenhagen","$24.99","2,245","61","$56,103","10/28/2013","$14.51","4.8","1,497","$10.48","4,244","5","FBA","3","Toys & Games","Standard","9.84 x 10.04 x 7.13 in","2.271 lb","https://www.amazon.com/dp/B008KQ1WM6"
"Average Rating Number: 4.5","","B07MK572M4","LEGO Small Winking Stackable Storage Head, Girl, 1 piece","Room Copenhagen","$19.95","431","10","$8,598","12/20/2018","$13.19","4.7","124","$6.76","29,342","5","FBA","4","Toys & Games","Standard","6.5 x 7.5 x 6.5 in","0.75 lb","https://www.amazon.com/dp/B07MK572M4"
"","","B008KQ25G8","ROOM Copenhagen Lego Round Storage Box 1, White","ROOM Copenhagen","$15.99","135","2","$2,159","11/17/2014","$9.82","4.5","250","$6.17","114,206","5","FBA","2","Toys & Games","Standard","4.882 x 7.165 x 4.882 in","0.441 lb","https://www.amazon.com/dp/B008KQ25G8"
"","","B008KQ23CE","Lego Round Storage Box 1, Yellow","Room Copenhagen","$15.99","109","2","$1,743","11/17/2014","$9.82","4.5","250","$6.17","114,206","4","FBA","2","Toys & Games","Standard","4.882 x 7.008 x 4.961 in","0.529 lb","https://www.amazon.com/dp/B008KQ23CE"
