"Export time:  1/28/2024, 5:52:46 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07RY2ZY4V","Amazon Basics Rectangular Plastic Desk Organizer, letter size Tray, Black, 2-Pack","Amazon Basics","$14.37","6,999","265","$100,576","09/24/2019","$6.42","4.5","1,308","$7.95","575","6","AMZ","7","Office Products","Standard","10.118 x 13.465 x 2.402 in","1.713 lb","https://www.amazon.com/dp/B07RY2ZY4V"
"letter tray desk organizer","","B08PBFKGJG","Marbrasse 6 Tier Paper Organizer Letter Tray - Mesh Desk File Organizer with Handle, Paper Sorter Organizer for Letter/A4 Office File Folder Holder - Black","Marbrasse","$21.99","9,461","328","$208,047","11/29/2020","$12.26","4.7","2,878","$9.73","414","6","FBA","3","Office Products","Standard","13.937 x 17.323 x 3.228 in","5.739 lb","https://www.amazon.com/dp/B08PBFKGJG"
"Average Monthly Sales: 1,238","","B09KBZCBP3","Sinboun Letter Tray Paper Organizer 5-Tier Desk Organizer File Organizer Paper Holder with Handle, Metal Desktop Document Shelf Tray Office Classroom Organization - Black","Sinboun","$18.99","3,038","69","$57,692","10/25/2021","$9.41","4.7","784","$9.58","3,378","6","FBA","1","Office Products","Standard","13.78 x 14.173 x 2.402 in","4.195 lb","https://www.amazon.com/dp/B09KBZCBP3"
"Average Revenue: $29,547","","B09FFS8QF2","Mr. Pen- Letter Tray Desk Organizer, Plastic, 2 Pack, White File Organizer for Desk, Paper Organizer for Desk, Paper Holder for Desk, White Desk Organizer, Paper Tray Organizer, Office Desk Organizers","Mr. Pen","$14.99","314","11","$4,707","09/02/2021","","4.4","177","","21,155","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B09FFS8QF2"
"Average Price: $25.57","","B0CB5V8PQ6","DAOUTIME 3-Tier Paper Organizer Letter Tray, Wooden Desk File Organizer, Stackable Metal Mesh Desk Organizer for A4 Printer Paper Storage. Small Filing cabinets for Home Office School, Rustic Brown","DAOUTIME","$22.99","900","29","$20,691","08/14/2023","","4.5","122","","8,568","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CB5V8PQ6"
"Average No. of Ratings: 841","","B0CF5D4Z1V","LEKETREE Desk Organizers and Accessories, 5-Tier Paper Letter Tray Organizer with File Holder, Desktop Organizer for Office Supplies, Office Desk Accessories & Workspace(Black)","LEKETREE","$24.99","3,139","90","$78,444","09/12/2023","","4.3","149","","2,479","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CF5D4Z1V"
"Average Sales Rank: 25,865","","B0CFVYSC1M","Youbetia 5 Tier Paper Letter Tray Organizer with Mesh File Holder, Desk Accessories & Workspace Desktop Organizers with Drawer and Pen Holder, Office Supplies Desk Organizer (Rose Gold)","Youbetia","$32.99","1,628","56","$53,708","09/21/2023","$14.54","4.6","137","$18.45","4,270","7","FBA","1","Office Products","Oversize","9.45 x 11.25 x 16.15 in","5.6 lb","https://www.amazon.com/dp/B0CFVYSC1M"
"Average Rating Number: 4.6","","B07V9JRTLL","SimpleHouseware 6 Trays Desk Document File Tray Organizer with Supplies Sliding Drawer, Black","Simple Houseware","$22.87","667","19","$15,254","07/14/2019","$12.41","4.7","10,553","$10.46","12,821","5","FBA","1","Office Products","Standard","12.09 x 15.79 x 3.98 in","5.311 lb","https://www.amazon.com/dp/B07V9JRTLL"
"","","B08DYCSKFQ","EASEPRES Paper Organizer Tray, 3 Tier Mesh Desk File Organizer Letter Sorter Holder for Home Office, Black","EASEPRES","$19.99","965","35","$19,290","07/29/2020","$11.20","4.4","761","$8.79","7,132","6","FBA","1","Office Products","Standard","9.449 x 14.134 x 2.48 in","2.91 lb","https://www.amazon.com/dp/B08DYCSKFQ"
"","","B07HQ6WF9F","eMerit Wood Desktop Organizer Paper Storage Letter Tray File Sorter with Adjustable Shelves for Home Office,White","EMERIT","$30.99","546","20","$16,921","09/25/2018","$19.01","4.6","1,197","$11.98","12,532","6","FBA","2","Office Products","Standard","12.5 x 16.5 x 4.5 in","7 lb","https://www.amazon.com/dp/B07HQ6WF9F"
