"Export time:  2/5/2024, 2:06:56 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08LQXMNRL","Amazon Basics Mid-Century Square Modern X Ottoman Chair, Ivory, 18'D x 20'W x 18'H (Previously Rivet brand)","Amazon Basics","$36.99","","","","04/13/2021","$10.78","4.6","544","$26.21","3,095","6","AMZ","6","Our Brands","Oversize","19.1 x 21.5 x 6.2 in","11.349 lb","https://www.amazon.com/dp/B08LQXMNRL"
"living room ottoman","","B0CJ8Y586D","Hananu Homes, Black Mario Cube Pouf Ottoman 18.7', Tufted Design, Comfortable Foot Rest for Living Room and Bedroom, Gifting for Family and Friends","Hananu Homes","$115.60","","","$0.00","09/17/2023","","5","2","","1,108,132","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CJ8Y586D"
"Average Monthly Sales: 731","","B086BS9WQQ","blue page Unstuffed Ottoman Pouf, Square and Striped, Morocco Tufted Boho Foot Rest, Pouf Cover with Big Tassels, Decorative Stool for Bedroom and Living Room, (18x18x16 Inches, Black and Cream)","blue page","$38.99","477","23","$18,598","03/24/2020","$26.41","4.5","1,916","$12.58","40,952","7","FBA","3","Home & Kitchen","Standard","10.984 x 14.882 x 3.819 in","2.866 lb","https://www.amazon.com/dp/B086BS9WQQ"
"Average Revenue: $45,241","","B07C91ZSX3","Marrakesh Gallery Genuine Leather Round Pouf Unstuffed - Moroccan Ottoman Footstool, Footrest Cover - Boho Decor - Bohemian Living Room, Bedroom, Kids Room, Gift & Wedding (Dark Brown)","Marrakesh Gallery","$65.99","251","7","$16,563","03/22/2017","$50.30","4.6","3,065","$15.69","127,413","7","FBA","3","Home & Kitchen","Standard","8.858 x 10.394 x 4.213 in","2.057 lb","https://www.amazon.com/dp/B07C91ZSX3"
"Average Price: $75.86","","B07FZRGCF5","Homepop Home Decor | Large Button Tufted Woven Round Storage Ottoman for Living Room & Bedroom (Navy Woven) 25 inch D x 25 inch W x 15 inch H","HomePop","$112.99","1,606","48","$181,462","07/28/2018","$63.16","4.6","3,983","$49.83","18,961","7","AMZ","5","Home & Kitchen","Oversize","25 x 25.25 x 14 in","23.951 lb","https://www.amazon.com/dp/B07FZRGCF5"
"Average No. of Ratings: 1,443","","B07WXG1R2Z","Homepop Home Decor |K2380-E903| Luxury Large Faux Leather Square Storage Ottoman | Ottoman with Storage for Living Room & Bedroom, Gray","HomePop","$149.99","578","14","$86,694","08/21/2019","$74.28","4.4","2,059","$75.71","66,741","7","AMZ","9","Home & Kitchen","Oversize","28.5 x 15.5 x 29 in","37.8 lb","https://www.amazon.com/dp/B07WXG1R2Z"
"Average Sales Rank: 130,613","","B098P3WL3X","LANE LINEN Macrame Ottoman Pouf - Hand Knitted Large Foot Rest for Couch, 100% Cotton Cord, Living Room Floor Ottoman - 20 Diameter x 14 Height - Pure Natural","LANE LINEN","$66.99","977","28","$65,449","06/15/2021","","4.5","1,887","","33,593","7","FBA","2","Home & Kitchen","","","6 lb","https://www.amazon.com/dp/B098P3WL3X"
"Average Rating Number: 4.5","","B0BLZWBLVK","Storage Ottoman Bench with Storage Bins, 30-In Storage Bench for Bedroom End of Bed, Folding Foot Rest Ottoman with Storage for Living Room, Storage Chest Max 660lbs, Linen Fabric Grey Ottoman","STORAGEBUD","$38.68","3,078","130","$119,057","11/09/2022","","4.4","802","","5,625","6","AMZ","6","Home & Kitchen","","","","https://www.amazon.com/dp/B0BLZWBLVK"
"","","B0BZJTF379","Spatial Order Home Decor | Dinah Collection Modern Storage Ottoman | Ottoman with Storage for Living Room & Bedroom (Navy)","Spatial Order","$79.91","247","14","$19,738","05/19/2023","","4.1","17","","65,574","7","AMZ","4","Home & Kitchen","","","","https://www.amazon.com/dp/B0BZJTF379"
"","","B0C7XWNMXR","HomePop Home Decor | K7342-A874 | Classic Square Storage Ottoman with Lift Off Lid | Ottoman with Storage for Living Room & Bedroom, Blue Indigo Print, Large","HomePop","$83.99","1,791","63","$150,426","08/06/2023","","4.7","3,830","","13,867","7","AMZ","3","Home & Kitchen","","","","https://www.amazon.com/dp/B0C7XWNMXR"
