"Export time:  1/29/2024, 5:39:31 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09W2X5Y8F","Amazon Basics 5-Shelf Narrow Adjustable Storage Shelving Unit, 200 Pound Loading Capacity per Shelf, Steel Organizer Wire Rack, Black, 13.4'D x 23.2'W x 60'H","Amazon Basics","$49.28","","","","10/05/2022","","4.6","223,399","","68","7","AMZ","6","Our Brands","","","","https://www.amazon.com/dp/B09W2X5Y8F"
"locker organizer shelf","","B087V6948T","StorageMax Deluxe School Locker Organizer with 3 Adjustable Shelves - Fits Lockers from 8.75' and 12.5' Wide","StorageMax","$49.97","250","7","$12,493","04/28/2020","$35.14","4.7","723","$14.83","33,654","6","FBA","1","Office Products","Standard","9.5 x 7.25 x 12.5 in","5.5 lb","https://www.amazon.com/dp/B087V6948T"
"Average Monthly Sales: 613","","B0C1BLSS13","Woanger Police Style Hanging Closet 52 x 11 Inches Door Organizer Locker Shelf Hanging Locker Organizer with Mirror for Police Security Law Enforcement (1, Black)","Woanger","$33.99","284","6","$9,653","04/02/2023","","3.9","22","","39,545","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C1BLSS13"
"Average Revenue: $10,743","","B09XX3MC5G","Neudeco Locker Shelf Organizer, Magnetic Pencil Holder, Metal Storage Basket for Whiteboard, Refrigerator, Ideal Cabinet for School, Black (Pack 3M)","Neudeco","$17.80","306","6","$5,447","04/13/2022","$11.36","4.4","136","$6.44","35,799","7","FBA","30","Office Products","Standard","6.3 x 3.94 x 2.75 in","11.5 oz","https://www.amazon.com/dp/B09XX3MC5G"
"Average Price: $24.32","","B0C2BW6N3V","Locker Organizer Shelf Adjustable Width and Height, Ideal Locker for School, Office, and Gym Lockers (Black 2 Pack)","Piffny","$25.87","2,094","79","$54,172","04/01/2020","","4.4","238","","2,871","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C2BW6N3V"
"Average No. of Ratings: 5,598","","B09B163GLN","U Brands Gray Mesh Locker Organization Kit, Includes Magnetic Cup, Folding Shelf and Bin, 3 Pieces","U Brands","$24.99","215","6","$5,373","07/20/2021","$14.51","4.3","224","$10.48","35,719","6","AMZ","4","Office Products","Standard","4.72 x 12.99 x 10.43 in","2.8 lb","https://www.amazon.com/dp/B09B163GLN"
"Average Sales Rank: 76,350","","B07DPTLN2P","Tools for School Height & Width Adjustable Locker Shelf - Strong ABS Plastic - Width Adjusts from 8'-12.5' & Height Adjusts from 10'-14' - Patented Design - Beware of Cheap IMITATIONS - 2 Pack (Blue)","Tools for School","$29.97","383","19","$11,479","06/12/2018","$19.04","4.6","2,960","$10.93","13,010","7","FBA","1","Office Products","Standard","10.236 x 10.472 x 4.685 in","3.43 lb","https://www.amazon.com/dp/B07DPTLN2P"
"Average Rating Number: 4.3","","B0B1PQ5M1Q","Neudeco Locker Accessories and Decor Kit,Including Mesh Locker Shelf,Locker Organizer,Magnetic Basket and Pen Holder, Suitable for School, Work, Kitchen, Bathroom, (Pack of 4, Grey)","Neudeco","$34.80","243","8","$8,456","05/18/2022","$23.15","4.4","300","$11.65","29,471","7","FBA","30","Office Products","Standard","10.709 x 13.15 x 3.189 in","3.316 lb","https://www.amazon.com/dp/B0B1PQ5M1Q"
"","","B0BBFH4CN6","Locker Shelf for School Locker Adjustable Height and Width, Locker Organizer Shelf Stackable Locker Tools for Gym Lockers, Office, Back to School Essentials, Black","Svartur","$13.99","1,140","38","$15,949","08/21/2022","","4.6","427","","6,435","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BBFH4CN6"
"","","B07DPTPBSF","Tools-for-School Height & Width Adjustable Locker Shelf - Strong ABS Plastic - Width Adjusts from 8'-12.5' & Height Adjusts from 10'-14' - Patented Design - BEWARE OF CHEAP IMITATIONS - 2 Pack (Black)","Tools for School","$29.97","374","19","$11,209","06/12/2018","$19.68","4.6","2,960","$10.29","13,010","7","FBA","1","Office Products","Standard","8.3 x 9.8 x 3.7 in","2.851 lb","https://www.amazon.com/dp/B07DPTPBSF"
