"Export time:  2/1/2024, 1:39:57 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08VFFC8LS","HIGH & MIGHTY 515658 Modern 24' Floating Shelf Holds up to 20lbs, Easy Tool-Free Dry Wall Installation, Flat, eCommerce Packaging, Black","HIGH & MIGHTY","$34.99","264","6","$9,237","02/06/2021","$19.66","4.2","18","$15.33","146,454","7","AMZ","5","Home & Kitchen","Oversize","6.1 x 2.4 x 24.2 in","3.265 lb","https://www.amazon.com/dp/B08VFFC8LS"
"long floating shelf","","B08VFH2PHV","HIGH & MIGHTY 515664 Decorative 36' Floating Shelf Holds up to 25lbs, Easy Tool-Free Dry Wall Installation, Flat, eCommerce Packaging, Black","HIGH & MIGHTY","$39.64","223","8","$8,840","02/05/2021","$22.85","4","44","$16.79","107,906","7","AMZ","6","Home & Kitchen","Oversize","2.3 x 6.23 x 36.3 in","5.19 lb","https://www.amazon.com/dp/B08VFH2PHV"
"Average Monthly Sales: 1,909","","B08VFFC5Y6","HIGH & MIGHTY 515668 Decorative 36' Floating Shelf Holds up to 25lbs, Easy Tool-Free Dry Wall Installation, Beveled, eCommerce Packaging, Espresso","HIGH & MIGHTY","$39.99","102","1","$4,079","02/05/2021","$21.25","3.9","13","$18.74","609,599","7","AMZ","9","Home & Kitchen","Oversize","5.25 x 7 x 36.75 in","10.915 lb","https://www.amazon.com/dp/B08VFFC5Y6"
"Average Revenue: $77,594","","B08VFKKV1D","HIGH & MIGHTY 515662 Decorative 24' Floating Shelf Holds up to 20lbs, Easy Tool-Free Dry Wall Installation, Beveled, eCommerce Packaging, Espresso","HIGH & MIGHTY","$34.99","30","1","$1,050","02/05/2021","$18.14","4","20","$16.85","502,825","7","AMZ","3","Home & Kitchen","Oversize","5.2 x 24.8 x 7.1 in","7.245 lb","https://www.amazon.com/dp/B08VFKKV1D"
"Average Price: $47.82","","B08CVRQ85G","BAMEOS Floating Shelf,Wall Shelf,Decor Wall Mounted Shelves,Hanging Shelf Set L24xW6 for Bathroom Kitchen Living,Kitchen,Room Bedroom Storage,Black","BAMEOS","$37.44","4,797","157","$179,600","07/12/2020","$20.98","4.4","6,338","$16.46","4,353","7","FBA","2","Home & Kitchen","Oversize","6.1 x 24.6 x 3.3 in","5.249 lb","https://www.amazon.com/dp/B08CVRQ85G"
"Average No. of Ratings: 1,371","","B087RG2L6L","Giftgarden 36 Inch Large Floating Shelves for Wall Set of 3, Rustic Picture Ledge Wall Shelf for Bedroom Kitchen Bathroom Living Room Nursery Display, 3 Different Sizes","Giftgarden","$49.99","2,242","65","$112,078","04/27/2020","$32.03","4.6","9,392","$17.96","13,274","7","FBA","4","Home & Kitchen","Oversize","6 x 3 x 36 in","0.661 lb","https://www.amazon.com/dp/B087RG2L6L"
"Average Sales Rank: 104,372","","B0C1G2C558","Floating Shelves 36 Inches Long - 8 Inch Deep Rustic Solid Pine Wood for Storage - Farmhouse Wall Mounted for Living Room - Heavy-Duty Metal Bracket - 36' W x 8' D - Set of 2 - No Stain - Unfinished","Fun Memories","$109.89","669","18","$73,516","04/03/2023","","4.5","44","","50,957","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C1G2C558"
"Average Rating Number: 4.3","","B07W5L42MZ","HOOBRO Floating Shelves, Wall Shelf Set of 2, 23.6 Inch Hanging Shelf with Invisible Brackets, for Wall, Bathroom, Bedroom, Toilet, Kitchen, Office, Living Room Decor, Rustic Brown BF60BJ01","HOOBRO","$38.98","4,456","189","$173,695","10/08/2019","$20.77","4.6","4,507","$18.21","3,335","7","FBA","4","Home & Kitchen","Oversize","11 x 25.3 x 4.6 in","9.299 lb","https://www.amazon.com/dp/B07W5L42MZ"
"","","B0BFF461B8","HOOBRO Floating Shelves, Wall Shelf Set of 3, 35.4 Inches Hanging Shelf with Raised Edge and Invisible Brackets, for Bathroom, Bedroom, Kitchen, Office, Living Room Decor, Greige BG90BJ01","HOOBRO","$39.99","480","16","$19,195","03/12/2022","","4.5","263","","59,088","6","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0BFF461B8"
"","","B0977WFXSX","Wallniture Bora 36 Inch Large Floating Shelves for Wall Storage, Floating Bookshelf Set of 3, Burned Wood Wall Shelves for Books","Wallniture","$52.49","984","27","$51,650","06/13/2021","$33.40","4.6","1,000","$19.09","34,260","6","FBA","5","Home & Kitchen","Oversize","6.6 x 36 x 3.75 in","6.751 lb","https://www.amazon.com/dp/B0977WFXSX"
"","","B08LZV6YDJ","Sorbus Floating Shelves, Wall Shelves for Bedroom, Kitchen, Living Room, Home Decor 24 x 9 Inch Wall Mounted Floating Shelves for Wall, 2 Maple Wood","Sorbus","$31.99","3,974","202","$127,128","01/31/2019","$15.97","4.5","7,969","$16.02","3,018","7","FBA","10","Home & Kitchen","Oversize","10 x 4 x 24 in","6 lb","https://www.amazon.com/dp/B08LZV6YDJ"
"","","B0B12VFNBN","IKJZIZP Rustic Farmhouse Floating Shelves for Wall Decor Storage Wood Wooden Wall Shelves for Bedroom Bathroom Kitchen Living Room - Brown Set of 4","IKJZIZP","$24.95","1,049","36","$26,173","05/10/2022","","4.4","667","","25,684","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0B12VFNBN"
