"Export time:  2/1/2024, 1:39:33 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CJF3S6WK","Caseative Cute Water Ripple Shape Chrome Plating Electroplated Camera Lens Protection Soft Compatible with iPhone Case (Silver,iPhone 15)","Caseative","$12.99","1,976","66","$25,668","09/19/2023","","4.2","244","","2,399","6","FBA","1","Cell Phones & Accessories","","","","https://www.amazon.com/dp/B0CJF3S6WK"
"luxury phone case","","B0BPWWBFXP","Caseative Water Ripple Pattern Curly Wave Frame Soft Compatible with iPhone Case (Silver,iPhone 14)","Caseative","$12.99","12,757","350","$165,713","12/11/2022","","4.4","1,141","","263","5","FBA","2","Cell Phones & Accessories","","","","https://www.amazon.com/dp/B0BPWWBFXP"
"Average Monthly Sales: 2,231","","B0CH6DGWK6","ekoneda Compatible for iPhone 13 Pro Max Case Cute Glitter Fashion Women Girly Luxury Tin Foil Pleated Design Phone Cases 3D Gold Silicone Electroplated Sparkly Slim Soft Glossy Cover 6.7 Inch","ekoneda","$9.99","1,545","55","$15,435","09/09/2023","","4.6","501","","2,908","6","FBA","1","Cell Phones & Accessories","","","","https://www.amazon.com/dp/B0CH6DGWK6"
"Average Revenue: $26,145","","B0CQJV4SY1","WOLLONY for Galaxy S24 Ultra Square Leather Case with Kickstand Ring Stand Holder Luxury Retro Case for Women Girls Metal Edges Shockproof Protective Cover for Samsung Galaxy S24 Ultra 6.8 inch Brown","","$13.99","270","9","$3,777","","","3","1","","17,310","","FBA","","Cell Phones & Accessories","","","","https://www.amazon.com/dp/B0CQJV4SY1"
"Average Price: $14.70","","B0CR6L44F1","Hosgor Compatible with MagSafe Samsung Galaxy S24 Case, Luxury Love Heart Pattern Plating Cover Soft TPU Shockproof Compatible with Samsung Galaxy S24 Case 6.2inch (White)","","$17.98","","","","","","","","","136,851","","FBA","","Cell Phones & Accessories","","","","https://www.amazon.com/dp/B0CR6L44F1"
"Average No. of Ratings: 1,144","","B095N3QT1C","JAROIE Classy Design Luxury Leather Phone Case for iPhone 11 Non-Slip Grip Full Body Ultra Slim Protective Case (2019,6.1) (Brown)","JAROIE","$17.99","170","6","$3,058","05/22/2021","$13.63","4.5","156","$4.36","22,229","6","FBA","1","Cell Phones & Accessories","Standard","5.04 x 9.25 x 0.71 in","0.04 lb","https://www.amazon.com/dp/B095N3QT1C"
"Average Sales Rank: 48,282","","B0BHXYFYYJ","TEAM LUXURY for iPhone 14 Case/iPhone 13 Case, [UNIQ Series] Shockproof Protective Phone Case Cover for Apple iPhone 14/13 6.1 inch (Dark Navy Blue, iPhone 13/14)","TEAM LUXURY","$12.99","3,259","97","$42,334","10/09/2022","","4.6","18,017","","1,535","7","FBA","1","Cell Phones & Accessories","","","","https://www.amazon.com/dp/B0BHXYFYYJ"
"Average Rating Number: 4.4","","B09DC96D6W","Razstorm Unique Design Luxury Leather Business Phone Case for iPhone 13 Anti-Slip Scratch Resistant Ultra Slim Protective Case (2021,6.1) (Brown)","Razstorm","$17.99","217","11","$3,904","08/22/2021","$13.63","4.6","318","$4.36","13,971","6","FBA","1","Cell Phones & Accessories","Standard","5.16 x 9.09 x 0.43 in","0.09 lb","https://www.amazon.com/dp/B09DC96D6W"
"","","B095N3VD9R","JAROIE Classy Design Luxury Leather Phone Case for iPhone 12 & iPhone 12 Pro Non-Slip Grip Full Body Ultra Slim Protective Case (2020,6.1) (Brown)","JAROIE","$17.99","194","4","$3,490","05/22/2021","$13.01","4.5","204","$4.98","30,276","6","FBA","1","Cell Phones & Accessories","Standard","5.12 x 8.94 x 1.14 in","0.071 lb","https://www.amazon.com/dp/B095N3VD9R"
"","","B0BZY7JSP3","LSL Magnetic Case for iPhone 13 Pro Max [Compatible with MagSafe] Soft TPU Bumper Anti-Drop Anti-Scratch Shock Absorption Slim Cover Luxury Plating Full Camera Lens Protective Square Case - Black","LSL","$18.99","214","6","$4,064","03/29/2023","","4.1","71","","22,249","6","FBA","2","Cell Phones & Accessories","","","","https://www.amazon.com/dp/B0BZY7JSP3"
