"Export time:  1/29/2024, 5:38:27 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08H81XNKP","loukin Magnetic and Adhesive Marker Holder, Dry Erase Accessory Tray, Magnetic Storage Organizer for Whiteboard, Glass or Refrigerators (Black)","loukin","$13.99","1,466","51","$20,509","09/01/2020","$8.35","4.4","1,493","$5.64","4,716","6","FBA","1","Office Products","Standard","8.661 x 3.622 x 2.874 in","0.344 lb","https://www.amazon.com/dp/B08H81XNKP"
"magnetic basket for fridge","","B0BY7RJB95","Buyyyit Magnetic Basket Organizer Shelf Rack for Refrigerator Peg Board Office File Foil Plastic Food Wrap Spice Pegboard Holder with Hooks (Black)","Buyyyit","$18.99","625","30","$11,869","03/12/2023","$11.00","4.8","145","$7.99","31,038","7","FBA","1","Home & Kitchen","Standard","10.25 x 6 x 3.2 in","1.1 lb","https://www.amazon.com/dp/B0BY7RJB95"
"Average Monthly Sales: 1,039","","B07D12RND2","EASEPRES Magnetic Pencil Holder Set of 3 - Black Wire Mesh Storage Baskets Organizer with Strong Magnets - Perfect for Whiteboard, Refrigerator and Locker Accessories","EASEPRES","$16.95","322","15","$5,458","05/10/2018","$9.89","4.5","620","$7.06","16,303","6","FBA","1","Office Products","Standard","6.18 x 2.83 x 7.28 in","12.3 oz","https://www.amazon.com/dp/B07D12RND2"
"Average Revenue: $19,685","","B0B9TB84KW","DALTACK Magnetic Pencil Holder Magnetic Shelf for the Whiteboard 3-Grid Mesh Magnetic Pen Holder for Refrigerator Magnetic Organizer Locker Accessories Organizer for Home, School and Office, Black","DALTACK","$12.99","1,123","46","$14,588","08/15/2022","$7.27","4.6","491","$5.72","5,330","6","FBA","1","Office Products","Standard","4.8 x 7.5 x 2.1 in","9.6 oz","https://www.amazon.com/dp/B0B9TB84KW"
"Average Price: $18.45","","B0CP63V6PS","Magnetic Basket Organizer 2 Pack Magnetic Shelf for Refrigerator, Metal Fridge Spice Rack Food Wrap Storage Shelves Office File Folder Holder for File Cabinets, White Board, Locker Organization","Shenweiwl","$24.99","30","2","$749.70","11/28/2023","","5","1","","112,309","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CP63V6PS"
"Average No. of Ratings: 865","","B092J673YK","Sanpaint Magnetic Pencil Holder,Mesh Stainless Steel Pen Basket, Metal Writing Utensil Storage Organizer for Whiteboard,Blackboard,Kitchen, Locker, Home, or Office","Sanpaint","$6.49","2,977","98","$19,321","04/14/2021","$1.98","4.7","2,369","$4.51","2,214","6","FBA","1","Office Products","Standard","3.819 x 5.079 x 3.071 in","0.251 lb","https://www.amazon.com/dp/B092J673YK"
"Average Sales Rank: 53,187","","B0CH85RCRG","NiHome Metal Magnetic Storage Baskets 2-Pack Medium + Small, Magnetic Fridge Organizer, Magnetic Basket for Office File Foil Plastic Food Wrap Spice, Space-Saving & Strong Design Holds Up to 14 Pounds","NiHome","$26.99","50","","$1,350","09/03/2023","$17.15","","","$9.84","846,744","7","FBA","1","Home & Kitchen","Standard","6.73 x 4.45 x 11.22 in","2.27 lb","https://www.amazon.com/dp/B0CH85RCRG"
"Average Rating Number: 4.6","","B09H2ZKSMM","dedoot Magnetic Pencil Holder, Black Mesh Pen Organizer Strong Magnetic Storage Basket Organizes Pens, Pencils, Markers for Whiteboard, Locker, Fridge, Cubicle Desk, Offices 6.3x2.3x2.6inch","dedoot","$15.99","295","16","$4,717","09/23/2021","$9.07","4.6","307","$6.92","15,528","7","FBA","1","Office Products","Standard","2.05 x 7 x 2.05 in","0.851 lb","https://www.amazon.com/dp/B09H2ZKSMM"
"","","B08XQ173KL","loukin Magnetic and Adhesive Marker Holder, Dry Erase Accessory Tray, Magnetic Storage Organizer for Whiteboard, Glass or Refrigerators (White)","loukin","$13.99","1,494","51","$20,901","02/28/2021","$8.35","4.4","1,493","$5.64","4,716","6","FBA","1","Office Products","Standard","2.7 x 3.5 x 8.4 in","5.3 oz","https://www.amazon.com/dp/B08XQ173KL"
"","","B0BN1SSL9Z","OUNONA Wire Mesh Magnetic Storage Basket Trash Caddy Container Desk Tray Office Organizer for Refrigerator Microwave Oven Magnetic Surface Kitchen Office Black","OUNONA","$26.99","60","2","$1,619","03/20/2023","","5","3","","95,339","7","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BN1SSL9Z"
