"Export time:  1/29/2024, 11:47:51 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BY7RP2TX","Vdamu 1-Tier Magnetic File Holder - No Drilling Installation File Organizer, Large Capacity Magnetic File Holder for Refrigerator, File Cabinets, Whiteboard, Office, Kitchen","Vdamu","$24.99","577","18","$14,419","03/12/2023","$17.85","4.7","53","$7.14","13,593","7","FBA","1","Office Products","Standard","13.7 x 8.6 x 3.9 in","11.2 oz","https://www.amazon.com/dp/B0BY7RP2TX"
"magnetic file holder for refrigerator","","B0BLV6H66M","Vdamu 6-Tier Magnetic File Holder - No Drilling Installation File Organizer, Large Capacity Magnetic File Holder for Refrigerator, File Cabinets, Whiteboard, Office, Kitchen","Vdamu","$35.99","349","16","$12,561","11/08/2022","$22.96","4.6","137","$13.03","15,401","7","FBA","2","Office Products","Standard","13.07 x 4.61 x 16.65 in","3.3 lb","https://www.amazon.com/dp/B0BLV6H66M"
"Average Monthly Sales: 200","","B095BS96C1","Magnetic Sign Holder 8.5 x 11 Wall Mount,Double Sided Display Window Self-Adhesive Frame,Durable Magnetic Display Frame for Letter Size Document Sign at Office/School/Business Store/Refrigerator,6Pcs","JIUYE","$19.99","579","24","$11,574","05/18/2021","$14.07","4.4","395","$5.92","10,456","6","FBA","1","Office Products","Standard","8.5 x 0.4 x 11 in","3.35 oz","https://www.amazon.com/dp/B095BS96C1"
"Average Revenue: $4,402","","B0BLM1NBZT","Magnetic File Holder, File Organizer for File Cabinets, Mail Organizer Vertical Magazine Holder for Refrigerator, No-Drill Mount Hanging Magnetic Folder Holder for Office Home1-Tier, Black)","Patvingot","$24.99","138","4","$3,449","11/05/2022","$14.51","4.9","68","$10.48","49,504","7","FBA","1","Office Products","Standard","8.9 x 4.69 x 14.37 in","2.14 lb","https://www.amazon.com/dp/B0BLM1NBZT"
"Average Price: $24.65","","B0BXF9HB44","2 Pack Magnetic File Holder, Magnetic Paper Holder for Refrigerator, File Cabinets and Fridge, Magnetic Pocket Wall Hanging File Organizer, Magnetic File Folder Case for Mail Letter Notebook Planners","COMFYROOM","$16.99","596","25","$10,126","03/02/2023","$9.92","4.3","141","$7.07","10,098","7","FBA","1","Office Products","Standard","9.4 x 1 x 11.8 in","13.7 oz","https://www.amazon.com/dp/B0BXF9HB44"
"Average No. of Ratings: 179","","B07KXKF942","Magnetic File Holder - Magnetic Paper Holder, Pocket Organizer Office Supplies Storage Mail Organizer for Notebooks,Planners,Letter (1 Pack)","Marbrasse","$9.98","863","30","$8,613","11/26/2018","$2.69","4.4","1,667","$7.29","8,294","6","FBA","1","Office Products","Standard","1.06 x 11.8 x 9.4 in","2.2 lb","https://www.amazon.com/dp/B07KXKF942"
"Average Sales Rank: 84,478","","B0BP2FT2M8","Magnetic File Holder, File Organizer for File Cabinets, Mail Organizer Vertical Magazine Holder for Refrigerator, No-Drill Mount Hanging Magnetic Folder Holder for Office Home3-Tier, Black)","Patvingot","$31.99","134","4","$4,287","11/05/2022","$20.76","4.9","68","$11.23","49,504","7","FBA","1","Office Products","Standard","3.5 x 11.4 x 13.8 in","3.3 lb","https://www.amazon.com/dp/B0BP2FT2M8"
"Average Rating Number: 4.5","","B0BS3RH2VY","Vdamu 3-Tier Magnetic File Holder - No Drilling Installation File Organizer, Large Capacity Magnetic File Holder for Refrigerator, File Cabinets, Whiteboard, Office, Kitchen","Vdamu","$25.99","121","3","$3,145","01/10/2023","$15.36","4.6","51","$10.63","61,679","7","FBA","2","Office Products","Standard","10.98 x 4.33 x 13.39 in","2.03 lb","https://www.amazon.com/dp/B0BS3RH2VY"
"","","B0CKWW6WL8","Carmanon Acrylic Magnetic File Holder, Clear Mail Holder Wall Mount with Powerful Magnetism, Hanging Wall Magazine Organizer for Refrigerator, Whiteboard, Ofiice (2 Pack)","","$24.99","120","4","$2,999","11/09/2023","","4.8","22","","52,475","","FBA","","Office Products","","","","https://www.amazon.com/dp/B0CKWW6WL8"
"","","B0CNTRYT36","PAKAHEY 6 Tier Magnetic File HolderNo Drilling Required Folder Letter Organizer for Office File Cabinets,Refrigerator, Whiteboard, Metal Magnetic Mail Paper Storage Basket for Home, Office Supplies","PAKAHEY","$35.89","150","5","$5,384","12/25/2023","","4.4","32","","47,819","","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CNTRYT36"
