"Export time:  1/29/2024, 5:36:14 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C6H3HV7Z","VieFantaisie Magnetic Glass Whiteboard Marker Holder, Magnetic Pen Holder, Magnetic Dry Erase Marker Holder, Whiteboard Marker Holder Magnetic Marker Holder for Fridge, Whiteboard, Office, Home,1 Pack","VieFantaisie","$13.99","448","12","$6,268","05/26/2023","$8.12","4.6","61","$5.87","19,325","7","FBA","1","Office Products","Standard","4.37 x 2.95 x 5 in","7.4 oz","https://www.amazon.com/dp/B0C6H3HV7Z"
"magnetic pen holder for refrigerator","","B0C61M6G6R","Cociat Magnetic Marker Holder for Refrigerator 4.7x2.6 Inch Acrylic Pen Holder for Fridge Magnetic Pen Holder","Cociat","$9.99","90","3","$899.10","05/22/2023","$3.97","4.8","9","$6.02","60,362","","FBA","1","Office Products","Standard","4.45 x 3.23 x 5.79 in","8.1 oz","https://www.amazon.com/dp/B0C61M6G6R"
"Average Monthly Sales: 622","","B0C3B4C7MS","KITANIS Magnetic Pen Holder,2 Pack Magnetic Dry Erase Marker Holder with Generous Compartments,Strong Magnet Storage Marker Pen Pencil Organizer for Refrigerator,Whiteboard,Locker Accessories","KITANIS","$6.99","5,622","225","$39,298","04/22/2023","$2.17","4.5","467","$4.82","736","7","FBA","1","Office Products","Standard","2 x 1 x 4.5 in","6.4 oz","https://www.amazon.com/dp/B0C3B4C7MS"
"Average Revenue: $5,414","","B0CKVPXLP4","maxtek Magnetic Pen Holder, Dry Erase Marker Holder with 2 Removable Compartments. DIY Large Capacity Magnetic Pencil Holder for Whiteboard, Refrigerator and Other Metal Surfaces","maxtek","$7.99","128","6","$1,023","10/10/2023","$3.87","3.8","8","$4.12","36,964","7","FBA","1","Office Products","Standard","7.56 x 0.75 x 7.76 in","5.9 oz","https://www.amazon.com/dp/B0CKVPXLP4"
"Average Price: $10.01","","B0B21ZF4B9","Sanpaint Magnetic Modern Pen and Pencil Holder, Metal Writing Utensil Storage Organizer for Kitchen, Locker, Home, or Office, 3.25' x 1.75' x 3.50', Brushed Stainless Steel","Sanpaint","$7.49","1,100","32","$8,239","05/22/2022","$2.83","4.8","316","$4.66","7,807","7","FBA","1","Office Products","Standard","3.6 x 5 x 1.77 in","4 oz","https://www.amazon.com/dp/B0B21ZF4B9"
"Average No. of Ratings: 572","","B0C6HJP9R6","VieFantaisie 2 PCS Magnetic Pen Holder, Magnetic Dry Erase Marker Holder, Magnetic Marker Pencil Holder for Fridge, Whiteboard Marker Holder for School, Office, Home, Magnetic Marker Organizer, White","VieFantaisie","$6.99","785","57","$5,487","05/27/2023","$2.40","4.6","116","$4.59","4,208","6","FBA","1","Office Products","Standard","2.48 x 1.34 x 4.84 in","2.89 oz","https://www.amazon.com/dp/B0C6HJP9R6"
"Average Sales Rank: 37,763","","B09GVNWYGG","LUTER 2 Pcs Magnetic Pencil Holder Pen Holder Magnetic Pen Holder Organizer Home Office Supplies for Refrigerator Whiteboard Locker (White)","LUTER","$7.99","322","9","$2,573","09/21/2021","$3.25","4.6","739","$4.74","26,267","7","FBA","1","Office Products","Standard","1.06 x 4.72 x 2.24 in","2.47 oz","https://www.amazon.com/dp/B09GVNWYGG"
"Average Rating Number: 4.6","","B0B9TB84KW","DALTACK Magnetic Pencil Holder Magnetic Shelf for the Whiteboard 3-Grid Mesh Magnetic Pen Holder for Refrigerator Magnetic Organizer Locker Accessories Organizer for Home, School and Office, Black","DALTACK","$12.99","1,123","46","$14,588","08/15/2022","$7.27","4.6","491","$5.72","5,330","6","FBA","1","Office Products","Standard","4.8 x 7.5 x 2.1 in","9.6 oz","https://www.amazon.com/dp/B0B9TB84KW"
"","","B08YXVMBMG","VieFantaisie Magnetic Dry Erase Marker Holder, Magnetic Pen Holder for Fridge, Magnetic Marker Holder, Whiteboard Marker Holder for Locker Accessories, School, Office, Home, Magnetic Cup,1 Pack, White","VieFantaisie","$8.99","1,636","72","$14,708","03/13/2021","$4.10","4.4","988","$4.89","3,209","7","FBA","1","Office Products","Standard","4.8 x 1.7 x 4.9 in","5.3 oz","https://www.amazon.com/dp/B08YXVMBMG"
"","","B0C6YFDD6V","2pcs Magnetic Pen Marker Holders, Magnet Pencil Cup Storage Organizer for Classroom Office Home Locker and Refrigerator Whiteboard Locker (QX107)","Ckoytals","$5.49","150","5","$823.50","06/01/2023","","4.4","4","","47,448","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C6YFDD6V"
"","","B092J673YK","Sanpaint Magnetic Pencil Holder,Mesh Stainless Steel Pen Basket, Metal Writing Utensil Storage Organizer for Whiteboard,Blackboard,Kitchen, Locker, Home, or Office","Sanpaint","$6.49","2,977","98","$19,321","04/14/2021","$1.98","4.7","2,369","$4.51","2,214","6","FBA","1","Office Products","Standard","3.819 x 5.079 x 3.071 in","0.251 lb","https://www.amazon.com/dp/B092J673YK"
"","","B09672G2DF","Stick-O Pen Magnetic Pen Pencil Holder - Holds Most pens, Pencils, and Thin Markers. Ideal for Fridges, Task Boards, Workshops, Classrooms, Offices, and Kitchens. (Three Pack)","Better Labz","$8.99","579","24","$5,205","05/29/2021","$4.10","4.6","632","$4.89","10,453","6","FBA","1","Office Products","Standard","1 x 3.5 x 5.5 in","0.634 oz","https://www.amazon.com/dp/B09672G2DF"
"","","B0C6KFMNLM","Pansyling Clear Acrylic Magnetic Dry Eraser Marker Holder, Transparent Magnetic Whiteboard Marker Holder Magnetic Acrylic Pen Holder Pencil Cup Holder for School Office Locker Whiteboard Refrigerator","Pansyling","$11.99","77","3","$923.23","05/28/2023","$6.65","5","9","$5.34","69,019","7","FBA","1","Office Products","Standard","1.8 x 3.9 x 5.9 in","3.2 oz","https://www.amazon.com/dp/B0C6KFMNLM"
"","","B09WY7KNYZ","minimaliving Pen Holder,Nordic Style Silicone Waterproof Pencil Holder for Desk Simple&Modern Minimalist Makeup Organizer Multifunctional Office Supplies for Home,Kids and School(Beige)","minimaliving","$9.99","1,945","74","$19,431","03/30/2022","$4.95","4.4","766","$5.04","3,099","6","FBA","1","Office Products","Standard","3.3 x 3.9 x 3.9 in","0.231 lb","https://www.amazon.com/dp/B09WY7KNYZ"
"","","B0CKP2ZX5V","NiOffice Clear Acrylic Magnetic Pen Holder for Whiteboard Desk Fridge Locker, Self Adhesive Marker Wall Holder for Home School Office, 3-Grid Magnetic Pencil Organizer Holder for Pen Key Sticky Note","NiOffice","$15.99","90","3","$1,439","12/22/2023","","","","","64,278","","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CKP2ZX5V"
"","","B00BCMCEB8","Wellspring Wiggle Pen - Magnetic Pens for Fridge and Other Magnetic Surfaces, for Making Quick Notes Or Lists, Use with A Grocery List Magnet Pad for Fridge (Coral)","Wellspring","$11.45","240","8","$2,748","08/14/2013","$6.48","4.4","1,291","$4.97","27,602","7","FBA","2","Office Products","Standard","7 x 0.9 x 4.9 in","0.05 lb","https://www.amazon.com/dp/B00BCMCEB8"
"","","B0B3MWZFCH","KINBOM 2pcs Leather Magnetic Pen Holder for Refrigerator PU Leather Pen Pouch Holder for Fridge or Other Metal Surfaces (Black)","KINBOM","$5.99","337","7","$2,019","06/08/2022","$2.17","4.2","224","$3.82","32,094","7","FBA","1","Office Products","Standard","3.31 x 0.31 x 5.51 in","1.06 oz","https://www.amazon.com/dp/B0B3MWZFCH"
"","","B0BWWB6WCZ","Medsuo 3pcs Strong Magnetic Single Pen Holders Organizer Clips with Adjustable Spring Loop Fit for Any Size Pens Removable Push Pins on Refrigerator, Whiteboard, Erase Board and Bulletion Board","Medsuo","$6.29","273","12","$1,717","02/25/2023","$2.43","4.3","30","$3.86","20,411","6","FBA","1","Office Products","Standard","2.83 x 0.67 x 4.49 in","0.634 oz","https://www.amazon.com/dp/B0BWWB6WCZ"
"","","B0CDGVWC91","Magnetic Pencil Holder - Extra Strong Magnets Mesh Marker Holder Perfect for Whiteboard, Refrigerator and Locker Accessories (1 Baskets, Black)","zeyce","$5.99","316","15","$1,893","08/01/2023","$1.32","4.8","7","$4.67","15,910","7","FBA","1","Office Products","Standard","3.6 x 5 x 1.8 in","6.7 oz","https://www.amazon.com/dp/B0CDGVWC91"
"","","B0C3ZJ9JFS","Ctosree 6 Pcs Magnetic File Holder 3 Size Magnetic Pen Holder Refrigerator Magnet Organizer Wall Fridge Pockets Planners Mail Storage Case Pencil Cup for Metal Cabinet Lockers (White)","Ctosree","$17.99","68","1","$1,223","04/30/2023","$9.50","5","5","$8.49","115,113","7","FBA","1","Office Products","Standard","10.67 x 1.81 x 16.02 in","2.18 lb","https://www.amazon.com/dp/B0C3ZJ9JFS"
"","","B09KBXZM5T","Epessa Stick-On Pen Holder for Notebook, Adhesive Pencil Sleeve Pouch for Hardcover Journals, Planners, Notebooks, Reusable Pen Pocket Organizer Easy to Remove (Pink)","Epessa","$9.99","438","14","$4,376","10/25/2021","$5.57","4.5","307","$4.42","17,217","6","FBA","1","Office Products","Standard","0.16 x 6.3 x 1.97 in","3.52 oz","https://www.amazon.com/dp/B09KBXZM5T"
"","","B0BYCC9TMY","MANMANTAO Magnetic Sign Holder 8.5'x 11', Self Adhesive Display Picture Frames with Durable Magentic Border and Clear PVC for Office,Home,Store,Glass,Super market Display (8PC Black)","MANMANTAO","$19.98","91","3","$1,818","05/02/2023","","4.1","27","","63,274","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BYCC9TMY"
"","","B0CHF7TJ17","loukin Magnetic and Adhesive Marker Holder, Dry Erase Accessory Tray, Magnetic Storage Organizer for Whiteboard, Glass or Refrigerators (Purple)","loukin","$13.99","40","3","$559.60","09/05/2023","","4.4","19","","73,413","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CHF7TJ17"
"","","B0CHDYSQ8V","4 Pack Magnetic Pen Pencil Holder - Silicone Adjustable holder fit most pens pencils, Great for Fridges, Whiteboards, Workshops,Offices,Classrooms and KitchensBlack","pasezenn","$8.69","341","16","$2,963","09/05/2023","$4.47","4.2","29","$4.22","15,689","7","FBA","1","Office Products","Standard","0.71 x 0.79 x 0.79 in","0.634 oz","https://www.amazon.com/dp/B0CHDYSQ8V"
"","","B0CHJNZWCR","BEYGORM Magnetic Dry Erase Marker Holder for Whiteboard,Non-slip Acrylic Magnet Pen Holder for Fridge Refrigerator,Locker Organizer for Work,Locker Accessories,Pencil Cup for Desk,Marker Organizer","BEYGORM","$9.99","90","3","$899.10","12/18/2023","","4.8","9","","68,528","","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CHJNZWCR"
"","","B0BS3FYPDJ","2pcs Magnetic Pen Marker Holders, S Size Magnetic Pen Pencil Holder Organizer Home Office Supplies for Refrigerator Whiteboard Locker (Black)","LUTER","$7.99","296","8","$2,365","01/10/2023","","4.5","193","","27,719","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BS3FYPDJ"
"","","B0CNCTRXHF","2Pack Magnetic Pen Holder for Refrigerator,Magnetic Marker Holderfor Whiteboard With Removable Compartments, Magnetic Dry Erase Marker Holder,Magnetic Marker Pen Pencil Organizer for Fridge Locker","Keukenket","$7.99","150","5","$1,199","01/10/2024","","5","2","","44,159","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CNCTRXHF"
"","","B0CMCQ35DL","OUTXE 10 Pack Magnetic Pen Holder - Adhesive Pencil Holder for Desk with Dual Pen Slots - Adjustable Silicone Magnet Marker Holder for Refrigerator, Whiteboard, Clipboard (10 Magnets)","OUTXE","$12.99","240","8","$3,118","11/01/2023","","5","6","","27,498","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CMCQ35DL"
"","","B09ZTY52Y9","Simetufy Magnetic Glass Whiteboard Accessory Holder for Markers, Pens, Pencils - Fridge, Lockers, Whiteboards - Transparent, 1 Pack","Simetufy","$9.98","2,454","76","$24,491","05/08/2022","$5.41","4.8","433","$4.57","3,027","6","FBA","1","Office Products","Standard","0.01 x 4.7 x 4 in","7 oz","https://www.amazon.com/dp/B09ZTY52Y9"
"","","B0CR6HQ2ZD","Nearockle 12 Pack Magnetic Pen Pencil Holder, Silicone Adjustable Pen Holder for Desk, Refrigerator, Whiteboards, Office Desk Accessories Marker Organizer(Multi)","Nearockle","$12.99","243","10","$3,157","12/28/2023","$8.12","4.8","6","$4.87","23,316","6","FBA","1","Office Products","Standard","3.9 x 0.09 x 4.7 in","1.44 oz","https://www.amazon.com/dp/B0CR6HQ2ZD"
"","","B096KF9F6L","Magnetic Pen and Pencil Holder, Metal Writing Utensil Storage Organizer, Brushed Stainless Steel Pencil Cup for Kitchen, Locker, Home, or Office","zeyce","$6.99","288","12","$2,013","06/02/2021","$2.17","4.8","264","$4.82","19,262","6","FBA","1","Office Products","Standard","1.75 x 3.5 x 3.25 in","6.7 oz","https://www.amazon.com/dp/B096KF9F6L"
"","","B0BB1246SS","Outus Grocery List Pads Funny Memo Notepad Magnet Refrigerator Notepad with 1 Piece Pen Holder Magnetic Pu Leather Marker Pouch for Shopping and to Do Lists (Black, Stripe Style)","Outus","$8.99","313","10","$2,814","08/17/2022","$4.72","4.5","712","$4.27","24,486","6","FBA","1","Office Products","Standard","6.06 x 0.39 x 9.17 in","3.53 oz","https://www.amazon.com/dp/B0BB1246SS"
"","","B0CJ2W4D3T","Lemosae 6 Pcs Magnetic Dry Erase Marker Holder Magnetic Pen Holder for Whiteboard Magnet Pencil Storage Organizer for Office Refrigerator Locker Classroom Organization Metal Cabinets(Aesthetic Color)","Lemosae","$19.99","76","2","$1,519","09/13/2023","$11.85","5","1","$8.14","100,021","7","FBA","1","Office Products","Standard","1.8 x 4.8 x 5 in","1.96 lb","https://www.amazon.com/dp/B0CJ2W4D3T"
"","","B0BRKSNKDY","Magnetic Pencil Holder - Magnetic Locker Organizer, 1 Pack Pen Holder Locker Accessories for School and Office (1 Basket Black)","zeyce","$5.99","1,963","68","$11,758","01/03/2023","$1.55","4.7","413","$4.44","3,438","7","FBA","1","Office Products","Standard","3.54 x 5 x 1.77 in","5.6 oz","https://www.amazon.com/dp/B0BRKSNKDY"
"","","B0BCVJFBM9","Magnetic Pen Holder Pouch (Leather) for Refrigerator OR Metal Surface 1 Pouch","Performore","$5.99","150","5","$898.50","09/01/2022","","4.8","44","","41,656","4","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BCVJFBM9"
"","","B07NZVZ994","Fridge Pen Holder Magnetic Leather Marker Pouch for Refrigerator or Metallic Surfaces (2 PCS Pen Holders)","HOLDM","$9.99","269","2","$2,687","02/19/2019","$4.95","4.8","2,496","$5.04","81,056","6","FBA","1","Office Products","Standard","2.8 x 1.18 x 6.14 in","0.32 oz","https://www.amazon.com/dp/B07NZVZ994"
"","","B07YJNB36J","Magnetic Pen Holder Clips Refrigerator Magnet Pen Marker Clip Holder, Fridge Whiteboard Erase Board Bulletin Board Map Accessories (3 Magnet)","Millennial Essentials","$7.79","192","9","$1,496","09/28/2019","$3.08","4.7","1,837","$4.71","26,980","6","FBA","1","Office Products","Standard","3.62 x 0.79 x 4.8 in","0.704 oz","https://www.amazon.com/dp/B07YJNB36J"
