"Export time:  1/29/2024, 5:38:52 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09MXL1W9H","ProKeeper+ 9 Piece Clear Plastic Airtight Food Flour and Sugar Baker's Kitchen Storage Organization Container Canister Set with Magnetic Accessories","Progressive International","$69.99","6,563","215","$459,344","12/01/2021","$46.39","4.7","986","$23.60","764","6","FBA","4","Kitchen & Dining","Oversize","11 x 12 x 12 in","5 lb","https://www.amazon.com/dp/B09MXL1W9H"
"magnetic storage containers","","B078YDP6RJ","Ybmhome Wire Mesh Magnetic Storage Basket, Trash Caddy, Container, Desk Tray, Office Supply Organizer Silver for Refrigerator/Microwave Oven or Magnetic Surface in Kitchen or Office (1, Medium)","YBM HOME","$18.99","124","4","$2,355","01/10/2018","$10.85","4.6","323","$8.14","55,765","7","FBA","2","Office Products","Standard","4.3 x 4.3 x 7.75 in","1 lb","https://www.amazon.com/dp/B078YDP6RJ"
"Average Monthly Sales: 1,969","","B0BW15VK2G","Progressive International PKS-401 1.5 Cup Mini Prokeeper + Airtight Silicone Seal Storage Container Great For Spices & Baking Acessories Set of 6 (PKS-401 (6-Pack))","Progressive International","$44.95","1,057","38","$47,512","02/15/2023","$24.71","4.6","78","$20.24","7,166","6","FBA","2","Kitchen & Dining","Oversize","12 x 12 x 12 in","2.23 lb","https://www.amazon.com/dp/B0BW15VK2G"
"Average Revenue: $47,637","","B0CD88CN3Y","MyGift 4 Pcs Industrial Matte Black Metal Wire Mesh Magnetic Office Baskets with Mail Sorter, File Storage Organizer, and Stationery Marker Pen Holders","MyGift","$34.99","","","$0.00","07/30/2023","$23.16","","","$11.83","408,036","6","FBA","1","Office Products","Standard","4.3 x 4.4 x 10.6 in","3.75 lb","https://www.amazon.com/dp/B0CD88CN3Y"
"Average Price: $26.36","","B0CNR7YSLB","1 Set Magnetic Shelf for Refrigerator with Wood Lid, Fruit Potato & Onion Storage Bins, Pantry Organizers & Storage, Large Container Magnetic Spice Rack for Refrigerator, Kitchen Counter, Cabinet","Ofiray-home","$28.98","292","9","$8,462","01/16/2024","","4.3","40","","31,559","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CNR7YSLB"
"Average No. of Ratings: 1,538","","B087C71HPF","MR. LID Premium Attached Storage Containers | Permanently Attached Plastic Lid, Never Lose | Space Saving (7 piece set)","MR. LID","$23.99","190","10","$4,558","02/04/2020","$13.96","4.7","431","$10.03","27,410","6","FBA","1","Kitchen & Dining","Standard","8.19 x 6.1 x 10.83 in","1.49 lb","https://www.amazon.com/dp/B087C71HPF"
"Average Sales Rank: 74,646","","B09GW2T4H4","ClearSpace Plastic Storage Bins With lids  Perfect Kitchen Fridge Organizer, Pantry Organization, Cabinet Organizers - 8 Pack","ClearSpace","$69.99","4,158","214","$291,018","04/17/2022","$46.37","4.7","1,214","$23.62","773","6","FBA","6","Kitchen & Dining","Oversize","11.61 x 18.07 x 7.83 in","11.881 lb","https://www.amazon.com/dp/B09GW2T4H4"
"Average Rating Number: 4.5","","B0787183NR","Mr. Lid Premium Attached Storage Containers | Permanently Attached Plastic Lid, Never Lose | Space Saving (17 Piece Set)","MR. LID","$41.99","233","14","$9,784","12/10/2017","$28.66","4.7","1,929","$13.33","19,826","6","FBA","1","Kitchen & Dining","Standard","7.37 x 9 x 11.87 in","2.79 lb","https://www.amazon.com/dp/B0787183NR"
"","","B07RP59GBV","IMPRESA Hexagonal Glass Magnetic Spice Jars - 15 Pack - Spice Storage Containers with Stainless Steel Magnet Lids - Includes 60 Labels - Designed for Fridge and Backsplash Organization","IMPRESA","$39.99","127","4","$5,079","05/08/2019","$28.20","4","1,875","$11.79","56,938","7","FBA","2","Kitchen & Dining","Standard","1.75 x 2 x 1.75 in","2.25 lb","https://www.amazon.com/dp/B07RP59GBV"
"","","B0C5DHXTNN","Aufworld Magnetic Spice Rack for Refrigerator, 3 Pack Magnetic Shelf, Moveable Magnetic Fridge Organizer with 8-Hook Rack for Kitchen Organization and Storage (3 Pack)","Aufworld","$19.99","1,864","64","$37,261","05/15/2023","","4.8","333","","3,916","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C5DHXTNN"
