"Export time:  1/29/2024, 5:38:04 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B096BLP9T9","Lwenki Mail Organizer for Wall Mount  Key Holder with Shelf Includes Letter Holder and Hooks for Coats, Dog Leashes  Rustic Wood with Flush Mounting Hardware (16.5 x 8.7 x 3.5)","Lwenki","$25.99","1,762","56","$45,794","05/31/2021","$15.66","4.7","2,129","$10.33","15,833","6","FBA","1","Home & Kitchen","Standard","3.6 x 8.2 x 16.5 in","1 lb","https://www.amazon.com/dp/B096BLP9T9"
"mail holder for wall","","B0CHZBD8Z1","Mail and Key Organizer for Wall - Bill Holder for Wall - Hanging Mail Holder - Mail Organizer Wall Mount - Hanging Mail Organizer - Letter Holder for Wall - Mail Holder with Hooks - Mail Organizer","Generic","$19.99","30","2","$599.70","09/30/2023","$13.45","","","$6.54","382,998","7","FBA","1","Home & Kitchen","Standard","1 x 3.7 x 7 in","4.65 oz","https://www.amazon.com/dp/B0CHZBD8Z1"
"Average Monthly Sales: 694","","B0CBV13VC6","PAG Wall File Organizer for Office, 3-Tier Rustic Hanging File holder Wall Storage Rack for Documents/Magazine/Literature/File Folders/Mails/Envelopes, Brown","PAG","$19.99","340","11","$6,797","07/13/2023","$11.20","4.5","47","$8.79","21,243","6","FBA","1","Office Products","Standard","3.93 x 7.48 x 13 in","2.86 lb","https://www.amazon.com/dp/B0CBV13VC6"
"Average Revenue: $13,517","","B0BBKR8913","Acrylic Brochure Holder Wall Mount Rack Acrylic Magazine Holder Literature Display Clear Pamphlet Display Holder Plastic Flyer Multi Pocket Wall Mount Slots for Office Classroom Home, 2 Sizes Pockets","Eersida","$50.99","78","2","$3,977","08/22/2022","$32.50","4.3","10","$18.49","103,221","6","FBA","1","Office Products","Oversize","19 x 2 x 21 in","3.79 lb","https://www.amazon.com/dp/B0BBKR8913"
"Average Price: $24.10","","B09YQD2M2P","Dhmkfly Key and Mail Holder for Wall, 2-Slot Mail Organizer with 3 Key Hooks, Key Hangers Wall Mount Rustic Wooden Wall Organizers for Letter Magazines Keys","Dhmkfly","$27.99","268","8","$7,501","04/23/2022","$10.67","4.5","119","$17.32","116,953","6","FBA","2","Home & Kitchen","Oversize","5.1 x 16.5 x 18.3 in","1.9 lb","https://www.amazon.com/dp/B09YQD2M2P"
"Average No. of Ratings: 1,164","","B093BD5PRL","3 Pack - SimpleHouseware Grid Single Pocket Wall Mount File Holder, Black","Simple Houseware","$19.87","329","10","$6,537","01/26/2022","$11.10","4.5","260","$8.77","24,086","5","FBA","1","Office Products","Standard","13.5 x 8 x 3.6 in","2.7 lb","https://www.amazon.com/dp/B093BD5PRL"
"Average Sales Rank: 73,296","","B0B715XDG1","FifthQuarter Key and Mail Holder for Wall, Mail Organizer Wall Mount with 6 Hooks and Storage Drawer, Easy Installation Key Rack for Entryway and Home Decor (A-White)","FifthQuarter","$19.99","4,038","118","$80,720","11/30/2022","$11.20","4.7","824","$8.79","6,385","7","FBA","1","Home & Kitchen","Standard","7.68 x 3.82 x 12.95 in","1 lb","https://www.amazon.com/dp/B0B715XDG1"
"Average Rating Number: 4.6","","B073HHYBX8","mDesign Mail Organizer Wall Mount 2-Tier Steel Rack with 5 Hooks, Modern White, Adjustable Easy Install","mDesign","$18.69","67","4","$1,252","06/28/2017","$10.75","4.5","508","$7.94","198,413","7","FBA","1","Home & Kitchen","Standard","2.5 x 10.5 x 10.5 in","1.6 lb","https://www.amazon.com/dp/B073HHYBX8"
"","","B07V2BVR2D","MyGift Wall Mounted Vintage Gray Wood Hanging Key and Mail Holder Rack Floating Display Shelf, Entryway Storage Shelf with 4 Metal Key Hooks","MyGift","$15.99","246","10","$3,934","11/09/2019","$9.82","4.4","3,323","$6.17","92,354","6","FBA","1","Home & Kitchen","Standard","3.8 x 10.9 x 3.3 in","0.65 lb","https://www.amazon.com/dp/B07V2BVR2D"
"","","B07VZSM3QB","MyGift Whitewashed Wood Entryway Wall Rack for Key and Mail Organizer Holder with 6 Hooks and Decorative Mason Jar Vase","MyGift","$29.99","59","2","$1,769","07/30/2019","$18.76","4.8","201","$11.23","374,354","6","FBA","1","Home & Kitchen","Standard","3.93 x 15.74 x 11.02 in","2 lb","https://www.amazon.com/dp/B07VZSM3QB"
