"Export time:  2/4/2024, 11:39:50 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08Q3HR8ZL","Noble Natural Marble Tray for Desktop/Kitchen/Vanity/Bathroom, Stone Organizer Tray for Coffee Table, Plate Holder for Tissues, Candles, Soap, Towel, Plant (Bright Black, Large 12 x 8)","Tahit","$32.13","483","16","$15,519","12/08/2020","","4.7","272","","58,054","6","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B08Q3HR8ZL"
"marble tray","","B0CMTQ9DM5","DNC Bathroom Tray, 7.9' Silicone Vanity Tray for Counter, Kitchen Sink Soap Tray for Dish Holder Dispenser Countertop Toilet Tank Decor Desk Organizer","DNC","$9.99","900","30","$8,991","01/01/2024","","4.5","2","","30,689","","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CMTQ9DM5"
"Average Monthly Sales: 419","","B0CRBKL8VM","Moreast A Grade Natural Marble Decorative Tray, White Marble Plate, Finely Polished Round Stone Tray, Jewelry Ring Bracelets Dish for Counter, Vanity, Dresser, Nightstand or Desk(25cm/10)","Moreast","$25.45","15","1","$381.75","01/01/2024","","","","","112,864","7","FBA","1","Industrial & Scientific","","","","https://www.amazon.com/dp/B0CRBKL8VM"
"Average Revenue: $10,154","","B0BW5GBZLC","100% Natural Marble Serving Tray Luxury Calaccata Viola Marble Storage Tray for Home Decor Stone Tray for Bathroom/Kitchen/Vanity/Dresser,Plate Holder for Tissues, Candles, Towel","Corinth","$63.50","411","10","$26,099","02/17/2023","","4.3","23","","89,235","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BW5GBZLC"
"Average Price: $31.32","","B08P4DFS5B","Goporcelain White Marble Bathroom Counter Tray - Ceramic Perfume Organizer and Jewelry Dish for Vanity Dresser","Goporcelain","$19.99","713","20","$14,253","11/24/2020","$9.96","4.7","848","$10.03","47,587","6","FBA","1","Home & Kitchen","Standard","8.622 x 13.189 x 7.087 in","3.012 lb","https://www.amazon.com/dp/B08P4DFS5B"
"Average No. of Ratings: 663","","B09XDDCGPF","Real Luxurious Natural Marble Vanity Tray Genuine Marble/Stone Storage Tray for Home Decor Bathroom/Kitchen/Vanity/Dresser Non-Resin/Non-Ceramic","DUANYAN","$69.50","539","16","$37,461","04/06/2022","$52.35","4.5","154","$17.15","59,775","6","FBA","3","Home & Kitchen","Standard","10.91 x 14.72 x 3.9 in","4.101 lb","https://www.amazon.com/dp/B09XDDCGPF"
"Average Sales Rank: 195,243","","B0BR7L48KH","HESHIBI Marble Tray for Bathroom,100% Natural Marble Stone Vanity Tray for Kitchen,Home Deco,Vanity. Blackish Green 12'x 8' x1.2'","HESHIBI","$29.99","488","14","$14,635","12/27/2022","","4.7","55","","66,829","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BR7L48KH"
"Average Rating Number: 4.6","","B09WTJ2VGL","Moreast Black Marble Tray, Stone Bathroom Tray, Decorative Holder for Tissrue, Candle, Soap, Towel, Plant (Black - 12 x 8)","Moreast","$32.88","168","3","$5,524","03/29/2022","$21.52","4.7","40","$11.36","262,603","7","FBA","1","Home & Kitchen","Standard","9 x 2.3 x 13 in","3.7 lb","https://www.amazon.com/dp/B09WTJ2VGL"
"","","B0BZDVYGXD","FutureStone 100% Natural Luxury Calaccata Viola Marble Small Hand Towel Tray Holder Organizer, Makeup Bathroom Holder","FutureStone","$39.50","214","6","$8,453","03/22/2023","","4.1","21","","135,940","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BZDVYGXD"
"","","B08B1899J7","LAGOM HOUSE Marble Tray, Natural Black Marble Vanity Kitchen Bathroom Tray | Marble Tray Stone Decorative Trays for Serving/Perfume Jewelry Makeup Organizer 12X8X1.2in","LAGOM HOUSE","$36.78","65","2","$2,391","06/15/2020","$24.53","4.5","157","$12.25","355,007","7","FBA","1","Home & Kitchen","Standard","11.181 x 14.803 x 3.898 in","4.85 lb","https://www.amazon.com/dp/B08B1899J7"
