"Export time:  2/1/2024, 1:44:12 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08RJC26TQ","Elk and Friends 16 oz Mason Jar Cups with Silicone Lids + Silicone Straws | Pint Glass Jars | Smoothie Cups | Drinking Glasses | Oats Container + Food Storage | 4 Pack | Multiple Color Options","Elk and Friends","$36.99","252","11","$9,321","12/28/2020","$25.01","4.3","320","$11.98","24,762","6","FBA","1","Kitchen & Dining","Standard","8.347 x 8.819 x 6.221 in","3.779 lb","https://www.amazon.com/dp/B08RJC26TQ"
"mason jars with lids and straws","","B09WMSCX9B","16 OZ Mason Jars with Protective Silicone Sleeve, Mason Cups Drinking Glass with Straws and 8PCS Stainless Steel Lids - BPA Free (4COLOR ASST Shell)","Hyperspace","$24.99","66","1","$1,649","03/27/2022","","4.5","18","","140,020","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B09WMSCX9B"
"Average Monthly Sales: 1,061","","B08SLRTYPM","Elk and Friends Kids & Toddler Cups | The Original Glass Mason jars 8 oz with Silicone Sleeves & Silicone Straws with Stoppers | Smoothie Cups | Spill Proof Sippy Cups for Toddlers","Elk and Friends","$34.99","4,371","155","$152,941","01/10/2021","$23.95","4.6","5,315","$11.04","1,240","7","FBA","1","Kitchen & Dining","Standard","7.49 x 7.64 x 5.4 in","2.8 lb","https://www.amazon.com/dp/B08SLRTYPM"
"Average Revenue: $25,093","","B07VQZ2R56","REGULAR Mouth Mason Jar Lids for Ball, Kerr, etc with Straw Hole/Straws/Silicone Stoppers/Rings/Clean Brush, BPA Free Colored Plastic Canning Jar Drinking Lids & Food Storage Caps 26 Pack","Qinline","$12.99","714","24","$9,275","07/25/2019","$7.97","4.7","5,531","$5.02","11,700","7","FBA","1","Kitchen & Dining","Standard","9 x 14 x 0.5 in","0.549 lb","https://www.amazon.com/dp/B07VQZ2R56"
"Average Price: $25.57","","B0BM9215FR","TANGLONG 16 oz Mason Jar with Lid and Straw, Set of 12, Clear Glass, Traditional Style, Food Storage Container","TANGLONG","$32.99","657","25","$21,674","11/13/2022","","4.7","864","","10,865","7","FBA","4","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BM9215FR"
"Average No. of Ratings: 1,173","","B09QKV561Y","[ 4 Pack ] Glass Cups Set - 24oz Mason Jar Drinking Glasses w Bamboo Lids & Straws 2 Airtight Cute Reusable Boba Bottle, Iced Coffee Glasses, Travel Tumbler for Bubble Tea, smoothie, Juice","NETANY","$22.99","1,783","66","$40,991","01/16/2022","$12.51","4.5","3,063","$10.48","3,785","7","FBA","1","Kitchen & Dining","Standard","9.33 x 10.31 x 7.76 in","5.201 lb","https://www.amazon.com/dp/B09QKV561Y"
"Average Sales Rank: 55,151","","B0CJQM17RG","Sips Jar Club Set of 4 Glass Mason Jar with Handle - 20oz Mason Jars with Lids and Straws + Cleaning Brush - Mason Jar Drinking Glasses for Overnight Oats & Mason Jar Cup for Iced Coffee, Boba & More","Sips Jar Club","$23.99","326","11","$7,821","11/08/2023","","5","11","","25,703","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CJQM17RG"
"Average Rating Number: 4.5","","B091562CNX","Elk and Friends Stainless Steel Cups | Mason Jar 10oz | Kids & Toddler Cups with Silicone Sleeves & Straws with Stopper | Spill proof Smoothie Cups for Kids","Elk and Friends","$34.99","6,579","193","$230,199","03/25/2021","$24.60","4.4","6,212","$10.39","901","7","FBA","1","Kitchen & Dining","Standard","7.48 x 4.528 x 7.48 in","0.882 lb","https://www.amazon.com/dp/B091562CNX"
"","","B0BPXVBB5V","DWTS DANWEITESI Mason Jar with Lid and Straw, 24oz Glass Cups-Wide Mouth Reusable Drinking Glasses,Iced Coffee Cups Glass,Vasos De Vidrio【4 Pack】","DWTS DANWEITESI","$19.97","1,106","58","$22,087","12/12/2022","","4.5","633","","4,459","7","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BPXVBB5V"
"","","B09PGPML6F","Wide Mouth Mason Jars 16 oz. (12 Pack) - Pint Size Jars with Airtight Lids and Bands for Canning, Fermenting, Pickling, or DIY Decors and Projects Bundled with Jar Opener","Peaknip","$42.99","1,147","27","$49,310","12/29/2021","$31.40","4.8","217","$11.59","10,405","7","FBA","1","Kitchen & Dining","Standard","2.75 x 5 x 2.75 in","1 lb","https://www.amazon.com/dp/B09PGPML6F"
"","","B07FKL7G7G","VERONES Mason Jars 4 OZ, Canning Jars With Regular Lids, Ideal for Jam, Honey, Wedding Favors, Shower Favors, DIY Spice Jars, 40 PACK","VERONES","$30.99","1,154","39","$35,762","07/12/2018","$13.22","4.5","4,090","$17.77","6,952","6","FBA","7","Kitchen & Dining","Oversize","14.8 x 6.4 x 14.8 in","11.53 lb","https://www.amazon.com/dp/B07FKL7G7G"
"","","B0CBQJ8KN8","Dealusy 4 Glass Cups with Lids, Straws, and Brushes - 16 oz Drinking Cup Set with Bamboo Lids and Straws for Iced Coffee, Tumblers with Straw and Lid","Dealusy","$12.99","15,948","592","$207,165","09/08/2023","","4.6","667","","131","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CBQJ8KN8"
"","","B0B2P9PV7J","Mason Jars with Handle, Glass Mugs with Straws and Bamboo Lids & Colorful Airtight Lids 4pcs Set, 16oz Drinking Glass Cups, Travel Tumbler for Iced Coffee, Smoothie, Overnight Oats Containers","VITEVER","$19.99","646","25","$12,914","05/29/2022","$10.56","4.6","724","$9.43","11,077","7","FBA","1","Kitchen & Dining","Standard","9.13 x 6.5 x 9.17 in","1 lb","https://www.amazon.com/dp/B0B2P9PV7J"
"","","B0C2Y597WN","ANOTION Glass Cups with Lids and Straws 4 Packs, 24oz Travel Coffee Mug Wide Mouth Mason Jar Iced Coffee Smoothie Cup Glass Tumbler Tea/Boba Cup Clear Cute Water Cups Drinking Jars Glasses","ANOTION","$26.99","1,287","41","$34,736","04/18/2023","","4.6","298","","6,604","7","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C2Y597WN"
"","","B0967BXXY9","Elk and Friends Smoothie Cups For Kids & Toddler | The Original Glass Mason Jars 12 oz with Silicone Sleeves & Straws |Spill Proof|","Elk and Friends","$35.99","2,439","91","$87,780","03/10/2021","$24.80","4.4","1,343","$11.19","2,570","7","FBA","1","Kitchen & Dining","Standard","7.598 x 7.756 x 6.732 in","2.934 lb","https://www.amazon.com/dp/B0967BXXY9"
"","","B0C23LCZTH","Soligt 4 Pack Mason Jar Lids, Wide Mouth Pour Spout Flip Cap Lids for Ball Brand Mason Jars, Leak Proof Airtight for Drinking Salad Dressing & Food Storing","SOLIGT","$15.99","1,657","48","$26,495","07/13/2023","$9.82","4.6","6,832","$6.17","5,488","7","FBA","1","Kitchen & Dining","Standard","3.66 x 1.57 x 3.66 in","7.8 oz","https://www.amazon.com/dp/B0C23LCZTH"
"","","B0CL2XKP27","Mason Jars 32 oz (14pc Set) Multi-Purpose Mason Jar Pitcher | Wide Mouth Mason Jars 32 oz - Use Quart Mason Jars as Mason Jar Cups, Breast Milk Pitcher or Canning Jars 32 oz - Leakproof","B & B KREASHIONS","$26.99","180","6","$4,858","10/14/2023","","4.9","16","","46,506","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CL2XKP27"
"","","B0CNP8TKX6","Brajttt Glass Jar 32oz,Set of 4 Jar with Lid,Airtight Glass Storage Jar with Wooden Lid, Glass Food Storage Containers for Kitchen Counter, Pantry, Coffee, Tea, Sugar, Cookie, Candy","Brajttt","$18.99","930","31","$17,661","11/19/2023","$9.41","5","4","$9.58","8,760","6","FBA","1","Kitchen & Dining","Standard","3 x 3 x 2 in","5.44 lb","https://www.amazon.com/dp/B0CNP8TKX6"
"","","B0CKQX96BD","Glass Cups with Lids and Straw (Set of 4), 24 oz Tumbler Cup Mason Jars Iced Coffee Cup with Bamboo Lid and Straw","Generic","$25.99","267","13","$6,939","10/08/2023","","4.7","9","","21,501","5","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CKQX96BD"
"","","B08YKB17WQ","YSJILIDE Smoothie Cups, Glass Mason Drinking Jar, 24oz Smoothie Cups with Lid and Stainless Steel Straw, Drinking Mugs, Tea Cup Travel Mug, Ideal for Juice, Milk (Pack Of 2, Clear)","YSJILIDE","$16.99","143","4","$2,430","03/09/2021","$9.30","4.7","131","$7.69","69,035","7","FBA","1","Kitchen & Dining","Standard","7.17 x 7.52 x 3.98 in","1.85 lb","https://www.amazon.com/dp/B08YKB17WQ"
"","","B0C71LK4JV","ASANMEYO 2 Pcs Glass Cups Set - 24oz Mason Jar Drinking Glasses with Bamboo Lids & Straws & 2 Airtight Lids, Cute Reusable Boba cup, Iced Coffee Glasses, Travel Tumbler for Bubble Tea, smoothie, Juice","ASANMEYO","$14.99","160","5","$2,398","06/02/2023","","4.5","16","","49,953","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C71LK4JV"
"","","B0BRMZW793","24 Pack 17 oz Plastic Mason Jars with Lid and Straws, Reusable Juice Jar with Aluminum Caps PET Clear Mason Jar for Water Milk Beverages Drink Bottles (U Shape)","Sabary","$26.99","45","1","$1,215","01/03/2023","$14.11","4.8","7","$12.88","141,794","7","FBA","2","Kitchen & Dining","Standard","12.32 x 7.72 x 16.73 in","2.7 lb","https://www.amazon.com/dp/B0BRMZW793"
"","","B0B197Q7FD","WeeSprout Glass Cups With Lids & Straws, Spill-resistant Cups for Toddlers & Kids, Triple as Toddler Cups, Baby Food Storage & Snack Jars, XL Silicone Straws, Easy-grip Sleeves, Set of four 12 oz jars","WeeSprout","$31.98","682","16","$21,810","02/09/2022","","4.2","671","","6,769","7","FBA","1","Baby","","","","https://www.amazon.com/dp/B0B197Q7FD"
"","","B07GN1P3NX","Zephyr Canyon Plastic Mason Jars with Handles, Lids and Straws | 20 oz Double Insulated Tumbler with Straw | 4 Pack Set of 4 | Wide Mouth Mason Jar Mugs | Cups for Kids and Adults","Zephyr Canyon","$28.95","466","9","$13,491","10/24/2018","$17.88","4.2","1,457","$11.07","31,525","6","FBA","1","Kitchen & Dining","Standard","8.4 x 9.8 x 7 in","2.551 lb","https://www.amazon.com/dp/B07GN1P3NX"
"","","B099DCPW1M","Elk and Friends Stainless Steel Cups | 10oz Mason Jar Cups with Silicone Sleeves & Straws | Spill-proof Smoothie Cups for Kids & Toddlers","Elk and Friends","$27.99","6,499","193","$181,907","07/13/2021","$18.65","4.4","6,212","$9.34","901","7","FBA","1","Kitchen & Dining","Standard","4.961 x 7.638 x 3.937 in","0.862 lb","https://www.amazon.com/dp/B099DCPW1M"
"","","B0CFB91YTM","GAGAMOTEYA 4 Pack Mason Jar Coffee Cups with Handle, 24oz Glass Cups with Bamboo Lids and Stainless Steel Straws, Drinking Glasses Tumbler for Iced Coffee,Smoothie,Overnight Oats","GAGAMOTEYA","$24.99","71","4","$1,774","08/13/2023","","4.7","8","","61,413","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CFB91YTM"
