"Export time:  1/27/2024, 12:52:16 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09B44X948","Nightstand Organizer For Men with Non-Slip Base - Premium Wood Phone Docking Station for Men - Wooden Docking Station Men - Hand Crafted Docking Station for Dad - Classy Mens Organizer Station","WiredMonkey","$29.99","57","3","$1,709","07/22/2021","$22.45","4.6","176","$7.54","39,846","6","FBA","3","Cell Phones & Accessories","Standard","8.189 x 10.906 x 2.165 in","1.587 lb","https://www.amazon.com/dp/B09B44X948"
"mens desk organizer","","B07R1744FH","UnionBasic Rotating Desk Organizer, 360 Degree Desk Spinning Caddy, Desktop TV Guide/Mail/Media/Remote Controller Holder Organizer, Beige Linen Texture","UnionBasic","$24.99","399","11","$9,971","06/10/2016","$15.45","4.8","3,316","$9.54","20,897","6","FBA","5","Office Products","Standard","6.6 x 8.3 x 6.3 in","1.609 lb","https://www.amazon.com/dp/B07R1744FH"
"Average Monthly Sales: 918","","B0BPHM3JQY","EcoLeafy Dot Nightstand Organizer- Dad Birthday Gift- Gifts for Men Who Have Everything- Mens Gift- Bedside Organizer for Night Stand, Cellphone, Watch, Accessories","EcoLeafy Dot","$46.50","823","31","$38,270","03/29/2023","$31.56","4.7","200","$14.94","5,207","6","FBA","5","Cell Phones & Accessories","Oversize","8.2 x 8.3 x 13.4 in","3.7 lb","https://www.amazon.com/dp/B0BPHM3JQY"
"Average Revenue: $24,667","","B0C9PSKF8S","Gifts for Men Mens Docking Station Organizer Valentine's Day Gift Wood Docking Station Men Nightstand Organizer Gifts for Him Birthday Gifts for Men/Dad/Husband/Him/Father Gift Idea, Brown","Iswabard","$23.99","180","6","$4,318","06/28/2023","$16.28","4.2","37","$7.71","25,069","6","FBA","1","Cell Phones & Accessories","Standard","5.7 x 7.1 x 10.2 in","1.48 lb","https://www.amazon.com/dp/B0C9PSKF8S"
"Average Price: $30.12","","B00GWXVLWA","KINGFOM Pu Leather Desk Organizer Pen Pencil Holder Office Supplies Caddy Storage Box 6 Compartments with Drawer Brown","KINGFOM","$27.99","158","6","$4,422","04/23/2014","$18.00","4.6","2,376","$9.99","39,931","6","FBA","4","Office Products","Standard","6.5 x 11.1 x 5.7 in","1.55 lb","https://www.amazon.com/dp/B00GWXVLWA"
"Average No. of Ratings: 1,963","","B08TX5LZXB","Vlando Desk Organizers with Drawer, Back to School Supplies for Desk Caddy with 5 Compartment Desktop Storage Holder with Organizer Section for Desk Accessories(Gray)","Vlando","$19.98","300","11","$5,994","06/27/2020","$11.19","4.8","940","$8.79","22,145","6","FBA","1","Office Products","Standard","5.512 x 5.512 x 11.024 in","1.72 lb","https://www.amazon.com/dp/B08TX5LZXB"
"Average Sales Rank: 42,586","","B08L8X4J8G","KROSER Rolling Laptop Bag Premium Rolling Briefcase Fits Up to 15.6 Inch Laptop,Water-Repellent Rolling Computer Bag with RFID Pockets for Travel/Business/Women","KROSER","$77.99","","","","12/09/2020","$57.91","4.6","1,505","$20.08","30","7","FBA","1","Laptop Briefcases","Oversize","16.575 x 18.386 x 8.15 in","6.33 lb","https://www.amazon.com/dp/B08L8X4J8G"
"Average Rating Number: 4.6","","B08GBRQFDP","AirGLO Flex Flap - Adjustable, Portable Phone Stand for Travel, Home, Desk, Bed, Treadmill, iPad, Tablet","AIRGLO","$13.99","4,974","158","$69,586","08/18/2020","$1.27","4.5","4,939","$12.72","829","7","FBA","1","Cell Phones & Accessories","Oversize","10 x 11 x 9 in","0.201 lb","https://www.amazon.com/dp/B08GBRQFDP"
"","","B09M9LQYQD","Simple Houseware 20-Pack Clear Plastic Drawer Organizers (6S, 7M, 5L, 1 XL, 1XXL)","Simple Houseware","$19.97","441","17","$8,807","11/19/2021","$11.83","4.7","723","$8.14","54,070","5","FBA","1","Home & Kitchen","Standard","2 x 9.6 x 3.2 in","1 lb","https://www.amazon.com/dp/B09M9LQYQD"
"","","B06ZZ3QTST","Simple Houseware White Magazine File Holder Organizer Box (Pack of 6)","Simple Houseware","$13.87","2,070","69","$28,711","04/18/2017","$8.25","4.6","14,045","$5.62","3,401","4","FBA","1","Office Products","Standard","3.75 x 12.25 x 9.75 in","4.8 oz","https://www.amazon.com/dp/B06ZZ3QTST"
