"Export time:  2/1/2024, 1:45:14 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BPWQNRB6","LYZOLICS Double-Sided Cutting Board 304 Stainless Steel Cutting Board and Wheat Straw Chopping Board for Kitchen 13.78 X 9.84 Inch for Fruit, Vegetables, Meat 1 Piece (Black)","LYZOLICS","$23.97","84","3","$2,013","12/12/2022","","4.3","8","","75,987","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BPWQNRB6"
"metal cutting board","","B0C74RDDWN","SHOOV Double-Sided Cutting Board for Kitchen, Stainless Steel, Built-in Grater, Non-Slip, Easy to Clean, Food-Grade and Wheat Straw PP","SHOOV","$29.99","30","2","$899.70","06/04/2023","","4.7","8","","120,988","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C74RDDWN"
"Average Monthly Sales: 1,278","","B01GP2MTXW","The Original Gorilla Grip Oversized 100% BPA Free Reversible Durable Kitchen Cutting Board Set of 3, Juice Grooves, Dishwasher Safe, Easy Grip Handle Border, Food Chopping Boards, Cooking, Black","Gorilla Grip","$18.99","10,986","341","$208,624","10/06/2016","$9.41","4.6","51,416","$9.58","361","7","FBA","1","Kitchen & Dining","Standard","11.5 x 16.26 x 1.06 in","4.231 lb","https://www.amazon.com/dp/B01GP2MTXW"
"Average Revenue: $29,361","","B08R6C87R4","Atmama (Extra Large,23.6'Lx 19.3'W) 304 Stainless Steel Chopping Board, Cutting Board for Meat Vegetable Fruit Fish Cheese, Easy To Clean","Atmama","$79.99","93","3","$7,439","01/23/2021","$56.39","4.4","99","$23.60","87,028","7","FBA","1","Kitchen & Dining","Oversize","20.5 x 0.5 x 24.25 in","4 lb","https://www.amazon.com/dp/B08R6C87R4"
"Average Price: $38.16","","B0C7CV5CQR","BILLAMB Stainless Steel Cutting Boards for The Kitchen, Suitable for Meat, Fruits, Vegetables, Bread, and Baking Large-sized Cutting Boards (40 x 30cm/15.7 x 11.8 in)","BILLAMB","$28.99","186","5","$5,392","06/06/2023","","4.4","7","","53,020","7","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C7CV5CQR"
"Average No. of Ratings: 2,519","","B08CDLZ6Q5","Cutting Board Double Sided, GUANCI Large Size 1611, 316 Stainless Steel Cutting Board for Kitchen, Food-Grade, Stainless Steel and Wheat Straw PP, Easy to Clean","GUANCI","$29.99","880","26","$26,391","07/05/2020","$19.06","4.7","557","$10.93","10,639","6","FBA","1","Kitchen & Dining","Standard","10.906 x 16.142 x 0.866 in","3.609 lb","https://www.amazon.com/dp/B08CDLZ6Q5"
"Average Sales Rank: 115,453","","B0BGSMGP5S","ARMYJY Cutting Boards,Stainless Steel Heavy Duty Cutting Board Chopping Board for Home Kitchen Pastry Board for Meat,Vegetables,Bread, Cutting Mats","ARMYJY","$24.69","193","5","$4,765","09/28/2022","","5","1","","52,504","7","FBM","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BGSMGP5S"
"Average Rating Number: 4.2","","B0BG38ZL8R","BINO Cutting Board - 3-Piece Chopping Boards | BPA-Free Plastic, Durable, Multipurpose, Dual-Sided, Dishwasher Safe, Easy to Clean | Charcuterie Accessories | Home & Kitchen Utensils","BINO","$18.99","592","22","$11,242","09/20/2022","","4.4","250","","12,679","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BG38ZL8R"
"","","B002M782UO","Totally Bamboo 3-Piece Bamboo Cutting Board Set; 3 Assorted Sizes of Bamboo Wood Cutting Boards for Kitchen","Totally Bamboo","$17.99","6,433","161","$115,730","08/19/2009","$9.50","4.3","8,870","$8.49","1,180","6","AMZ","2","Kitchen & Dining","Standard","9.53 x 1.38 x 13.15 in","2.38 lb","https://www.amazon.com/dp/B002M782UO"
"","","B0BG38VQ76","BINO Cutting Board - 2-Piece Chopping Boards | BPA-Free Plastic, Durable, Large Surface, Multipurpose, Dual-Sided, Dishwasher Safe | Charcuterie Accessories | Home & Kitchen Utensils Gray","BINO","$11.99","131","6","$1,571","09/20/2022","","4.7","152","","46,797","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BG38VQ76"
"","","B08LNK58WR","Cutting Boards, zrrcyy, Extra Large Stainless Steel Chopping Board, Baking Board, Heavy Cutting Board For KitchenPastry Board For MeatVegetables Bread, Cutting Mats ( Size : 50X40cm )","GladyStore","$38.80","229","11","$8,885","10/21/2020","$22.14","4.3","414","$16.66","25,132","7","FBA","3","Kitchen & Dining","Oversize","15.8 x 1.6 x 19.7 in","6 lb","https://www.amazon.com/dp/B08LNK58WR"
"","","B0C2C4KGC8","LIGTSPCE Double-Sided Meat Cutting Board,Stainless Steel/Wheat straw pp Cutting Board for meat,Dishwasher Safe,Juice Groove,16.1 * 12.2Inch","LIGTSPCE","$17.99","92","3","$1,655","10/31/2022","","4.4","54","","74,318","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C2C4KGC8"
"","","B09TT4W1PC","MYOYAY Stainless Steel Cutting Board with Lip, Extra Large Chopping Board 31.5 x 19.69 Inch Heavy Cutting Board with One Rolling Pin Baking Board Kitchen Pastry Board For Meat Vegetables cake","MYOYAY","$85.99","53","2","$4,557","03/02/2022","$60.35","3.8","22","$25.64","92,030","6","FBA","1","Kitchen & Dining","Oversize","20.866 x 0.787 x 31.89 in","10.692 lb","https://www.amazon.com/dp/B09TT4W1PC"
"","","B0CLRRW26F","Cutting Board with Lip304 Stainless Steel Cutting Board for KitchenL Shape Pastry BoardKneading Board Cutting MatsStainless Steel Chopping Board Metal Cutting Board (40 * 50cm/15.7 * 19.7in)","MWNAGO","$36.99","","","$0.00","12/06/2023","","","","","267,726","","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CLRRW26F"
"","","B08S41YCH9","Acescen Stainless Steel Cutting Board for Kitchen Fruit Choping Non-slip Easy Grip Board Heavy Duty Cut double-Sided Boards with Handle for Vegetables Meat Cheese 18.1 x 11.8in","Acescen","$21.95","","","$0.00","01/04/2021","$13.67","3.7","16","$8.28","318,349","6","FBA","1","Kitchen & Dining","Standard","8.622 x 11.811 x 0.512 in","1.841 lb","https://www.amazon.com/dp/B08S41YCH9"
"","","B096S1KXTG","tonchean Stainless Steel Chopping Board with Lip, 31.5x 19.7 Large Steel Cutting Board with Rolling Pin, Metal Noodle Board Pastry Board Kneading Dough Board Stove Top Cutting Board for Kitchen","tonchean","$99.99","30","1","$3,000","06/06/2021","$71.35","4.2","45","$28.64","134,517","7","FBA","1","Kitchen & Dining","Oversize","20.5 x 32 x 1 in","10.699 lb","https://www.amazon.com/dp/B096S1KXTG"
"","","B09R53LQWN","BLACKSTONE 5595 Solid Acacia Wood Griddle Cutting Board with Feet (17 x 12)- Large and Lightweight, Premium Durable Quality to Chop Vegetables for Indoor, Outdoor, Kitchen, Easy to Clean (Rectangle)","BLACKSTONE","$34.99","60","2","$2,099","02/01/2022","$23.79","4.8","28","$11.20","75,243","4","AMZ","1","Patio, Lawn & Garden","Standard","12 x 1.96 x 16.92 in","2 lb","https://www.amazon.com/dp/B09R53LQWN"
"","","B08BHPZNVD","Diflart Natural Black Granite Cutting Board for Kitchen 16x20 Inch,with Non-Slip Feet, Large Stone Pastry Slab for Baking","Diflart","$70.99","295","12","$20,942","11/24/2019","","4.7","373","","23,610","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B08BHPZNVD"
"","","B0CNW2S982","Zubebe 6 Pcs Acacia Wood and Marble Cutting Board Wooden Marble Serving Tray with Handle Charcuterie Chopping Board for Kitchen Christmas Wedding Anniversary Bridal Shower Engagement Housewarming Gift","Zubebe","$79.99","30","1","$2,400","11/22/2023","","","","","165,167","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CNW2S982"
"","","B088NMK6KY","Atmama (14.2' x 9.8'and11.24' x7.87') Stainless Steel Cutting Board for Kitchen,SUS 304 Chopping Board for Meat,Fruit,Vegetables,Baby Food,Dishwasher Safe(2pcs)","Atmama","$49.99","120","4","$5,999","06/24/2020","$36.06","4.5","120","$13.93","62,053","7","FBA","1","Kitchen & Dining","Standard","10.354 x 14.488 x 0.591 in","3.984 lb","https://www.amazon.com/dp/B088NMK6KY"
"","","B08HVMRL3Z","DOITOOL Cutting Boards for Kitchen, Stainless Steel Cutting Board Square Modern Chopping Block Fruit Cutting Block for Home Kitchen (9.44x5.9inch)","DOITOOL","$13.89","42","1","$583.38","09/04/2020","","3.8","15","","128,351","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B08HVMRL3Z"
"","","B0B88WQV76","Hanrace Double Sided Cutting Board,Stainless Steel Cutting Boards for Kitchen,Large Size 17.8' x 12.2',cutting boards for meat with knife sharpener","Hanrace","$30.99","53","2","$1,642","07/31/2022","","4.4","40","","119,704","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0B88WQV76"
"","","B00KXAVCFO","Shun Cutlery Large Hinoki Cutting Board, 17.75' x 11.75' Large Wood Cutting Board, Medium-Soft Wood Preserves Knife Edges, Authentic, Japanese Kitchen Cutting Board","Shun","$79.95","100","4","$7,995","06/10/2014","$62.17","4.5","373","$17.78","66,369","7","AMZ","5","Kitchen & Dining","Standard","11.9 x 0.8 x 17.9 in","2.7 lb","https://www.amazon.com/dp/B00KXAVCFO"
