"Export time:  2/1/2024, 11:12:49 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CHHT6JCM","Tagging Gun Kit, Fine Stitch Tagging Gun for Clothing Mini Stitch Gun for Clothes Sewing Quilting Hemming Quick Stitch Tag Gun with 1 Needle, 1000 Black & 1000 White Micro Fasteners","wilfox","$29.99","893","20","$26,781","09/06/2023","$21.95","4.2","54","$8.04","12,480","6","FBA","2","Office Products","Standard","4.92 x 1.1 x 5.2 in","3.52 oz","https://www.amazon.com/dp/B0CHHT6JCM"
"micro stitch gun","","B09XX7LCV5","Tagging Gun for Clothing, Standard Retail Price Tag Attacher Gun Kit for Clothes Labeler with 6 Needles & 2000pcs 2' Barbs Fasteners & Organizer Bag for Store Warehouse Consignment Garage Yard Sale","BS ONE","$16.99","6,759","228","$114,835","04/13/2022","$10.90","4.6","11,897","$6.09","719","7","FBA","2","Office Products","Standard","5.39 x 2.6 x 5.59 in","4.4 oz","https://www.amazon.com/dp/B09XX7LCV5"
"Average Monthly Sales: 715","","B0CQ71ZBG6","Tagging Gun Kit,Fine Stitch Tagging Gun for Clothing,1000 Black and 1000 White Micro Fasteners,Clothes Mending Quilting Stitch Tag Gun with1 Needle","LUBZZOY","$26.99","","","$0.00","12/25/2023","","1","1","","176,627","","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CQ71ZBG6"
"Average Revenue: $14,418","","B0CKDZHV1G","2001 Pieces Micro Tagging Gun for Clothing, Tagging Gun Kit with 1000 Black and 1000 White Micro Fasteners, Price Tag Gun with Smallest Stitch, Tagging Gun, Tag Attacher Guns","Fifchall","$29.99","725","27","$21,743","10/03/2023","","4.3","175","","9,246","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CKDZHV1G"
"Average Price: $18.89","","B001CE8JPQ","MicroStitch The Original Tagging Gun Kit  Starter Kit Includes The Micro Stitch Tagging Tool, 1 Needle, 600 White Fasteners & 480 Black Fasteners","MicroStitch","$30.50","8,547","206","$260,684","09/28/2008","$22.38","4.2","2,357","$8.12","832","6","FBA","13","Office Products","Standard","6.7 x 1.2 x 8.5 in","0.3 lb","https://www.amazon.com/dp/B001CE8JPQ"
"Average No. of Ratings: 1,073","","B0CGRY27VN","The Original MicroStitch Tagging Gun Kit  Includes Micro Stitch Tagging Tool, 1 Needle, 600 White Fasteners & 480 Black Fasteners (Starter Kit)","MicroStitch","$30.90","904","17","$27,934","08/27/2023","$22.72","4.1","35","$8.18","14,306","6","FBA","2","Office Products","Standard","5 x 1 x 5 in","5.9 oz","https://www.amazon.com/dp/B0CGRY27VN"
"Average Sales Rank: 74,422","","B0CP27FTTK","Tagging Gun - Fine Stitch Gun for Clothes  Mini Stitch Starter Tool Kit  Tagging Gun for Clothing for Quick Sewing Quilting Hemming  Include 1 Fine Needle, Black & White Micro Fasteners","Apryl","$29.99","510","16","$15,295","11/26/2023","$21.95","4.1","43","$8.04","15,060","7","FBA","1","Office Products","Standard","5.63 x 1.34 x 5.67 in","4.2 oz","https://www.amazon.com/dp/B0CP27FTTK"
"Average Rating Number: 4.1","","B0CKMTPDN1","Tagging Gun for Clothing, 3430 Price Tag Attacher Gun Kit with 400 Clothing Labels, 3024 pcs Barbs Fasteners and 6 Needles Retail Tagging Gun for Shops, Boutiques, Warehouse and Yard Sale Hang Tag Gun","LifeisLuck","$14.99","105","3","$1,574","10/06/2023","$8.22","4.5","27","$6.77","67,504","7","FBA","1","Office Products","Standard","6.42 x 2.05 x 9.02 in","13.1 oz","https://www.amazon.com/dp/B0CKMTPDN1"
"","","B0748YSHST","MicroStitch Tagging Gun Kit  Includes 1 Needle, 600 White Fasteners & 580 Black Fasteners (Starter Kit)","AVERY","$30.85","601","11","$18,541","10/24/2017","$22.37","4","259","$8.48","14,024","6","FBA","7","Arts, Crafts & Sewing","Standard","6.654 x 8.347 x 1.26 in","0.322 lb","https://www.amazon.com/dp/B0748YSHST"
"","","B0CSN8XQSD","Tagging Gun Kit,Fine Stitch Tool Mini Stitch Gun for Clothes,Quick Stitch Sewing Gun With1500 Black and 1500 White Fasteners One Replacement pin","LAUHUW","$23.99","180","6","$4,318","01/17/2024","$16.85","","","$7.14","34,801","7","FBA","1","Office Products","Standard","5.91 x 1.97 x 5.91 in","4.2 oz","https://www.amazon.com/dp/B0CSN8XQSD"
