"Export time:  2/1/2024, 1:42:54 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08CHH5328","Valante Set of Adult Game Toys Microfiber Drawstring Storage Bags (Large size set)","Valante","$18.99","1,350","37","$25,636","07/06/2020","$13.07","4.8","2,107","$5.92","21,248","6","FBA","1","Health & Household","Standard","0.2 x 12 x 9 in","7 oz","https://www.amazon.com/dp/B08CHH5328"
"microfiber drawstring bag","","B0BRK83VBF","PATIKIL Ski Goggle Bag, Microfiber Snow Goggles Case Cover Soft Storage Sleeve Drawstring Pouch","PATIKIL","$9.99","60","2","$599.40","02/14/2023","$4.80","4.7","12","$5.19","94,898","6","FBA","2","Sports & Outdoors","Standard","8.66 x 0.51 x 12.13 in","0.37 kg","https://www.amazon.com/dp/B0BRK83VBF"
"Average Monthly Sales: 239","","B09QCPZM56","6 Pieces Adult Toy Storage Bag Microfiber Ski Goggle Bag Sunglasses Pouch Case Foldable Adjustable Drawstring Bag (9 x 11.8 Inch, 7 x 9.8 Inch, 5.9 x 5.9 Inch)","Flutesan","$14.99","419","9","$6,281","01/12/2022","$9.20","4.3","149","$5.79","61,620","7","FBA","1","Health & Household","Standard","8.31 x 1.89 x 10.94 in","5.29 oz","https://www.amazon.com/dp/B09QCPZM56"
"Average Revenue: $3,430","","B07V7TLR66","Satin Drawstring Bag, Segbeauty Large Velvet Bag Hair Dryer Bag Satin Liner Storage Bag Drawstring Velvet Pouch 11.8x15.7 inch Black Gym Bag Garment Organizer for Diffuser, Straighteners, Clothes","Segbeauty","$9.49","182","7","$1,727","11/13/2019","$5.19","4.7","453","$4.30","59,178","7","FBA","1","Beauty & Personal Care","Standard","6.12 x 1 x 8.25 in","2.72 oz","https://www.amazon.com/dp/B07V7TLR66"
"Average Price: $13.75","","B09QCQWXHT","Flutesan 6 Pieces Adult Toy Storage Bag Microfiber Ski Goggle Bag Sunglasses Pouch Case Foldable Adjustable Drawstring Bag (9 x 11.8 Inch)","Flutesan","$12.99","207","7","$2,689","01/12/2022","$7.27","3.9","77","$5.72","122,238","7","FBA","1","Clothing, Shoes & Jewelry","Standard","9.65 x 11.85 x 0.98 in","0.509 lb","https://www.amazon.com/dp/B09QCQWXHT"
"Average No. of Ratings: 1,752","","B0B9BKZMSV","Hillban 20 Pcs Adult Game Toy Storage Bags Microfiber Drawstring Bags Adjustable Toys Organizer Foldable Ditty Bag Pouch Case for Game Toy Cosmetic, 3 Sizes (Pink)","","$17.99","360","12","$6,476","","","4.8","76","","49,639","","FBA","","Health & Household","","","","https://www.amazon.com/dp/B0B9BKZMSV"
"Average Sales Rank: 203,832","","B0050R67U0","MagicFiber Microfiber Cleaning Cloth, 6 Pack - Premium Cloth for Glasses, Lens, Screens & More","MagicFiber","$9.95","","","","05/22/2011","$6.23","4.7","72,568","$3.72","1","6","FBA","1","Camera & Photo Cleaning Cloths","Standard","2.9 x 6.4 x 0.5 in","0.099 lb","https://www.amazon.com/dp/B0050R67U0"
"Average Rating Number: 4.5","","B07KLWSH5B","TRIUMPH VISION Soft Eyeglass Pouch 3 Pack - Pouch for glasses Microfiber Screen Cleaning Bag","TRIUMPH VISION","$7.49","1,006","29","$7,535","11/14/2018","$3.45","4.6","1,812","$4.04","32,843","6","FBA","1","Clothing, Shoes & Jewelry","Standard","4.7 x 7 x 0.7 in","0.051 lb","https://www.amazon.com/dp/B07KLWSH5B"
"","","B07YFJ6R8Z","13'X15.5' 12Pcs Mesh Laundry Drawstring Bag Nylon Drawstring Gym Bag with Cord Lock Closure","iMucci","$18.99","343","9","$6,514","08/27/2019","$12.37","4.5","1,474","$6.62","104,734","6","FBA","1","Home & Kitchen","Standard","7.8 x 9.7 x 1.9 in","0.399 lb","https://www.amazon.com/dp/B07YFJ6R8Z"
"","","B077XFFMQL","Lens Jammies Microfiber Drawstring Bags (Variety Pack)","ShutterBands","$20.00","30","1","$600.00","11/30/2017","$13.46","4.5","61","$6.54","569,422","5","FBA","1","Clothing, Shoes & Jewelry","Standard","6 x 1 x 9 in","0.31 lb","https://www.amazon.com/dp/B077XFFMQL"
