"Export time:  1/30/2024, 12:52:44 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07RP8RG5R","Amazon Basics Cardboard Moving Boxes, 10 Pack, Medium, Brown, 18' x 14' x 12'","Amazon Basics","$19.89","8,694","332","$172,924","09/24/2019","$-1.90","4.6","10,628","$21.79","406","6","AMZ","1","Office Products","Oversize","14 x 12 x 18 in","11 lb","https://www.amazon.com/dp/B07RP8RG5R"
"moving boxes large heavy duty","","B007PBK728","UBOXES Moving Boxes - Value Economy Kit 2 Qty: 30 Boxes & Moving Supplies, Corrugated, Model:Moving Boxes Kit","uBoxes","$60.45","1,679","45","$101,496","03/21/2012","$21.92","4.3","1,489","$38.53","5,395","6","AMZ","6","Office Products","Oversize","26.5 x 9 x 32 in","1 lb","https://www.amazon.com/dp/B007PBK728"
"Average Monthly Sales: 3,586","","B007PBKMKK","UBOXES Large Moving Boxes 20' x 20' x 15' (Pack of 6)","UBOXES","$32.81","1,652","57","$54,202","03/21/2012","$5.65","4.6","7,790","$27.16","4,172","5","AMZ","2","Office Products","Oversize","20 x 7 x 35.5 in","1 lb","https://www.amazon.com/dp/B007PBKMKK"
"Average Revenue: $127,622","","B096Z81JZ7","BALEINE 6-Pack Oversized Moving Bags with Reinforced Handles, Heavy-Duty Storage Tote for Clothes, Moving Supplies (Black, 6-Pack)","BALEINE","$27.99","4,551","207","$127,382","06/09/2021","$17.06","4.7","4,221","$10.93","2,913","6","FBA","1","Home & Kitchen","Standard","8.937 x 14.449 x 5 in","3.459 lb","https://www.amazon.com/dp/B096Z81JZ7"
"Average Price: $37.09","","B0B6HSLRTX","BlissTotes Large Moving Boxes and with Zippers & Handles Moving Supplies with lids, Heavy Duty Totes for Storage Bags for Space Saving, Fold Flat, Moving and Storing 93L, 6 Pack","BlissTotes","$29.99","9,300","233","$278,907","07/13/2022","$1.35","4.3","2,698","$28.64","2,438","6","FBA","4","Home & Kitchen","Oversize","14.17 x 13.98 x 28.74 in","4 lb","https://www.amazon.com/dp/B0B6HSLRTX"
"Average No. of Ratings: 3,812","","B0C2KNWJLL","FabSpace Moving Boxes Heavy Duty Extra Large Moving bags with Strong Zippers  HandlesCollapsible  Reusable Moving SuppliesStorage Containers for Space SavingPacking  Moving 88L,6-pack","FabSpace","$19.99","6,640","16","$132,734","08/08/2023","","4.4","206","","8,936","7","FBA","1","Industrial & Scientific","","","","https://www.amazon.com/dp/B0C2KNWJLL"
"Average Sales Rank: 55,158","","B0C6SP28XF","StorageRight Extra Large Moving Bags Oversized Moving Boxes with Strong Handles  ZippersCollapsible  Reusable Storage Tote for ItemsIdeal for Packing & Space Saving 93L,8-Pack","StorageRight","$23.99","7,164","75","$171,864","07/22/2023","","4.6","144","","11,249","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C6SP28XF"
"Average Rating Number: 4.6","","B00IZLJUK2","Large Moving Boxes (6 Pack) 20x20x15-inches Packing Cardboard Box","Uboxes","$30.48","720","35","$21,946","03/02/2014","$0.63","4.6","3,819","$29.85","7,152","5","AMZ","2","Office Products","Oversize","20 x 15 x 20 in","12 lb","https://www.amazon.com/dp/B00IZLJUK2"
"","","B077FFRQQS","Bankers Box 20 Pack Classic Moving Boxes, Medium Tape-Free with Reinforced Handles","Bankers Box","$64.99","1,318","56","$85,657","11/12/2017","$36.04","4.8","5,368","$28.95","4,237","7","AMZ","1","Office Products","Oversize","15 x 14 x 18 in","1.6 lb","https://www.amazon.com/dp/B077FFRQQS"
"","","B0BM84G5NJ","StorageRight Moving Bags-Heavy Duty Moving Boxes, Storage Totes with Zipper, Reinforced Handles and Tag Pocket-Collapsible Moving Supplies for moving, Storage and Travel 93L(Blue-6 Pack)","StorageRight","$22.99","7,577","360","$174,195","01/06/2023","","4.4","1,574","","1,209","7","FBA","3","Home & Kitchen","","","","https://www.amazon.com/dp/B0BM84G5NJ"
"","","B086WNKLTM","TICONN 6 Pack Extra Large Moving Bags with Zippers & Carrying Handles, Heavy-Duty Storage Tote for Space Saving Moving Storage","TICONN","$29.95","20,294","605","$607,805","04/07/2020","$18.73","4.7","34,079","$11.22","475","6","FBA","1","Home & Kitchen","Standard","10.5 x 5 x 13.1 in","4.109 lb","https://www.amazon.com/dp/B086WNKLTM"
"","","B07RN1B97B","Amazon Basics Wardrobe Clothing Moving Boxes with Bar, 6 Pack, Brown, 20' x 20' x 34'","Amazon Basics","$69.60","1,901","86","$132,310","08/14/2019","$-42.01","4.5","3,984","$111.61","2,604","6","AMZ","6","Office Products","Oversize","20 x 34 x 35 in","26.4 lb","https://www.amazon.com/dp/B07RN1B97B"
"","","B0CNPXCWYB","SilTriangle 12 Pcs Large Moving Boxes 93 L Heavy Duty Moving Bags Storage Boxes with Zippers Handles Storage Bags Moving Supplies with Lids Storage Totes for Packing Storing, 28.7 x 14.2 x 14 Inches","","$49.99","","","","","","","","","1,424,701","","FBA","","Home & Kitchen","","","","https://www.amazon.com/dp/B0CNPXCWYB"
