"Export time:  1/30/2024, 12:43:35 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B00QSR9KFU","Amazon Basics Wide Ruled Lined Writing Note Pad, 8.5 inch x 11.75 inch, Canary, 600 Sheets ( 12 Pack of 50 )","Amazon Basics","$13.38","100,598","4,242","$1.35M","03/16/2015","$4.04","4.7","101,141","$9.34","2","6","AMZ","4","Office Products","Standard","9.488 x 12.795 x 2.835 in","6.041 lb","https://www.amazon.com/dp/B00QSR9KFU"
"notebooks for work 8.5 x 11","","B0C3RCRRMP","College Ruled Notebook, A4 Hardcover Leather Notebook for Work, Lined Notebook Journal for Women, Men, 192 Thick Paper, 8.5' x 11', Large Notebook with Pockets, Professional Business Notebook, Blue","MALEDEN","$18.97","2,652","81","$50,308","04/26/2023","$10.98","4.8","330","$7.99","2,795","7","FBA","1","Office Products","Standard","8.5 x 0.75 x 11.34 in","1.69 lb","https://www.amazon.com/dp/B0C3RCRRMP"
"Average Monthly Sales: 4,947","","B0BQJNT1JC","Amanple Spiral Notebook, College Ruled Notebook Journal, 8.5 x 11, 300 Pages Leather Writing Journal for Women Men, A4 Hardcover Notebook for Work School, 24pcs Index Tabs, Teal","Amanple","$19.97","3,942","102","$78,722","12/17/2022","$11.18","4.7","686","$8.79","2,117","7","FBA","1","Office Products","Standard","9.25 x 1.5 x 11.46 in","2.48 lb","https://www.amazon.com/dp/B0BQJNT1JC"
"Average Revenue: $72,440","","B00BF1B3MM","Blue Sky Notes Professional Notebook, Flexible Cover, Twin-Wire Binding, 8.5' x 11', Gray","Blue Sky","$15.99","1,246","40","$19,924","05/09/2013","$8.45","4.8","2,339","$7.54","6,164","6","AMZ","3","Office Products","Standard","11 x 0.4 x 8.5 in","1.05 lb","https://www.amazon.com/dp/B00BF1B3MM"
"Average Price: $20.54","","B0BZ9317F1","Spiral Notebook, Wide Ruled Notebook Journal, 8.5' x 11' Lined Journal Notebook Pack, A4 Large Subject Notebook for School, Work, Notes, 560 Thick Paper, 24pcs Index Tabs, Assorted Pastel Notebook","Amanple","$23.97","1,270","30","$30,442","03/21/2023","$16.83","4.7","274","$7.14","8,260","7","FBA","1","Office Products","Standard","9.8 x 1.85 x 11.69 in","3.53 oz","https://www.amazon.com/dp/B0BZ9317F1"
"Average No. of Ratings: 4,996","","B0CNXTJ9Z5","Ruled Notebook/Journal - Lined Journal, 8.5x 11, Spiral Notebook, College Notebook with 142 Pages (71 Sheets), Thick Paper, Back Pocket, Twin-Wire Binding, Round Corner, Perfect for Office & School","WowYoga","$7.99","390","13","$3,116","09/30/2023","","4.7","10","","19,229","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CNXTJ9Z5"
"Average Sales Rank: 31,542","","B0CFVCYJKF","EOOUT 6pcs Hardcover Spiral Notebook, Spiral Journals, College Ruled, 11x8.5 Inches, 80GSM Thick Paper, Assorted Jewel Tone Colors, 160 Pages, for Work, Gifts","EOOUT","$24.99","1,545","58","$38,610","12/19/2023","","4.8","750","","4,140","","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CFVCYJKF"
"Average Rating Number: 4.7","","B0C3B3QZFQ","5 Pack College Ruled Notebook, 312 Numbered Pages Thick Notebooks Bulk, 100gsm No Bleed Paper Hardcover Leather Journal, Lined Journal Notebook Set for Women Men School Office, A5, Multicolor","OFFIGIFT","$39.97","1,063","32","$42,488","04/22/2023","$26.64","4.8","216","$13.33","7,729","7","FBA","1","Office Products","Standard","6.18 x 5.47 x 8.74 in","6.71 lb","https://www.amazon.com/dp/B0C3B3QZFQ"
"","","B07RPTD5TG","HANOTE 3 Packs Spiral Notebook, Spiral Ruled Journal with Hard Cover, 8.5' x 11', 240 Pages, 100 GSM Paper, Notebooks for Work School Note Taking","HANOTE","$24.99","279","10","$6,972","06/16/2019","$17.70","4.7","1,278","$7.29","22,716","6","FBA","1","Office Products","Standard","10.04 x 1.93 x 11.1 in","3.53 oz","https://www.amazon.com/dp/B07RPTD5TG"
"","","B0BQBPFLFV","Dunwell 5-Subject Notebook College Ruled 8.5 x 11, 200 Sheets (400 Pages), Spiral Notebook 8.5x11 with Tabs, Movable Pocket Dividers, Front/Back Plastic Covers, Multi Subject Notebook","Dunwell","$15.95","3,009","77","$47,994","12/15/2022","$7.77","4.7","474","$8.18","2,975","6","FBA","1","Office Products","Standard","8.5 x 1.1 x 11 in","2.27 lb","https://www.amazon.com/dp/B0BQBPFLFV"
"","","B09DR4W5MZ","PAPERAGE 36-Pack Composition Notebook Journals, 120 Pages, Kraft Cover with Rainbow Spines, College Ruled Lined Paper, Small Size (8 in x 5.75 in)  For School, Office, or At-Home Use","PAPERAGE","$52.95","1,248","38","$66,082","08/25/2021","$36.18","4.6","2,420","$16.77","6,519","7","FBA","1","Office Products","Standard","5.75 x 12 x 8 in","12 lb","https://www.amazon.com/dp/B09DR4W5MZ"
"","","B0C995MCSX","Spiral Notebook Journal 8.5 x 11, A4 Large Pink Notebooks for Women Men, College Ruled Lined Journal, 100 GSM Paper, Plastic Hardcover Spiral Bound Journals for Work School Note Taking Business","UEBZFOCS","$9.98","4,495","157","$44,860","06/24/2023","$4.89","4.4","234","$5.09","1,221","7","FBA","1","Office Products","Standard","11 x 0.5 x 8.5 in","14.4 oz","https://www.amazon.com/dp/B0C995MCSX"
"","","B0BWYDK5YP","OWSC 3 Pack Lined Spiral Notebook, 8.5 x 11 Inches Notebooks for Work, School and Journal with 110 GSM Thick Paper, Large Notebook with 80 Sheets/160 Pages, Notebooks College Ruled for Note Taking","OWSC","$22.78","1,228","34","$27,974","02/26/2023","$12.93","4.6","144","$9.85","7,363","6","FBA","1","Office Products","Standard","8.5 x 1.5 x 11 in","3.69 lb","https://www.amazon.com/dp/B0BWYDK5YP"
"","","B07ZN5PKP7","Eccolo Large Lined Journal Notebook, Hardbound Cover, Writing Journal, 256 Ruled Ivory Pages, Gilded Edge, Ribbon Bookmark, Lay Flat, Desk Size for Work or School (Brown Leatherette, 8x10 inches)","Eccolo World Traveler","$23.44","2,119","75","$49,669","10/26/2019","$12.89","4.8","2,901","$10.55","3,083","7","FBA","1","Office Products","Standard","8 x 10 x 10 in","1 lb","https://www.amazon.com/dp/B07ZN5PKP7"
"","","B0BMPXMK7D","Yansanido Large Spiral Notebook, 2 Pcs B5 Blue Thick Hardcover 7mm College Ruled 150 Sheets -300 Pages Journals for Study, Work, Travel and Notes (Blue)","Yansanido","$17.99","231","5","$4,156","11/16/2022","$9.50","4.7","98","$8.49","45,120","6","FBA","1","Office Products","Standard","9.21 x 1.69 x 12.24 in","2.89 lb","https://www.amazon.com/dp/B0BMPXMK7D"
"","","B0CH84LFZP","3 Pack College Ruled Notebook, A4 Hardcover Leather Notebook for Work, Lined Notebook Journal for Women, Men, 192 Thick Paper, 8.5' x 11', Large Notebook, Professional Business Notebook, Multicolor","MALEDEN","$34.99","520","15","$18,195","09/03/2023","$22.71","4.9","35","$12.28","15,747","7","FBA","1","Office Products","Standard","8.94 x 2.13 x 11.89 in","5.3 lb","https://www.amazon.com/dp/B0CH84LFZP"
"","","B0C3RGGKXT","College Ruled Notebook, A4 Hardcover Leather Notebook for Work, Lined Notebook Journal for Women, Men, 192 Thick Paper, 8.5' x 11', Large Notebook with Pockets, Professional Business Notebook, Brown","MALEDEN","$18.97","2,718","81","$51,560","04/26/2023","$10.98","4.8","330","$7.99","2,795","7","FBA","1","Office Products","Standard","8.46 x 0.75 x 11.26 in","1.74 lb","https://www.amazon.com/dp/B0C3RGGKXT"
"","","B0CJFHGL64","EOOUT 3 Pack Spiral Notebook Journal, 11' x 8.5' College Ruled Notebook, 3 Aesthetic Abstract Quicksand Designs, Journaling Notebooks for Work School Office Home Christmas Gifts, 3 x 120 Pages","EOOUT","$13.99","1,486","45","$20,789","09/19/2023","$6.10","4.8","3,439","$7.89","5,377","7","FBA","1","Office Products","Standard","8.9 x 0.94 x 10.98 in","2.03 lb","https://www.amazon.com/dp/B0CJFHGL64"
"","","B0CHJR28CS","EOOUT 6pcs Durable Spiral Notebooks Letter Size 8.5'x11' 80 Sheets, Water Resistant Cover for School, Office, Business, Gift","EOOUT","$23.99","463","16","$11,107","09/06/2023","$13.36","4.1","8","$10.63","15,358","6","FBA","1","Office Products","Standard","9.49 x 2.24 x 11.1 in","5.66 lb","https://www.amazon.com/dp/B0CHJR28CS"
"","","B0C4L5GPV1","SATINIOR 5 Pack A4 Notebooks large Journal 360 Pages Leather Softcover Hardcover Notebook Thick Paper Lined Notebook for Office Home School Business Writing, 8.5'' x 11'' (Brown)","SATINIOR","$37.99","180","6","$6,838","","","4.2","20","","38,508","","FBA","","Office Products","","","","https://www.amazon.com/dp/B0C4L5GPV1"
"","","B0B4MHDSV2","Yansanido Spiral Notebook, 4 Pcs A5 Thick Plastic Hardcover 7mm College Ruled 4 Color 80 Sheets -160 Pages Journals for Study, Work, Travel and Notes (A5, 4 Pcs Dark Color 2)","Yansanido","$15.99","853","19","$13,639","06/20/2022","$8.45","4.6","449","$7.54","12,757","6","FBA","1","Office Products","Standard","8.31 x 1.69 x 9.53 in","1.98 lb","https://www.amazon.com/dp/B0B4MHDSV2"
"","","B0C36WY4TN","RETTACY College Ruled Notebook 2 Pack - Leather Notebooks College Ruled with 376 Numbered Pages, Hardcover, 8 Perforated Sheets, Pen Loop, 100 GSM Thick Paper 5.75''  8.38'' (Black & Light Green)","RETTACY","$16.99","2,331","68","$39,604","04/20/2023","$9.30","4.8","3,559","$7.69","3,426","6","FBA","1","Office Products","Standard","5.83 x 1.5 x 8.46 in","1.9 lb","https://www.amazon.com/dp/B0C36WY4TN"
"","","B0C5QYYRWF","Kwaiyole College Ruled Notebook Journal 8.5 x 11, 320 Pages A4 Softcover Faux Leather Journal, 100GSM Thick Paper Lined Notebook for Men and Women, Large Journal for Work Writing Office School - Cyan","Kwaiyole","$15.99","360","12","$5,756","05/18/2023","$7.05","4.8","25","$8.94","20,134","7","FBA","1","Office Products","Standard","8.5 x 0.1 x 11.8 in","2.49 lb","https://www.amazon.com/dp/B0C5QYYRWF"
"","","B0CCRK9RJT","SUNEE 4 Pack Top Bound Spiral Notebook - A4 Lined Cute Notebook 8.5' x 11' Inches Plastic Waterproof Cover, 7mm Ruled 70 Sheets/140 Pages with 4 Aesthetic Colors - Journals for Study and Notes","SUNEE","$16.99","1,801","47","$30,599","07/24/2023","$8.01","4.6","50","$8.98","5,137","7","FBA","1","Office Products","Standard","8.94 x 1.65 x 11.73 in","3.61 lb","https://www.amazon.com/dp/B0CCRK9RJT"
"","","B0B2NK2MS4","CAGIE Hardcover Spiral Notebook 8.5 x 11 Spiral Journal Notebooks College Ruled with Large Pockets Aesthetic Floral Note Book Spiral Bound Journals for Note Taking Women Writing School, 200 Pages","CAGIE","$18.99","807","20","$15,325","05/29/2022","$12.60","4.7","166","$6.39","12,074","7","FBA","1","Office Products","Standard","9.92 x 0.98 x 11.06 in","3.53 oz","https://www.amazon.com/dp/B0B2NK2MS4"
