"Export time:  2/1/2024, 1:48:12 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C5X55YJN","GARVIN Suggestion Box with Stand, Heavy Duty Metal Offering Box, Locking Floor Standing Donation Safe Box for School Office Charity Church Collection Election Ballot 13.2' x 10.7' x 7.7', Black","GARVIN","$99.99","30","1","$3,000","05/21/2023","","4.4","12","","127,363","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C5X55YJN"
"offering box","","B0CDL3695Y","xydled Suggestion Box with Key Lock, Locking Metal Donation Ballot Drop Box, Comment Prayer Box with Slot for Office, Fundraising, Church, School, Home Use, Pink, 8.7 x 7.1 x 5.9 Inches","xydled","$26.99","741","29","$20,000","08/02/2023","$16.21","4.8","454","$10.78","8,420","6","FBA","1","Office Products","Standard","8.23 x 6.65 x 9.45 in","4.07 lb","https://www.amazon.com/dp/B0CDL3695Y"
"Average Monthly Sales: 224","","B0C5X6PFG1","Tredre Offering Box for Church, Suggestion Box with Stand, Upgraded Heavy Duty Metal Base Floor Standing Donation Box with Lock for School Office Charity Collection Election Ballot, Large Black","Tredre","$99.99","30","1","$3,000","05/21/2023","$68.07","3.9","7","$31.92","114,596","7","FBA","1","Office Products","Oversize","14.4 x 7 x 16.5 in","21.5 lb","https://www.amazon.com/dp/B0C5X6PFG1"
"Average Revenue: $6,465","","B01AV5LALG","Rich Mahogany Wood Charity Donation & Suggestion Box Office Ballot Box with Pocket Comes with Locking Hinged Lid for Table Or Counter-top use (Dark Mahogany)","My Charity Boxes","$42.79","132","4","$5,648","01/19/2016","$29.04","4.4","326","$13.75","53,731","6","FBA","3","Office Products","Standard","12 x 8 x 9 in","2.79 lb","https://www.amazon.com/dp/B01AV5LALG"
"Average Price: $48.69","","B0C5X4TNSJ","MOOFI Suggestion Box with Stand, Floor Standing Offering Box, Upgraded Heavy Duty Metal Locking Ballot Collection Safe Box for Voting Contest Charity Donation Church Election, Large, Black","MOOFI","$99.99","60","2","$5,999","05/21/2023","","4.7","8","","89,207","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C5X4TNSJ"
"Average No. of Ratings: 163","","B0B49JXCYY","CiaoHER Acrylic Donation Box 6x6x6 inches, Ballot Suggestion Box Money Storage Container for Voting, Charity, Ballot, Contest, Suggestions (6' x 6' x 6')","CiaoHER","$29.99","188","5","$5,638","06/15/2022","$19.70","4.6","31","$10.29","42,689","6","FBA","2","Office Products","Standard","6 x 6 x 6 in","2.44 lb","https://www.amazon.com/dp/B0B49JXCYY"
"Average Sales Rank: 129,142","","B009YUXOPU","Safco Products 4237NA Bamboo Suggestion Box, Natural, Mahogany","Safco","$29.95","64","4","$1,917","05/02/2014","$10.47","4.6","188","$19.48","57,466","6","AMZ","13","Office Products","Oversize","11.1 x 12.25 x 10.25 in","5.351 lb","https://www.amazon.com/dp/B009YUXOPU"
"Average Rating Number: 4.3","","B010MNNKAQ","Azar Displays 206325-CLR Suggestion Box with Lock and Keys, Donation Box, Offering Box, Locked Display Stand, Acrylic Sign Holder on Pedestal, Clear Locking Box with Slot, 11'x 8.25'x8.25'","Azar Displays","$99.90","107","4","$10,689","06/25/2015","$69.90","4","168","$30.01","49,216","7","FBA","2","Office Products","Oversize","16 x 26 x 4 in","17 lb","https://www.amazon.com/dp/B010MNNKAQ"
"","","B0C3M23DPC","Marsui 2 Pack Acrylic Suggestion Box Large Donation Box 8.2 x 6.7 x 5 Inch Safe Ballot Box with Lock and Sign Holder for Voting Charity Business Cards Collection Display Ticket Comment (Black)","Marsui","$49.99","10","","$499.90","04/25/2023","$30.89","5","2","$19.10","213,780","7","FBA","1","Office Products","Oversize","10 x 8.5 x 12 in","3.89 lb","https://www.amazon.com/dp/B0C3M23DPC"
"","","B0CNG9XB89","Offering Box Church, Suggestion Box with Stand, Heavy Duty Metal Floor Standing Donation Box, Locking Ballot Collection Safe Box for Voting Contest Charity Donation Church Election","CC LOT","$94.99","","","$0.00","12/07/2023","","","","","325,139","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CNG9XB89"
