"Export time:  1/27/2024, 12:54:08 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CFW12DYR","Youbetia Paper Tray Organizer with Mesh File Holder, 5 Tier Desk Accessories & Workspace Desk Organizers with Pen Holder, Office Desk Accessories Desktop Organization for Office Supplies (Black)","Youbetia","$28.99","1,809","62","$52,443","09/21/2023","","4.6","135","","3,787","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CFW12DYR"
"office desk accessories","","B0BN3YHMZR","VIVSOL Desk Organizer with Mesh File Holder, 4-Tier Office Supplies Desk Organizers and Accessories with Sliding Drawers & Pen Holder, Desk File Organizer and Storage for Office, School, Home, Black","VIVSOL","$34.99","727","24","$25,438","11/21/2022","$17.38","4.6","395","$17.61","10,225","7","FBA","3","Office Products","Oversize","11.22 x 11.02 x 11.2 in","4 lb","https://www.amazon.com/dp/B0BN3YHMZR"
"Average Monthly Sales: 9,387","","B0C1GS9XXY","VIVSOL 5-Tier Office Supplies Desk Organizer, Desk Organizers and Accessories with 2-File Organizer with Sliding Drawer, 4 Trays and Large Capacity Pen Holder, Mesh Desk Accessories, Black (5-Tier)","VIVSOL","$34.99","210","7","$7,348","04/03/2023","","4.7","170","","31,238","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C1GS9XXY"
"Average Revenue: $152,733","","B0CGQMZ4P6","KINGFOM Desk Organizer with Drawer, Multifunction Pencil Holder for Desk, Desk Organizer and Accessories 5 Comparetments for Home Office Supplies (Beige)","KINGFOM","$36.99","109","3","$4,032","08/27/2023","","4.9","11","","59,010","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CGQMZ4P6"
"Average Price: $27.88","","B0BQDLRGNF","EOOUT Gold Office Supplies Set Desk Accessories, Acrylic Stapler Set Staple Remover, Phone Holder, Tape Holder, Pen Holder, 2 Ballpoint Pen, Scissor, Binder Clips, Ruler, Transparent Glue and Staples.","EOOUT","$21.99","1,388","43","$30,522","12/16/2022","$13.55","4.6","256","$8.44","5,650","6","FBA","2","Office Products","Standard","6.42 x 4.41 x 6.61 in","1.96 lb","https://www.amazon.com/dp/B0BQDLRGNF"
"Average No. of Ratings: 7,592","","B0C5H71DWY","YSAGi Leather Desk Pad Protector, Office Desk Mat, Large Mouse Pad, Non-Slip PU Leather Desk Blotter, Waterproof Laptop Desk Writing Pad for Office and Home (23.6' x 13.8', Eggshell)","YSAGi","$9.99","47,320","1,688","$472,727","11/17/2022","$4.72","4.6","2,748","$5.27","18","7","FBA","1","Office Products","Standard","2.48 x 2.44 x 14.17 in","9.1 oz","https://www.amazon.com/dp/B0C5H71DWY"
"Average Sales Rank: 6,442","","B0C9GRJGR7","SUPERDANNY LED Desk Lamp for Office Home, Eye-Caring Desk Light with Adjustable Gooseneck, 12W Touch Control Dimmable Brightness, Architect Clamp Lamp with USB Adapter for Reading Study Workbench","SUPERDANNY","$29.99","4,725","239","$141,703","08/10/2023","$15.39","4.6","357","$14.60","804","7","FBA","1","Tools & Home Improvement","Oversize","17 x 32 x 2 in","1.87 lb","https://www.amazon.com/dp/B0C9GRJGR7"
"Average Rating Number: 4.6","","B08KXKVT4K","Vtopmart 25 PCS Clear Plastic Drawer Organizers Set, 4-Size Versatile Bathroom and Vanity Drawer Organizer Trays, Storage Bins for Makeup, Bedroom, Kitchen Gadgets Utensils and Office","Vtopmart","$18.49","84,555","2,857","$1.56M","10/08/2020","$9.29","4.7","29,131","$9.20","15","7","FBA","4","Home & Kitchen","Standard","2 x 9 x 6 in","3.92 lb","https://www.amazon.com/dp/B08KXKVT4K"
"","","B09P8B45DG","iCasso Keyboard Mouse Pad Set,Desk Pad + Keyboard Wrist Rest Support+Wrist Rest, Easy Typing Pain Relief, 3Pcs (35.415.7 in) Ergonomic XXL Ultra Thick Mousepad Desk Mat (Morlandi)","iCasso","$19.99","1,516","23","$30,305","09/08/2021","$11.85","4.7","2,645","$8.14","10,641","7","FBA","1","Office Products","Standard","3.15 x 0.01 x 17.32 in","1.65 lb","https://www.amazon.com/dp/B09P8B45DG"
"","","B096TF8NPR","Marbrasse 3 Tier Mesh Desk Organizer with Drawer, Multi-Functional Desk Organizers and Accessories, Paper Letter Organizer with 2 Pen Holder for Home Office Supplies - Black","Marbrasse","$24.99","1,523","50","$38,060","06/07/2021","$13.61","4.6","2,536","$11.38","4,785","7","FBA","2","Office Products","Standard","10.197 x 13.268 x 7.402 in","4.475 lb","https://www.amazon.com/dp/B096TF8NPR"
