"Export time:  1/27/2024, 1:54:02 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08FG4B3TY","Auhoahsil Large Mouse Pad, Full Desk XXL Extended For Gaming 35' X 15', Waterproof Mat with Stitched Edge, Non-Slip Laptop Computer Keyboard Mouse Pad for Office & Home, Misty Forest Design","Auhoahsil","$16.99","1,051","32","$17,856","08/07/2020","$2.46","4.7","3,500","$14.53","7,658","7","FBA","1","Office Products","Oversize","15.7 x 0.1 x 35.5 in","1.1 lb","https://www.amazon.com/dp/B08FG4B3TY"
"office mouse pad","","B0868KH57T","K KNODEL Large Desk Mat, Office Desk Pad, Computer Desk Mat, Laptop Mat for Desk, Desk Protecor Mat, Desktop Mat, Desk Writing Pad, Desk Blotter Pad, Desk Cover Mat (31.5'x15.7', Green)","K KNODEL","$13.99","30,181","868","$422,232","01/29/2020","$2.95","4.7","56,164","$11.04","73","6","FBA","1","Office Products","Oversize","13.8 x 0.01 x 46 in","14 oz","https://www.amazon.com/dp/B0868KH57T"
"Average Monthly Sales: 4,633","","B0BVVRZBRC","YSAGi Leather Desk Pad Protector, Office Desk Mat, Large Mouse Pad, Non-Slip PU Leather Desk Blotter, Laptop Desk Pad, Waterproof Desk Writing Pad for Office and Home (23.6' x 13.8', Pale Mauve)","YSAGi","$9.99","47,811","1,688","$477,632","11/19/2022","$4.72","4.6","2,748","$5.27","18","7","FBA","1","Office Products","Standard","2.48 x 2.4 x 14.25 in","9.9 oz","https://www.amazon.com/dp/B0BVVRZBRC"
"Average Revenue: $54,997","","B0B5D2PQQL","SXCKANG Small Mouse Pad, Rectangle Premium Texture Custom Computer Cute Mouse Pad Design, Women Mousepad with Washable Lycra Cloth Non-Slip Rubber Base for Office, Aesthetic Abstract Leaves","SXCKANG","$7.99","276","10","$2,205","06/28/2022","$3.87","4.7","106","$4.12","23,029","7","FBA","1","Office Products","Standard","7.9 x 0.12 x 9.5 in","3.2 oz","https://www.amazon.com/dp/B0B5D2PQQL"
"Average Price: $14.14","","B082F5ZLS5","Leather Desk Pad Protector,Mouse Pad,Office Desk Mat, Non-Slip PU Leather Desk Blotter,Laptop Desk Pad,Waterproof Desk Writing Pad for Office and Home (Black,31.5' x 15.7')","Aothia","$13.99","21,985","799","$307,570","12/04/2019","$2.95","4.7","71,772","$11.04","86","7","FBA","2","Office Products","Oversize","15.7 x 0.08 x 31.5 in","10.5 oz","https://www.amazon.com/dp/B082F5ZLS5"
"Average No. of Ratings: 6,349","","B07D6559YM","K KNODEL Leather Desk Mat, Large Office Desk Pad, Computer Desk Mat, Laptop Mat for Desk, Desk Protecor Mat, Desktop Mat, Desk Writing Pad, Desk Blotter Pad, Desk Cover Mat (31.5'x15.7', Black)","K KNODEL","$13.99","32,110","868","$449,219","05/18/2018","$2.95","4.7","56,164","$11.04","73","7","FBA","1","Office Products","Oversize","15.7 x 0.1 x 31.5 in","13 oz","https://www.amazon.com/dp/B07D6559YM"
"Average Sales Rank: 25,540","","B07DVCGX7G","MROCO Ergonomic Mouse Pad with Gel Wrist Support, Comfortable Mousepad with Smooth Wrist Rest Surface and Non-Slip PU Base for Pain Relief, Computer, Laptop, Office & Home, 9.4 x 8.1 in, Black","MROCO","$8.97","22,904","743","$205,449","08/02/2018","$4.55","4.6","23,962","$4.42","99","7","FBA","1","Office Products","Standard","8.1 x 0.2 x 9.4 in","6.9 oz","https://www.amazon.com/dp/B07DVCGX7G"
"Average Rating Number: 4.7","","B09XD15TQ7","Computer Mouse Pads with Tropical Leaves Design, Square Waterproof Non-Slip Rubber Base Mouse Mat for Office Laptop","Hokafenle","$8.89","805","20","$7,156","04/06/2022","$4.64","4.7","829","$4.25","12,494","7","FBA","1","Office Products","Standard","7.9 x 0.12 x 9.5 in","2.89 oz","https://www.amazon.com/dp/B09XD15TQ7"
"","","B0C8J54RNP","iCasso Gaming Mouse Pad with Wrist Rest, 3in1 Large Desk Mat + Keyboard Wrist Rest+Mouse Wrist Rest, Easy Typing Pain Relief, (35.415.7 in) Ergonomic XXL Ultra Thick Mousepad Desk Mat (Brown Art)","iCasso","$22.99","690","23","$15,863","06/18/2023","$14.40","4.7","2,645","$8.59","10,641","7","FBA","1","Office Products","Standard","4.45 x 2.44 x 17.2 in","1.65 lb","https://www.amazon.com/dp/B0C8J54RNP"
"","","B01HY72XQA","TERRATUTOR Aluminum Mouse Pad with Non-Slip Rubber Base and Micro Sand Blasting Alloy Surface for Fast and Accurate Control | Silver","TERRATUTOR","$12.98","699","23","$9,073","07/03/2016","$7.96","4.3","182","$5.02","10,813","6","FBA","1","Office Products","Standard","7.09 x 0.12 x 9.06 in","7 oz","https://www.amazon.com/dp/B01HY72XQA"
"","","B09QBWYFV1","Armanza Mouse Pad, Cute Mousepad with Design, Round Grass Leaves Mat, Small Non-Slip Rubber Gaming Pads, Office Home Personalized Pad","Armanza","$8.89","1,349","39","$11,993","01/15/2022","$4.64","4.7","1,127","$4.25","6,243","7","FBA","1","Office Products","Standard","7.9 x 0.12 x 7.9 in","2.08 oz","https://www.amazon.com/dp/B09QBWYFV1"
"","","B075ZDRLGN","Office Mousepad with Gel Wrist Support - Ergonomic Gaming Desktop Mouse Pad Wrist Rest - Design Gamepad Mat Rubber Base for Laptop Computer (01Pink)","DEMON CHEST","$7.99","4,280","188","$34,197","09/26/2017","$3.25","4.4","12,975","$4.74","947","7","FBA","1","Office Products","Standard","8.46 x 0.98 x 11.02 in","5 oz","https://www.amazon.com/dp/B075ZDRLGN"
"","","B0CB84VSGH","Armanza Large Gaming Mouse Pad, Extended XL Mousepad, Non-Slip Rubber Base Keyboard Mouse Mat Desk Pad for Work, Game, Office, Home, 31.5 x 11.8 in, Black Marble Fluid Design","Armanza","$19.99","1,071","31","$21,409","08/08/2023","$8.05","4.5","39","$11.94","7,965","7","FBA","1","Office Products","Oversize","11.8 x 0.12 x 31.5 in","13.4 oz","https://www.amazon.com/dp/B0CB84VSGH"
"","","B0BMTPC44X","YSAGi Leather Desk Pad Protector, Office Desk Mat, Large Mouse Pad, Non-Slip PU Leather Desk Blotter, Laptop Desk Pad, Waterproof Desk Writing Pad for Office and Home (23.6' x 13.8', Black)","YSAGi","$9.99","47,385","1,610","$473,376","11/17/2022","$-0.45","4.6","2,735","$10.44","20","7","FBA","1","Office Products","Oversize","13.8 x 0.01 x 23.6 in","7.7 oz","https://www.amazon.com/dp/B0BMTPC44X"
"","","B0C2YHM26B","Desk Mat Large Protector Pad 23.6' 11.8', Non-Slip PU Leather Desk Blotter, Waterproof Mouse Pad for Office Home Green Floral","YOUWOUS","$15.99","147","6","$2,351","04/18/2023","$4.65","4.8","12","$11.34","39,607","6","FBA","1","Office Products","Oversize","23.6 x 0.1 x 11.8 in","1.76 oz","https://www.amazon.com/dp/B0C2YHM26B"
"","","B09XKLJVJ4","Keyboard Mouse Pad Set, Extended Gaming Mouse Pad + Keyboard Wrist Rest Support, Memory Foam for Easy Typing Pain Relief, 3Pcs Ergonomic XXL (31.5 x 11.81in) Ultra Thick Desk Mat,Green Golden Leaves","Miyaso","$19.99","200","7","$3,998","04/08/2022","$11.85","4.7","245","$8.14","34,718","7","FBA","1","Office Products","Standard","3.98 x 3.62 x 17.01 in","1.26 lb","https://www.amazon.com/dp/B09XKLJVJ4"
"","","B08JYHSZ1V","Anyshock Flral Desk Mat, Extra Large Mouse Pad Gaming, XXL Computer Mousepad with Non Slip Base, Desk Pad Large, Keyboard Matt for Office Decor, Desktop, Girls, Women, Pink Colorful Peony Flower","Anyshock","$16.99","1,324","43","$22,495","09/23/2020","$2.84","4.8","4,269","$14.15","5,647","7","FBA","2","Office Products","Oversize","35.4 x 0.1 x 15.7 in","1.19 lb","https://www.amazon.com/dp/B08JYHSZ1V"
"","","B0BX341WN2","Computer Office Power Point Excel Word Shortcut Keys Mouse Pad 11.8x31.5 in Big Extended Non-Slip Rubber Base Mousepad with Stitched Edges Gaming Pc Desktop Large Mouse Pad","YANGZHI","$18.99","165","5","$3,133","02/27/2023","$5.30","4.2","63","$13.69","40,686","6","FBA","1","Office Products","Oversize","11.8 x 0.12 x 31.5 in","1.01 lb","https://www.amazon.com/dp/B0BX341WN2"
"","","B07QYYSDMP","Non-Slip Desk Pad,Mouse Pad,Waterproof PVC Leather Desk Table Protector,Ultra Thin Large Desk Blotter, Easy Clean Laptop Desk Writing Mat for Office Work/Home/Decor(Pink, 31.5' x 15.7')","YSAGi","$11.19","13,064","689","$146,186","06/14/2019","$0.57","4.7","31,816","$10.62","114","6","FBA","1","Office Products","Oversize","15.7 x 0.01 x 31.5 in","12.7 oz","https://www.amazon.com/dp/B07QYYSDMP"
"","","B09ZTZD331","Lateefah Large Mouse Pad and Keyboard Wrist Rest , 4-in-1 Extended Mouse Pad with Wrist Support, Non-Slip Desk Mat Protector, Ultra Thick Desk Blotter for Office, Home","LATEEFAH","$22.99","2,094","84","$48,141","05/08/2022","$14.40","4.7","2,695","$8.59","2,687","7","FBA","1","Office Products","Standard","4.53 x 3.27 x 16.54 in","1.79 lb","https://www.amazon.com/dp/B09ZTZD331"
"","","B0CDW52JS1","ProbTis Excel Shortcuts Mousepad, Upgraded Pro Version, Extended Office Desk Mat, Stitched Edges, Waterproof, Non-Slip Base Keyboard Mats, XXL Giant Mouse Pads for Desk, 35.4x15.7, Office Gifts","ProbTis","$29.99","491","17","$14,725","08/06/2023","$-1.31","4.8","41","$31.30","14,042","7","FBA","1","Office Products","Oversize","15.75 x 11.81 x 35.43 in","1.7 lb","https://www.amazon.com/dp/B0CDW52JS1"
