"Export time:  1/27/2024, 12:01:50 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07RY2ZKT5","Amazon Basics Rectangular Plastic Desk Organizer, Letter Tray, White, 2-Pack","Amazon Basics","$17.94","4,023","103","$72,173","09/24/2019","$9.46","4.6","12,793","$8.48","2,085","6","AMZ","2","Office Products","Standard","10 x 13.19 x 2.52 in","1.759 lb","https://www.amazon.com/dp/B07RY2ZKT5"
"office organization for desk","","B0CF1QQLGG","RENMTURE Double-Sided Two-Tone Faux Leather Desk mat Desktop Organization and Accessories Home and Office Large Mouse pad Game and Work (Beige/Brown, 32'x16')","RENMTURE","$13.99","630","21","$8,814","09/17/2023","$2.95","4.6","36","$11.04","11,796","7","FBA","1","Office Products","Oversize","16 x 0.1 x 32 in","13.5 oz","https://www.amazon.com/dp/B0CF1QQLGG"
"Average Monthly Sales: 2,841","","B0C7L35NX9","Simple Houseware Desk Dual Monitor Stand Riser with Drawer, White","Simple Houseware","$37.87","","","","08/03/2023","","4.6","434","","23","6","FBA","1","Computer Monitor Stands","","","","https://www.amazon.com/dp/B0C7L35NX9"
"Average Revenue: $49,543","","B0BQW1YCFV","HeZone Desk Organizers and Accessories, Acrylic Desk Organizer with Drawer, Office Supplies Organization Storage, Clear Acrylic File Organizer for Desk - 1 Pack","HeZone","$57.99","90","2","$5,219","12/21/2022","$41.66","4.5","26","$16.33","86,530","7","FBA","1","Office Products","Standard","12.2 x 4.6 x 9 in","7.1 lb","https://www.amazon.com/dp/B0BQW1YCFV"
"Average Price: $25.54","","B0BZ4396D5","OPNICE Desk Organizers and Accessories, Desk Organizer with Drawer, 4-Tier Paper Tray Organizer with 2 Pen Holders + File Holder, Office Desk Accessories for Office Supplies(Rose Gold)","OPNICE","$26.99","4,414","264","$119,134","04/24/2023","$14.00","4.5","540","$12.99","578","6","FBA","3","Office Products","Oversize","16.13 x 9.05 x 9.44 in","1.6 oz","https://www.amazon.com/dp/B0BZ4396D5"
"Average No. of Ratings: 3,470","","B0BWTT3WK1","gianotter Paper Letter Tray Organizer with File Holder, 4-Tier Desk Accessories & Workspace Desk Organizers with Drawer and 2 Pen Holder for Office Supplies (Rose Gold)","gianotter","$32.99","5,530","122","$182,435","04/04/2023","","4.6","951","","1,690","6","FBA","2","Office Products","","","","https://www.amazon.com/dp/B0BWTT3WK1"
"Average Sales Rank: 19,268","","B0C7L373XM","Simple Houseware Desk Dual Monitor Stand Riser with Drawer, Rustic Brown","Simple Houseware","$37.87","","","","08/02/2023","","4.6","434","","15","6","FBA","1","Computer Monitor Stands","","","","https://www.amazon.com/dp/B0C7L373XM"
"Average Rating Number: 4.5","","B01B1YHL82","Wallniture Lisbon 10-Tier Wall Mounted File Holder and Desk Organizer, Metal White Office Organization and Storage Rack","Wallniture","$89.99","65","2","$5,849","01/24/2016","$67.96","4.4","407","$22.03","80,881","6","FBA","1","Office Products","Standard","11.34 x 5.98 x 15.27 in","10.32 lb","https://www.amazon.com/dp/B01B1YHL82"
"","","B07TMYYCGB","Samstar Desk Organizer, 5 Tier Paper Organizer Letter Tray File Sorter Document Storage for Office Organization (with Extra Drawer)","samstar","$29.97","60","3","$1,798","06/27/2019","$17.84","4.7","1,613","$12.13","68,066","6","FBA","3","Office Products","Standard","13.7 x 14.6 x 5.1 in","5.75 lb","https://www.amazon.com/dp/B07TMYYCGB"
"","","B0CGYWWW99","Martha Stewart Kerry Plastic Stackable Office Desk Drawer Organizers, 6' x 3', 6 Pack, with Gold Trim","Martha Stewart","$24.63","1,170","44","$28,817","08/29/2023","$15.74","4.7","173","$8.89","5,556","6","AMZ","1","Office Products","Standard","3 x 2 x 6 in","1.8 lb","https://www.amazon.com/dp/B0CGYWWW99"
"","","B0B2W3YQ2J","Marbrasse Desk Organizer with Drawer, 4-Tier Mesh Desk File Organizer with 5 Vertical File Holders and 2 Pen Holders, Multifunction Desktop Organizer","Marbrasse","$29.99","1,872","101","$56,141","05/31/2022","$18.16","4.4","1,194","$11.83","2,143","7","FBA","2","Office Products","Standard","10.2 x 14.17 x 5.63 in","6.219 lb","https://www.amazon.com/dp/B0B2W3YQ2J"
"","","B09K5927B5","Marbrasse Desk Organizer with File Holder, 5-Tier Paper Letter Tray Organizer with Drawer and 2 Pen Holder, Mesh Desktop Organizer and Storage with Magazine Holder for Office Supplies(Black)","Marbrasse","$33.99","6,681","195","$227,087","10/22/2021","$21.56","4.5","3,199","$12.43","902","7","FBA","4","Office Products","Standard","13 x 4.72 x 15.7 in","6.6 lb","https://www.amazon.com/dp/B09K5927B5"
