"Export time:  1/29/2024, 12:57:02 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C1NFX8YG","GoldOrcle Mesh Desk File Organizer with 5 Vertical File, Multifunction Desktop Organizers and Accessories for Home Office Magazine Book Organization","GoldOrcle","$24.99","1,378","35","$34,436","04/05/2023","$13.31","3.9","19","$11.68","7,081","6","FBA","1","Office Products","Standard","12.76 x 6.42 x 13.74 in","5.74 lb","https://www.amazon.com/dp/B0C1NFX8YG"
"office organizer","","B01N9HQM9F","Simple Houseware Mesh Desk Organizer with Sliding Drawer, Double Tray and 5 Upright Sections, Black","Simple Houseware","$24.97","4,207","159","$105,049","12/13/2016","$8.10","4.7","33,798","$16.87","1,196","6","FBA","5","Office Products","Oversize","13 x 9 x 13.25 in","1 lb","https://www.amazon.com/dp/B01N9HQM9F"
"Average Monthly Sales: 3,811","","B07D5MKDQP","Simple Houseware Desk Organizer 3 Tray w/Sliding Drawer, Hanging File Holder and Pen Holder Accessory, Black","Simple Houseware","$24.97","373","15","$9,314","05/17/2018","$14.19","4.6","10,327","$10.78","16,150","6","FBA","2","Office Products","Standard","11.732 x 12.992 x 4.803 in","4.696 lb","https://www.amazon.com/dp/B07D5MKDQP"
"Average Revenue: $75,475","","B0C7Q31H15","DAOUTIME 4-Tier Mesh Desk Organizer, Wooden Desk File Organizer with 5 Vertical File Holders and 2 Pen Holders, Desktop Organizer with Drawer, Desk Organizers and Accessories for Home Office","DAOUTIME","$32.99","411","10","$13,559","06/11/2023","$20.41","4.6","69","$12.58","22,631","6","FBA","1","Office Products","Standard","10.16 x 6.73 x 13.74 in","7.43 lb","https://www.amazon.com/dp/B0C7Q31H15"
"Average Price: $27.75","","B09K5927B5","Marbrasse Desk Organizer with File Holder, 5-Tier Paper Letter Tray Organizer with Drawer and 2 Pen Holder, Mesh Desktop Organizer and Storage with Magazine Holder for Office Supplies(Black)","Marbrasse","$32.99","6,566","178","$216,612","10/22/2021","$20.56","4.5","3,208","$12.43","1,024","7","AMZ","4","Office Products","Standard","13 x 4.72 x 15.7 in","6.6 lb","https://www.amazon.com/dp/B09K5927B5"
"Average No. of Ratings: 3,093","","B0BYMRJD7R","Marbrasse Pen Organizer with 2 Drawer, Multi-Functional Pencil Holder for Desk, Desk Organizers and Accessories with 5 Compartments + Drawer for Office Art Supplies (White)","Marbrasse","$9.99","12,533","470","$125,205","03/15/2023","$3.97","4.5","9,078","$6.02","228","7","FBA","1","Office Products","Standard","4.2 x 6.3 x 8.2 in","14.4 oz","https://www.amazon.com/dp/B0BYMRJD7R"
"Average Sales Rank: 12,276","","B0BWTT3WK1","gianotter Paper Letter Tray Organizer with File Holder, 4-Tier Desk Accessories & Workspace Desk Organizers with Drawer and 2 Pen Holder for Office Supplies (Rose Gold)","gianotter","$26.99","5,344","107","$144,235","04/04/2023","","4.6","954","","2,007","6","FBA","2","Office Products","","","","https://www.amazon.com/dp/B0BWTT3WK1"
"Average Rating Number: 4.6","","B0BP7CT6QK","DALTACK 3 Tier Letter Tray Paper Organizer with Handle, Mesh Desk File Organizer, Paper Tray Desk Organizer for School Office Home, Metal Mesh, Black","DALTACK","$19.99","360","9","$7,196","12/05/2022","","4.7","124","","27,329","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BP7CT6QK"
"","","B078Z16F53","SimpleHouseware Expandable 5 Section Metal Upright File Sorter Organizer, Black","Simple Houseware","$16.87","5,328","165","$89,883","01/02/2018","$8.55","4.4","7,867","$8.32","1,135","5","FBA","3","Office Products","Standard","8.74 x 14.173 x 3.032 in","2.161 lb","https://www.amazon.com/dp/B078Z16F53"
"","","B0C6QMPX37","Marbrasse Mesh Pen Holder for Desk, Desk Organizer with Drawer, Multi-Functional Pencil Organizer, Desk Organizers and Accessories for Office Art Supplies (Black)","Marbrasse","$20.99","2,183","88","$45,821","05/30/2023","","4.4","376","","2,544","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C6QMPX37"
"","","B088NHGC48","Simple Trending 2 Tier Metal Monitor Stand Monitor riser and Computer Desk Organizer with Drawer and Pen Holder for Laptop, Computer, iMac, Black","Simple Trending","$30.57","","","","05/13/2020","$22.31","4.7","2,108","$8.26","4","6","FBA","1","Computer Monitor Stands","Standard","10.3 x 16.3 x 1.4 in","3.75 lb","https://www.amazon.com/dp/B088NHGC48"
"","","B07R7FZ6RG","Simple Trending 7 Tier Desk File Organizer, Letter Tray Paper Organizer with Pen Holder and Metal Hanging Basket, Black","Simple Trending","$33.97","1,160","33","$39,405","04/25/2019","$22.14","4.7","3,457","$11.83","7,599","6","FBA","1","Office Products","Standard","9.37 x 13.66 x 4.53 in","4.76 lb","https://www.amazon.com/dp/B07R7FZ6RG"
"","","B087B69492","Amazon Basics Mesh Desk Organizer with Sliding Drawer, Double Tray and 5 Upright Sections, Black","Amazon Basics","$27.89","","","","03/15/2021","$16.68","4.4","1,336","$11.21","3,599","6","AMZ","4","Our Brands","Standard","9.4 x 13 x 6.8 in","5.249 lb","https://www.amazon.com/dp/B087B69492"
"","","B0C2Y4YZK1","VETUZA Hanging File Organizer with 5 Hanging Folders for Desk, Metal Mesh File Storage Box, Desk File Holder Folder for Office&School, No Assembly Required, Black","VETUZA","$17.99","283","14","$5,091","04/18/2023","$6.16","4.5","8","$11.83","17,432","6","FBA","1","Office Products","Standard","10.2 x 5.87 x 12.68 in","0.56 kg","https://www.amazon.com/dp/B0C2Y4YZK1"
"","","B0CDXZXWBM","Azar Displays 250099 Three Tier File and Brochure Desktop Wall Organizer Holder with Dividers brochure display stand acrylic file holder, Clear","Azar Displays","$19.90","222","8","$4,418","08/06/2023","$10.18","4.4","28","$9.72","30,336","6","FBA","3","Office Products","Standard","3.5 x 12 x 13.5 in","2.49 lb","https://www.amazon.com/dp/B0CDXZXWBM"
"","","B0BNPPS85F","Lavatino Desk Organizers with Drawer, 5-Tier Mesh Desk File Organizer with 5 Vertical File Sorter and Pen Holder, Multifunction Desktop Organizer, Desk Organizers and Accessories for Home Office","Lavatino","$28.99","570","19","$16,524","11/30/2022","","4.6","632","","12,866","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BNPPS85F"
"","","B0B2W3YQ2J","Marbrasse Desk Organizer with Drawer, 4-Tier Mesh Desk File Organizer with 5 Vertical File Holders and 2 Pen Holders, Multifunction Desktop Organizer","Marbrasse","$29.99","1,854","54","$55,601","05/31/2022","$18.16","4.4","1,199","$11.83","4,411","7","FBA","2","Office Products","Standard","10.2 x 14.17 x 5.63 in","6.219 lb","https://www.amazon.com/dp/B0B2W3YQ2J"
