"Export time:  1/26/2024, 11:34:42 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07K96BMXB","Amazon Basics Rectangular Stackable Office Letter Size Organizer Desk Tray, Pack of 2, Black","Amazon Basics","$16.14","623","20","$10,055","05/08/2019","$7.93","4.6","2,883","$8.21","12,185","6","AMZ","5","Office Products","Standard","10 x 2.5 x 13.3 in","1.4 lb","https://www.amazon.com/dp/B07K96BMXB"
"office supplies for desk","","B08CDKPNFY","deli Office Supplies Set, Desk Accessory Organizer Kit, Stapler Set, Rotating Multi-Functional Pen Holder, Tape Dispenser, Pens, Binder Clips, Sharpener, Scissor, Eraser, Black","deli","$19.99","134","3","$2,679","07/04/2020","$11.85","4.5","235","$8.14","74,807","6","FBA","4","Office Products","Standard","6 x 5.7 x 6 in","1.4 lb","https://www.amazon.com/dp/B08CDKPNFY"
"Average Monthly Sales: 6,692","","B0CM4BML6F","Yourkhan 2Pack Under Desk Storage, Under Desk Drawer for Desk Storage, Desk Accessories & Workspace Organizers for Desk Storage, Under Desk Shelf for Desk for Office Kitchen, Makeup","Yourkhan","$21.99","180","6","$3,958","","","","","","35,643","","FBA","","Office Products","","","","https://www.amazon.com/dp/B0CM4BML6F"
"Average Revenue: $86,165","","B0BQPLNXHK","350 Pack Paper Clips and Binder Clips Set by Luxurecourt - Binders & Paperclips Assorted Sizes in Container with Compartments, Silver Paper Clips & Black Binder clips for Home, School, Office Supplies","Luxurecourt","$13.99","1,729","43","$24,189","01/23/2023","$8.82","4.7","235","$5.17","5,750","6","FBA","1","Office Products","Standard","2.3 x 0.1 x 3.9 in","9.9 oz","https://www.amazon.com/dp/B0BQPLNXHK"
"Average Price: $22.04","","B0CCYMXWCW","Black Desk Organizer and Accessories, Black Desk Asccessories Office Supply Kit Include Mesh Desktop Organizer Stapler 1000 Staples Tape Dispenser Pen Holder Staple Remover Clips Ruler Scissors","auroray","$24.99","1,036","34","$25,890","07/27/2023","","4.7","77","","7,194","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CCYMXWCW"
"Average No. of Ratings: 4,836","","B0BQDLRGNF","EOOUT Gold Office Supplies Set Desk Accessories, Acrylic Stapler Set Staple Remover, Phone Holder, Tape Holder, Pen Holder, 2 Ballpoint Pen, Scissor, Binder Clips, Ruler, Transparent Glue and Staples.","EOOUT","$21.99","1,388","43","$30,522","12/16/2022","$13.55","4.6","256","$8.44","5,650","6","FBA","2","Office Products","Standard","6.42 x 4.41 x 6.61 in","1.96 lb","https://www.amazon.com/dp/B0BQDLRGNF"
"Average Sales Rank: 21,431","","B0C65GF53Z","Black Office Supplies,UPIHO Black Desk Accessories,Stapler and Tape Dispenser Set for with Large Stapler,Tape Dispenser, Staple Remover, Staples, Clips,Scissor and Tabs,Gifts for Office Clerks","UPIHO","$19.99","2,223","80","$44,438","05/23/2023","$11.85","4.4","451","$8.14","2,859","7","FBA","1","Office Products","Standard","6.34 x 2.44 x 8.98 in","1.63 lb","https://www.amazon.com/dp/B0C65GF53Z"
"Average Rating Number: 4.6","","B096RCTXBQ","ZSIMC Laptop Stand, Laptop Riser Computer Stand for Desk, Adjustable Aluminum Foldable Portable Desktop Holder, Compatible with MacBook Air pro, iPad, Lenovo, 10-15.6 Laptop and Tablets (Silver)","ZSIMC","$13.60","","","","06/06/2021","$9.01","4.6","272","$4.59","214","7","FBA","1","Laptop Stands","Standard","2.24 x 10.67 x 1.06 in","0.659 lb","https://www.amazon.com/dp/B096RCTXBQ"
"","","B07X4W6SNK","Black Leather Office Supplies, Desk Organizer Storage Boxes and Accessories for Men, Desktop Organization Storage for Business Cards/Stationery/Cards/Pens/Pencils/Mobile Phones/Small Things(Black)","JOINTOP","$26.99","191","7","$5,155","08/26/2019","$17.80","4.6","840","$9.19","32,905","6","FBA","1","Office Products","Standard","6.063 x 6.063 x 5.236 in","1.268 lb","https://www.amazon.com/dp/B07X4W6SNK"
"","","B07TH9N8MG","4 Pack - Simple Trending Stackable Office Desk Supplies Organizer, Desktop File Document Letter Tray Holder Organizer, Black","Simple Trending","$26.97","283","6","$7,633","06/23/2019","$16.19","4.5","1,487","$10.78","35,025","6","FBA","1","Office Products","Standard","10.8 x 15.1 x 3.5 in","3.1 lb","https://www.amazon.com/dp/B07TH9N8MG"
"","","B07TSCSMZB","SANQIANWAN Remote Control Holders Organizer Box with 5 Compartment PU Leather Multi-functional Office Desk Storage Caddy Store Tv Remote for Media Player,Brush,Pencil,Glassees&Office Supplies Black","SANQIANWAN","$14.99","1,806","39","$27,072","07/02/2019","$8.82","4.8","5,795","$6.17","6,290","6","FBA","1","Office Products","Standard","4.961 x 8.898 x 3.11 in","0.542 lb","https://www.amazon.com/dp/B07TSCSMZB"
"","","B09NFVGTGR","Simple Trending Mesh Desk File Organizer, Office Supplies Desktop Storage with Sliding Drawer, Double Tray and 5 Upright Section Sorter Organizer, Black","Simple Trending","$24.57","660","18","$16,216","12/10/2021","$14.15","4.6","746","$10.42","13,473","6","FBA","1","Office Products","Standard","9.29 x 13.19 x 3.35 in","4.5 lb","https://www.amazon.com/dp/B09NFVGTGR"
"","","B0BWTT3WK1","gianotter Paper Letter Tray Organizer with File Holder, 4-Tier Desk Accessories & Workspace Desk Organizers with Drawer and 2 Pen Holder for Office Supplies (Rose Gold)","gianotter","$32.99","5,530","122","$182,435","04/04/2023","","4.6","951","","1,690","6","FBA","2","Office Products","","","","https://www.amazon.com/dp/B0BWTT3WK1"
"","","B0BRMX3SWH","MDOZQ Office Desk Accessories 2pcs Monitor Memo Board Computer Message Board Office Supplies for Women Men Computer Sticky Note Holder Home Office Accessories Desktop Message Office Decor","MDOZQ","$6.98","11,037","473","$77,038","01/03/2023","$3.01","4.4","645","$3.97","225","7","FBA","4","Office Products","Standard","0.39 x 0.2 x 0.39 in","3.84 oz","https://www.amazon.com/dp/B0BRMX3SWH"
"","","B0BYMRJD7R","Marbrasse Pen Organizer with 2 Drawer, Multi-Functional Pencil Holder for Desk, Desk Organizers and Accessories with 5 Compartments + Drawer for Office Art Supplies (White)","Marbrasse","$9.99","12,383","448","$123,706","03/15/2023","$3.97","4.5","9,063","$6.02","247","7","FBA","1","Office Products","Standard","4.2 x 6.3 x 8.2 in","14.4 oz","https://www.amazon.com/dp/B0BYMRJD7R"
"","","B07VZNMNH9","Amazon Basics Desk Drawer Organizer for Office and Home, Metal Mesh, 6 Compartments, Black","Amazon Basics","$16.50","","","","10/30/2019","$9.51","4.7","1,590","$6.99","1,643","6","AMZ","5","Our Brands","Standard","2.2 x 11.97 x 14.45 in","14.1 oz","https://www.amazon.com/dp/B07VZNMNH9"
"","","B0868Q5MJK","GIM Wireless Charging RGB Gaming Mouse Pad 15W, LED Mouse Mat 800x300x4MM, 10 Light Modes Extra Large Mousepad Non-Slip Rubber Base Computer Keyboard Mat for Gaming, MacBook, PC, Laptop, Desk","GIM","$36.99","1,665","31","$61,588","08/19/2019","$20.60","4.5","3,283","$16.39","7,973","7","FBA","7","Office Products","Oversize","11.8 x 0.01 x 30.7 in","1.94 lb","https://www.amazon.com/dp/B0868Q5MJK"
"","","B0CNBZNT14","Pletpet Multi-Role Desk Organizer, Desktop Extension Drawer, 2-Tier Mesh Under Desk Drawer for Office Supplies & Home Essentials Organization, Black","Pletpet","$29.99","276","14","$8,277","11/14/2023","$13.89","4.2","3","$16.10","17,074","6","FBA","1","Office Products","Oversize","10 x 10 x 10 in","7.39 lb","https://www.amazon.com/dp/B0CNBZNT14"
"","","B06Y68YB85","Dry Erase Laminated Jumbo Wall Calendar, Huge 24-inch by36-Inch Size, Monthly Planner for Home Office, Classroom, Large Date Boxes, Reusable Film, Never Folded, Includes 5 Markers, 8 Tacks. I Eraser","OfficeThink","$36.99","796","33","$29,444","04/10/2017","$22.12","4.4","3,867","$14.87","7,501","7","FBA","2","Office Products","Oversize","3.15 x 3.15 x 25.5 in","1.25 lb","https://www.amazon.com/dp/B06Y68YB85"
"","","B0C4F8RNF9","Cayxenful Pencil Holder For Desk,5 Slots 360Degree Rotating Desk Organizers And Accessories,Desktop Storage Stationery Supplies Organizer, Cute Pencil Cup Pot For Office, School, Home (B-White)","Cayxenful","$11.95","2,830","39","$33,819","05/04/2023","$6.39","4.7","199","$5.56","6,307","7","FBA","1","Office Products","Standard","4.7 x 5.9 x 5.9 in","10.2 oz","https://www.amazon.com/dp/B0C4F8RNF9"
"","","B0BS38L41R","KAAKOW Rose Gold Desk Organizers and Accessories Office Supplies Set Stapler, Pen Holder, Phone Holder, Scissors, Pen, Ruler, 30 Paper Clips, 22 Binder Clip, 20 Tacks and 1000pcs Staples","KAAKOW","$25.98","1,429","45","$37,125","01/10/2023","","4.7","493","","5,353","7","FBA","2","Office Products","","","","https://www.amazon.com/dp/B0BS38L41R"
"","","B0BMTPC44X","YSAGi Leather Desk Pad Protector, Office Desk Mat, Large Mouse Pad, Non-Slip PU Leather Desk Blotter, Laptop Desk Pad, Waterproof Desk Writing Pad for Office and Home (23.6' x 13.8', Black)","YSAGi","$9.99","47,385","1,610","$473,376","11/17/2022","$-0.45","4.6","2,735","$10.44","20","7","FBA","1","Office Products","Oversize","13.8 x 0.01 x 23.6 in","7.7 oz","https://www.amazon.com/dp/B0BMTPC44X"
