"Export time:  1/30/2024, 5:19:28 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CKKXP2QD","VIVAHEARTH Under Sink Organizer Metal, Large Capacity Cabinet Organizer, Under Sink Organizers and Storage for Bathroom Kitchen - 2 Pack","VIVAHEARTH","$49.99","20","2","$1,000","10/05/2023","$33.36","5","1","$16.63","122,460","6","FBA","1","Kitchen & Dining","Standard","12.99 x 7.68 x 16.73 in","9 lb","https://www.amazon.com/dp/B0CKKXP2QD"
"organizational storage","","B0CFQ8RCZB","bukfen Under Sink Organizer, Pull Out Home Organizers 2-Tier Slide Out Sliding Shelf Under Cabinet Storage Multi-Use for Under Kitchen Bathroom Sink Organizers and Storage,White,2 Pack","bukfen","$45.99","754","24","$34,676","08/14/2023","","4.2","21","","11,484","7","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CFQ8RCZB"
"Average Monthly Sales: 6,378","","B08BQBNXSQ","ClearSpace Plastic Storage Bins  Perfect Kitchen Organization or Pantry Storage  Fridge Organizer, Pantry Organization and Storage Bins, Cabinet Organizers","ClearSpace","$39.99","14,795","465","$591,652","06/22/2020","$25.46","4.8","10,422","$14.53","207","6","FBA","14","Kitchen & Dining","Standard","11.496 x 16.024 x 7.638 in","5.311 lb","https://www.amazon.com/dp/B08BQBNXSQ"
"Average Revenue: $221,970","","B07S79G9NM","StorageWorks Large Storage Bins, Fabric Storage Bins for Shelves, Storage Baskets with Metal Frame, Closet Baskets and Bins with Handles, Beige, 2-Pack","StorageWorks","$17.51","9,149","329","$160,199","05/23/2019","$9.09","4.6","4,760","$8.42","1,406","6","FBA","1","Home & Kitchen","Standard","10.3 x 15.6 x 1.3 in","2.35 lb","https://www.amazon.com/dp/B07S79G9NM"
"Average Price: $42.27","","B0C249TV1K","Sineda 4 Pack Storage Bins with Lids - 8.4 Gallon Stackable Storage Bins. Collapsible Storage Bins with Wheels and Door, Ideal for Storage and Organization. (8.4 Gal - 4 Pack, White)","Sineda","$139.95","2,526","57","$353,514","04/10/2023","","4.6","759","","15,499","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C249TV1K"
"Average No. of Ratings: 2,642","","B09JWZHR5T","9 Cube Storage Organizer Set. Includes Nine Fabric Storage Cubes Bins. Cube Shelves for Clothes, Storage and Toys. Perfect Dorm Room Essentials for Collage Students Guys, Boys or Girls","NEATERIZE","$129.96","128","3","$16,635","10/19/2021","$77.21","4.4","234","$52.75","284,126","7","FBA","1","Home & Kitchen","Oversize","15.17 x 38.58 x 10.45 in","64.13 lb","https://www.amazon.com/dp/B09JWZHR5T"
"Average Sales Rank: 23,558","","B0C36GTMSB","StorageWorks 13x13 Storage Cubes, Collapsible Storage Bins Organizer for Closet, Fabric Storage Box with PU Handles, Gray, 4-Pack","StorageWorks","$38.99","1,262","36","$49,205","06/24/2023","$18.50","4.7","213","$20.49","25,552","6","FBA","1","Home & Kitchen","Oversize","13 x 12.75 x 13 in","5.44 lb","https://www.amazon.com/dp/B0C36GTMSB"
"Average Rating Number: 4.6","","B0C4VB8MBM","ClearSpace Plastic Storage Bins with Divider  Perfect Kitchen Organization or Pantry Storage  Fridge Organizer, Pantry Organization and Storage Bins, Cabinet Organizers","ClearSpace","$59.99","704","23","$42,233","05/09/2023","","4.8","1,235","","12,117","7","FBA","5","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C4VB8MBM"
"","","B09TFV97FL","ClearSpace Plastic Bins  Perfect Kitchen Organization or Pantry Storage  Fridge Organizer, Cabinet Organizers","ClearSpace","$34.99","1,801","60","$63,017","02/24/2022","$21.81","4.8","764","$13.18","4,279","6","FBA","4","Kitchen & Dining","Standard","10.5 x 6.37 x 10.5 in","9 lb","https://www.amazon.com/dp/B09TFV97FL"
"","","B0B4G4X43M","HAIXIN Storage Bins with Lids, Collapsible Storage Bins, Wardrobe Closet Organizer, 19 Gal Stackable Toy Storage, Foldable Plastic Storage Container with Door, Crate for Book Storage (3 Pack)","HAIXIN","$199.99","8,624","254","$1.72M","07/28/2022","$106.22","4.5","3,496","$93.77","2,131","6","FBA","2","Home & Kitchen","Oversize","15 x 43 x 25 in","14 lb","https://www.amazon.com/dp/B0B4G4X43M"
