"Export time:  1/30/2024, 5:18:35 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08KXKVT4K","Vtopmart 25 PCS Clear Plastic Drawer Organizers Set, 4-Size Versatile Bathroom and Vanity Drawer Organizer Trays, Storage Bins for Makeup, Bedroom, Kitchen Gadgets Utensils and Office","Vtopmart","$18.49","85,139","3,122","$1.57M","10/08/2020","$9.29","4.7","29,267","$9.20","12","7","FBA","4","Home & Kitchen","Standard","2 x 9 x 6 in","3.92 lb","https://www.amazon.com/dp/B08KXKVT4K"
"organizing containers","","B0B4G4X43M","HAIXIN Storage Bins with Lids, Collapsible Storage Bins, Wardrobe Closet Organizer, 19 Gal Stackable Toy Storage, Foldable Plastic Storage Container with Door, Crate for Book Storage (3 Pack)","HAIXIN","$199.99","8,624","254","$1.72M","07/28/2022","$106.22","4.5","3,496","$93.77","2,131","6","FBA","2","Home & Kitchen","Oversize","15 x 43 x 25 in","14 lb","https://www.amazon.com/dp/B0B4G4X43M"
"Average Monthly Sales: 7,867","","B0B1M6ML2J","WOWBOX 25 PCS Clear Plastic Drawer Organizer Set, 4 Sizes Desk Drawer Divider Organizers and Storage Bins for Makeup, Jewelry, Gadgets for Kitchen, Bedroom, Bathroom, Office","WOWBOX","$25.99","43,381","1,168","$1.13M","06/24/2022","$15.36","4.5","6,517","$10.63","123","6","FBA","7","Home & Kitchen","Standard","7.48 x 9.37 x 6.26 in","4.341 lb","https://www.amazon.com/dp/B0B1M6ML2J"
"Average Revenue: $245,493","","B0BZRMYZV1","Vtopmart 44 PCS Clear Plastic Drawer Organizers Set, 4-Size Versatile Bathroom and Vanity Organizer Trays, Non-Slip Storage Containers for Makeup, Jewelries, BedroomKitchen Utensils and Office","Vtopmart","$29.99","6,494","260","$194,755","03/27/2023","$21.95","4.8","337","$8.04","2,059","7","FBA","1","Home & Kitchen","Standard","6 x 2 x 9 in","0.47 oz","https://www.amazon.com/dp/B0BZRMYZV1"
"Average Price: $34.84","","B09ZKYQMVD","Vtopmart 4 Pack Clear Stackable Storage Drawers, 4.4'' Tall Acrylic Bathroom Makeup Organizer,Plastic Storage Bins For Vanity, Undersink, Kitchen Cabinets, Pantry, Home Organization and Storage","Vtopmart","$24.99","24,521","840","$612,780","05/04/2022","$14.21","4.6","7,279","$10.78","330","7","FBA","2","Beauty & Personal Care","Standard","8.94 x 12.2 x 7.44 in","5.091 lb","https://www.amazon.com/dp/B09ZKYQMVD"
"Average No. of Ratings: 3,615","","B08FBFFSQS","PRANDOM Extra Large Collapsible Storage Bins with Lids [5-Pack] Linen Fabric Foldable Storage Baskets Boxes Organizer Containers Cube with Cover for Bedroom Closet Office Nursery (22.8x15.75x13.8)","PRANDOM","$99.99","3,300","110","$329,967","11/22/2018","$81.28","4.7","7,555","$18.71","6,975","6","FBA","1","Home & Kitchen","Oversize","16.4 x 24.5 x 5 in","19.8 lb","https://www.amazon.com/dp/B08FBFFSQS"
"Average Sales Rank: 17,541","","B09ZQQ211T","HOONEX Storage Bins with Lids for Organizing, Pack of 2, Storage Boxes with 2 Carrying Handles and Study Heavy Cardboard, 16.5' L x 11.8' W x 7.5' H for Shoes, Books, Clothes, Olive","HOONEX","$28.98","1,360","50","$39,413","05/06/2022","","4.6","1,520","","17,803","7","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B09ZQQ211T"
"Average Rating Number: 4.6","","B08Q7QRPFC","StorageWorks Decorative Storage Boxes, Storage Basket with Lid and Handles, Gray and White Stripes, Large, 2-Pack","StorageWorks","$30.99","2,370","61","$73,446","12/09/2020","$19.61","4.7","1,398","$11.38","14,267","6","FBA","1","Home & Kitchen","Standard","11.181 x 15.787 x 2.756 in","4.7 lb","https://www.amazon.com/dp/B08Q7QRPFC"
"","","B092ZDHJMN","Fab totes 6 Pack Clothes Storage, Foldable Blanket Storage Bags, Storage Containers for Organizing Bedroom, Closet, Clothing, Comforter, Organization and Storage with Lids and Handle, Grey","Fab totes","$29.99","53,910","1,425","$1.62M","08/20/2021","","4.3","21,855","","79","6","FBA","6","Home & Kitchen","","","","https://www.amazon.com/dp/B092ZDHJMN"
"","","B09PMHDLW1","[ 12 Pack ] Multi-Use Clear Bins for Organizing - Fridge, Refrigerator Organizer Bins - Pantry Organization and Storage - Plastic Containers for Home, Kitchen, Freezer, SOHO Collection, Canbinet, RV","LANDNEOO","$29.99","2,163","53","$64,868","01/03/2022","$17.26","4.8","1,333","$12.73","4,877","7","FBA","5","Kitchen & Dining","Standard","10.906 x 16.969 x 7.323 in","7.952 lb","https://www.amazon.com/dp/B09PMHDLW1"
"","","B09B739XJD","GRANNY SAYS Storage Baskets with Metal Frame, Closet Shelf Organizer and Storage Bins Large, Closet Storage Baskets, Decorative Clothes Storage Bins for Organizing Shelves, Yellow White, 2-Pack","GRANNY SAYS","$19.99","2,418","65","$48,336","06/10/2022","$5.01","4.7","1,322","$14.98","13,382","6","FBA","1","Home & Kitchen","Oversize","10.24 x 8.27 x 14.57 in","2.4 lb","https://www.amazon.com/dp/B09B739XJD"
"","","B0BVLYMFXT","StorageWorks Storage Bins with Lids and Clear Window, Storage Basket for Shelves, Fabric Closet Containers and Organizers, Beige, 4-Pack","StorageWorks","$39.99","837","21","$33,472","05/16/2023","","4.8","92","","44,220","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BVLYMFXT"
"","","B08BQBNXSQ","ClearSpace Plastic Storage Bins  Perfect Kitchen Organization or Pantry Storage  Fridge Organizer, Pantry Organization and Storage Bins, Cabinet Organizers","ClearSpace","$39.99","14,795","465","$591,652","06/22/2020","$25.46","4.8","10,422","$14.53","207","6","FBA","14","Kitchen & Dining","Standard","11.496 x 16.024 x 7.638 in","5.311 lb","https://www.amazon.com/dp/B08BQBNXSQ"
"","","B0B1ZNVMR4","Recycled Wicker Storage Basket, Paper Rope Storage Baskets for Organizing Container Bins for Shelves Cupboards Drawer, Small Woven Basket Set of 4","PROLAND","$25.99","1,260","42","$32,747","05/22/2022","$15.66","4.5","282","$10.33","21,782","6","FBA","1","Home & Kitchen","Standard","7.76 x 4.84 x 11.81 in","1.8 lb","https://www.amazon.com/dp/B0B1ZNVMR4"
"","","B0CC49ZZ7P","AREYZIN Storage Bins with Bamboo Lids Set of 6 Lidded Storage Container Plastic Baskets Organizer Bins for Organizing Kithen Room Bedroom Office Closet, Sturdy and Durable (White)","AREYZIN","$38.99","878","33","$34,233","03/25/2021","$29.60","4.8","89","$9.39","28,177","6","FBA","1","Home & Kitchen","Standard","7.1 x 4.1 x 11.2 in","120 g","https://www.amazon.com/dp/B0CC49ZZ7P"
"","","B09GW5ZXWR","CLEARSPACE Plastic Storage Bins With lids  Perfect Kitchen Organization or Pantry Storage  Fridge Organizer, Pantry Organization and Storage Bins, Cabinet Organizers - 4 Pack","ClearSpace","$39.99","4,329","154","$173,117","04/17/2022","$26.36","4.7","1,219","$13.63","1,259","6","FBA","9","Kitchen & Dining","Standard","11.3 x 11.73 x 7.99 in","5.95 lb","https://www.amazon.com/dp/B09GW5ZXWR"
"","","B097M3XJ49","Vtopmart 4 Pack Food Storage Organizer Bins, Clear Plastic Bins for Pantry, Kitchen, Fridge, Cabinet Organization and Storage, Compartment Holder Packets, Snacks, Pouches, Spice Packets","Vtopmart","$19.99","11,742","367","$234,723","06/20/2021","$9.66","4.7","3,685","$10.33","317","6","FBA","2","Kitchen & Dining","Standard","10.75 x 12.76 x 6.18 in","3.589 lb","https://www.amazon.com/dp/B097M3XJ49"
"","","B0C4VB3YCW","ClearSpace Plastic Storage Bins with Divider  Perfect Kitchen Organization or Pantry Storage  Fridge Organizer, Pantry Organization and Storage Bins, Cabinet Organizers","ClearSpace","$34.99","741","19","$25,928","05/09/2023","","4.8","1,235","","14,356","7","FBA","3","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C4VB3YCW"
"","","B07M718XB3","SimpleHouseware Refrigerator Storage Organizer, Assorted Set of 6","Simple Houseware","$21.87","979","34","$21,411","01/03/2019","$10.66","4.7","7,515","$11.21","8,020","5","FBA","2","Kitchen & Dining","Standard","13.9 x 15.3 x 5.8 in","5.699 lb","https://www.amazon.com/dp/B07M718XB3"
"","","B0C1S6L8WL","efluky Storage Baskets for Organizing, Fabric Storage Bins with Bamboo Handles, Collapsible Storage Baskets for Shelves and Closet, Black Set of 2","efluky","$24.99","1,020","41","$25,490","05/19/2023","","4.7","193","","22,628","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C1S6L8WL"
"","","B093WSLLYX","Airtight Food Storage Containers 25-Piece Set, Kitchen & Pantry Organization, BPA Free Plastic Storage Containers with Lids, for Cereal, Flour, Sugar, Baking Supplies, Labels & Measuring Cups","M MCIRCO","$39.99","666","23","$26,633","04/29/2021","$24.56","4.6","4,447","$15.43","12,204","7","FBA","10","Kitchen & Dining","Standard","13.425 x 17.323 x 7.835 in","10.679 lb","https://www.amazon.com/dp/B093WSLLYX"
"","","B0CHVD71FQ","14 Pack Fridge Organizer Bins, Clear Refrigerator Organizing with Lids, Stackable Refrigerator Organizer and Storage Set,BPA-Free Fruit Storage Containers for Fridge,Kitchen, Food, Produce, Vegetable","AMALEKO","$35.99","325","9","$11,697","09/11/2023","$22.66","4.7","40","$13.33","30,045","7","FBA","2","Kitchen & Dining","Standard","8.7 x 1 x 12.6 in","8.69 lb","https://www.amazon.com/dp/B0CHVD71FQ"
"","","B0BN1LTCQX","Qilinba Clear Storage Bins Stackable Plastic Containers for Organizing, 8 PACK Multi-size Organizer Bins for Freezer Pantry Cabinet Storage and Organization","Qilinba","$27.19","1,926","83","$52,368","01/09/2023","$15.18","4.8","345","$12.01","2,881","6","FBA","5","Kitchen & Dining","Standard","11.42 x 7.83 x 13.82 in","7.48 lb","https://www.amazon.com/dp/B0BN1LTCQX"
"","","B0C99BHTPY","Fruit Storage Containers for Fridge - 10-Piece Kitchen Organizers Leak Proof Produce Saver and Veggie Storage Bins Set for Refrigerator, Plastic Airtight Food Storage Containers with Lids & Handle","Winproper","$16.99","2,279","395","$38,720","08/06/2023","$6.51","4.3","217","$10.48","279","7","FBA","2","Kitchen & Dining","Standard","8.66 x 4.92 x 11.61 in","3.33 lb","https://www.amazon.com/dp/B0C99BHTPY"
"","","B0BVSR8T6M","ClearSpace Plastic Pantry Organization and Storage Bins with Removable Dividers  Perfect Kitchen Organization or Kitchen Storage  Refrigerator Organizer Bins, Cabinet Organizers (4 Pack)","ClearSpace","$39.99","5,903","197","$236,061","02/13/2023","$27.56","4.7","804","$12.43","872","7","FBA","4","Kitchen & Dining","Standard","6 x 3.5 x 10.5 in","3.76 lb","https://www.amazon.com/dp/B0BVSR8T6M"
"","","B0BC8VSWC7","Vtopmart 6 Pack Clear Stackable Storage Bins with Lids, Large Plastic Containers with Handle for Pantry Organizer and Storage,Perfect for Kitchen,Fridge,Cabinet, Closet,Bathroom Organization","Vtopmart","$29.99","10,576","339","$317,174","08/28/2022","$16.66","4.7","1,436","$13.33","365","7","FBA","2","Kitchen & Dining","Standard","13.11 x 7.95 x 15.51 in","7.65 lb","https://www.amazon.com/dp/B0BC8VSWC7"
"","","B0B9GXG2ZV","Qeirudu 24 Pcs Small Plastic Containers with Lids - Mini Plastic Craft Storage Boxes with Hinged Lids Clear Bead Organizer for Jewelry Findings and Art Supplies (4 Mixed Sizes)","Qeirudu","$15.99","352","9","$5,628","08/11/2022","","4.5","155","","16,305","6","FBA","1","Arts, Crafts & Sewing","","","","https://www.amazon.com/dp/B0B9GXG2ZV"
"","","B0B67PCFLQ","23Qt Plastic Storage Bins Organizer 3 Tier, Stackable Storage Boxes with Lids, Storage Containers for Bedroom Living Room Kitchen Study Office, Folding Storage Boxes","CTSNSLH","$32.99","9,442","314","$311,492","08/24/2022","","4.5","1,869","","1,523","7","FBA","11","Home & Kitchen","","","","https://www.amazon.com/dp/B0B67PCFLQ"
"","","B0B1M37BX9","StorMiracle 16 PCS Drawer Organizer Set, 5 Varied Size Bathroom and kitchen Drawer cabinet organizer Trays, Clear Storage Bins for Makeup, Jewelry, Utensils and Gadgets","StorMiracle","$15.99","9,107","150","$145,621","07/03/2022","$8.45","4.6","1,289","$7.54","4,631","6","FBA","4","Home & Kitchen","Standard","3 x 2 x 9 in","1.6 lb","https://www.amazon.com/dp/B0B1M37BX9"
"","","B0BMFKGVXD","Tiawudi 12 Pack Plastic Storage Bins, Multi-Use Organizer Bins, Pantry Organizer, Clear Storage Containers, Bins for Home & Kitchen","Tiawudi","$29.99","2,370","92","$71,076","11/14/2022","$17.56","4.8","319","$12.43","2,507","7","FBA","1","Kitchen & Dining","Standard","7.2 x 4.5 x 10.5 in","8.89 lb","https://www.amazon.com/dp/B0BMFKGVXD"
"","","B0B5FHSWKT","Ruboxa Clear Drawer Organizer, [25 PCS] Plastic Organizers for Home Organization and Storage, Including 4 Sizes Small Bins, Non-Slip Pads, for Bathroom, Kitchen, Vanity & Office","RUBOXA","$18.99","3,420","66","$64,946","06/28/2022","$9.41","4.7","1,724","$9.58","13,178","6","FBA","1","Home & Kitchen","Standard","11 x 1 x 1 in","4.55 lb","https://www.amazon.com/dp/B0B5FHSWKT"
"","","B0CKNNCR4F","Plastic Storage Baskets with Lid - Plastic Storage Containers Stackable Storage bins: Storage Baskets for Organizing Shelves Drawers Desktop Closet Playroom Classroom Office, 8 Pack-Gray","Ohmlove","$27.99","508","13","$14,219","11/14/2023","","4.5","35","","71,012","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CKNNCR4F"
"","","B0915XMJYX","AREYZIN Plastic Storage Baskets With Lid Organizing Container Lidded Knit Storage Organizer Bins for Shelves Drawers Desktop Closet Playroom Classroom Office, 6 Pack","AREYZIN","$26.99","2,952","","","03/25/2021","$15.91","4.5","2,343","$11.08","8,080","6","FBA","1","Home & Kitchen","Standard","9.53 x 11.14 x 7.6 in","2.579 lb","https://www.amazon.com/dp/B0915XMJYX"
