"Export time:  2/1/2024, 1:47:40 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C4F581MT","Liodccty Silicone Stove Top Shelf 30 Inch For Kitchen,Spice Rack For Stove With Anti-slip Silicone Suction Cups,Over Stove Spice Shelf OrganizationZero Installation&Heat Resistant-Black","Liodccty","$18.77","76","2","$1,427","05/04/2023","","4.5","21","","97,954","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C4F581MT"
"over the stove spice rack","","B0C3H8BZ7T","Mofason Silicone Magnetic Stove Top Shelf 30 Inch, Kitchen Over Stove Oven Shelf, Magnetic Spice Rack Organizer, Non-Slip Above Stovetop tray for Back of Stove -Black","Mofason","$16.99","428","11","$7,272","04/24/2023","","4.1","73","","24,459","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C3H8BZ7T"
"Average Monthly Sales: 837","","B0716G9G3X","StoveShelf 30' Length Stainless Steel Finish Magnetic Shelf for Kitchen Stove - Kitchen Storage Solution with Zero Installation - Over Stove Spice Rack Organizer","STOVE SHELF","$39.99","3,054","102","$122,129","04/28/2017","","4.7","18,346","","2,209","6","FBA","4","Kitchen & Dining","","","","https://www.amazon.com/dp/B0716G9G3X"
"Average Revenue: $21,583","","B0BT8GTM5N","TEO Silicone Magnetic Stovetop Shelf - White 30x3.5x1.25 Heat Resistant Silicone Kitchen Spice Organizer  Silicone Magnetic Stove Top Shelf for Kitchen Organization and Storage","TEO","$27.99","463","10","$12,959","03/27/2023","","4.5","125","","27,528","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BT8GTM5N"
"Average Price: $27.79","","B0CQJDDFYK","2-Tier Magnetic Shelf for Stove Top Organizer | Over Stove Spice Rack | Double Layer Kitchen Storage Solution | Suitable for Flat Stove | 30.3' Easy-to-Clean Oven Shelf","Datoua","$45.99","60","2","$2,759","01/25/2024","","","","","99,131","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CQJDDFYK"
"Average No. of Ratings: 886","","B0CMH15XRN","Beeveer 2 Tier Bamboo Magnetic Stove Top Shelf Oven Shelf for Top of Stove Double Layer Kitchen Storage Spice Rack Stove Organizer Suitable for Flat Stove, (2 Pack 15', up to 30' Length)","Beeveer","$36.99","95","3","$3,514","11/02/2023","$24.71","3.5","2","$12.28","82,518","7","FBA","1","Kitchen & Dining","Standard","9.33 x 4.53 x 16.06 in","4.6 lb","https://www.amazon.com/dp/B0CMH15XRN"
"Average Sales Rank: 75,302","","B09TYG9LHV","STUTOV Stove Top Shelf for Stove Top, 30' Length, Spice Rack Organizer Over the Stove, Spice/Condiments/Seasoning Shelf for Kitchen Organization (Non Magnetic Stainless Steel)","STUTOV","$45.99","776","25","$35,688","03/07/2022","","4.7","565","","11,032","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B09TYG9LHV"
"Average Rating Number: 4.4","","B0B55XLCZ7","IIIOIIIA Bamboo Over the Stove Spice Shelf for Kitchen, 31.5' Spice Rack Organizer Shelf with 6 hooks, 11.4' Height Extra Storage Countertop, Easy to Assemble","IIIOIIIA","$49.99","450","17","$22,496","06/26/2022","","4.5","328","","16,091","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0B55XLCZ7"
"","","B09TQRVZ17","ROTHLEY Hanging Pot Rack Hanger: 23.7 Inch Stainless Steel Pot and Pan Hanger Wall Mounted Hanging Pots and Pans Rack Heavy Duty Pot Hangers Kitchen Rail with Hooks (Antique Copper)","ROTHLEY","$47.95","271","9","$12,994","03/01/2022","$31.06","4.5","167","$16.89","31,342","7","FBA","1","Kitchen & Dining","Oversize","2.75 x 2 x 24 in","0.5 kg","https://www.amazon.com/dp/B09TQRVZ17"
"","","B0C3H9MJQV","HuggieGems 4 Pack Magnetic Spice Storage Rack Organizer for Refrigerator and Oven, Black Fridge Organizers and Storage","HuggieGems","$24.99","14,479","390","$361,830","04/24/2023","","4.8","918","","285","6","FBA","3","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C3H9MJQV"
