"Export time:  1/29/2024, 5:17:11 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08VP72ZNS","Amazon Basics Mesh Pen Holder and Organizer, Black, 9.1' x 5.9' x 5.5''","Amazon Basics","$12.58","5,520","162","$69,442","10/19/2021","$4.90","4.7","10,102","$7.68","1,166","5","AMZ","1","Office Products","Standard","5.906 x 9.055 x 5.433 in","1.235 lb","https://www.amazon.com/dp/B08VP72ZNS"
"pen holder for desk","","B0C7P3Q2ZW","Lebenrich Rotating Pen Pencil Holder for Desk, 5 Slots Unique Pink Desk Pen Organizer Easthetic Desktop Supplies and Accessories for Women Girls, Pen Cup Pencil Caddy for Office Home Art Supply","Lebenrich","$9.99","971","31","$9,700","06/10/2023","","4.6","58","","7,895","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C7P3Q2ZW"
"Average Monthly Sales: 1,463","","B003ZZ638U","Tech Tools Hand Pen Holder with Magnetic Back - Desktop Madness Series (HS-8040)","Tech Tools","$19.95","57","2","$1,137","08/17/2010","$11.17","4.6","1,334","$8.78","83,045","4","FBA","1","Office Products","Standard","6 x 4.5 x 4.9 in","2.5 lb","https://www.amazon.com/dp/B003ZZ638U"
"Average Revenue: $16,380","","B0BHSR1FR9","JIMEI True Natural Travertine Marble Rotating Revolver Pen Holder Stand for Desk - Free Spinning Executive Pencil Holder - Cool Gadgets For Desktop Organizer, Birthday Gifts for Men & Women","JIMEI","$32.99","30","","$989.70","10/09/2022","$22.90","4.6","21","$10.09","227,855","7","FBA","1","Office Products","Standard","2.87 x 3.97 x 2.87 in","1.8 lb","https://www.amazon.com/dp/B0BHSR1FR9"
"Average Price: $14.05","","B0BYMRJD7R","Marbrasse Pen Organizer with 2 Drawer, Multi-Functional Pencil Holder for Desk, Desk Organizers and Accessories with 5 Compartments + Drawer for Office Art Supplies (White)","Marbrasse","$9.99","12,533","470","$125,205","03/15/2023","$3.97","4.5","9,078","$6.02","228","7","FBA","1","Office Products","Standard","4.2 x 6.3 x 8.2 in","14.4 oz","https://www.amazon.com/dp/B0BYMRJD7R"
"Average No. of Ratings: 1,127","","B0C58MCR4C","Marbrasse Desk Organizer, 360-Degree Rotating Pen Holder for Desk, Desk Organizers and Accessories with 5 Compartments Pencil Organizer, Art Supply Storage Box Caddy for Office, Home White","Marbrasse","$9.99","9,649","445","$96,394","05/14/2023","","4.7","2,010","","250","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C58MCR4C"
"Average Sales Rank: 26,103","","B0C5STLBQK","HBlife Pencil Pen Holder for Desk, 5 Slots 360 Degree Rotating Organizers and Accessories, Desktop Storage Stationery Supplies Cute Pencil Cup Pot for Office, School, Home, Art Supply, Dark Green","HBlife","$9.99","1,380","46","$13,786","05/19/2023","","4.6","175","","5,319","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C5STLBQK"
"Average Rating Number: 4.7","","B07D5MKDQP","Simple Houseware Desk Organizer 3 Tray w/Sliding Drawer, Hanging File Holder and Pen Holder Accessory, Black","Simple Houseware","$24.97","373","15","$9,314","05/17/2018","$14.19","4.6","10,327","$10.78","16,150","6","FBA","2","Office Products","Standard","11.732 x 12.992 x 4.803 in","4.696 lb","https://www.amazon.com/dp/B07D5MKDQP"
"","","B01D1E9JW6","KINGFOM Desk Organizer Office Supplies Caddy Pu Leather Multi-function Storage Box Pen/Pencil,Cell phone, Business Name Cards Remote Control Holder with Small Drawer Black","KINGFOM","$17.99","337","13","$6,063","07/04/2016","$10.15","4.7","4,071","$7.84","18,686","7","FBA","3","Office Products","Standard","4.8 x 9 x 4.4 in","1.001 lb","https://www.amazon.com/dp/B01D1E9JW6"
"","","B00LGIW54Y","Comix Mesh Pen Pencil Holder with Post It Note Holders Desk Organizer, 3 Compartment Wire Desktop Pen Pencil Cup Caddy Office Supplies Accessories for Home Office School, Black","Comix","$12.99","712","25","$9,249","07/01/2014","$7.27","4.7","795","$5.72","9,795","7","FBA","1","Office Products","Standard","5.1 x 8.3 x 4.7 in","0.549 lb","https://www.amazon.com/dp/B00LGIW54Y"
"","","B07M74SH62","SNOW COOLER Pen Holder Pencil Holder Mesh Metal Pen Cup Holder Pencil Cup Holder for Desk Office Home Pen Organizer Black, 4 Pack","SNOW COOLER","$11.99","896","30","$10,743","01/04/2019","$6.42","4.6","3,284","$5.57","8,327","6","FBA","1","Office Products","Standard","7 x 7.7 x 3.2 in","0.45 lb","https://www.amazon.com/dp/B07M74SH62"
