"Export time:  2/5/2024, 2:47:53 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CKVQQ4YW","Joywell Natural Linen Cream Curtains 84 Inches Long for Living Room Bedroom Back Tab Ivory White Neutral Modern Farmhouse Pinch Pleated Linen Curtain with Hooks 84 Inch Length 2 Panels","Joywell","$32.99","2,740","81","$90,393","10/10/2023","","4.4","50","","10,202","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CKVQQ4YW"
"pinch pleated curtains","","B0CGDT9ZV2","MASWOND Natural Pinch Pleated Curtains 96 Inches Long for Living Room, Textured Linen Blended Light Filtering Pinch Pleat Semi Sheer Window Drapes Easy Hanging Via Hooks 1 Panels 52' Wx96 L Linen","MASWOND","$49.99","553","19","$27,644","08/11/2023","","5","2","","48,286","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CGDT9ZV2"
"Average Monthly Sales: 1,648","","B0C3VF59SM","Full Blackout Pinch Pleated Window Curtain for Bedroom Window Treatment Energy Efficient Thermal Insulated Drapes Backtab 84 Inch with 9 Hooks (Ring not Include), Bright White, 40'x84', 1 Panel","Central Park","$22.97","273","8","$6,271","04/27/2023","","4.5","400","","110,449","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C3VF59SM"
"Average Revenue: $62,761","","B0CPTSHV8C","Joywell Cream Ivory Linen 100% Blackout Curtains 84 Inches Long,Pinch Pleated Back Tab Drapes with Hooks Light Blocking Thermal Insulated for Bedroom Living Room,W40 x L84,Natural Beige,2 Panels","Joywell","$52.88","1,560","52","$82,493","12/08/2023","","3.6","7","","17,302","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CPTSHV8C"
"Average Price: $57.28","","B0BR6ZSZ6D","Vision Home Natural Pinch Pleated Full Blackout Curtains Linen Blended Room Darkening Window Curtains 95 inch for Living Room Bedroom Thermal Insulated Pinch Pleat Drapes with Hooks 2 Panel 40'Wx95'L","Vision Home","$74.99","4,140","171","$310,459","12/27/2022","","4.8","293","","3,847","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BR6ZSZ6D"
"Average No. of Ratings: 809","","B0CNLRW86H","Pinch Pleated Linen Curtains 108 Inches long for Living Room 2 Panels Set Cream Beige Flax Pleat Drapes Back Tab Semi Sheer Neutral Boho Ceiling to Floor 108 Inch Curtains for Bedroom Window 9 FT","Aersas","$51.99","2,207","82","$114,742","11/17/2023","","4.8","18","","10,038","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CNLRW86H"
"Average Sales Rank: 172,892","","B0B9MRN58H","Vision Home Natural Pinch Pleated Semi Sheer Curtains Textured Linen Blended Light Filtering Window Curtains 108 inch for Living Room Bedroom Pinch Pleat Drapes with Hooks 2 Panels 42' Wx108 L","Vision Home","$58.99","1,491","54","$87,954","08/14/2022","","4.8","205","","16,464","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0B9MRN58H"
"Average Rating Number: 4.5","","B0C7GTRW3R","RYB HOME Linen Textured 100% Blackout Curtains for Bedroom, Insulating Energy Saving Window Curtains for Living Room Dining Patio Sliding Glass Door, Wide 52 x Long 84 inch, Burlap, 2 Panels","RYB HOME","$39.95","793","22","$31,680","06/07/2023","","4.5","95","","42,810","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C7GTRW3R"
"","","B0BX66NMDR","Kayne Studio Blackout Pinch Pleated Curtains,95 Inches Long Linen Blended Pinch Pleat Drapes for Living Room,Thermal Insulated Window Curtains,Back Tab with 9 Hooks (Natural Beige,40' x 95',1panel)","Kayne Studio","$36.98","352","10","$13,017","02/28/2023","","4.1","85","","91,912","7","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0BX66NMDR"
"","","B078JXFMNF","HPD Half Price Drapes Faux Linen Room Darkening Curtains - 108 Inches Long Luxury Linen Curtains for Bedroom & Living Room (1 Panel), 50W X 108L, Birch","HPD Half Price Drapes","$37.39","6,803","277","$254,364","02/01/2018","$25.35","4.6","7,346","$12.04","1,860","7","AMZ","9","Home & Kitchen","Standard","9.6 x 3.2 x 11.6 in","3.45 lb","https://www.amazon.com/dp/B078JXFMNF"
