"Export time:  2/14/2024, 2:15:39 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09V5LVBLR","Amazon Basics 19 Quart Stackable Plastic Storage Bins with Latching Lids- Clear/ Grey- Pack of 6","Amazon Basics","$42.12","","","","07/05/2022","$14.76","4.2","710","$27.36","1,940","6","AMZ","1","Our Brands","Oversize","16.42 x 19.65 x 13.3 in","11.27 lb","https://www.amazon.com/dp/B09V5LVBLR"
"plastic storage bins with lids","","B0CBM5QY1T","OlarHike 48QT Storage Bins with Lids - Folding Storage box with Doors and Wheels, Collapsible Plastic Storage Bins for Closets, Stackable Storage Organizer, Storage Containers for Closet, 3 Pack Cubes","OlarHike","$119.99","2,340","78","$280,777","","","4.4","163","","10,783","","FBA","","Home & Kitchen","","","","https://www.amazon.com/dp/B0CBM5QY1T"
"Average Monthly Sales: 3,716","","B0BNZW64PB","Yishyfier Plastic Storage Baskets Bins Boxes With Lids,Organizing Container White Storage Organizer Bins For Shelves Drawers Desktop Playroom Classroom Office,6-Pack(4XL+2L)","Yishyfier","$79.99","450","15","$35,996","12/04/2022","","4.7","42","","63,476","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BNZW64PB"
"Average Revenue: $253,263","","B0B5WKNGBL","HAIXIN Storage Cabinet, Plastic Shelves Organizer, Folding Storage Box, Collapsible Totes Containers For Storage, 8.4 Gal Clear Storage Bins, Stackable Under Bed Storage Container, 6 Pack Bookshelf","HAIXIN","$259.99","8,604","206","$2.24M","07/05/2022","$195.33","4.5","3,599","$64.66","2,939","6","FBA","2","Home & Kitchen","Oversize","13 x 25 x 19 in","1 lb","https://www.amazon.com/dp/B0B5WKNGBL"
"Average Price: $58.16","","B00CQGTGXS","IRIS USA 53 Quart Stackable Plastic Storage Bins with Lids and Latching Buckles, 6 Pack - Clear, Containers with Lids and Latches, Durable Nestable Closet, Garage, Totes, Tubs Boxes Organizing","IRIS","$89.99","23,854","757","$2.15M","04/28/2013","$43.23","4","26,480","$46.76","306","7","AMZ","10","Home & Kitchen","Oversize","22 x 23.25 x 17.5 in","22.95 lb","https://www.amazon.com/dp/B00CQGTGXS"
"Average No. of Ratings: 3,738","","B07PR9NM54","Rubbermaid Cleverstore Clear Plastic Storage Bins with Lid, 95 Qt, 4 Pack, 4 Count, Polypropylene, Plastic","Rubbermaid","$101.99","11,207","297","$1.14M","03/17/2019","$42.28","4.3","15,575","$59.71","1,667","7","AMZ","19","Home & Kitchen","Oversize","19 x 28.8 x 18.4 in","21.301 lb","https://www.amazon.com/dp/B07PR9NM54"
"Average Sales Rank: 77,178","","B01MQY0SG9","Sterilite 64 Qt Latching Storage Box, Stackable Bin with Latch Lid, Plastic Container to Organize Clothes in Closet, Clear with White Lid, (Pack of 6)","Sterilite","$56.88","2,438","50","$138,673","12/19/2016","$13.19","4.6","918","$43.69","17,864","6","AMZ","10","Home & Kitchen","Oversize","24 x 16 x 25 in","24 lb","https://www.amazon.com/dp/B01MQY0SG9"
"Average Rating Number: 4.5","","B0BWJVWV9X","Closet Organizers and Storage 8.5 Gal, Storage Bins with Lids 4 Pack, Stackable Collapsible Storage Bins, Storage Cabinet with Wheels, Plastic Foldable Folding Box for Home, Dorm Room Essentials","Idle Way","$119.99","1,401","57","$168,106","02/21/2023","","4.7","656","","15,407","7","FBA","4","Home & Kitchen","","","","https://www.amazon.com/dp/B0BWJVWV9X"
"","","B0CJC2JS5V","EOENVIVS Plastic Storage Bins 12 Pack Plastic Storage Container with Snap Lids, Stackable Shoe Organizer Boxes Storage Baskets for Organizing Closet Organizers and Storage, Clear+White","EOENVIVS","$36.99","221","8","$8,175","05/29/2023","","4.5","21","","117,308","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CJC2JS5V"
"","","B07DFBSTFR","IRIS USA 5.9 Quarts Plastic Storage Container Bin with Latching Lid, 20 Pack, Nestable Box Tote Closet Game Organization Teacher Tools Art Supplies Shoe Shoebox Stackable","IRIS","$26.09","11,910","479","$310,732","05/29/2018","$4.88","4","20,140","$21.21","733","7","AMZ","13","Home & Kitchen","Oversize","14 x 16 x 13.8 in","8.111 lb","https://www.amazon.com/dp/B07DFBSTFR"
