"Export time:  2/5/2024, 12:45:15 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C2NS4DZ8","Teyearlife 54mm Bottomless Portafilter,Replacement for Breville Portafilter,Made of Stainless Steel and Solid Wood.Portafilter Bottomless Helps Diagnose Espresso Issues.It's a Good 54mm Portafilter.","Teyearlife","$44.99","546","20","$24,565","04/15/2023","","4.3","71","","46,242","6","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0C2NS4DZ8"
"portafilter","","B0CM25CRMX","FILTRR 54mm Portafilter Espresso Kit Set - Fits Breville Bambino, Express, Touch Stainless Steel & Aluminum Alloy WDT Tool & Precision Tamper with Spring - Combo Accessories for Coffee Tamping Station","FILTRR","$59.99","154","3","$9,238","10/28/2023","","5","7","","279,491","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CM25CRMX"
"Average Monthly Sales: 361","","B0CK1G4DS1","54mm Coffee Bottomless Portafilter Filter Handle, 54mm Stainless Steel Coffee Machine Handle","OrBheS","$36.99","30","1","$1,110","01/03/2024","","","","","629,301","","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CK1G4DS1"
"Average Revenue: $13,129","","B0C3Y8ZVKS","Pawa 54mm Bottomless Portafilter Paired with Wdt Tool - Enhance Your Espresso Brewing | Includes Filter Basket | Compatible with Breville Barista Express and 54mm Breville Machines","Hello Pawa!","$49.99","206","7","$10,298","04/30/2023","","4.5","51","","124,272","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C3Y8ZVKS"
"Average Price: $44.80","","B09886G7P6","Normcore 54mm Bottomless Portafilter | Bottomless Naked Portafilter | Filter Basket Included | Fits Breville Barista Express and 54mm Breville Machines, Black","Normcore","$63.99","2,855","82","$182,691","08/17/2021","$49.25","4.4","804","$14.74","10,057","6","FBA","5","Home & Kitchen","Standard","3.347 x 9.449 x 2.008 in","1.096 lb","https://www.amazon.com/dp/B09886G7P6"
"Average No. of Ratings: 232","","B08JPXXT9R","54mm Dosing Funnel for Breville Barista Portafilters","CAFE HOME SHOP","$13.98","3,708","112","$51,838","09/21/2020","$9.32","4.6","2,445","$4.66","1,939","4","FBA","2","Kitchen & Dining","Standard","2 x 1.5 x 3 in","1.45 oz","https://www.amazon.com/dp/B08JPXXT9R"
"Average Sales Rank: 309,656","","B08SKMPM95","Ouxunus Filter - Replacement Water Filter Compatible with Breville Sage Claro Swiss For Oracle, Barista & Bambino - Compare to Part BES008WHT0NUC1.(Pack of 4)","Ouxunus","$23.99","464","19","$11,131","01/08/2021","$16.85","4.6","383","$7.14","49,669","6","FBA","1","Home & Kitchen","Standard","5.04 x 8.54 x 1.97 in","0.219 lb","https://www.amazon.com/dp/B08SKMPM95"
"Average Rating Number: 4.4","","B0BZRXYB9D","MHW-3BOMBER 53mm Espresso Puck Screen Metal Coffee Filter Reusable Espresso Filters for 54mm Portafilter Basket 0.8mm Thickness Breville Accessories FG5591M","MHW-3BOMBER","$13.99","990","33","$13,850","03/27/2023","","4.7","243","","28,388","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BZRXYB9D"
"","","B0CJBMHXDM","MEION 54mm Espresso Dosing Funnel and Puck Screen Set for 54mm Breville Portafilters, Magnetic Coffee Funnel, Reusable 53.3mm Espresso Puck Screen, Espresso Tools Espresso Accessories (54mm, Black)","MEION","$26.99","210","11","$5,668","11/04/2023","","4.3","19","","25,112","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CJBMHXDM"
"","","B0CJBXYGD7","MEION 54mm Dosing Funnel for Breville Portafilters, Magnetic Espresso Dosing Funnel Coffee Funnel, Espresso Tools Espresso Accessories (54mm, Black)","","$18.99","420","14","$7,976","","","4.3","27","","19,158","","FBA","","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CJBXYGD7"
