"Export time:  2/8/2024, 3:48:18 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09SZ46MCG","Prorobust Punching Bag for Adults, 4ft PU Heavy Boxing Bag Set with 12OZ Gloves for MMA Kickboxing Boxing Karate Home Gym Training (Unfilled)","Prorobust","$77.39","930","35","$71,973","03/29/2022","$48.10","4.3","785","$29.29","5,692","7","FBA","5","Sports & Outdoors","Oversize","13.15 x 6.69 x 17.2 in","3.23 kg","https://www.amazon.com/dp/B09SZ46MCG"
"punching bag for adults","","B0CHFXQ2JB","Vensmuste Punching Bag for Adults, 4FT Oxford Heavy Boxing Bag Set, Punching Bag with 12OZ Punching Gloves, Hand Wraps, Chains, etc. Suitable for MMA Karate Kickboxing Boxing - Unfilled","Vensmuste","$49.99","591","29","$29,544","09/05/2023","$25.95","4.3","37","$24.04","7,152","6","FBA","1","Sports & Outdoors","Oversize","13.3 x 6.22 x 15.71 in","2.12 kg","https://www.amazon.com/dp/B0CHFXQ2JB"
"Average Monthly Sales: 364","","B0CP58SP27","JUOIFIP Freestanding Punching Bag for Adults Teens with Boxing Gloves and Electric Air Pump 70inch, Women Men Stand Kickboxing Bags for Training MMA Muay Thai Fitness Beginners","JUOIFIP","$52.99","181","13","$9,591","01/03/2024","$34.11","","","$18.88","16,620","7","FBA","1","Sports & Outdoors","Standard","12.32 x 7.36 x 13.07 in","2.31 kg","https://www.amazon.com/dp/B0CP58SP27"
"Average Revenue: $18,834","","B0C5JJNLHL","JUOIFIP Standing Punching Bag for Adults 69'' Heavy Bag with Stand Inflatable Boxing Bags Freestanding Kickboxing Bag Equipment for Training MMA Muay Thai Fitness to use Outdoor Indoor","JUOIFIP","$39.99","447","24","$17,876","06/17/2023","$26.06","3.6","52","$13.93","8,915","6","FBA","4","Sports & Outdoors","Standard","9.41 x 4.92 x 11.89 in","1.81 kg","https://www.amazon.com/dp/B0C5JJNLHL"
"Average Price: $55.95","","B07JJP4XTL","Punching Bag with Stand, Boxing Bag for Teens & Adults - Height Adjustable - Speed Bag for Training, Boxing Equipment, Stress Relief & Fitness","Tech Tools","$62.95","1,154","46","$72,644","10/17/2018","$30.89","4.3","4,543","$32.06","4,119","7","FBA","8","Sports & Outdoors","Oversize","17.8 x 6 x 21.5 in","3.43 kg","https://www.amazon.com/dp/B07JJP4XTL"
"Average No. of Ratings: 940","","B07BL36JD4","Everlast Powercore Fitness Heavy Duty Training Bag with Glove, Ab Roller, Speed Rope, and High Density Base for Mixed Martial Arts, Blue","Everlast","$126.98","933","25","$118,472","03/19/2018","$5.18","4","4,500","$121.80","8,501","4","AMZ","15","Sports & Outdoors","Oversize","22.28 x 20.87 x 22.36 in","13.06 kg","https://www.amazon.com/dp/B07BL36JD4"
"Average Sales Rank: 75,859","","B07XZNWPLQ","Protocol Punching Bag with Stand - for Adults & Kids - Punching Bag with Stand Plus Boxing Gloves - Adjustable Height Stand - Standard Punching Bag","Protocol","$49.25","548","13","$26,989","09/16/2019","$18.48","4.1","8,830","$30.77","17,853","6","AMZ","11","Sports & Outdoors","Oversize","19.7 x 6 x 20.8 in","3.63 kg","https://www.amazon.com/dp/B07XZNWPLQ"
"Average Rating Number: 4.2","","B003VZIWZQ","Last Punch Heavy Duty Punching Bag with Chains","Lastworld","$32.99","405","16","$13,361","07/15/2010","$20.71","4.2","1,484","$12.28","13,879","3","FBA","8","Sports & Outdoors","Standard","10.67 x 2.32 x 17.83 in","1.36 kg","https://www.amazon.com/dp/B003VZIWZQ"
"","","B0CKL3HSHK","YORWHIN Upgrade Free Standing Punching Bag for Adults Teens, Built-in Automatic Inflation Pump Boxing Bag with Stand, 70'' Kickboxing Bag with Boxing Gloves for MMA Muay Thai Fitness Taekwondo","YORWHIN","$63.99","180","6","$11,518","10/05/2023","$44.51","4.5","15","$19.48","37,330","7","FBA","1","Sports & Outdoors","Standard","10.12 x 7.32 x 13.03 in","2.11 kg","https://www.amazon.com/dp/B0CKL3HSHK"
"","","B0CB14BSMM","ULLIKI 65' Punching Bag for Adults and Kids with Gloves - Freestanding Heavy Boxing Bag, Inflatable Boxing Training Equipment Practice Daily Boxing Activities Gift for Kids, Men, Women, boy, Girl","ULLIKI","$58.99","473","16","$27,902","08/30/2023","$42.21","4.1","51","$16.78","14,167","7","FBA","4","Sports & Outdoors","Standard","9.96 x 4.57 x 11.81 in","1.41 kg","https://www.amazon.com/dp/B0CB14BSMM"
