"Export time:  2/8/2024, 3:50:05 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CFFN34MF","Punching Bag for Kids, Kids Boxing Bag with Stand, 3 4 5 6 7 8 9 10 Years Old Adjustable Kids Punching Bag, Boxing Equipment for Kids with Boxing Gloves, Boxing Set as Boys & Girls Toys Gifts","MEFBAHA","$29.99","769","33","$23,062","08/10/2023","$15.76","4.6","393","$14.23","6,155","7","FBA","4","Sports & Outdoors","Standard","13.54 x 4.13 x 15.94 in","1.21 kg","https://www.amazon.com/dp/B0CFFN34MF"
"punching bag for kids","","B08HCNYC3J","2 Pack Inflatable Bopper, 47 Inches Kids Punching Bag with Bounce-Back Action, Inflatable Punching Bag for Kids Presents","JOYIN","$24.99","1,459","42","$36,460","09/02/2020","$14.51","3.9","1,687","$10.48","4,516","6","FBA","3","Sports & Outdoors","Standard","7.68 x 4.17 x 8.82 in","1.4 kg","https://www.amazon.com/dp/B08HCNYC3J"
"Average Monthly Sales: 601","","B0BBCKBH6Z","Finditop Punch and Kick Punching Bag for Kids, Active Kids Workout Exercise Boxing Game. Durable Inflatable Punching Bags Kids Birthday Gifts for Small Boys&Girls, Red,Blue","Finditop","$15.99","550","20","$8,795","08/20/2022","$7.16","4.1","463","$8.83","11,080","7","FBA","1","Sports & Outdoors","Standard","8.94 x 2.28 x 11.1 in","0.75 kg","https://www.amazon.com/dp/B0BBCKBH6Z"
"Average Revenue: $17,382","","B07S6K6B27","Whoobli Punching Bag for Kids Incl Boxing Gloves | 3-10 Years Old Adjustable Kids Punching Bag with Stand | Boxing Bag Set Toy for Boys & Girls (Red White); New 2024","whoobli","$33.63","2,326","55","$78,223","05/25/2019","$18.56","4.3","11,320","$15.07","3,256","7","FBA","5","Sports & Outdoors","Standard","13.94 x 4.28 x 16.06 in","1.24 kg","https://www.amazon.com/dp/B07S6K6B27"
"Average Price: $32.37","","B09DTV6MY5","PREFERRED TOYS - Inflatable Punching Bag for Kids - Bop Bag Inflatable Punching Toy - Inflatable Dinosaur with Instant Bounce Back Movement - Bottom Space Can Use Both Sand and Water (47 Height)","Preferred Toys","$29.99","2,561","87","$76,804","08/27/2021","$19.06","4.4","1,647","$10.93","1,741","7","FBA","6","Sports & Outdoors","Standard","8.03 x 3.11 x 8.5 in","0.76 kg","https://www.amazon.com/dp/B09DTV6MY5"
"Average No. of Ratings: 1,351","","B09195VKTR","Jayefo Punching Bag and Boxing Gloves Set for Children - Kids Boxing Set with Boxing Bag with Hanging Straps and Boxing Gloves for Kids for Boxing, MMA, Karate, Judo - Ages 3 to 9","Jayefo","$29.99","205","9","$6,148","07/23/2020","$16.66","4.4","946","$13.33","25,334","6","FBA","1","Sports & Outdoors","Standard","10.75 x 5.24 x 12.99 in","0.63 kg","https://www.amazon.com/dp/B09195VKTR"
"Average Sales Rank: 56,912","","B0BDGLMQP1","Marwan Sports Kids Punching Bag Toy Set, Inflatable Boxing Bag Toy for Boys Age 3-12, Ninja Toys for Boys, Christmas,Birthday Gifts for Kids 4,5,6,7,8,9,10 Years Old","Marwan Sports","$34.98","1,727","98","$60,410","08/09/2022","$21.50","4.2","1,187","$13.48","1,483","7","FBA","1","Sports & Outdoors","Standard","10.28 x 4.72 x 11.77 in","1.29 kg","https://www.amazon.com/dp/B0BDGLMQP1"
"Average Rating Number: 4.2","","B082342R1Y","What Kids Want Superhero Inflatable Punching Bop Bag Exercise Toy (2 Styles)","What Kids Want","$11.99","1,502","61","$18,009","11/13/2021","$6.42","3.4","1,049","$5.57","2,808","6","FBA","4","Sports & Outdoors","Standard","5.12 x 1.93 x 6.93 in","0.2 kg","https://www.amazon.com/dp/B082342R1Y"
"","","B0BT1KHWHV","THB Inflatable Punching Bag for Kids, 63' Freestanding Ninja Boxing Bag Including Electric Air Pump with Gloves for Practicing Karate, Taekwondo, MMA","The Household Best","$34.99","365","13","$12,771","01/24/2023","$21.51","4.4","209","$13.48","17,929","6","FBA","4","Sports & Outdoors","Standard","10.2 x 4.84 x 11.57 in","1.48 kg","https://www.amazon.com/dp/B0BT1KHWHV"
"","","B0B9GZK7T2","Punching Bag for Kids, Kids Boxing Bag with Stand, 3 4 5 6 7 8 9 10 Years Old Adjustable Kids Punching Bag, Boxing Equipment with Boxing Gloves, Boxing Set as Boys & Girls Toys Gifts","HanYoer","$32.99","471","10","$15,538","08/11/2022","$18.01","4.3","853","$14.98","22,923","7","FBA","1","Sports & Outdoors","Standard","13.94 x 4.21 x 16.54 in","1.23 kg","https://www.amazon.com/dp/B0B9GZK7T2"
"","","B08HCXS4XJ","JOYIN Inflatable Bopper, 47 Inches Kids Punching Bag with Bounce-Back Action, Double-Sided Inflatable Punching Bag for Kids (1 Pack)","JOYIN","$19.99","563","16","$11,254","09/02/2020","$11.85","3.7","1,550","$8.14","18,858","6","FBA","2","Toys & Games","Standard","7.559 x 8.583 x 2.047 in","1.199 lb","https://www.amazon.com/dp/B08HCXS4XJ"
"","","B0CD196VB8","Punching Bag for Kids Tall 65 Inflatable Kids Punching Bag for 8-12, Free Standing Sports Boxing Bag Toys Birthday for Kids 4, 5, 6, 7, 8, 9, 10 Years Old","Jecoo","$24.99","464","9","$11,595","07/27/2023","$13.31","4.4","65","$11.68","24,623","7","FBA","1","Sports & Outdoors","Standard","9.84 x 4.33 x 12.01 in","1.88 kg","https://www.amazon.com/dp/B0CD196VB8"
"","","B07GW7CXHT","Valleycomfy Boxing Curved Focus Punching Mitts- Leatherette Training Hand Pads","Valleycomfy","$19.99","3,693","162","$73,823","08/27/2018","$13.22","4.6","10,734","$6.77","681","6","FBA","2","Sports & Outdoors","Standard","9.02 x 6.81 x 10.39 in","0.18 kg","https://www.amazon.com/dp/B07GW7CXHT"
"","","B0CMQ4P54B","GWF Music Boxing Machine Home Wall Mount Music Boxer, Electronic Smart Focus Agility Training Digital Boxing Wall Target Punching Pads Suitable for Kid","GWF","$99.99","93","1","$9,299","11/05/2023","$73.39","4","15","$26.60","176,621","7","FBA","30","Sports & Outdoors","Oversize","16.9 x 3.5 x 16.9 in","5.5 lb","https://www.amazon.com/dp/B0CMQ4P54B"
