"Export time:  1/28/2024, 4:43:25 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08C9QTG6H","WRITECH Retractable Highlighters Assorted Colors: Chisel Tip Click Aesthetic Highlighter Marker Pens Pack Multi Colored Ink No Bleed Smear for Highlighting Journaling (12ct Neon+Pastel)","WRITECH","$12.88","3,210","107","$41,345","07/01/2020","$8.16","4.7","4,254","$4.72","2,003","6","FBA","2","Office Products","Standard","5.91 x 0.75 x 6.1 in","5.6 oz","https://www.amazon.com/dp/B08C9QTG6H"
"retractable highlighters","","B08H1VGD2B","Dabo&Shobo Yellow highlighter, 60 Pack -bright color, chisel tip, for Adults Kids Highlighting in the Home School Office ","Dabo&Shobo","$16.99","1,477","37","$25,094","08/30/2020","$9.30","4.6","780","$7.69","6,685","7","FBA","1","Office Products","Standard","5.75 x 2.52 x 7.32 in","1.4 lb","https://www.amazon.com/dp/B08H1VGD2B"
"Average Monthly Sales: 3,017","","B086WYJC6D","Shuttle Art 70 Pack Highlighters, Yellow Highlighters with Versatile Chisel Tip, Highlighter Markers Bulk in Vibrant Color for Highlighting as Office, School Supplies","Shuttle Art","$18.99","867","20","$16,464","04/08/2020","$12.60","4.7","892","$6.39","12,498","7","FBA","1","Office Products","Standard","3.94 x 1.97 x 3.94 in","0.014 oz","https://www.amazon.com/dp/B086WYJC6D"
"Average Revenue: $34,332","","B07H1BT4X6","Tebik Gel Highlighter, 10 Colors Bible Safe Highlighter Study Kit, Highlighters Assorted Colors, Twistable Design, No Bleeding Great for Journaling, Highlighting and Study","Tebik","$8.49","180","6","$1,528","09/02/2018","$4.37","4.7","2,331","$4.12","36,854","7","FBA","1","Office Products","Standard","5.3 x 5.4 x 0.7 in","0.201 lb","https://www.amazon.com/dp/B07H1BT4X6"
"Average Price: $11.57","","B0002LD1M6","SHARPIE Retractable Highlighters, Chisel Tip, Fluorescent Yellow, 12 Count","SHARPIE","$13.75","2,075","61","$28,531","11/26/2004","$8.15","4.8","1,044","$5.60","3,892","6","AMZ","44","Office Products","Standard","1.25 x 3.37 x 6.37 in","0.48 oz","https://www.amazon.com/dp/B0002LD1M6"
"Average No. of Ratings: 2,793","","B015G83JI0","Sharpie 28101 Accent Retractable Highlighters Chisel Tip Assorted Colors 8/Set","SHARPIE","$15.09","938","32","$14,154","09/15/2015","$10.36","4.5","136","$4.73","7,740","6","FBA","23","Office Products","Standard","6.5 x 0.7 x 8.3 in","4.8 oz","https://www.amazon.com/dp/B015G83JI0"
"Average Sales Rank: 78,647","","B08XYRFL64","WRITECH Retractable Highlighters Assorted Colors: Chisel Tip Click Aesthetic Highlighter Marker Pens Pack Multi Colored Ink No Bleed Smear for Highlighting Journaling (12ct Neutral)","WRITECH","$12.88","3,081","107","$39,683","11/14/2021","$7.41","4.7","4,254","$5.47","2,003","6","FBA","1","Office Products","Standard","5.87 x 0.87 x 6.02 in","5.3 oz","https://www.amazon.com/dp/B08XYRFL64"
"Average Rating Number: 4.6","","B07Y9NFXRC","Shuttle Art Yellow Highlighters, 30 Pack Highlighters Bright Colors, Chisel Tip Dry-Quickly Non-Toxic Highlighter markers for Adults Kids Highlighting in Home School Office","Shuttle Art","$12.99","814","20","$10,574","09/22/2019","$8.12","4.7","892","$4.87","12,498","6","FBA","1","Office Products","Standard","8.9 x 0.71 x 11.54 in","0.014 oz","https://www.amazon.com/dp/B07Y9NFXRC"
"","","B086W4F9PJ","Shuttle Art Dry Erase Markers, 25 Pack Black Magnetic Whiteboard Markers with Erase, Fine Point Dry Erase Markers Perfect for Writing on Dry-Erase Whiteboards Mirrors Glasses for School Office Home","Shuttle Art","$12.99","867","27","$11,262","04/07/2020","$7.50","4.5","1,091","$5.49","9,087","7","FBA","1","Office Products","Standard","3.94 x 1.97 x 3.94 in","3.53 oz","https://www.amazon.com/dp/B086W4F9PJ"
"","","B086WXTVMP","Shuttle Art 144 Pack Highlighters, Highlighters Assorted Colors Set, 8 Bright Colors Chisel Tip Highlighter Markers Bulk for Kid and Adult Coloring, Highlighting as School Supplies","Shuttle Art","$32.99","178","6","$5,872","04/08/2020","$24.50","4.7","197","$8.49","37,707","7","FBA","1","Office Products","Standard","3.94 x 1.97 x 3.94 in","0.014 oz","https://www.amazon.com/dp/B086WXTVMP"
"","","B00443HDAY","Sharpie 28175PP Retractable Highlighters Chisel Tip Assorted Fluorescent Colors 5/Set","SHARPIE","$8.20","786","17","$6,445","09/21/2010","$3.99","4.6","72","$4.21","14,096","6","FBA","27","Office Products","Standard","4.2 x 8.2 x 0.6 in","2.39 oz","https://www.amazon.com/dp/B00443HDAY"
"","","B002ONCFP4","SHARPIE 1740822 Accent Retractable Highlighter, Chisel Tip, Fluorescent Yellow, 5-Count","SHARPIE","$8.62","1,440","46","$12,413","09/08/2009","$3.79","4.8","1,445","$4.83","5,348","5","FBA","9","Office Products","Standard","4.3 x 8.3 x 1 in","2.4 oz","https://www.amazon.com/dp/B002ONCFP4"
"","","B08BVZZHF2","Mr. Pen- Colorful Highlighters Set, 6 Pack, Assorted Colors, Retractable Colored Bible Markers","Mr. Pen","$6.99","1,386","45","$9,688","06/24/2020","$3.02","4.5","2,848","$3.97","5,476","5","FBA","1","Office Products","Standard","3.2 x 0.7 x 6 in","3.2 oz","https://www.amazon.com/dp/B08BVZZHF2"
"","","B0B9S8JW4N","BESARME 6 Pieces White Out Correction Tape Pen, Push Pull Protective, Easy to Use Applicator for Instant School Office Supplies, 1/5 X 236 Inch","BESARME","$9.99","355","13","$3,546","06/23/2022","$5.57","4.3","437","$4.42","18,070","6","FBA","1","Office Products","Standard","1.1 x 0.59 x 5.5 in","0.53 oz","https://www.amazon.com/dp/B0B9S8JW4N"
"","","B0CGZ8HWWP","Sliverdew 12 Rolls Highlighter Tapes, 0.24inx16.4ft Transparent Highlighter Tape Removable Highlighter Strips for Student Teachers to Take Notes for Classroom Home Office, Total 197ft","Sliverdew","$6.29","245","9","$1,541","08/30/2023","$2.43","4.3","59","$3.86","27,189","7","FBA","1","Office Products","Standard","1.38 x 0.24 x 1.38 in","1.45 oz","https://www.amazon.com/dp/B0CGZ8HWWP"
"","","B00PFEC8SI","Sharpie Accent Retractable Highlighters, Chisel Tip, Assorted Colros, 5ct","SHARPIE","$8.99","119","4","$1,070","11/09/2014","$4.72","4.2","60","$4.27","58,254","2","FBA","1","Office Products","Standard","4.21 x 0.63 x 8.15 in","2.39 oz","https://www.amazon.com/dp/B00PFEC8SI"
"","","B0141M4U2G","Sharpie 28025 Accent Retractable Highlighters Chisel Tip Fluorescent Yellow Dozen","SHARPIE","$15.46","84","2","$1,299","08/24/2015","$9.63","4.8","67","$5.83","84,922","6","FBA","22","Office Products","Standard","3.4 x 1.3 x 6.4 in","5.6 oz","https://www.amazon.com/dp/B0141M4U2G"
"","","B00094AGGU","SHARPIE SAN28175PP - Sharpie Retractable Highlighters","SHARPIE","$6.48","365","11","$2,365","01/02/2007","$2.59","4.6","530","$3.89","22,282","4","AMZ","14","Office Products","Standard","4.2 x 8.2 x 0.6 in","2.4 oz","https://www.amazon.com/dp/B00094AGGU"
"","","B001HA12M2","Pentel Handy-line S Retractable Highlighter, Chisel Tip, Assorted Ink Colors, 4/ Pack (SXS15BP4M)","Pentel","$8.20","161","4","$1,320","08/14/2007","$4.05","4.7","520","$4.15","53,811","6","FBA","12","Office Products","Standard","7.38 x 3.63 x 0.63 in","1.44 oz","https://www.amazon.com/dp/B001HA12M2"
"","","B09XHBMW6B","ZEYAR Gel Highlighters, Bible Highlighter Pens, No Bleed, Quick Dry, assorted colors, Bible Study and Bible Journaling Supplies, Bible highlighters for Tabs (8 Fluorescent colors)","ZEYAR","$3.99","1,151","138","$4,592","04/07/2022","$0.47","4.7","216","$3.52","1,442","6","FBA","1","Office Products","Standard","5.2 x 0.62 x 4.4 in","4.2 oz","https://www.amazon.com/dp/B09XHBMW6B"
"","","B08R71VS87","BANJI White Out Correction Tape Office Learning Easy to Use Applicator for Instant Correction, Learning Supplies and Office Products 9 Pack 1/5 in. x 39.3 ft. (5mm x 12m)","BANJI","$7.60","149","5","$1,132","12/22/2020","$3.39","4.2","552","$4.21","42,197","7","FBA","1","Office Products","Standard","8.7 x 0.5 x 12.6 in","6.7 oz","https://www.amazon.com/dp/B08R71VS87"
"","","B00V86BJU0","BIC Brite Liner Highlighters, Chisel Tip, 24-Count Pack of Highlighters Assorted Colors, Ideal Highlighter Set for Organizing and Coloring","BIC","$10.06","41,690","1,575","$419,401","07/25/2010","$4.78","4.8","34,094","$5.28","21","7","AMZ","40","Office Products","Standard","2.75 x 5.5 x 2.75 in","8.5 oz","https://www.amazon.com/dp/B00V86BJU0"
"","","B0CD7VT9R7","60 Pcs Mini Pens for Nurses Pen Badge Clip with Mini Highlighter Retractable Neon Nurse Pen LED Keychain Clip Flashlight Key Ring Nursing Ballpoint Pen for Nurse Kid Accessories (Black,Keychain)","Chinco","$20.99","210","7","$4,408","07/30/2023","$12.55","4.1","39","$8.44","33,766","7","FBA","1","Office Products","Standard","5 x 2.13 x 9.49 in","1.19 lb","https://www.amazon.com/dp/B0CD7VT9R7"
"","","B000789JTS","SHARPIE Accent Pen-Style Retractable Highlighters, 12 Fluorescent Pink Highlighters (28029)","SHARPIE","$15.10","125","2","$1,888","08/15/2007","$9.42","4.3","78","$5.68","103,012","5","FBA","27","Office Products","Standard","6.62 x 5.18 x 15.18 in","2.08 oz","https://www.amazon.com/dp/B000789JTS"
"","","B00HEQS69A","Pentel Handy-Line S Retractable and Refillable Chisel Tip Highlighter, Light Green Ink, Box of 12 (SXS15-K)","Pentel","$15.70","60","2","$942.00","11/07/2012","$9.56","4.4","29","$6.14","103,435","4","AMZ","2","Office Products","Standard","3.2 x 1.2 x 5.5 in","0.3 lb","https://www.amazon.com/dp/B00HEQS69A"
"","","B08ZSTYKM8","Sharpie Liquid Retractable Highlighters Assorted Colors, Chisel Tip Highlighter Pens, 1 Pack of 8 Count","SHARPIE","$17.49","36","1","$629.64","03/22/2021","$11.16","4.8","10,456","$6.33","122,151","5","FBA","8","Office Products","Standard","6 x 5 x 8 in","5.3 oz","https://www.amazon.com/dp/B08ZSTYKM8"
"","","B00125KHD2","Pentel Handy-line S Retractable and Refillable Highlighter, Yellow 12-Count (SXS15-G)","Pentel","$17.31","30","1","$519.30","06/21/2007","$11.17","4.5","42","$6.14","114,583","4","AMZ","3","Office Products","Standard","3.16 x 5.33 x 1.16 in","0.32 oz","https://www.amazon.com/dp/B00125KHD2"
"","","B0876QMQ5P","HiKin Cute Starfish Highlighters, Creative Multi Color Fluorescent Pens Markers, Non-Toxic & Odorless Watercolor, Great for Journal Planner Note Taking and Coloring Book.","HiKin","$5.99","105","4","$628.95","04/16/2020","$2.17","4.1","110","$3.82","58,149","7","FBA","1","Office Products","Standard","2.3 x 0.6 x 4 in","0.81 oz","https://www.amazon.com/dp/B0876QMQ5P"
"","","B014XTDB18","Diamond Peel-Off China Markers,Glass, Cellophane, Vinyl,Metal, Skin, Etc..Assorted - Pack of 12 (Color Mix - 26 Color)","Office 4 All","$7.99","600","27","$4,794","09/04/2015","$3.87","4.3","2,186","$4.12","9,047","6","FBA","3","Office Products","Standard","0.4 x 0.4 x 6.7 in","0.32 oz","https://www.amazon.com/dp/B014XTDB18"
"","","B0141N5O2A","Sharpie 28025 Accent Retractable Highlighters Chisel Tip Fluorescent Yellow Dozen","SHARPIE","$14.99","60","2","$899.40","12/12/2012","$9.16","4.4","20","$5.83","87,249","6","FBA","22","Office Products","Standard","6.62 x 5.18 x 15.18 in","2.08 oz","https://www.amazon.com/dp/B0141N5O2A"
"","","B07PDN2PZL","[6 Color] Assorted Retractable Design Highlighters, One Hand Operation","Tomorotec","$7.95","48","2","$381.60","03/05/2019","$3.84","4.5","190","$4.11","102,701","6","FBA","1","Office Products","Standard","2.99 x 0.67 x 5.83 in","2.39 oz","https://www.amazon.com/dp/B07PDN2PZL"
"","","B07XSDKRH8","Sharpie 28101 Accent Retractable Highlighters, Chisel Tip, Assorted Colors, 16 Markers","SHARPIE","$6.99","","","$0.00","09/10/2019","","","","","224,556","4","FBM","5","Office Products","","","","https://www.amazon.com/dp/B07XSDKRH8"
"","","B002JGP29C","Pentel Handy-line S Retractable Highlighter, Chisel Tip, Yellow Ink, 2/ Pack (SXS15BP2G)","Pentel","$3.98","131","5","$521.38","05/02/2006","$0.46","4.4","62","$3.52","40,306","4","AMZ","1","Office Products","Standard","7.38 x 2.38 x 0.63 in","0.8 oz","https://www.amazon.com/dp/B002JGP29C"
"","","B00822DXRA","Pentel Handy-Line S Retractable and Refillable Highlighter, Chisel Tip, Orange Ink, Box of 12 (SXS15-F)","Pentel","$5.99","130","2","$778.70","03/31/2012","$1.55","4.5","42","$4.44","80,437","5","AMZ","2","Office Products","Standard","1 x 3.25 x 5.5 in","4.2 oz","https://www.amazon.com/dp/B00822DXRA"
"","","B002PI4SJO","Pentel Handy-line S Retractable Highlighter, Chisel Tip, Yellow Ink, 4 /Pack (SXS15BP4G)","Pentel","$7.74","185","6","$1,432","09/16/2009","$3.68","4.5","208","$4.06","37,336","5","AMZ","2","Office Products","Standard","7.38 x 3.63 x 0.63 in","0.8 oz","https://www.amazon.com/dp/B002PI4SJO"
