"Export time:  1/28/2024, 4:44:15 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B019QROV9S","SHARPIE Highlighter, Clear View Highlighter with See-Through Chisel Tip, Stick Highlighter, Assorted, 8 Count","SHARPIE","$13.49","11,636","438","$156,970","01/15/2016","$8.55","4.7","11,638","$4.94","257","6","AMZ","16","Office Products","Standard","5.75 x 7.63 x 0.5 in","2.88 oz","https://www.amazon.com/dp/B019QROV9S"
"sarasa dry","","B0BWHGZG9V","PILOT G2 Mineral Art Collection Premium Retractable Gel Ink Pen, 0.7mm Fine Point, 6 Pack (Grey)","PILOT","$9.99","228","7","$2,278","02/20/2023","$4.95","4.3","64","$5.04","31,041","5","FBA","1","Office Products","Standard","3.19 x 0.98 x 5.91 in","2.08 oz","https://www.amazon.com/dp/B0BWHGZG9V"
"Average Monthly Sales: 1,434","","B002MGJZRE","BIC Wite-Out Brand EZ Correct Correction Tape (WOTAP10- WHI), 39.3 Feet, 10-Count Pack of white Correction Tape, Fast, Clean and Easy to Use Tear-Resistant Tape","BIC","$14.99","22,750","566","$341,023","06/21/2007","$8.97","4.7","14,320","$6.02","164","7","AMZ","31","Office Products","Standard","3.7 x 2.1 x 8.3 in","7 oz","https://www.amazon.com/dp/B002MGJZRE"
"Average Revenue: $19,371","","B07YNHMVRT","Post-it Super Sticky Notes, Limited Edition Color Collection, 3x3 in, 15 Pads/Pack, 45 Sheets/Pad","Post-it","$12.48","6,966","163","$86,936","10/01/2019","$6.09","4.9","8,318","$6.39","1,161","6","AMZ","10","Office Products","Standard","11.88 x 1.56 x 7.88 in","15 oz","https://www.amazon.com/dp/B07YNHMVRT"
"Average Price: $13.68","","B07SYB2T64","Zebra sarasa dry Gel ballpointpens 0.4mm ink color(Black) Pack of 5","sarasa dry","$9.90","182","6","$1,802","06/10/2019","$4.88","4.6","84","$5.03","37,961","4","FBA","9","Office Products","Standard","6 x 0.8 x 2.7 in","0.014 oz","https://www.amazon.com/dp/B07SYB2T64"
"Average No. of Ratings: 1,346","","B01N6N34KO","Zebra Sarasa Dry Gel Ink Pen Black (JJ31-BK), 0.5mm Fine, 5 pens per Pack (Japan Import)","ZEBRA","$7.56","278","9","$2,102","01/11/2017","$3.51","4.7","438","$4.05","26,891","4","FBA","6","Office Products","Standard","0.59 x 2.15 x 5.46 in","0.388 oz","https://www.amazon.com/dp/B01N6N34KO"
"Average Sales Rank: 84,230","","B00BP3OVJM","Zebra Pen Sarasa Dry X20 Retractable Gel Pen, Medium Point, 0.7mm, Assorted Fashion Color Ink, 14-Pack","Zebra Pen","$16.89","1,767","65","$29,845","01/20/2014","$10.82","4.6","4,630","$6.07","3,630","6","AMZ","43","Office Products","Standard","6 x 3 x 1.2 in","5.8 oz","https://www.amazon.com/dp/B00BP3OVJM"
"Average Rating Number: 4.6","","B08C9LK2HV","WRITECH Rolling Ball Pens Quick Dry Ink 0.5 mm Extra Fine Point Pens 10 Pcs Liquid Ink Pen Rollerball Pens Vintage Color","WRITECH","$9.68","1,882","60","$18,218","07/02/2020","$5.31","4.5","3,618","$4.37","3,954","6","FBA","1","Office Products","Standard","4.41 x 0.63 x 5.63 in","3.5 oz","https://www.amazon.com/dp/B08C9LK2HV"
"","","B07RGXVPFJ","TRU RED Retractable Quick Dry Gel Pens, Blue, 0.7mm Medium Point (1 Dozen Pens)  Smooth-Flowing Blue Ink Pen with Full Rubberized Barrel for Comfort, Acid-Free Gel Pens","STAPLES","$13.43","1,221","15","$16,398","05/07/2019","$7.88","4.8","332","$5.55","15,900","6","FBA","5","Office Products","Standard","3.27 x 1.18 x 5.59 in","5.5 oz","https://www.amazon.com/dp/B07RGXVPFJ"
"","","B00X8YOQT6","Pentel EnerGel RTX Retractable Liquid Gel Pen 0.5mm Fine Line Needle Tip Black Ink (5)","Pentel","$8.99","2,302","66","$20,695","05/06/2015","$4.72","4.8","3,065","$4.27","3,576","5","FBA","12","Office Products","Standard","2.5 x 0.3 x 5.6 in","2.08 oz","https://www.amazon.com/dp/B00X8YOQT6"
"","","B08DY3QZ21","WRITECH Liquid Ink RollerBall Pens Quick Dry Ink 0.5 mm Extra Fine Point Pens 8 Pcs Rollering Pens Assorted Colors Ink for Writing, Taking Notes & Sketching (Multicolor)","WRITECH","$10.25","2,119","62","$21,720","07/29/2020","$5.79","4.5","2,366","$4.46","3,817","6","FBA","1","Office Products","Standard","3.82 x 0.59 x 5.55 in","3.2 oz","https://www.amazon.com/dp/B08DY3QZ21"
"","","B09L7W1J9R","WRITECH Retractable Gel Pens Quick Dry Ink Pens Fine Point 0.5mm Multicolor For Journaling, Drawing, Doodling, and Notetaking (Multicolor)","WRITECH","$11.99","3,455","132","$41,425","08/06/2020","$7.27","4.5","4,597","$4.72","1,528","6","FBA","3","Office Products","Standard","4.53 x 0.75 x 5.98 in","4.2 oz","https://www.amazon.com/dp/B09L7W1J9R"
"","","B019SWFC7G","Zebra Sarasa Dry B-JJS31-BK Gel Ballpoint Pen, 0.4, Black, 10 Pieces","ゼブラ(ZEBRA)","$13.40","30","1","$402.00","02/13/2016","$8.47","4.4","61","$4.93","154,651","6","FBA","9","Office Products","Standard","5.43 x 0.67 x 0.43 in","0.387 oz","https://www.amazon.com/dp/B019SWFC7G"
"","","B0995NZWVC","Sarasa Zebra Dry Gel Ink Ballpoint Pen 0.4mm Assorted 5 Axis Colors Pens With Black Ink & Red Pen With Red Ink With Original Stylus Ballpoint Touch Pen","Sarasa","$12.90","66","4","$851.40","04/08/2021","$8.05","4.2","92","$4.86","53,437","7","FBA","3","Office Products","Standard","0.01 x 5.47 x 0.42 in","2.4 oz","https://www.amazon.com/dp/B0995NZWVC"
"","","B01MTNCWW0","sarasa dry 0.5mm BLACK(JJ31-BK) BLUE(JJ31-BL) RED(JJ31-BL) 3pens VALUE SET","ZEBRA","$5.80","87","2","$504.60","11/14/2016","$2.01","4.6","119","$3.79","76,254","3","FBA","11","Office Products","Standard","5.51 x 0.2 x 1.89 in","2.39 oz","https://www.amazon.com/dp/B01MTNCWW0"
"","","B0006HXC3Y","Zebra Pen Sarasa Dry X20 Retractable Gel Pen, Fine Point, 0.5mm, Black Ink, 12-Pack","Zebra Pen","$15.53","498","16","$7,734","05/22/2008","$9.66","4.6","2,280","$5.87","15,272","6","AMZ","34","Office Products","Standard","2.8 x 5.8 x 1.2 in","4.2 oz","https://www.amazon.com/dp/B0006HXC3Y"
"","","B07K11BS8Q","Zebra Pen Sarasa Dry X1 Retractable Gel Pen, Medium Point, 0.7mm, Black Ink, 12-Pack","Zebra Pen","$13.49","120","4","$1,619","10/31/2018","$7.89","4.6","360","$5.60","56,112","4","FBA","15","Office Products","Standard","3.543 x 5.827 x 1.221 in","0.329 lb","https://www.amazon.com/dp/B07K11BS8Q"
"","","B0CLQ12Q94","Zebra Gel Pens - Retractable Gel Ink Pens - Medium Point 0.7mm - Zebra Sarasa Dry X20 - 14 Pack of Black Ink Zebra Pen Gel","Zebra Pen","$9.97","210","7","$2,094","10/23/2023","$3.17","4.3","11","$6.81","34,768","6","FBA","1","Office Products","Standard","7.48 x 0.63 x 7.52 in","5.6 oz","https://www.amazon.com/dp/B0CLQ12Q94"
"","","B07QWZH3BK","Zebra sarasa dry Gel ballpointpens 0.7mm ink color(black blue red) Pack of 3","sarasa dry","$7.00","107","2","$749.00","04/17/2019","$3.20","4.5","97","$3.80","96,421","4","FBA","5","Office Products","Standard","6 x 0.5 x 2 in","2.08 oz","https://www.amazon.com/dp/B07QWZH3BK"
"","","B01N0DPN5M","sarasa dry 0.4mm BLACK(JJS31-BK) BLUE(JJS31-BL) RED(JJS31-BL) 3pens VALUE SET","ZEBRA","$5.96","55","1","$327.80","11/14/2016","$2.15","4.8","107","$3.81","136,493","3","FBA","7","Office Products","Standard","2 x 0.39 x 5.2 in","0.798 oz","https://www.amazon.com/dp/B01N0DPN5M"
"","","B08TM6C7VQ","Zebra Pen Sarasa Dry X30 Retractable Gel Pen, Fine Point, 0.5mm, Blue Ink, 12-Pack","Zebra Pen","$23.06","","","","","","5","2","","314,333","","AMZ","","Office Products","","","","https://www.amazon.com/dp/B08TM6C7VQ"
"","","B0CD6XQQ6W","qianshan Multi-functional Portfolio Craft Organizer Bag, Waterproof Travel Pouch Zippered Case, Small Journal Supplies Storage Case for Notebooks, Stationeries, Office.Feline Animals","qianshan","$15.99","480","16","$7,675","09/11/2023","","4.3","41","","15,132","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CD6XQQ6W"
"","","B01BTU4P7I","ZEBRA SARASA Dry (Gel Ink Ballpoint Pen) 0.4mm / Soft Blue [JJS31-SBL] (Japan Import)","ZEBRA","$4.00","15","","$60.00","02/22/2016","$0.37","4.4","37","$3.63","231,974","6","FBA","3","Office Products","Standard","5.49 x 0.67 x 0.75 in","0.384 oz","https://www.amazon.com/dp/B01BTU4P7I"
"","","B002GYVVUQ","Zebra Pen Sarasa Dry X20 Retractable Gel Pen, Medium Point, 0.7mm, Assorted Business Color Ink, 24-Pack (Packaging May Vary)","Zebra Pen","$21.64","60","2","$1,298","06/20/2007","$14.62","4.6","239","$7.02","77,987","7","AMZ","26","Office Products","Standard","2.5 x 6.13 x 2.75 in","8.4 oz","https://www.amazon.com/dp/B002GYVVUQ"
"","","B09W32QJDF","Zebra Pen Sarasa Dry X1+ Retractable Gel Pen, Plastic Barrel, Medium Point, 0.7mm, Black Ink, 12-Pack","Zebra Pen","$14.61","77","2","$1,125","03/20/2022","$8.87","4.8","53","$5.74","88,284","6","AMZ","7","Office Products","Standard","7.28 x 1.34 x 8.27 in","5.3 oz","https://www.amazon.com/dp/B09W32QJDF"
"","","B0995QKT2P","Zebra Sarasa Dry Gel Ink Ballpoint Pen 0.5mm Assorted 5 Pens with Black Ink & Red Pen with Red Ink with Kanji LOVE Sticker, 2.36 x 0.01 x 5.47 Inches(JJ31)","Sarasa","$12.90","30","1","$387.00","04/08/2021","$8.05","4.1","12","$4.86","129,488","7","FBA","2","Office Products","Standard","5.47 x 2.36 x 0.01 in","0.144 lb","https://www.amazon.com/dp/B0995QKT2P"
"","","B07PSFHBCV","Smart Color Art 40 Pack Set, 20 Colored Gel Pens With 20 Matched Refills, Medium Point Retractable Gel Ink Pens With Comfortable Grip, Great for Journal Notebook Planner in School Office","Smart Color Art","$11.99","790","26","$9,472","03/16/2019","$7.12","4.5","2,189","$4.87","9,442","6","FBA","1","Office Products","Standard","6 x 0.7 x 11.2 in","11.4 oz","https://www.amazon.com/dp/B07PSFHBCV"
"","","B0744D6P4V","BIC Gel-ocity Retractable Gel Pens, 0.7mm Medium Point, 12-Count Assorted Colors","BIC","$15.29","15,494","162","$236,903","07/23/2017","$9.46","4.8","9,999","$5.83","1,165","6","AMZ","39","Office Products","Standard","6 x 2.75 x 1.31 in","0.01 oz","https://www.amazon.com/dp/B0744D6P4V"
"","","B0CLVJZJYG","DIVERSEBEE Black Ink Ballpoint Pens, 3 Pack Retractable No Bleed Bible Pens, Cute Aesthetic Pastel Pens for Teachers, Bible Study Journaling Supplies, School Office Gifts Accessories, 1.0mm (Blush)","DIVERSEBEE","$9.99","1,052","70","$10,509","10/25/2023","$5.57","4.4","34","$4.42","3,308","6","FBA","1","Office Products","Standard","3.35 x 0.67 x 7.52 in","4.6 oz","https://www.amazon.com/dp/B0CLVJZJYG"
"","","B079NMRJKL","Zebra Sarasa Fineliner Bible Marking Kit - Set of 12","G.T. Luscombe Company, Inc.","$21.99","90","3","$1,979","01/31/2018","$15.77","4.6","162","$6.22","58,978","7","FBA","5","Office Products","Standard","5.47 x 0.75 x 5.63 in","0.28 lb","https://www.amazon.com/dp/B079NMRJKL"
"","","B07SW7N2QZ","Zebra sarasa dry Gel ballpointpens 0.4mm ink color(Blue) Pack of 5","sarasa dry","$17.98","","","$0.00","06/10/2019","$11.74","5","7","$6.24","244,553","4","FBA","1","Office Products","Standard","6 x 0.8 x 2.7 in","2.01 oz","https://www.amazon.com/dp/B07SW7N2QZ"
"","","B00M87X398","ZEBRA Sarasa Dry X10 Gel Retractable Pens, Medium Pt, Violet, Dozen (42680)","ZEBRA","$16.70","10","","$167.00","05/12/2013","$10.54","4.4","15","$6.16","189,704","5","FBA","5","Office Products","Standard","3.63 x 1.38 x 5.63 in","5.3 oz","https://www.amazon.com/dp/B00M87X398"
"","","B019SWFC1M","Zebra Sarasa Dry B-JJ31-BK Gel Ballpoint Pen, 0.5, Black, 10 Pieces","ゼブラ(ZEBRA)","$20.72","","","$0.00","02/13/2016","$14.78","5","1","$5.94","510,789","6","AMZ","7","Office Products","Standard","5.43 x 0.67 x 0.43 in","0.387 oz","https://www.amazon.com/dp/B019SWFC1M"
"","","B00449R6GE","Zebra Sarasa Dry X10 Gel Retractable Pens, Medium Point, Black Ink, Dozen (42610)","ZEBRA","$32.37","35","1","$1,133","09/22/2010","$26.55","5","7","$5.82","138,185","4","FBM","10","Office Products","Standard","3.5 x 1.2 x 5.9 in","4.8 oz","https://www.amazon.com/dp/B00449R6GE"
"","","B0BTYN1P7K","Outus 48 Pcs Baby Shower Pens Bulk Baby Shower Favors It's a Boy Pens Blue Pens Bulk Baby Shower Supplies for Baby Shower Birth Announcement Guests Favors Decorations","Outus","$14.99","120","4","$1,799","02/05/2023","","4.3","37","","68,328","7","FBA","1","Toys & Games","","","","https://www.amazon.com/dp/B0BTYN1P7K"
"","","B08745HGP2","sencoo 12 pack Colorful Cute Diamond Gel Pen Candy Color Milky Cow Pens Set Writing Kawaii Stationery School Office Supplies","sencoo","$6.99","50","4","$349.50","04/14/2020","$3.02","4.1","154","$3.97","57,490","6","FBA","1","Office Products","Standard","5.36 x 0.43 x 6.58 in","0.014 oz","https://www.amazon.com/dp/B08745HGP2"
"","","B0C5T2YL3Q","Spacrea Pencil Holder for Desk - 360Degree Rotating Pen Organizer, Desk Organizer with 4 Compartments, Pen Holder for Desk, For School, Classroom, Office, Art Supplies(Black)","Spacrea","$14.99","1,367","35","$20,491","07/09/2023","$6.95","4.6","147","$8.04","7,053","7","FBA","1","Office Products","Standard","6.8 x 9 x 6.8 in","1.3 lb","https://www.amazon.com/dp/B0C5T2YL3Q"
"","","B0006HXC3E","Zebra Pen Sarasa Dry X20 Retractable Gel Pen, Bold Point, 1.0mm, Black Ink, 12-Pack (Packaging May Vary)","Zebra Pen","$17.99","214","5","$3,850","06/27/2017","$12.03","4.5","593","$5.96","46,168","5","AMZ","26","Office Products","Standard","2.75 x 1.1 x 5.75 in","4 oz","https://www.amazon.com/dp/B0006HXC3E"
"","","B07CHFZXT4","Zebra Sarasa Dry 0.5 Retractable Gel Ink Pen for left-handed, Rubber Grip, 0.5 mm, 3 Body Color Black Ink, Sticky Notes Value Set","Stationery JP","$12.33","","","$123.30","04/18/2018","$7.56","4.5","114","$4.77","188,826","7","FBA","2","Office Products","Standard","2.402 x 5.433 x 0.591 in","0.09 lb","https://www.amazon.com/dp/B07CHFZXT4"
"","","B01M7X3NCR","Zebra Sarasa Dry B-RJLV7-BK Gel Ballpoint Pen Refill, 0.7 Core, Black, 10 Pieces","ゼブラ(ZEBRA)","$9.47","116","3","$1,099","11/12/2016","$5.13","4.7","42","$4.34","67,271","6","FBA","5","Office Products","Standard","4.41 x 0.28 x 0.28 in","0.106 oz","https://www.amazon.com/dp/B01M7X3NCR"
"","","B001BZ4RQQ","Zebra Pen Sarasa Dry X20 Retractable Gel Pen, Bold Point, 1.0mm, Blue Ink, 12-Pack","Zebra Pen","$14.32","211","6","$3,022","06/20/2006","$8.63","4.6","380","$5.69","36,267","5","AMZ","33","Office Products","Standard","2.69 x 5.56 x 1.13 in","4 oz","https://www.amazon.com/dp/B001BZ4RQQ"
"","","B08TM3J6FQ","Zebra Pen Sarasa Dry X30 Retractable Gel Pen, Fine Point, 0.5mm, Black Ink, 12-Pack","Zebra Pen","$24.20","40","2","$968.00","01/19/2021","$18.46","4.5","27","$5.74","96,428","5","FBA","2","Office Products","Standard","2.71 x 0.33 x 1.21 in","0.33 oz","https://www.amazon.com/dp/B08TM3J6FQ"
"","","B07T9HCRZR","Zebra Sarasa Clip 0.5 Retractable Gel Ink Pen, Rubber Grip, 0.5 mm, Vintage Colors, 10 Color Bundle (JJ15-5C-VI+JJ15-5C-VI2)","MerceHygea","$12.00","966","38","$11,592","06/20/2019","$7.28","4.8","3,018","$4.72","6,501","6","FBA","12","Office Products","Standard","0.43 x 5.55 x 5.55 in","0.388 oz","https://www.amazon.com/dp/B07T9HCRZR"
"","","B09KM5DPY1","Zebra SARASA 0.5mm Black Ink 10 Refills (RJF5-BK), High Speed Dry Ink Technology with Original Sticky Notes","Sarasa","$14.99","63","2","$944.37","10/27/2021","$9.20","4.6","40","$5.79","85,756","7","FBA","1","Office Products","Standard","2.36 x 0.94 x 5.63 in","1.76 oz","https://www.amazon.com/dp/B09KM5DPY1"
"","","B001RTS5PU","ZEBRA PEN X10 Retractable Gel Pen, Medium Point, 0.7mm, Blue Barrel, Acid Free Blue Ink, 12 Pack (Packaging may vary)","Zebra Pen","$15.09","330","11","$4,980","04/18/2006","$9.29","4.6","729","$5.80","22,536","5","FBA","21","Office Products","Standard","3.5 x 5.6 x 1.25 in","5.8 oz","https://www.amazon.com/dp/B001RTS5PU"
