"Export time:  2/2/2024, 8:18:41 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C27VS1J7","PerKoop 36 Sheets Science Fair Board Supplies 24 Self Adhesive Presentation Science Subtitles 4 Science Fair Project Titles 8 Personalized Letter Sticker Supplies for Classroom Office (Colorful)","PerKoop","$19.99","982","21","$19,630","04/11/2023","$13.40","4.5","13","$6.59","12,005","6","FBA","1","Office Products","Standard","10.91 x 0.31 x 13.82 in","13.2 oz","https://www.amazon.com/dp/B0C27VS1J7"
"science fair board","","B0BYSTSY54","Ctosree 24 Pcs Tri Fold Display Board, Lightweight Presentation Board, Science Fair Project Display Paperboard, Trifold Poster Board, Single Wall(White, 36 x 48 Inch)","Ctosree","$125.99","180","6","$22,678","03/16/2023","","4.5","4","","37,919","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BYSTSY54"
"Average Monthly Sales: 470","","B0015V1ZY8","Pacon Presentation Boards, Single Wall, White, 48' x 36', 4 Count","PACON","$23.99","4,483","172","$107,547","01/04/2009","$6.89","4.7","2,979","$17.10","1,079","6","AMZ","14","Office Products","Oversize","24 x 0.33 x 36 in","6 lb","https://www.amazon.com/dp/B0015V1ZY8"
"Average Revenue: $11,741","","B07QDZX1QR","Trifold Poster Board 36' x 48' White Presentation Board Science Fair Display Boards - for School, Fun Projects and Business Presentations - by Emraw","Emraw","$23.97","2,472","102","$59,254","04/09/2019","$6.87","4.5","764","$17.10","2,129","6","FBA","2","Office Products","Oversize","1 x 36 x 24 in","1.4 lb","https://www.amazon.com/dp/B07QDZX1QR"
"Average Price: $39.11","","B079W4N992","Flipside Products 36 x 48 Project Boards for Presentations, Science Fair, School Projects, Event Displays and Trifold Picture Board, Proudly Made in USA - Black - 4 Pack","Flipside Products","$22.58","1,470","49","$33,193","02/15/2018","$-4.10","4.6","280","$26.68","4,909","6","AMZ","1","Office Products","Oversize","48 x 0.16 x 36 in","1.4 lb","https://www.amazon.com/dp/B079W4N992"
"Average No. of Ratings: 186","","B08N311CZL","Desk Tech Large Tri-Fold Presentation Board - 36 x 48 inches - Sturdy Corrugated Paper - Perfect for School Projects, Exhibitions, Workshops","Desk Tech","$16.90","4,281","160","$72,349","11/08/2020","$-8.93","4.6","332","$25.83","1,187","7","FBA","1","Office Products","Oversize","0.1 x 48 x 36 in","1.22 lb","https://www.amazon.com/dp/B08N311CZL"
"Average Sales Rank: 73,506","","B0CNCN5T85","Henoyso 116 Sheets Science Fair Board Supplies 20 Printable Presentation Science Subtitles 80 Scalloped Bulletin Board Borders 8 Letter Sticker 8 Project Title for School Office (Board No Included)","Henoyso","$20.99","154","3","$3,232","11/14/2023","","5","1","","61,932","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CNCN5T85"
"Average Rating Number: 4.4","","B0089T15XK","Flipside 1-Ply Project Board, 36-inch x 48-inch, White, Pack of 24 (FLP30046)","Flipside Products","$100.99","202","9","$20,400","10/17/2012","$62.55","4.1","96","$38.44","26,130","6","AMZ","13","Office Products","Oversize","48 x 0.16 x 36 in","1.4 lb","https://www.amazon.com/dp/B0089T15XK"
"","","B00IWSHORY","Pacon Presentation Board Kit, White, Includes Self-Adhesive Project Papers, 48' x 36', 1 Kit","PACON","$30.46","146","2","$4,447","03/06/2014","$10.87","4.6","414","$19.59","84,662","5","AMZ","1","Office Products","Oversize","36.5 x 2.5 x 24.5 in","1.9 lb","https://www.amazon.com/dp/B00IWSHORY"
"","","B079YBJKXW","Pacon PAC3771 Presentation Board, 48' x 36', Sky Blue","PACON","$26.85","226","5","$6,068","02/19/2018","$10.07","4.4","106","$16.78","46,437","3","AMZ","8","Office Products","Oversize","24 x 0.13 x 36 in","1.19 lb","https://www.amazon.com/dp/B079YBJKXW"
"","","B0C2J1RQ62","Ctosree 18 Pcs Tri Fold Display Board, Lightweight Presentation Board, Science Fair Project Display Paperboard, Trifold Poster Board, Single Wall(White, 14 x 22 Inch)","Ctosree","$54.99","161","5","$8,853","04/13/2023","$36.28","5","4","$18.71","41,555","6","FBA","1","Office Products","Oversize","14 x 0.01 x 22 in","4.16 lb","https://www.amazon.com/dp/B0C2J1RQ62"
"","","B0C6F3TBLJ","Yeaqee 12 Pcs Trifold Poster Board 35.5' x 44' Inch White Presentation Board Science Fair Display Boards with 12 Sheets Self Adhesive Presentation Science Subtitles for School Office Supplies","Yeaqee","$62.99","","","$0.00","05/25/2023","","2.9","3","","390,142","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C6F3TBLJ"
