"Export time:  2/2/2024, 8:19:34 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C27VS1J7","PerKoop 36 Sheets Science Fair Board Supplies 24 Self Adhesive Presentation Science Subtitles 4 Science Fair Project Titles 8 Personalized Letter Sticker Supplies for Classroom Office (Colorful)","PerKoop","$19.99","982","21","$19,630","04/11/2023","$13.40","4.5","13","$6.59","12,005","6","FBA","1","Office Products","Standard","10.91 x 0.31 x 13.82 in","13.2 oz","https://www.amazon.com/dp/B0C27VS1J7"
"science fair display boards","","B0CL6MLYP7","A-Frame Chalkboard Sign Large 16' x 32' Sandwich Chalkboard Double Sided Sidewalk Signs Outdoor Foldable Blackboard Menu Display for Weddings, Restaurant, Business","TONICE","$46.99","150","5","$7,049","10/16/2023","$27.73","","","$19.26","46,962","7","FBA","1","Office Products","Oversize","16 x 1.65 x 31.97 in","9.18 lb","https://www.amazon.com/dp/B0CL6MLYP7"
"Average Monthly Sales: 459","","B0C33ZC1WL","Ctosree 24 Pcs Tri Fold Display Board, Lightweight Presentation Board, Science Fair Project Display Paperboard, Trifold Poster Board, Single Wall(Black, 14 x 22 Inch)","Ctosree","$50.99","127","6","$6,476","04/19/2023","$32.50","4.5","4","$18.49","37,919","6","FBA","1","Office Products","Oversize","14 x 0.01 x 22 in","5.79 lb","https://www.amazon.com/dp/B0C33ZC1WL"
"Average Revenue: $11,510","","B0C2J1RQ62","Ctosree 18 Pcs Tri Fold Display Board, Lightweight Presentation Board, Science Fair Project Display Paperboard, Trifold Poster Board, Single Wall(White, 14 x 22 Inch)","Ctosree","$54.99","161","5","$8,853","04/13/2023","$36.28","5","4","$18.71","41,555","6","FBA","1","Office Products","Oversize","14 x 0.01 x 22 in","4.16 lb","https://www.amazon.com/dp/B0C2J1RQ62"
"Average Price: $42.38","","B0015V1ZY8","Pacon Presentation Boards, Single Wall, White, 48' x 36', 4 Count","PACON","$23.99","4,483","172","$107,547","01/04/2009","$6.89","4.7","2,979","$17.10","1,079","6","AMZ","14","Office Products","Oversize","24 x 0.33 x 36 in","6 lb","https://www.amazon.com/dp/B0015V1ZY8"
"Average No. of Ratings: 189","","B07QDZX1QR","Trifold Poster Board 36' x 48' White Presentation Board Science Fair Display Boards - for School, Fun Projects and Business Presentations - by Emraw","Emraw","$23.97","2,472","102","$59,254","04/09/2019","$6.87","4.5","764","$17.10","2,129","6","FBA","2","Office Products","Oversize","1 x 36 x 24 in","1.4 lb","https://www.amazon.com/dp/B07QDZX1QR"
"Average Sales Rank: 65,038","","B0BSLHDMHJ","Science Fair Participant Award Ribbons with Event Card String Green Participation Ribbon Science Fair Medal Ribbons Participant Prize Ribbons for Science Fair Competition Event School Team (100 Pcs)","Taiyin","$28.99","222","5","$6,436","01/17/2023","$20.87","4.6","16","$8.12","47,171","7","FBA","1","Office Products","Standard","6.57 x 2.01 x 10.08 in","10.2 oz","https://www.amazon.com/dp/B0BSLHDMHJ"
"Average Rating Number: 4.4","","B07KRX2M7T","18 Piece 11x14 Large Neon Poster Board Cutouts, Paper Signs for Science Fair Projects Decoration, School Presentation Supplies (6 Shapes)","Juvale","$13.99","273","8","$3,819","05/06/2019","$6.75","4.6","430","$7.24","30,133","7","FBA","1","Office Products","Standard","11.102 x 13.937 x 0.748 in","1.173 lb","https://www.amazon.com/dp/B07KRX2M7T"
"","","B08N311CZL","Desk Tech Large Tri-Fold Presentation Board - 36 x 48 inches - Sturdy Corrugated Paper - Perfect for School Projects, Exhibitions, Workshops","Desk Tech","$16.90","4,281","160","$72,349","11/08/2020","$-8.93","4.6","332","$25.83","1,187","7","FBA","1","Office Products","Oversize","0.1 x 48 x 36 in","1.22 lb","https://www.amazon.com/dp/B08N311CZL"
"","","B00IWSHORY","Pacon Presentation Board Kit, White, Includes Self-Adhesive Project Papers, 48' x 36', 1 Kit","PACON","$30.46","146","2","$4,447","03/06/2014","$10.87","4.6","414","$19.59","84,662","5","AMZ","1","Office Products","Oversize","36.5 x 2.5 x 24.5 in","1.9 lb","https://www.amazon.com/dp/B00IWSHORY"
