"Export time:  2/1/2024, 11:10:34 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CPN6KB7W","Flipside Products 36 x 48 Project Boards for Presentations, Science Fair, School Projects, Event Displays and Trifold Picture Board, Proudly Made in USA - Assorted Colors - 4 Pack","Flipside Products","$24.99","603","40","$15,069","12/05/2023","$-2.05","4.6","280","$27.04","6,153","7","AMZ","1","Office Products","Oversize","48 x 0.16 x 36 in","1.4 lb","https://www.amazon.com/dp/B0CPN6KB7W"
"science fair display boards","","B07QKFTJX9","White Tri-Fold Presentation Board 28' X 40' Display Exhibition Board Lightweight and Portable with Smooth Surface Great Business presentations (Pack of 2) - by Emraw","Emraw","$22.99","3,090","103","$71,039","04/09/2019","$7.56","4.5","763","$15.43","2,098","6","FBA","1","Office Products","Oversize","20.4 x 0.07 x 28.1 in","1.9 lb","https://www.amazon.com/dp/B07QKFTJX9"
"Average Monthly Sales: 443","","B0CJC3XQMZ","Yeaqee 12 Pcs Trifold Poster Board 35.5' x 44' Inch Presentation Board Science Fair Display Boards with 12 Sheets Self Adhesive Presentation Science Subtitles for School Office Supplies (Black)","Yeaqee","$69.99","8","","$559.92","09/18/2023","$40.67","","","$29.32","270,037","7","FBA","1","Office Products","Oversize","24.5 x 3.5 x 37 in","26.2 lb","https://www.amazon.com/dp/B0CJC3XQMZ"
"Average Revenue: $11,585","","B0015V1ZY8","Pacon Presentation Boards, Single Wall, White, 48' x 36', 4 Count","PACON","$23.99","4,432","208","$106,324","01/04/2009","$6.89","4.7","2,979","$17.10","824","6","AMZ","13","Office Products","Oversize","24 x 0.33 x 36 in","6 lb","https://www.amazon.com/dp/B0015V1ZY8"
"Average Price: $41.10","","B07QDZX1QR","Trifold Poster Board 36' x 48' White Presentation Board Science Fair Display Boards - for School, Fun Projects and Business Presentations - by Emraw","Emraw","$23.97","2,410","103","$57,768","04/09/2019","$6.87","4.5","763","$17.10","2,098","6","FBA","2","Office Products","Oversize","1 x 36 x 24 in","1.4 lb","https://www.amazon.com/dp/B07QDZX1QR"
"Average No. of Ratings: 235","","B0C4B466Q4","Ctosree 24 Pcs Tri Fold Display Board, Lightweight Presentation Board, Science Fair Project Display Paperboard, Trifold Poster Board, Single Wall(White, 14 x 22 Inch)","Ctosree","$62.99","108","5","$6,803","05/03/2023","$42.70","4.5","4","$20.29","46,370","6","FBA","2","Office Products","Oversize","14 x 2.2 x 22 in","5.29 lb","https://www.amazon.com/dp/B0C4B466Q4"
"Average Sales Rank: 73,185","","B0C53HS1D4","PerKoop 36 Sheets Science Fair Board Supplies 24 Self Adhesive Presentation Science Subtitles 4 Science Fair Project Titles 8 Personalized Letter Sticker Supplies for Classroom Office (Boho Color)","PerKoop","$18.99","990","34","$18,800","05/11/2023","$11.62","4.5","13","$7.37","7,212","6","FBA","1","Office Products","Standard","8.27 x 1.57 x 9.45 in","14.2 oz","https://www.amazon.com/dp/B0C53HS1D4"
"Average Rating Number: 4.4","","B07S6DCY9F","BAZIC Trifold Presentation Board 36' X 48' Black, Tri-Fold Corrugated Poster Boards, Cardboard for Display Boards Science Fair Art Project, 1-Pack","BAZIC Products","$25.99","120","4","$3,119","08/27/2019","","4.4","35","","50,670","6","FBA","1","Office Products","","","1.25 lb","https://www.amazon.com/dp/B07S6DCY9F"
"","","B0C77C5BGH","Henoyso 100 Pcs Science Fair Board Supplies Include 80 Trim Scalloped Bulletin Board Borders 20 Project Printable Adhesive Paper for Classroom Office Display Boards(Red, Yellow, Blue, Green)","Henoyso","$21.99","135","5","$2,969","06/04/2023","$15.10","3.8","11","$6.89","46,807","7","FBA","1","Office Products","Standard","1.57 x 0.01 x 11 in","13.4 oz","https://www.amazon.com/dp/B0C77C5BGH"
"","","B0CNCN5T85","Henoyso 116 Sheets Science Fair Board Supplies 20 Printable Presentation Science Subtitles 80 Scalloped Bulletin Board Borders 8 Letter Sticker 8 Project Title for School Office (Board No Included)","Henoyso","$20.99","163","3","$3,421","11/14/2023","","5","1","","59,082","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CNCN5T85"
